V1	V2	V2	
fe	2	11	浮
te	3	13	抖
tʰe	2	11	頭
ke	3	13	狗
kʰe	3	13	口
xe	6	34	後厚
ȵe	3	13	熱
ŋe	3	13	藕
le	2	11	樓
te	6	34	袋豆
tʰe	1	33	偷
ke	1	33	鉤
kʰe	7	24	刻
ȵe	7	24	孽捏
ke	5	45	夠
po	7	24	撥剝
pʰo	2	11	婆
to	3	13	躲
tʰo	3	13	奪托
tso	3	13	左
so	3	13	鎖所
tsʰo	5	45	錯
ȶo	7	24	腳角
ȶʰo	3	13	著
ko	3	13	果
kʰo	3	13	可
xo	2	11	河
mo	2	11	磨
ȵo	7	24	弱
ŋo	2	11	鵝
lo	2	11	鑼螺
Ǿo	7	24	惡握
pʰo	3	13	薄
to	1	33	多
tʰo	7	24	脫
tso	7	24	作桌鐲
so	7	24	索縮
ko	7	24	鴿割各郭角
kʰo	7	24	渴闊殼
xo	3	13	火盒活鶴縛學
mo	7	24	末
ŋo	6	34	餓
lo	3	13	落
pʰo	7	24	潑
tʰo	1	33	拖
tso	6	34	坐
ko	1	33	歌
kʰo	5	45	課
xo	6	34	禍鶴霍
mo	1	33	摸
pʰo	5	45	破
ko	5	45	個過
xo	5	45	貨
pu	6	34	簿步
pʰu	2	11	婆
fu	2	11	壺浮
ku	3	13	古
kʰu	3	13	苦
mu	3	13	母
Ǿu	2	11	吳
pu	5	45	布
pʰu	3	13	譜
fu	3	13	火苦虎府服
ku	7	24	骨穀
kʰu	5	45	褲
mu	7	24	木目
Ǿu	3	13	五武
pʰu	1	33	鋪
fu	7	24	佛哭福
ku	1	33	箍
mu	6	34	磨磨
Ǿu	7	24	物屋
pʰu	5	45	破
fu	6	34	戶父婦
ku	5	45	過
Ǿu	1	33	烏
fu	5	45	褲付富副
Ǿu	6	34	霧
pi	3	13	比
pʰi	2	11	皮
ti	2	11	犁梨
tʰi	7	24	踢笛
tɕi	3	13	幾嘴
ɕi	2	11	徐溪
tɕʰi	2	11	池騎遲棋
mi	3	13	密
Ǿi	2	11	移姨
pi	7	24	筆逼
pʰi	3	13	鼻
ti	3	13	李
tʰi	1	33	梯
tɕi	7	24	汁急吉織積擊
ɕi	3	13	洗喜十實食席石
tɕʰi	3	13	取喜侄直
mi	7	24	密
Ǿi	7	24	一益
pi	6	34	幣被
pʰi	7	24	匹壁劈
ti	7	24	立栗律力曆
tʰi	5	45	剃
tɕi	1	33	雞知饑
ɕi	7	24	習失息惜錫
tɕʰi	7	24	集及吸七極尺
Ǿi	1	33	衣
pʰi	5	45	屁
ti	1	33	低
tɕi	6	34	治
ɕi	1	33	西希
tɕʰi	5	45	契戲器氣
Ǿi	5	45	意
ti	6	34	弟遞地
tɕi	5	45	制寄記醉季
ɕi	6	34	系
ti	5	45	栗
ɕi	5	45	世
tɕy	3	13	舉主
ɕy	2	11	徐
tɕʰy	2	11	除渠錘
ȵy	3	13	女
Ǿy	2	11	吳如魚余
tɕy	7	24	橘菊局
ɕy	3	13	鼠許水
tɕʰy	7	24	出
Ǿy	3	13	雨
tɕy	1	33	豬
ɕy	1	33	書輸
tɕʰy	1	33	區吹
Ǿy	7	24	入浴
tɕy	6	34	柱住
ɕy	6	34	豎樹
tɕʰy	5	45	去
Ǿy	6	34	遇芋裕玉
tɕy	5	45	句劇
ɕy	5	45	鼠
pei	1	33	杯碑
pʰei	2	11	賠
fei	2	11	回肥
tei	5	45	對
tsei	3	13	嘴
sei	2	11	隨垂
tsʰei	2	11	錘
mei	2	11	煤眉
lei	2	11	雷
pei	6	34	背
pʰei	5	45	配
fei	1	33	灰飛
tsei	7	24	卒
sei	3	13	水
tsʰei	1	33	吹
mei	6	34	妹
lei	3	13	呂
pei	5	45	貝
fei	6	34	會
tsei	1	33	追
sei	5	45	碎歲
lei	6	34	類
fei	5	45	肺費
tsei	6	34	罪
tsei	5	45	醉
pou	3	13	寶飽
pʰou	2	11	浮
tou	1	33	刀
tʰou	2	11	桃
tsou	3	13	早找
sou	3	13	嫂
tsʰou	3	13	草
ȶou	1	33	交
ȶʰou	2	11	朝橋
kou	1	33	高
kʰou	1	33	敲
xou	3	13	好
mou	2	11	毛
ȵou	3	13	鳥
ŋou	2	11	熬搖
lou	3	13	腦老
pou	1	33	包
pʰou	5	45	炮
tou	6	34	道
tʰou	3	13	討
tsou	6	34	造
tsʰou	1	33	抄
ȶou	6	34	轎
kou	5	45	叫
kʰou	5	45	靠
xou	6	34	號
mou	1	33	貓
lou	6	34	鬧
pou	6	34	抱
tsou	5	45	灶罩
tsʰou	5	45	糙
ȶou	5	45	照叫
xou	5	45	孝
mou	6	34	帽
pæ	3	13	擺白
pʰæ	2	11	排牌
fæ	2	11	懷
tæ	7	24	得
tʰæ	2	11	台
tsæ	7	24	側窄摘
sæ	7	24	虱塞色
tsʰæ	2	11	財柴
kæ	3	13	改解
kʰæ	7	24	刻客
xæ	2	11	鞋還
mæ	2	11	埋
ȵæ	3	13	熱
ŋæ	2	11	岩顏
læ	2	11	來
Ǿæ	3	13	矮
pæ	7	24	北百
pʰæ	5	45	派
fæ	3	13	活或
tæ	6	34	大
tʰæ	3	13	特
sæ	5	45	曬
tsʰæ	7	24	測拆擇策
kæ	7	24	格隔
kʰæ	1	33	開
xæ	3	13	海蟹
mæ	3	13	買
ȵæ	7	24	業孽捏
ŋæ	7	24	額
pæ	6	34	敗
fæ	6	34	壞
tæ	5	45	帶
tʰæ	1	33	胎
tsʰæ	5	45	菜
kæ	1	33	該街
xæ	7	24	黑
mæ	7	24	墨麥
ŋæ	5	45	愛
pæ	5	45	拜
kæ	5	45	鋸蓋戒
xæ	6	34	害
mæ	6	34	賣
tæu	3	13	賭
tʰæu	2	11	圖
tsæu	7	24	足
sæu	3	13	數
tsʰæu	2	11	鋤
