皮
天
大
酒
三
生
好
車
開
心
花
毛
老
風
下
米
張
手
多
面
書
七
灰
坐
長
苦
刀
水
火
布
分
馬
冬
包
血
行
兩
飛
草
湯
頭
西
官
病
六
本
瓜
星
送
假
九
女
接
過
學
燒
磨
難
瓦
鬼
婆
街
山
中
方
主
半
四
命
門
孫
船
連
魚
滿
白
安
來
松
釘
排
通
黃
新
平
早
客
骨
麥
酸
龍
反
妹
怪
東
重
脫
買
上
正
百
拜
茶
筆
菜
親
月
死
沙
肥
近
寫
橋
鐵
十
比
尖
竹
背
帶
得
解
對
盤
聽
木
牙
古
狗
笑
輕
幫
點
牀
王
北
去
豆
身
初
表
時
桃
跪
賣
薄
雙
髙
五
李
春
深
亂
全
江
衣
弟
把
板
南
班
紙
牛
交
光
先
冰
吹
害
條
蛇
會
照
矮
燈
翻
雞
變
抽
放
單
膽
人
字
年
夾
改
泥
唱
飽
熟
鎖
甲
名
有
尾
爭
海
臭
國
頂
等
雲
飯
想
道
鞋
八
出
刮
定
急
洗
派
殺
短
硬
遠
豬
錢
日
更
雨
毒
淺
彈
熱
橫
樹
斷
切
兵
步
明
果
直
金
動
舅
慢
鴨
講
關
省
根
租
間
料
討
割
敢
貴
罪
落
該
舊
土
公
耳
角
肯
流
娘
敗
桶
眼
喜
路
鋪
要
借
師
桂
粉
愛
銀
樓
霜
轉
石
地
孝
修
除
傳
話
領
外
左
油
虎
破
算
蟲
讓
寸
欠
色
快
房
問
節
歌
種
醉
靠
井
朋
肺
便
前
紅
貪
雪
結
鬧
墨
胎
神
朝
歲
腦
雷
寶
盆
軍
缺
針
一
村
杯
章
緊
廟
數
糖
還
靑
力
用
忙
走
念
拖
法
牌
順
零
輸
勸
歡
偸
別
含
肝
倉
扇
甜
插
經
隔
鼠
聲
兄
刷
封
炭
梯
搶
溫
壁
錯
藍
子
片
世
被
裝
嫩
銅
二
姓
食
賊
影
戲
餠
肉
見
爬
浪
梨
釣
棉
絲
黑
福
鋸
懶
鹽
淸
抄
刻
林
扁
浮
畫
腰
小
削
帽
嫂
指
活
凍
傷
試
綠
辣
線
甘
田
冷
降
升
事
店
配
停
添
牽
嫁
端
課
謝
射
格
記
圍
慣
彎
口
尺
民
印
拍
恨
音
減
嫌
葉
號
夢
罰
餓
貨
雄
鵝
柱
洞
搬
蜂
踢
埋
秧
啞
貓
隨
藥
可
作
席
陳
舉
鏡
讀
剝
寄
軟
塞
窮
甁
犯
密
袋
造
句
汗
能
圖
各
取
夏
產
傘
搖
滾
器
舌
住
吞
夜
烏
區
淡
規
筋
逼
熬
雜
共
屁
知
野
選
聾
向
吳
卷
厚
姨
婚
許
滅
樣
興
恩
紫
華
塔
碑
輪
整
磚
龜
虧
件
位
刺
河
財
辦
鮮
櫃
權
右
回
城
富
菊
滑
鏟
市
低
碗
實
認
賠
騎
爛
化
戶
州
服
球
票
愁
碎
壽
燭
充
立
判
炮
眉
剪
意
遲
壞
冤
玉
味
亮
棚
運
漢
蝦
賭
轎
蘭
引
均
項
暗
像
熊
鼻
漿
池
資
瘡
永
品
移
勤
裙
鋤
縣
錘
困
武
習
琴
暖
業
鋼
險
宋
染
徐
索
院
焦
織
絕
貼
蓮
糠
母
現
統
貧
壺
靜
戒
典
費
搭
鉗
休
柴
追
猛
越
魂
剃
容
婦
層
濃
局
岸
原
毯
善
闊
防
府
哭
特
郭
敲
褲
縫
騙
嚴
袖
圓
摸
藕
匠
茄
換
感
寬
顯
任
建
做
圈
鉤
懷
響
蠶
叫
失
形
桌
危
弄
叔
窗
榮
打
決
物
摘
撞
校
歇
挖
約
鳥
湊
瘦
坑
壯
拆
衫
紡
惜
鹿
棋
霧
贏
沉
旺
限
畜
劍
縮
罩
孔
托
達
營
藤
使
姐
副
笛
終
集
希
治
屋
嘗
折
狂
息
塊
驗
痛
凳
綢
奴
潑
蠟
進
腫
如
所
肩
族
顏
曲
閏
完
抱
墊
監
嘴
藝
宿
瞎
箍
幼
足
胃
慶
義
斜
佛
慌
戰
懂
廳
入
匹
拉
側
盒
禍
鴿
呂
廠
鄰
鑼
扮
律
奪
勻
制
踏
額
鎭
付
勁
純
耕
策
擦
螺
膿
蚊
宮
園
爺
糞
譜
及
鳳
潭
喊
震
黨
曬
汁
煤
奸
貝
浸
錫
列
弱
尋
測
鉛
優
吉
吸
迎
剩
跌
劈
墩
雀
厭
育
看
抓
杜
言
恭
類
末
糉
歪
祠
程
積
兒
栗
健
挺
衛
寺
系
延
拐
秤
季
墳
目
溪
遇
蓬
糙
占
益
設
父
極
柄
渠
擇
綁
晚
豎
杉
隱
殼
烘
或
撥
犁
芋
準
纏
柿
握
棒
卒
式
擊
協
炎
辰
靴
撤
熏
契
閘
筐
劇
屬
截
孽
台
貞
粥
余
抖
俊
垂
繞
僧
蟻
贖
幣
鶴
頑
翁
碟
擁
賺
姜
胖
捏
簫
凶
繩
簿
蟹
巖
遞
后
裕
渴
霍
閂
谷
咸
丟
侄
梗
浴
几
躲
窄
划
鐲
找
橘
勺
蠅
樁
竈
蝨
吃
篾
脣
着
葱
少
憋
烟
家
香
麻
羊
蹲
起
粗
空
差
掃
漏
當
信
邊
千
肚
姑
和
收
跳
底
堆
散
我
補
丰
同
秋
倒
退
調
脚
炒
气
敎
仙
考
梅
齊
擔
戴
相
苗
電
管
精
丈
保
代
招
万
批
將
在
堂
柳
細
報
答
眞
周
哥
扎
加
胡
就
請
養
泡
成
是
部
尿
太
巴
求
賴
應
禮
寒
工
架
槍
露
自
消
祖
篩
醒
男
鼓
守
扣
利
斧
蒙
黏
盖
穿
醋
羅
参
到
荒
救
體
恶
今
梳
箱
再
合
覺
夫
猜
透
象
吿
够
替
跟
忍
常
理
量
腸
農
標
界
脆
陪
摆
處
煩
稱
醬
斤
牢
猴
蠻
鄕
文
枕
推
曹
遮
才
朱
災
私
波
隊
趙
糟
网
易
挂
稅
寡
燕
牆
題
籠
郞
斗
兔
套
拳
專
溝
價
廣
个
存
辛
留
都
勞
棍
齒
歸
巧
待
挑
耐
掌
虛
腿
巾
故
煎
蒸
帝
度
裁
醫
攤
丁
仇
支
宗
抹
徒
涼
湖
爐
袜
叉
偏
陰
劉
總
臘
免
受
科
康
情
曾
漆
操
機
爲
次
串
屎
座
廢
藏
鞭
穩
供
唐
旁
累
喉
欺
旗
元
吐
妖
缸
站
基
袍
箭
蔡
論
壓
奇
彩
望
陽
廚
樂
獨
嚇
飄
疤
茅
彭
塘
京
芹
庫
楊
噴
篇
談
聰
咬
秒
第
普
德
編
餐
弓
美
桑
豹
場
滴
蒜
模
査
杰
皇
迷
商
提
椅
詩
狀
舍
計
狼
榜
久
良
芽
棗
膏
塡
凡
披
帳
悶
渣
脾
超
楚
思
縛
伴
卵
坡
威
珍
悔
冲
川
丙
洋
倍
閉
漂
貌
靈
乖
昌
英
潘
練
秀
珠
陣
崩
最
媒
演
腐
舞
輩
友
芒
催
搜
漲
又
枝
社
荷
晴
褥
顧
了
份
素
梁
曉
灌
奶
因
核
紗
葬
呼
性
痒
煮
签
以
司
吵
昏
款
雕
鑽
伯
扶
帖
枯
撇
籃
羣
投
抵
斬
爪
畝
探
頓
蔣
尼
志
旱
往
亭
觀
介
每
股
匪
淨
符
殘
損
瞞
灘
止
何
段
葵
暴
願
欄
孤
宣
革
韭
島
盞
檢
午
案
捧
尊
語
誤
潮
稿
央
始
展
椒
敬
蜜
屍
泉
莊
禁
疑
丑
功
怕
冒
洪
期
筒
脹
勾
令
艾
旋
組
童
賽
菌
榨
糕
糧
君
偉
遷
巷
菩
搓
豪
增
驚
抗
芳
帥
炸
訂
訓
詳
材
俗
冠
務
渡
舒
獅
寧
刁
內
丘
居
政
詞
膠
固
備
喪
評
馮
鄧
至
非
玻
撈
鱗
丹
估
伸
怨
紀
桐
絨
債
痰
態
賢
也
昆
兜
責
賀
塵
賓
獎
賤
嶺
納
駝
魯
館
冊
注
港
甥
拼
瓷
著
視
跑
遍
察
簡
爆
攔
繼
霸
駡
禾
赤
里
胞
級
笨
景
董
賞
辮
仁
旅
般
彪
概
鈴
笋
虹
剛
胸
遵
聯
士
由
捐
貢
培
畢
毀
確
碼
簸
只
坦
委
姊
勇
泰
毫
爽
博
暑
登
驕
壩
依
逃
敵
緣
環
兌
助
秦
舀
混
盛
聘
頸
蠢
证
旦
申
具
妻
聞
賒
槽
歐
必
幸
首
栽
悲
蹄
識
伏
宜
狐
敏
慘
鄭
齋
鐮
罐
汽
押
淚
獸
礦
发
忘
孟
拔
拋
軌
閃
勝
隆
導
妙
饥
仗
此
卦
按
津
宰
紹
廊
腥
速
惠
暫
辭
獻
騷
尙
忠
糾
叛
祭
然
寨
質
謙
乘
創
揮
稀
灣
顚
邦
突
郵
卯
佩
杭
很
淋
腔
貸
傲
融
値
史
技
柏
需
鯉
克
宵
效
眠
雁
嬌
樟
享
盾
耽
描
繡
攀
續
历
杏
坤
堅
堵
戚
稻
乙
努
其
訪
販
盜
溜
預
謀
邪
控
揚
艱
室
括
袁
斑
番
警
汪
征
捉
陶
斯
裂
輝
邀
另
庚
洲
候
庭
恐
診
鴉
疆
岔
承
棟
階
審
扭
奔
版
負
恥
陸
源
窯
趣
臨
職
例
屈
的
施
途
殿
丸
互
沈
奉
祥
惱
惹
載
瘟
不
未
矛
刑
攻
坪
枉
況
貫
無
綿
你
攏
硏
朵
阻
森
腎
微
護
示
挨
脊
榴
慧
屠
粒
聊
趁
聖
墓
維
雖
吊
咒
拱
員
朗
逢
慈
扳
奈
烈
梭
蕩
霞
臣
某
振
痕
干
之
侵
柑
傅
痣
絞
擴
瀉
殊
皺
膚
蕉
濟
魔
帆
巡
翠
憐
序
牲
堡
違
持
紐
耙
智
貿
瓢
礙
峯
型
勢
置
蔗
擠
允
妥
芝
豺
晨
喝
聚
鋒
燙
斃
篷
避
贊
飮
蒲
銷
繁
繳
麗
爹
蛾
潤
謎
魏
穴
究
亞
盲
莫
酥
構
辯
仿
炊
匙
匾
厲
擋
耀
觸
航
喬
默
糯
祝
瘋
譚
召
哀
盼
庵
搞
闖
沒
烤
崔
揭
督
誠
諒
遭
奮
鍋
騰
亡
拘
附
恆
境
槐
障
閻
姿
脂
飼
鼎
億
懸
佳
疾
偶
晶
裹
說
激
績
薛
獵
覽
析
則
姻
襯
址
乾
適
錦
忌
膜
鍛
臍
戀
亥
宏
扯
勉
姚
晝
漫
澤
衡
韓
攪
凱
訴
趕
旬
映
疏
廂
嘔
蒼
薯
勒
羞
辨
伍
者
衰
陝
蕭
鷹
芬
硫
肅
菠
塑
他
羽
郊
紋
執
淮
廈
碾
緞
仰
兆
拌
奏
苔
略
楷
較
慮
釋
昨
茂
兼
疲
娶
距
賈
購
嬸
籮
浙
棺
詐
蓑
驢
暈
磁
頻
饒
刪
禿
竿
廉
誦
促
率
植
雹
暢
戳
拿
崇
蛋
際
鞍
議
劫
侯
械
頌
撕
蝶
燃
徽
轟
柔
洛
授
幅
渾
熄
誓
但
怒
迫
嘉
歉
緩
欣
倡
倫
捆
狹
崗
盔
萄
綱
尤
跨
鵲
玄
范
睡
魄
勵
謊
謠
媽
唯
潔
韻
譽
妨
悟
掀
啼
楓
籌
刨
矩
傾
愧
葷
酬
輔
諷
企
陵
駕
躁
沿
哲
陷
癬
旨
牡
譯
屛
刊
駁
黎
贈
舟
函
碧
慰
饅
丫
哄
頁
逆
禽
銜
敷
縱
臊
屆
淵
愚
窟
僻
已
呆
紛
痔
葛
澄
濤
束
泛
售
幕
蔬
薪
涉
荔
啄
淘
嫖
賜
濫
曠
恢
致
援
馱
癩
浩
躬
詭
蘆
劣
廷
掩
硝
衙
罷
犬
妃
雇
鍍
杖
翅
寅
逗
雅
撒
遼
髓
鑲
且
殃
鳴
療
嚼
舵
游
薩
襖
拒
阿
症
耿
憶
朽
爸
梧
蛆
棕
僵
澆
櫻
疊
摳
偵
堤
鈔
憂
駛
聶
拾
滋
頒
鑿
乳
娛
掉
稍
猾
磕
籍
愼
而
陡
窩
儉
膩
償
橙
濾
肋
耗
萍
薦
蟒
否
幽
淹
閱
錐
寵
攬
扛
坎
抬
巢
患
莽
蛛
砍
喘
絮
貂
塌
奧
腮
漁
獄
燦
鴻
竅
籬
掐
皂
悉
垮
筷
摩
賬
駱
龐
巨
訣
瑞
徹
肌
弦
忽
閣
憤
緖
俄
茫
孕
卑
艇
銘
諸
廬
囚
昂
蚤
蛀
菱
滔
鞏
孩
絡
卸
狡
盈
挽
睛
瓊
岳
璃
蛙
肆
儀
叢
黴
幻
宴
腕
岡
虐
晉
腹
儲
臥
鈍
撮
趟
□
乏
玩
泳
盟
懇
顆
砌
訊
檀
竄
謹
喩
疫
痢
僅
粱
閨
膨
宇
琵
貶
僑
簪
羹
釀
似
灸
捺
欲
粟
鄒
槳
躺
坯
甚
競
伐
宙
沫
彬
循
揀
軸
膝
剔
絆
喚
槌
輛
彼
眨
敦
魁
邁
株
悠
慚
嬰
己
呈
迅
茸
硯
溼
墾
燎
奠
焰
賄
寢
澀
囊
晃
嗽
弊
澡
趾
潛
夕
酉
胚
辱
笠
脯
萌
酵
即
肢
捷
揉
欽
韶
臉
犧
僞
芭
捕
祿
踐
盧
鸚
芥
湘
稠
既
漸
瓣
窖
箏
駐
畏
誘
謂
鍵
餿
驅
枚
愉
妓
酷
邵
婿
捅
巫
昭
嘆
毅
鏽
于
羔
崖
轄
濁
簍
鯽
猶
擒
氏
污
秉
若
峽
蝗
蹤
廖
慕
哪
寇
慨
棠
簧
殷
逐
摟
裳
怖
牧
蚌
翼
滸
烙
掘
淫
飾
擾
鰓
鍘
卜
剁
芙
域
殖
瑣
撩
恰
慷
潰
癡
强
些
券
疹
琶
舔
躍
宅
傻
鬃
焚
蔽
煉
覆
騾
秩
蓉
誣
襟
竟
惰
蓄
沾
舜
卿
陋
廁
棧
雌
螢
悅
堯
鄙
繭
吏
卓
耍
剖
狸
勘
措
渺
逵
隧
椿
卻
誕
啓
堪
餃
殯
稗
掏
媳
誰
枇
皆
豌
穗
掠
鈞
霄
攝
纜
杆
凝
弘
仲
液
棵
壤
罕
俏
豈
葦
閩
豔
蕎
拇
挪
浦
粹
杠
泊
溉
劑
諜
倦
傍
馳
撫
儒
蟬
采
凌
剿
嗓
繪
鮑
离
粘
俘
焊
眶
熨
囂
杈
脉
炕
述
襲
蟄
泄
庸
斟
滲
赴
悄
臂
衆
乞
釵
稚
鳩
鯨
厘
煕
懵
禱
昧
柚
蚣
佐
訟
誼
鑄
役
怠
盅
犀
墟
趨
頃
蒿
吼
眷
寓
虜
遣
墜
丐
妄
苟
澇
妾
蝕
鱉
囑
痹
銼
懲
脅
擱
匡
屑
琉
募
賦
丞
臼
銳
