[ɬi{35}]些
[ɬi{33}]写
[ɬi{55}]泻卸赐
[tʃi{35}]支枝肢栀芝脂之咨姿兹滋
[tʃi{33}]者这旨纸止趾姐祉只
[tʃi{55}]知蜘智至痣置致蔗遮鹧志誌稚铸著借
[tʃʰi{35}]痴嗤雌疵车黐{黏}
[tʃʰi{23}]邪池驰迟持斜弛慈磁鹚瓷糍词祠辞寺饲嗣
[tʃʰi{33}]侈耻扯且此始趄{撤离}
[tʃʰi{55}]刺似厕翅笡{偏斜}
[tʃʰi{21}]谢痔治雉
[ȵi{23}]而儿宜疑
[ȵi{33}]惹尔耳洱议饵
[ȵi{21}]二贰义仪
[ʃi{35}]施尸诗师奢赊舒佘
[ʃi{23}]时莳蛇畲匙
[ʃi{33}]市屎社捨史暑署曙
[ʃi{55}]试舍騇赦恕
[ʃi{21}]是视嗜示侍豉射麝士仕殊竖氏痔事柿伺
[ŋi{23}]谊
[hi{35}]靴
[ji{35}]淤於迂
[ji{23}]夷胰爷移如茹儒孺予余盂愚榆瑜
[ji{33}]也冶野已以与舆禹宇羽
[ji{21}]异夜椰冀愉寓遇愈豫御易{容～}
[i{35}]伊
[i{55}]懿
[pu{35}]波菠玻
[pu{55}]簸播
[pʰu{35}]坡
[pʰu{23}]婆菩
[pʰu{33}]颇
[pʰu{55}]破
[mu{35}]摩摸魔
[mu{23}]摹馍磨{～刀}
[mu{21}]磨{石～}
[fu{33}]火伙
[fu{55}]货
[vu{35}]倭涡蜗莴窝
[vu{23}]禾和
[vu{21}]祸
[tu{35}]多
[tu{33}]朵
[tʰu{35}]拖
[tʰu{23}]砣坨陀驼驮椭鸵舵佗{华～}
[tʰu{33}]妥
[tʰu{21}]堕惰
[nu{35}]捼
[nu{23}]挪傩
[nu{21}]糯
[lu{35}]啰
[lu{23}]骡螺罗逻箩萝锣脶
[lu{33}]攞
[ɬu{35}]梭蓑
[ɬu{33}]琐锁所
[tʃu{33}]阻左佐组祖
[tʃʰu{35}]初雏搓磋
[tʃʰhu{23}]锄
[tʃʰu{33}]础楚
[tʃʰu{55}]锉挫错措
[tʃʰu{21}]助座坐
[ʃu{35}]梳疏蔬
[ku{35}]歌哥
[ku{33}]果餜裹
[ku{55}]个过箇{这}嗰{的}
[kʰu{35}]科棵蝌柯颗戈锅
[kʰu{55}]课
[ŋu{23}]俄娥峨鹅蛾讹
[ŋu{33}]我
[ŋu{21}]卧饿
[hu{23}]何河荷
[hu{33}]可
[hu{21}]贺
[u{35}]屙阿{～胶}
[u{33}]呜忤仵
[pa{35}]巴芭疤豝
[pa{33}]把靶趴
[pa{55}]爸霸
[pa{21}]吧
[pʰa{23}]筢杷爬琶耙钯
[pʰa{55}]怕
[pʰa{21}]罢扒{～手}
[ma{35}]蟆
[ma{23}]麻
[ma{33}]马吗蚂
[ma{55}]妈
[ma{21}]骂
[fa{35}]花
[fa{55}]化
[va{35}]洼娃蛙
[va{23}]哗铧华桦
[va{33}]瓦
[va{21}]话画
[ta{33}]打
[tʰa{35}]他它她
[na{23}]拿
[na{33}]哪那乸{母}
[na{21}]娜
[la{35}]喇
[tʃa{35}]揸楂渣喳
[tʃa{55}]诈榨炸蚱乍
[tʃʰa{35}]叉钗差{～别}
[tʃʰa{23}]茶茬查
[tʃʰa{55}]杈汊衩岔
[ʃa{35}]沙纱砂痧裟鲨
[ʃa{33}]耍洒
[ka{35}]加枷家袈嘉痂傢瓜
[ka{33}]贾剐寡假
[ka{55}]价驾架嫁稼卦
[kʰa{35}]夸誇侉胯
[kʰa{33}]卡
[kʰa{55}]挂跨
[ŋa{23}]伢牙芽衙崖涯
[ŋa{33}]雅
[ha{35}]虾瑕遐吓{欺负}瘕{喉病}
[ha{33}]哈
[ha{21}]下夏霞厦
[a{35}]丫鸦桠
[a{23}]讶
[a{33}]哑
[a{55}]亚阿{～哥}
[lo{55}]啰{～唆}
[ɬo{55}]唆
[ɬo{21}]傻
[me{55}]咩
[kʰe{23}]茄
[pai{33}]摆
[pai{55}]拜
[pʰai{23}]排簰牌
[pʰai{55}]派
[pʰai{21}]败
[mai{23}]埋
[mai{33}]买
[mai{21}]迈卖
[fai{55}]块快筷
[vai{35}]歪
[vai{23}]怀淮槐
[vai{21}]坏外
[tai{35}]獃呆
[tai{33}]歹
[tai{55}]带戴
[tʰai{55}]贷态太泰
[tʰai{21}]大第
[nai{33}]乃奶
[lai{35}]拉
[lai{23}]攋{遗尿叫～尿}
[lai{21}]赖癞
[tʃai{35}]斋
[tʃai{33}]崽
[tʃai{55}]债
[tʃʰai{35}]猜差{公～}
[tʃʰai{33}]踩
[tʃʰai{21}]寨
[ʃai{23}]柴
[ʃai{55}]晒
[kai{35}]阶皆佳街乖
[kai{33}]解
[kai{55}]介戒芥届界疥蚧怪鎅
[kʰai{33}]凯楷铠
[ŋai{23}]捱崖涯
[hai{23}]鞋孩谐械懈
[hai{33}]蟹
[kʷai{33}]拐
[ai{35}]挨埃
[ai{33}]矮
[ai{55}]隘
[pɔi{35}]碑椑悲卑婢俾陂{堤坝}
[pɔi{33}]比妣匕鄙
[pɔi{55}]臂痹
[pʰɔi{35}]蓖箆丕脾
[pʰɔi{23}]枇琵皮疲
[pʰɔi{33}]彼
[pʰɔi{55}]庇屁譬
[pʰɔi{21}]被毙备避币陛稗痱
[mɔi{23}]微谜靡眉媚
[mɔi{33}]尾
[mɔi{55}]氼{潜}
[mɔi{21}]魅未味昧寐
[fɔi{35}]妃菲霏飞非绯扉翡挥晖辉徽
