汉字	音标	注释
多	tɛu³³	
拖	tʰɛu³³	
驼	tʰɛu¹¹	
舵	tʰɛu¹¹	不符合古今语音演变的对应规律
大	tʰa³¹	
罗	lɛu¹¹	
锣	lɛu¹¹	
箩	lɛu¹¹	
左	tsɛu²¹⁴	
搓	tsʰa³³	
歌	kɛu³³	
哥	kɛu³³	猴~
哥	kɛu¹²	字音
个	ka⁵³	
可	kʰɛu²¹⁴	
鹅	ŋɛu¹¹	天~
鹅	ŋɛu³	
我	ŋa³³	话音，不符合古今语音演变的对应规律
我	ŋɛu⁵³	字音
饿	ŋɛu³¹	
河	hɛu¹¹	
何	hɛu¹¹	
荷	hɛu¹¹	~花
贺	hɛu³¹	
茄	kʰiu³	
波	pɛu³³	
菠	pɛu³³	
簸	pɛu⁵³	~箕
坡	pɛu³³	不符合古今语音演变的对应规律
玻	pɛu³³	不符合古今语音演变的对应规律
破	pʰɛu⁵³	
婆	pʰɛu¹¹	姐~
婆	pu¹²	白~，不符合古今语音演变的对应规律
婆	pʰɛu³	两公~
魔	mɛu¹¹	
磨	mɛu¹¹	~刀
磨	mɛu³¹	~石
朵	tɛu²¹⁴	
妥	tʰɛu²¹⁴	
糯	nɛu³¹	
脶	lɛu¹¹	指纹
螺	lɛu¹¹	田~
螺	lɛu³	石~
坐	tsʰɛu⁵³	
座	tsʰɛu³¹	
蓑	sɛu³³	
锁	sɛu²¹⁴	
果	kɛu²¹⁴	
过	ka⁵³	
过	kɛu⁵³	
科	kʰɛu³³	
课	kʰɛu⁵³	
卧	ŋɛu³¹	
火	fu²¹⁴	
货	kʰɛu⁵³	
和	hɛu¹¹	~气
禾	vu¹¹	
祸	vɛu³¹	
窝	vɛu³³	
靴	sɛu³³	
巴	pɔ³³	
疤	pɔ³³	
把	pɔ²¹⁴	~握
霸	pɔ⁵³	
把	/	柄
坝	pɔ⁵³	
怕	pʰɔ⁵³	
帕	pʰɔ¹²	
爬	pʰɔ¹¹	
麻	mɔ¹¹	~子
麻	mɔ³	~哩
马	mɔ⁵³	
骂	mɔ⁵³	不符合古今语音演变的对应规律
拿	nɔ¹¹	
茶	tsʰɔ¹¹	
搽	tsʰɔ¹¹	
渣	tsɔ³³	
榨	tsɔ⁵³	
叉	tsʰɔ³³	打~
叉	tsʰɔ¹²	丫~
差	tsʰɔ³³	~别
查	tsʰɔ¹¹	调~
沙	sɔ¹²	
纱	sɔ³³	
家	kɔ³³	亲~
家	kɔ¹²	自~
加	kɔ³³	
假	kɔ²¹⁴	真~
架	kɔ⁵³	
嫁	kɔ⁵³	
价	kɔ⁵³	
牙	ŋɔ¹¹	
芽	ŋɔ³	
雅	ŋɔ²¹⁴	
虾	hɔ¹¹	
霞	hɔ¹¹	
下	hɔ³¹	~昼
下	ha¹²	底~
下	hɔ³	~哩
下	hɔ⁵³	~山，不符合古今语音演变的对应规律
哑	ɔ²¹⁴	
亚	ɔ³³	不符合古今语音演变的对应规律
姐	tsia²¹⁴	契~
姐	tsai²¹⁴	不符合古今语音演变的对应规律
借	tsia⁵³	
且	tsʰiɛ²¹⁴	
写	sia²¹⁴	
泻	sia⁵³	
邪	tsʰia¹¹	
斜	tsʰia¹¹	
谢	tsʰia³¹	
遮	tsɔ³³	
者	tsiɛ²¹⁴	
蔗	tsɔ¹²	
车	tsʰɔ³³	衣~
车	tsʰɔ¹²	风~
扯	tsʰɔ²¹⁴	
蛇	sɔ¹¹	
赊	sɔ³³	
舍	sɔ²¹⁴	~得
社	sɔ⁵³	
惹	ŋia⁵³	
爷	iɔ¹¹	姑~
爷	iɔ³	契~
野	iɔ⁵³	
夜	iɔ³¹	
夜	ia³	火~虫
瓜	kua³³	冬~
瓜	ka¹²	li³~
寡	kɔ²¹⁴	
夸	kʰua³³	
垮	kʰua³³	不符合古今语音演变的对应规律
跨	kʰua³³	不符合古今语音演变的对应规律
瓦	ŋɔ⁵³	
花	fɔ³³	
化	fɔ⁵³	
华	fɔ¹¹	中~
划	va³	字音，~船，不符合古今语音演变的对应规律
蛙	va³³	
补	pu²¹⁴	
布	pu⁵³	
铺	pʰu³³	~设
普	pʰu²¹⁴	
铺	pʰu⁵³	~设
菩	pʰu¹¹	~萨
部	pʰu¹²	
簿	pʰu¹²	
步	pʰu³¹	
模	mu¹¹	~子
墓	mu³¹	
都	tu³³	首~
赌	tu²¹⁴	
肚	tu¹²	猪~
土	tʰu²¹⁴	
兔	tʰu⁵³	
徒	tʰu¹¹	
涂	tʰu¹¹	
图	tʰu¹¹	
杜	tʰu⁵³	
肚	tu²¹⁴	腹~，不符合古今语音演变的对应规律
度	tʰu³¹	
奴	nu¹¹	
努	nu⁵³	
卢	lu¹¹	
炉	lu¹¹	
鲁	lu²¹⁴	
卤	lu⁵³	
路	lu³	
露	lu⁵³	不符合古今语音演变的对应规律
租	tsu³³	
祖	tsu²¹⁴	
做	tsɿ⁵³	不符合古今语音演变的对应规律
粗	tsʰu³³	
醋	tsʰu⁵³	
错	tsʰɛu⁵³	~误，不符合古今语音演变的对应规律
苏	su³³	
素	su⁵³	
姑	ku³³	大~
姑	ku¹²	小~
孤	ku³³	
箍	ku³³	动词，不符合古今语音演变的对应规律
箍	kʰu³³	名词
古	ku²¹⁴	
鼓	ku²¹⁴	
故	ku⁵³	
