	注释：白读-，文读=																																																
#i																																																	
p	[1]碑悲{慈～}□{毛～子：麻雀}[3]彼比[5]避蔽弊毙币闭陛{～下}臂庇痹{麻～}弼箅{～子}篦																																																
pʰ	[1]批{新}皮={～肤}疲脾琵{～琶}枇{～杷}肥-{～料}[3]疕{痂}[5]屁鼻{鼻子，鼻涕，闻}[6]备{准～}																																																
m	[2]迷谜[3]米																																																
t	[1]低知滋{～味}[3]抵里{厝～：家里}[5]帝智□{□tɕioʔ2～：这里置-{～东西}[6]□{□ɕi22～：什么}																																																
tʰ	[1]梯[2]堤题提持迟[3]体[6]弟={兄～}第递地箸{～隻：筷子}																																																
l	[2]来-{落下～}离璃{玻～}梨理={～想}痢{瘌～}厘狸={狐～精}尼倪[5]□{表示“这般”，后加形容词；～般高：这么高，表示感叹}[6]痢{拉～：痢疾}厉																																																
s	[1]西撕丝={粉～}犀{～牛角}[3]死[5]四肆																																																
tɕ	[1]姿{～态}之芝支肢脂枝={量词，一～花}[3]只{～有}旨指止址[5]制={～度}致至置={安～}志痣滞稚□{猫～：猫}																																																
tɕʰ	[1]痴尸妻[2]糍{～粑}鹚{鸬～}荠[3]此耻齿[6]痔自={～家}																																																
ɕ	[1]诗{老}施{姓～}[2]时始[3]屎[5]似[6]豉{豆～}□{～□ti44：什么}																																																
k	[1]稽枝-{树～}基箕机讥几{～乎}饥肌[3]己杞纪几{～个}□{很}[5]际={国～}济剂计技记忌[6]个-{～年：一年}																																																
kʰ	[1]欺[2]奇骑其棋期{时～}旗歧[3]启企起乞{～求}祈[5]器弃气=汽[6]□{～层：台阶}																																																
x	[1]希稀熙[2]戏[3]喜[6]系{关～}																																																
ŋ	[2]疑[6]二贰义议-{会～}																																																
∅	[1]伊医衣依[2]宜={适～}谊仪移夷姨遗[6]艺亿忆役{战～}意异毅议={～论}肄{～业}易={难～}																																																
#u																																																	
p	[3]补[5]佈{公～}																																																
pʰ	[1]铺{床～}[2]菩{～萨}[3]普谱甫浦捕蒲{～公英}脯{胸～}[6]部步簿																																																
m	[3]母[5]墓幕募																																																
t	[1]都{首～}[3]堵赌肚{鱼～}[5]昼-{中～：中午}																																																
tʰ	[2]徒屠途涂图[3]土吐{～痰}[5]吐{呕～}□{～囝：生孩子}[6]度渡镀杜兔妒																																																
l	[2]奴卢炉芦={～笋}鸬{～鹚}庐{～山}鲈虏{俘～}鲁[3]卤辱努[6]路=露鹭{～鸶}怒																																																
ts	[1]租诸[3]走{跑}祖组阻子{傻～：傻子；剃头～：剃头匠}																																																
tsʰ	[1]粗初[3]储{～蓄}楚础[5]醋□{管～：油条；老丝瓜的瓤}																																																
s	[1]苏酥蔬梳{～头}疏{～远}枢[3]所-数{～数字}署{～名}[5]素诉塑{～料}数{数～}漱{～口}恕																																																
k	[1]姑孤鸪{鹧～}[3]古估{～计}股鼓[5]故固雇顾																																																
kʰ	[3]苦虎[5]库裤[6]跍{蹲}																																																
x	[1]乎呼夫肤芙{～蓉}[2]敷胡湖葫煳狐壶俘{～虏}符喉{～咙}浮={～夸}[3]浒{水～}府腑辅抚后{前～}[5]付咐附父富副妇负互[6]护傅{师～}腐扶讣																																																
ŋ	[2]吴蜈{～蚣}[3]五午{～夜}																																																
∅	[1]乌污巫诬侮[2]梧{～桐}无[5]恶{可～}[6]戊误雾=悟务																																																
#y																																																	
p	[1]夫{丈tioŋ44～：男人}																																																
