"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"资姿咨孜兹滋𢫴[用指甲抓]"
"z"	"tsɿ"	2	"词祠辞磁慈糍瓷"
"z"	"tsɿ"	3	"姊紫子仔[～细]籽梓"
"z"	"tsɿ"	5	"巳似姒嗣饲[～料]"
"z"	"tsɿ"	6	"自字牸[～牛：小雌牛]寺伺-[护～：护理]"
"c"	"tsʰɿ"	1	"雌疵差[参～]"
"c"	"tsʰɿ"	3	"此"
"c"	"tsʰɿ"	5	"赐次刺伺[～侯]"
"s"	"sɿ"	1	"师狮思丝咝司厕[茅～]私斯撕嘶厮"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"四驷泗肆士仕=祀侍[～卫]"
"s"	"sɿ"	6	"事仕-[象棋子名]"
"zh"	"tʃɿ"	1	"支枝肢吱知之芝脂栀"
"zh"	"tʃɿ"	2	"池驰弛迟持"
"zh"	"tʃɿ"	3	"纸旨指[～挥]止=[停～]址趾祉"
"zh"	"tʃɿ"	5	"制隻=[～身]只[～要]织职帜至侄致窒郅桎汁治滞志痣执蛰[惊～]挚掷智指[～甲]蜘稚质炙=[～手可热]"
"zh"	"tʃɿ"	6	"痔止-[～痛]"
"ch"	"tʃʰɿ"	1	"痴侈攡[伸：莫～手]匙[钥～]"
"ch"	"tʃʰɿ"	3	"齿耻嗤指[～起：慫恿]"
"ch"	"tʃʰɿ"	5	"直植值置翅峙秩斥赤=[～卫队]吃=[～力]尺=[比例～]"
"sh"	"ʃɿ"	1	"诗尸施"
"sh"	"ʃɿ"	2	"时"
"sh"	"ʃɿ"	3	"史使驶屎氏始豉[豆～]"
"sh"	"ʃɿ"	5	"十世式试拭弑失=[损～]矢湿拾蚀实示誓逝势释饰视食识适室谥嗜噬"
"sh"	"ʃɿ"	6	"是市柿"
"bi"	"pi"	1	"逼-"
"bi"	"pi"	2	"皮疲琵枇啤脾"
"bi"	"pi"	3	"比妣"
"bi"	"pi"	5	"笔碧必毕陛避=[回～]壁=璧閉=逼=弼"
"bi"	"pi"	6	"篦[～子：密齿梳子]"
"pi"	"pʰi"	1	"批披"
"pi"	"pʰi"	3	"痞丕[曹～]否[～极泰来]彼秕[凹～哩：秕谷]"
"pi"	"pʰi"	5	"匹屁鼻辟僻霹譬"
"mi"	"mi"	2	"弥猕靡"
"mi"	"mi"	3	"米"
"di"	"ti"	1	"低[爹～：父亲]的[助词]"
"di"	"ti"	2	"提=[～要]题堤蹄啼屉-[～子：抽屉]"
"di"	"ti"	3	"底抵"
"di"	"ti"	5	"敌帝締=[～结]蒂滴=嫡的[目～]笛地[助词]"
"di"	"ti"	6	"地[菜～]第弟递"
"ti"	"tʰi"	1	"梯锑"
"ti"	"tʰi"	3	"体剔"
"ti"	"tʰi"	5	"替=[～補]涕惕屉=[抽～]隶"
"li"	"li"	1	"哩[训读，我～：我们]"
"li"	"li"	2	"厘梨犁黎离篱漓璃鹂"
"li"	"li"	3	"里理鲤礼李旅履澧醴"
"li"	"li"	5	"丽力励歷[經～]曆[日～]雳荔=吏立粒笠利=[盈～]俐莉栗=[板～]率[效～]律箻[～箕：过滤竹器]淚[眼～]驢[叫～子：驴子]"
"li"	"li"	6	"痢利-[～息]荔-"
"zhi"	"tɕi"	1	"几[茶～]机肌饥讥叽矶[城陵～]乩[扶～笔：迷信活动]鸡基箕屐[木～]羁"
"zhi"	"tɕi"	2	"其期棋旗麒齐荠脐奇骑崎琦畸祁祈圻[蒲～：湖北地名]颀芪岐歧鳍徐[姓]"
"zhi"	"tɕi"	3	"挤己纪几[～个]矶[石头～：当地地名]嘴-"
"zhi"	"tɕi"	5	"及级极圾急既暨即唧鲫积记忌杞计季悸寄跻霁剂济脐[肚～]系[～鞋带]激吉髻脊际击迹绩[业～]棘辑籍藉集疾嫉技妓姬冀骥继嵇稷祭稽[～查]吸"
"zhi"	"tɕi"	6	"聚[～钱]徛[站立]"
"chi"	"tɕʰi"	1	"妻凄欺栖趋蛆黢[～黑个：非常黑]"
"chi"	"tɕʰi"	3	"起启岂取=娶"
"chi"	"tɕʰi"	5	"七柒气汽乞迄讫器漆膝戚砌弃泣企契憩亟寂绩[～麻]𥉻[近～子：近视眼]"
"shi"	"ɕi"	1	"西牺希稀奚溪蹊嘻熙犀兮嬉须需髓[骨头～：骨髓]荽[芫～菜]尿[屙～]"
"shi"	"ɕi"	3	"洗徙玺喜熹禧"
"shi"	"ɕi"	5	"细戏系[关～]息熄媳锡袭昔惜习夕汐悉蟋析=晰隙序叙絮婿戌恤遂[顺～：顺利]谢[多～：客人告辞时说的客套話]"
"shi"	"ɕi"	6	"系[桶～]"
"i"	"i"	1	"衣依伊"
"i"	"i"	2	"移夷胰[～子：肥皂]姨颐彝矣怡贻遗"
"i"	"i"	3	"以已椅倚"
"i"	"i"	5	"一壹亦益溢易[姓]翼=[机～]译绎驿揖抑邑意臆逸肄裔忆亿诣异懿弈奕弋轶液翳[～子：眼疾]"
"i"	"i"	6	"佾[行，插了一～禾]易=[容～]"
"bu"	"pu"	2	"蒲[菖～]菩潽[液体溢出]葡匍"
"bu"	"pu"	3	"补"
"bu"	"pu"	5	"不布卜[萝～]怖"
"bu"	"pu"	6	"步部簿埠卜[占～]"
"pu"	"pʰu"	1	"铺[～床]"
"pu"	"pʰu"	3	"普谱溥甫脯捕哺"
"pu"	"pʰu"	5	"扑仆朴铺[界头～：当地地名]勃赴"
"fu"	"fu"	1	"夫肤敷乎呼俘"
"fu"	"fu"	2	"扶芙符芾胡湖糊蝴葫瑚弧狐和[～牌]壶鹄浮=[～躁]"
"fu"	"fu"	3	"府腐俯腑辅抚斧釜虎唬琥浒"
"fu"	"fu"	5	"副幅富福辐蝠负伏袱茯付咐附[～录]驸复腹覆馥服弗佛拂父赋妇縛=[束～]阜互忽囫沪护=[保～]戽斛[～桶：装粮食的大木桶]"
"fu"	"fu"	6	"附-[～加]孵户护-[为～：支持]瓠[～瓜]"
