聲母	韻母	聲調	漢字	註釋
ts	ɿ	[1]	知	
ts	ɿ	[1]	蜘	
ts	ɿ	[1]	支	
ts	ɿ	[1]	枝	2
ts	ɿ	[1]	肢	
ts	ɿ	[1]	梔	
ts	ɿ	[1]	資	
ts	ɿ	[1]	姿	
ts	ɿ	[1]	諮	
ts	ɿ	[1]	脂	
ts	ɿ	[1]	之	
ts	ɿ	[1]	芝	
ts	ɿ	[3]	紫	
ts	ɿ	[3]	紙	
ts	ɿ	[3]	只	2～有
ts	ɿ	[3]	雉	2
ts	ɿ	[3]	旨	
ts	ɿ	[3]	指	
ts	ɿ	[3]	子	
ts	ɿ	[3]	梓	
ts	ɿ	[3]	止	
ts	ɿ	[3]	趾	
ts	ɿ	[3]	址	
ts	ɿ	[3]	籽	
ts	ɿ	[3]	祖	1～宗
ts	ɿ	[3]	仔	
ts	ɿ	[3]	煮	1～粥
ts	ɿ	[5]	滯	
ts	ɿ	[5]	制	
ts	ɿ	[5]	製	
ts	ɿ	[5]	智	
ts	ɿ	[5]	致	
ts	ɿ	[5]	至	2
ts	ɿ	[5]	置	
ts	ɿ	[5]	志	
ts	ɿ	[5]	誌	
ts	ɿ	[5]	痣	
tsʰ	ɿ	[1]	雌	
tsʰ	ɿ	[1]	翅	
tsʰ	ɿ	[1]	癡	2
tsʰ	ɿ	[3]	侈	
tsʰ	ɿ	[3]	恥	
tsʰ	ɿ	[3]	齒	
tsʰ	ɿ	[3]	鼠	1
tsʰ	ɿ	[5]	疵	
tsʰ	ɿ	[5]	此	
tsʰ	ɿ	[5]	刺	2
tsʰ	ɿ	[5]	賜	
tsʰ	ɿ	[5]	次	
tsʰ	ɿ	[5]	廁	
dz	ɿ	[2]	池	
dz	ɿ	[2]	馳	
dz	ɿ	[2]	瓷	
dz	ɿ	[2]	遲	2
dz	ɿ	[2]	茲	
dz	ɿ	[2]	滋	
dz	ɿ	[2]	慈	2
dz	ɿ	[2]	磁	
dz	ɿ	[2]	辭	2
dz	ɿ	[2]	詞	2
dz	ɿ	[2]	持	
dz	ɿ	[6]	稚	
dz	ɿ	[6]	痔	2
dz	ɿ	[6]	治	2
dz	ɿ	[6]	峙	2
s	ɿ	[1]	斯	
s	ɿ	[1]	廝	
s	ɿ	[1]	撕	
s	ɿ	[1]	篩	名詞
s	ɿ	[1]	施	2
s	ɿ	[1]	私	
s	ɿ	[1]	師	
s	ɿ	[1]	獅	
s	ɿ	[1]	屍	2
s	ɿ	[1]	矢	
s	ɿ	[1]	屎	
s	ɿ	[1]	司	
s	ɿ	[1]	絲	
s	ɿ	[1]	思	
s	ɿ	[1]	詩	
s	ɿ	[1]	螄	
s	ɿ	[3]	是	
s	ɿ	[3]	死	
s	ɿ	[3]	巳	
s	ɿ	[3]	使	
s	ɿ	[3]	史	
s	ɿ	[3]	駛	
s	ɿ	[3]	始	
s	ɿ	[3]	士	1道～
s	ɿ	[3]	仕	1帥～相
s	ɿ	[3]	市	1利～
s	ɿ	[3]	柿	
s	ɿ	[5]	世	2
s	ɿ	[5]	勢	
s	ɿ	[5]	四	2
s	ɿ	[5]	肆	2
s	ɿ	[5]	試	
z	ɿ	[2]	慈	1
z	ɿ	[2]	辭	1
z	ɿ	[2]	詞	1
z	ɿ	[2]	祠	
z	ɿ	[2]	時	
z	ɿ	[2]	鰣	
z	ɿ	[2]	鋤	1
z	ɿ	[2]	匙	
z	ɿ	[2]	糍	
z	ɿ	[6]	誓	
z	ɿ	[6]	逝	
z	ɿ	[6]	氏	
z	ɿ	[6]	豉	
z	ɿ	[6]	自	2
z	ɿ	[6]	示	
z	ɿ	[6]	視	
z	ɿ	[6]	嗜	
z	ɿ	[6]	似	
z	ɿ	[6]	祀	
z	ɿ	[6]	字	
z	ɿ	[6]	寺	
z	ɿ	[6]	嗣	
z	ɿ	[6]	飼	
z	ɿ	[6]	士	2
z	ɿ	[6]	仕	2
z	ɿ	[6]	俊	
z	ɿ	[6]	事	
z	ɿ	[6]	市	2
z	ɿ	[6]	侍	2
z	ɿ	[6]	牸	～牛:母牛
z	ɿ	[6]	峙	1
p	i	[1]	屄	
p	i	[3]	被	棉～
p	i	[3]	比	
p	i	[5]	蔽	
p	i	[5]	斃	槍～
p	i	[5]	閉	
p	i	[5]	箅	
p	i	[5]	臂	
p	i	[5]	鄙	
p	i	[5]	祕	
p	i	[5]	泌	
p	i	[5]	庇	
pʰ	i	[1]	批	2
pʰ	i	[1]	砒	
pʰ	i	[1]	披	
pʰ	i	[3]	秕	
pʰ	i	[3]	嚭	伯～
pʰ	i	[5]	譬	
pʰ	i	[5]	屁	
b	i	[2]	蓖	
b	i	[2]	皮	
b	i	[2]	疲	
b	i	[2]	脾	
b	i	[2]	琵	
b	i	[2]	枇	
b	i	[2]	痞	地～
b	i	[2]	肥	1～皁
b	i	[2]	便	2～宜
b	i	[6]	敝	
b	i	[6]	弊	
b	i	[6]	幣	
b	i	[6]	陛	
b	i	[6]	鐾	
b	i	[6]	避	
b	i	[6]	痹	
b	i	[6]	備	
b	i	[6]	篦	
m	i	[1]	眯	
m	i	[2]	迷	
m	i	[2]	謎	
m	i	[2]	彌	
m	i	[2]	眉	
m	i	[2]	媚	
m	i	[2]	楣	
m	i	[3]	米	2大～
m	i	[5]	米	一～
m	i	[6]	未	1
f	i	[1]	非	
f	i	[1]	飛	
f	i	[1]	妃	
f	i	[1]	緋	
f	i	[1]	□	～麪:麪粉
f	i	[3]	匪	
f	i	[3]	榧	
f	i	[3]	翡	
f	i	[5]	廢	
f	i	[5]	肺	
f	i	[5]	痱	
f	i	[5]	費	
f	i	[5]	翡	
v	i	[2]	維	
v	i	[2]	惟	
v	i	[2]	唯	
v	i	[2]	肥	2
v	i	[2]	微	
v	i	[6]	尾	2
v	i	[6]	未	2
v	i	[6]	味	
t	i	[1]	低	2
t	i	[1]	□	哈～:撓人腋窩使癢
t	i	[3]	底	2
t	i	[3]	抵	2
t	i	[5]	帝	
tʰ	i	[1]	梯	2
tʰ	i	[3]	體	2
tʰ	i	[5]	替	2
tʰ	i	[5]	涕	2
tʰ	i	[5]	剃	2
tʰ	i	[5]	屜	2
d	i	[2]	堤	2
d	i	[2]	題	2
d	i	[2]	提	2
d	i	[2]	蹄	2
d	i	[2]	啼	2
d	i	[6]	逮	
d	i	[6]	弟	2
d	i	[6]	第	2
d	i	[6]	遞	2
d	i	[6]	隸	2奴～
d	i	[6]	地	
n	i	[3]	你	
l	i	[1]	哩	酸～:酸溜溜;邋～邋遢
l	i	[2]	犁	2
l	i	[2]	黎	
l	i	[2]	離	
l	i	[2]	籬	
l	i	[2]	璃	
l	i	[2]	梨	
l	i	[2]	釐	
l	i	[2]	狸	
l	i	[2]	櫚	
l	i	[2]	驢	1
l	i	[2]	□	～酸:酸脹麻木
l	i	[3]	呂	1
l	i	[3]	屢	1
l	i	[3]	禮	
l	i	[3]	履	1
l	i	[3]	驁	用刀劃
l	i	[3]	李	
l	i	[3]	裏	
l	i	[3]	裏	
l	i	[3]	理	
l	i	[3]	澧	～浦:地名
l	i	[6]	例	
l	i	[6]	厲	
l	i	[6]	勵	
l	i	[6]	麗	美～
l	i	[6]	麗	～水:地名
l	i	[6]	隸	1～皂
l	i	[6]	利	1
l	i	[6]	痢	
l	i	[6]	吏	
l	i	[6]	淚	1眼～
l	i	[6]	莉	
l	i	[6]	咧	
ts	i	[1]	□	～躁:煩躁
ts	i	[3]	姊	
ts	i	[3]	咀	1山～頭:地名
ts	i	[3]	□	麻～:發麻
ts	i	[5]	濟	
ts	i	[5]	劑	
ts	i	[5]	際	
ts	i	[5]	□	得～:發芽
tsʰ	i	[1]	□	～哩笡□lia⁵⁵:凌亂
tsʰ	i	[3]	□	撕
tsʰ	i	[5]	覷	1眯眼看
tsʰ	i	[5]	刺	1
tsʰ	i	[5]	□	呆～:呆愣愣
dz	i	[2]	齊	2
s	i	[3]	璽	
s	i	[3]	徙	
s	i	[3]	髓	
s	i	[5]	四	1
s	i	[5]	肆	1
s	i	[5]	絮	
z	i	[2]	徐	
z	i	[6]	自	1
tɕ	i	[1]	稽	
tɕ	i	[1]	飢	
tɕ	i	[1]	肌	
tɕ	i	[1]	几	茶～
tɕ	i	[1]	基	
tɕ	i	[1]	機	
tɕ	i	[1]	譏	
tɕ	i	[1]	饑	
tɕ	i	[1]	茾	動詞,梳
tɕ	i	[1]	箕	
tɕ	i	[3]	己	
tɕ	i	[3]	幾	～個
tɕ	i	[3]	蟣	
tɕ	i	[5]	計	
tɕ	i	[5]	繼	
tɕ	i	[5]	寄	
tɕ	i	[5]	冀	
tɕ	i	[5]	紀	
tɕ	i	[5]	記	1動詞
tɕ	i	[5]	幾	～乎
tɕ	i	[5]	既	
tɕ	i	[5]	季	
tɕ	i	[5]	嘰	
tɕʰ	i	[1]	溪	2
tɕʰ	i	[1]	欺	
tɕʰ	i	[3]	啓	
tɕʰ	i	[3]	企	
tɕʰ	i	[3]	起	
tɕʰ	i	[3]	杞	
tɕʰ	i	[3]	豈	
tɕʰ	i	[5]	器	
tɕʰ	i	[5]	棄	
tɕʰ	i	[5]	氣	
tɕʰ	i	[5]	汽	
tɕʰ	i	[0]	覷	2想想～:想想看
dʑ	i	[2]	奇	
dʑ	i	[2]	騎	
dʑ	i	[2]	歧	
dʑ	i	[2]	祁	
dʑ	i	[2]	其	
dʑ	i	[2]	棋	
dʑ	i	[2]	期	
dʑ	i	[2]	旗	
dʑ	i	[2]	祈	
dʑ	i	[6]	技	
dʑ	i	[6]	妓	
dʑ	i	[6]	忌	
ȵ	i	[2]	泥	2
ȵ	i	[2]	宜	適～
ȵ	i	[2]	儀	
ȵ	i	[2]	誼	
ȵ	i	[2]	尼	
ȵ	i	[2]	疑	
ȵ	i	[2]	擬	
ȵ	i	[2]	沂	
ȵ	i	[2]	妮	
ȵ	i	[3]	蟻	3
ȵ	i	[3]	議	
ȵ	i	[3]	女	女～:丫鬟
ȵ	i	[6]	藝	
ȵ	i	[6]	義	
ȵ	i	[6]	膩	
ȵ	i	[6]	毅	
ɕ	i	[1]	奚	
ɕ	i	[1]	兮	
ɕ	i	[1]	犧	
ɕ	i	[1]	嬉	
ɕ	i	[1]	熙	
ɕ	i	[1]	希	
ɕ	i	[1]	稀	
ɕ	i	[1]	屍	1～骨
ɕ	i	[3]	喜	
ɕ	i	[3]	螭	
ɕ	i	[5]	戲	
ɕ	i	[5]	曉	2～着:知道
ʑ	i	[6]	系	
ʑ	i	[6]	繫	
ʑ	i	[6]	係	
ɡ	i	[6]	□	撕裂聲
x	i	[5]	□	撕裂聲
∅	i	[1]	伊	
∅	i	[1]	醫	
∅	i	[1]	衣	1
∅	i	[1]	依	
∅	i	[1]	萁	莨～:蕨
∅	i	[1]	□	又
∅	i	[2]	攜	
∅	i	[2]	移	
∅	i	[2]	夷	
∅	i	[2]	姨	1
∅	i	[2]	肆	
∅	i	[2]	遺	
∅	i	[2]	宜	便～
∅	i	[2]	飴	
∅	i	[3]	椅	2
∅	i	[3]	已	
∅	i	[3]	以	
∅	i	[3]	矣	1
∅	i	[5]	易	1容～
∅	i	[5]	意	
∅	i	[5]	憶	
∅	i	[5]	億	
∅	i	[5]	衣	2花生～
