	注释：-白读，=文读
#a	
p	[1]巴芭疤[3]把[5]霸坝{平川}
pʰ	[2]耙琶{琵～}杷{枇～}爬□{划，～船}[5]怕[6]罢
m	[1]妈[2]麻蟆{虾～}[3]嫲{祖母}[5]马码[6]骂
f	[1]花[2]华桦[5]化[6]画{画～}
v	[1]蛙洼[6]话
t	[3]打
tʰ	[1]他
n	[1]□{粘在一起}[2]拿[3]那哪[5]乸
l	[5]罅{缝儿}
ts	[1]楂渣抓[3]者[5]炸诈榨
tsʰ	[1]岔差{～别；参～}[2]茶搽查[6]乍
s	[1]沙纱[3]洒耍
k	[1]家加嘉瓜[3]寡假{真～}贾{姓}[5]假{放～}驾架嫁价挂卦
kʰ	[1]夸跨垮[3]剐□{～住，挂住了}
ŋ	[2]牙芽衙[3]□{小孩子}瓦[5]雅讶[6]□{～地方，占地方}
h	[1]虾哈[2]霞瑕遐[5]下{底～}[6]夏厦下{～降}
∅	[1]亚鸦丫阿[3]哑
#ai	
p	[3]摆[5]拜
pʰ	[2]排徘牌[5]派[6]败
m	[2]埋[5]买[6]迈卖
f	[5]快筷块[6]坏
v	[1]歪[2]怀槐淮
t	[1]呆[5]带戴
tʰ	[3]肽汰[5]太态泰[6]大
n	[5]奶乃[6]奈耐
l	[1]拉[2]□{疲倦}[5]癞[6]赖荔
ts	[1]斋[5]债
tsʰ	[1]猜钗差{出～}搓[2]柴豺蔡[6]寨塞{～外}
s	[1]嘥{浪费}[2]□{好色，饿}[3]玺徙[5]赛晒[6]□{牙～粉，形容人嘻皮笑脸}
k	[1]皆阶佳街乖[3]拐解[5]介芥尬{尴～}疥届诫怪界[6]□{衣不扣钮}
kʰ	[1]㧡[3]楷
ŋ	[2]涯{天～}崖{山～}[6]刈
h	[1]揩[2]孩鞋谐[5]蟹[6]懈械系係
∅	[1]埃挨[3]矮
#au	
p	[1]包胞鲍煲[3]饱保堡宝[5]报
pʰ	[1]抛[2]刨袍[3]跑[5]泡炮抱[6]豹爆曝瀑暴
m	[2]毛茅矛髦[3]□{别，不要}□{推}耗=[5]卯冇铆[6]冒帽貌
t	[1]刀叨[3]岛捣倒祷[5]到[6]□{～眼，斜视}
tʰ	[1]滔韬[2]桃逃淘陶萄掏涛[3]讨导[5]套[6]盗道稻
n	[1]恼-[2]挠[3]脑恼=[6]闹
l	[1]捞{～油水}[2]劳唠牢[3]老佬[6]涝
ts	[1]遭糟[3]早枣蚤找爪[5]罩灶[6]□{～一眼，略看一眼}
tsʰ	[1]操抄钞[2]曹嘈{吵}槽巢[3]炒草[5]躁澡燥糙[6]造皂
s	[1]骚搔搜飕梢捎臊[3]稍嫂叟[5]扫
k	[1]高膏篙羔糕交郊胶跤鲛[3]稿蒿搞犒饺绞狡饺校{～对}皎搅[5]教较窖告觉{睡～}䊆{一～，一块}
kʰ	[1]敲[3]考烤拷巧=[5]靠铐
ŋ	[2]淆肴熬[5]咬[6]傲遨
h	[1]耗-号{呼～}[2]豪毫壕[3]好{～坏}[5]好{喜～}孝酵[6]浩号{～数}效校{学～；上～}
∅	[3]拗[5]奥懊{～诲}坳袄凹
#am	
t	[1]担{～任}耽眈[3]胆担{挑～}
tʰ	[1]贪[2]潭谭谈痰昙[5]淡探[6]啖淡{～水，地名}
n	[2]南男□{～～长，形容很长}[3]□{想}□{伸开手指度量}[5]腩□{箍}
l	[1]□{竹～，竹筐}[2]蓝篮褴婪[3]揽榄{橄～}[5]览舰滥[6]缆
ts	[1]簪錾{～花}[3]斩□{牙～～，多嘴}
tsʰ	[1]参渗[2]搀谗馋蚕惭□{牙～～，凸出来，不齐}[3]惨[5]杉[6]站
s	[1]衫三
k	[1]橄{～榄}甘柑泔蚶酣尴监{～牢}[3]憨敢减感[5]监{～督}鉴[6]□{水蓝水～，形容稀}□{～～解解，形容说话不正}
kʰ	[1]勘堪[3]嵌砍坎
ŋ	[1]啱{合适}[2]岩癌□{啰嗦}
h	[2]含函衔咸[5]喊=[6]憾撼陷馅
∅	[2]□{打～只，小孩捉迷藏时打照面}
#an	
p	[1]班斑颁[3]板版扳[5]袢
pʰ	[1]攀[5]盼[6]扮瓣办
m	[2]蛮[3]晚[6]万漫幔馒慢蔓曼
f	[1]番翻蕃[2]烦繁藩凡梵帆[3]反[5]贩幻[6]泛患宦范犯饭
v	[1]弯湾[2]还{～原；～有}环[5]挽
t	[1]丹单{～独}[5]旦诞
tʰ	[1]滩摊檀坛弹{～琴}[3]毯坦[5]炭叹[6]但弹{子～}蛋
n	[2]难{～易}[6]难{患～}
l	[2]兰栏拦[3]□{毛线}[5]懒僆{鸡～，尚未下过蛋的母鸡}[6]烂
ts	[1]□{顽～，形容小孩不听话}[3]盏[5]赞
tsʰ	[1]餐[2]残[3]产铲[5]灿[6]赚栈撰
s	[1]山删珊栅姗疝闩[3]散{零星，不集中}[5]散{分～}伞
k	[1]间{一～}关鳏奸[3]简裥涧茧趼笕枧柬拣[5]惯谏间{～断}
kʰ	[3]刊{1}[6]□{背}
ŋ	[1]奀{瘦弱}[2]颜顽[5]眼[6]玩{古～，游～}雁
h	[1]□{节俭}[2]闲还-{～有}[3]很{1}狠[6]恨限
∅	[5]晏
#aŋ	
p	[1]㧍{拉}
pʰ	[1]□{臭～～，臭烘烘}□{米～，爆米花}[2]棚彭膨庞[3]□{饭～，金属饭盒}[5]□{空}棒
m	[1]掹{拔}[2]盲氓[5]猛
v	[2]横轰[3]□{事情搞坏了}[6]□{丢}
l	[5]冷
ts	[1]争筝睁[3]□{发猛～，耍性子，多指小孩}
tsʰ	[1]罉{瓦～，沙锅}[5]撑[6]绽□{贪吃}
s	[1]生牲笙甥[3]省
k	[1]更{～换，五～}庚羹耕[3]茎埂梗[5]径□{用脚翻动}
kʰ	[1]□{洞}[3]鲠[5]□{绊脚}
ŋ	[6]硬
h	[1]坑[2]行{～为}[6]行{品～}
∅	[1]罂[3]□{打棍子}[5]□{～好，再好}
#ap	
t	[7]答搭[8]耷
tʰ	[7]榻塌塔[8]踏
n	[7]□{扣留}□{发夹}[8]纳
l	[7]□{跨}[8]腊蜡
ts	[7]眨洽恰
tsʰ	[7]插[8]闸杂什{1，～物}煠{煮薯类}
k	[7]夹挟{～菜}甲胛合{十～一升}[8]□{溢}
kʰ	[8]□{咬}
ŋ	[7]□{石～，石级}[8]□{摇摇～～，摆晃，松动}
h	[7]□{老叶}[8]合
∅	[7]鸭押-[8]□{男性生殖器官}
#at	
p	[7]八[8]□{～命，挣扎}
pʰ	[8]拔钹□{番石榴}
m	[7]抹[8]袜
f	[7]发法[8]乏伐筏罚
v	[7]挖[8]滑猾
t	[7]□{竹～，竹编而成用于晒东西的器物}□{个kɔi213～，那里}
tʰ	[7]□{偷}[8]达
n	[7]□{～手，烫手}
l	[7]癞{饭～，锅巴}[8]辣
ts	[7]扎轧
tsʰ	[7]察擦獭{水～}[8]□{蜞kʰi22～，蟑螂}
s	[7]萨杀撒
k	[7]括刮[8]□{屈指敲头}
kʰ	[7]克扣[8]□{～火柴，划火柴}
ŋ	[7]□{咬}□{臭～，烧骨头等的气味}[8]□{压，轧}
h	[8]瞎辖核{审～；果子～}
∅	[7]押压
#ak	
p	[7]百柏伯
pʰ	[7]拍帕泊魄[8]白帛
m	[7]□{掰开}□{生菜}唛{～头，商标}[8]麦脉陌
f	[7]□{摆动}
v	[7]□{生～～，活生生}[8]划画{笔～}
n	[7]□{玩}[8]捺
l	[8]肋
ts	[7]责摘窄侧铡仄[8]笮{压}
tsʰ	[7]策册拆测恻[8]泽择宅翟
s	[7]色□{分两～，分两边}
k	[7]格革隔
kʰ	[7]□{卡住}
ŋ	[7]呃
h	[7]吓客[8]核{睾丸}
∅	[7]鈪{镯子}
#ia	
p	[3]啤□{不好}
pʰ	[1]□{扑克}[3]□{不正}[5]□{放～来，乱来}
t	[1]爹[3]嗲
ts	[1]遮[3]姐[5]借蔗
tsʰ	[1]车[2]邪斜[3]且扯[6]谢藉
s	[1]些奢赊佘{姓}[2]蛇[3]写捨{～得}[5]泻卸舍{宿～}社赦[6]射麝
ȵ	[5]惹
∅	[2]耶椰爷[3]□{搔}□{—～米，一把米}[5]野冶[6]夜
ʔ	[3]□{～～叫，哇哇叫}
#iau	
p	[1]褒
pʰ	[3]剖
m	[2]谋[5]某亩[6]茂贸牡谬
f	[2]浮[3]否[6]阜埠吠=
t	[1]兜蔸[3]斗{一～}抖陡纠{1}[5]鬥{奋～}[6]□{～泥，差劲}
tʰ	[1]偷[2]投头[3]敨{歇}㪗{歇}[5]透[6]豆逗窦
n	[3]纽
l	[1]褛[2]捞{打～}楼[3]篓缕搂[6]漏陋
ts	[1]邹[3]走[5]奏凑=皱绉-
tsʰ	[1]□{提}[2]愁=[3]□{一～，一串}[5]凑-[6]骤
s	[1]馊{饭～}[5]嗽{咳～瘦}[6]□{烂～～，形容很破烂}
k	[1]勾钩沟鸠阄{拈～}[3]狗苟[5]够垢媾构购
kʰ	[1]抠[2]□{蹲}[5]扣寇叩{～头}窍
ȵ	[2]牛□{稠}[3]□{抖动}[5]藕偶
h	[2]侯喉猴[3]口[5]厚-[6]后厚=候
∅	[5]怄
ʔ	[1]欧瓯殴[3]呕[5]沤{久浸水中}
#iam	
t	[6]□{跺脚}
n	[1]□{胳肢}[2]腍{食物松软}[3]□{愚弄}
ts	[3]□{从上往下围圈，套}
tsʰ	[1]□{跳}[6]□{溺水}
s	[1]森参[3]糁{猪食}
k	[5]□{液体的量具}
kʰ	[2]□{～～青，急促}[3]冚
h	[1]喊-[3]□{双～炮，响两次的鞭炮}[6]□{～盅，连盖的炖盅}
ʔ	[1]庵龛揞谙[3]□{望、瞧}[5]暗黯
#iaŋ	
p	[1]崩绷[3]饼丙-[5]柄偋{藏}
pʰ	[1]烹[2]瓶朋凭[3]□{大片}[6]病-
m	[2]萌铭-名-盟-[3]□{休克}[6]孟命
f	[2]弘宏[6]□{～路，绕道}
t	[1]钉灯登瞪[3]等[5]凳订-
tʰ	[1]厅[2]腾藤滕誊[5]听-艇[6]邓
n	[1]□{疤～，疤痕}[2]能
l	[2]零-灵-铃-伶-拎-翎-鲮[5]领-岭靓[6]另-
ts	[1]曾{姓}增憎僧睛[3]井[5]□{倒着晾干}
tsʰ	[1]青蜻[2]晴曾{～经}层橙澄-[3]请-[6]净-赠郑
s	[1]星-腥-声-[2]城-诚-成-[3]醒-[5]性-姓-
k	[1]惊-[3]耿迥颈□{当然}[5]更{～加}镜
kʰ	[2]擎
h	[1]亨轻-氢[2]衡恒[3]肯[6]幸杏
∅	[1]□{～线，绕线}[2]赢-[3]影-
ʔ	[1]莺
#iap	
t	[8]□{～落，塌下}
tʰ	[8]沓{一～纸}
n	[7]□{肥胖}
l	[7]□{筐}
ts	[7]□{有得～，有得捞}[8]□{一～，一撮}
s	[7]涩
k	[7]鸽
kʰ	[7]□{～水，用桶打河水}[8]□{～～ȵiɔŋ35，发抖}
h	[7]磕{～头}䐦[8]阖{～门}
ʔ	[7]□{～药，敷药}[8]□{沤}
#iak	
p	[7]北壁
pʰ	[7]劈[8]卜{罗～}
m	[7]□{黑～～，黑洞洞}[8]墨默
f	[8]获或惑
t	[7]得德[8]□{～佢走，赶他走}
tʰ	[7]踢[8]特籴笛
n	[7]□{掐}□{刺}[8]逆-□{～糍，有馅的糍粑}
l	[7]呖坜[8]肋勒沥
ts	[7]鲫-则炙隻{一～，一个}
tsʰ	[7]尺赤[8]贼
s	[7]锡塞啬鹊[8]石
k	[7]国
kʰ	[7]刻克[8]剧屐
ȵ	[8]额
h	[7]黑赫
∅	[8]□{～手，招手}
ʔ	[7]握扼轭
#ɛ	
∅	[3]隘缢噎
#ɛn	
∅	[1]烟恩胭洇殷湮[3]□{～肚，腆肚子}
#iɛ	
p	[1]跛{～足}[5]蔽敝闭
pʰ	[1]批[6]稗秕弊毙币陛{～下}
m	[2]迷谜[3]米
f	[5]费肺废
v	[6]卫
t	[1]低[2]□{说}[3]底抵[5]涕-帝[6]□{ti22ti22～～，唠唠叨叨}
tʰ	[1]梯[2]堤题提蹄啼[3]睇体[5]替剃屉涕=[6]弟第递隶
n	[2]泥尼{～龙}妮
l	[2]犁黎[5]礼[6]丽例厉励
ts	[1]□{瘦弱}□{手茧}[3]仔[5]剂济挤祭际制
tsʰ	[1]妻凄栖[2]齐[6]滞
s	[1]西犀师狮筛□{舐}[2]□{打}[3]洗使史驶[5]细婿世势[6]事士仕柿
k	[1]鸡闺=规=[5]计继桂{2}
kʰ	[1]溪稽[3]启[5]契
ȵ	[6]艺毅
h	[1]□{女阴}
