#z̩
tɕ	[1]抓[3]爪
tɕʰ	[2]瘸
ɕ	[1]靴[2]耍?{偷}[3]䵘{不粘、不易控制}耍[5]刷
0	[1]曰𦚢{手發～}[2]挼
#o
p	[1]波菠玻[3]播跛[5]簸
pʰ	[1]坡[2]婆[5]破剖
m	[1]墓牡磨拇[2]摩模磨蘑魔[3]畝母牡某沫[5]貿募慕茂[0]姆
t	[1]多[3]躲朵[5]剁惰
tʰ	[1]垛大-拖舵[2]沱砣馱駝[3]妥
n	[1]囉糯螺摞[2]挪籮羅腡蘿螺鑼[3]剆努裸[5]怒懦那[0]呶
k	[1]咕哥戈歌過鍋過[3]果裹股{屁～}菰{茨～}䴹[5]個哿過
kʰ	[1]棵痾科窠[3]可痾{小皰}[5]課錁
x	[1]䏨?{腫起}呵灰?{～堆}炣禍賀歡{～喜}[2]㲦{汗毛}䗙何和回{～頭：等一會}河荷[3]夥火[5]和貨
ts	[3]左[5]做
tsʰ	[1]坐座搓妯[2]矬[5]錯挫銼
s	[1]䞭唆嗦梭睃蓑[2]睃[3]所瑣鎖
0	[1]安{～頓戶兒}屙窩蝸阿餓[2]訛鵝蛾娥丸[3]我=[5]臥
#ɛ
p	[1]爸[3]擺[5]別嫑拜
pʰ	[1]䟺敗呸[2]排牌[5]派呸
m	[1]賣[2]埋[3]買□{打人}[0]邁
v	[1]外-歪歪{河～}[2]懷-{胸口}[3]崴扤𦨉[5]外=
t	[1]呆襶[3]逮歹𠯪[5]帶待=戴逮
tʰ	[1]代大-待-怠汏汰紿{下垂}胎袋苔{青～}[2]臺抬[3]呔奤大+[5]太態
n	[1]䐯咧癩耐褦賴[2]倈來[3]咧垃奶[0]唻
k	[1]摡枷秸街-該階賅[3]改解-[5]介戒械概界蓋
kʰ	[1]開揩[2]䬵{～氣}[3]楷凱[5]隑
x	[1]亥害-懈解{姓}[2]孩還={～眼}鞋𠹛[3]海蟹[5]害=
ts	[1]哉齋栽災[3]宰載者[5]債再
tsʰ	[1]在差猜襜?𠏾[2]才財材裁[3]䜺彩睬踩採且[5]菜蔡
s	[1]塞篩鰓腮揌[2]啥{堤東話}柴邪[5]賽射社曬
0	[1]埃挨礙艾哀[2]呆捱[3]矮[5]愛唉
#iɛ
tɕ	[1]街=階=[3]解=
tɕʰ	[3]且=
ɕ	[2]鞋=[3]寫=[5]些=瀉=謝=
0	[3]也=野=
#uɛ
k	[1]乖[3]拐[5]怪
kʰ	[1]擓[3]擓[5]會塊快筷
x	[1]壞[2]懷=槐淮踝[3]㩓甩?
#yɛ
tɕ	[2]跩{傲慢}[3]跩[5]拽
tɕʰ	[1]揣[3]揣[5]搋膪踹
ɕ	[1]摔膗衰[2]□{～斥，責備}[3]摔甩[5]帥率
#ɔ
p	[1]包寶胞[3]保堡寶飽[5]㿺報抱=暴曝瀑豹趵
pʰ	[1]刨庖抱-泡脬[2]袍跑[5]奅泡炮
m	[1]䤓冒-帽[2]毛貓茅蟊髦[3]㴘卯覒[5]冒=貌
t	[1]刀叨朵[3]倒搗禱[5]倒到導朝道=
tʰ	[1]叨掏滔盜稻道-[2]桃淘逃[3]討[5]套
n	[1]孬撈鬧[2]勞嘮撓撈澇牢癆[3]佬惱老腦
k	[1]叫-教-篙糕膏茭高鮫[3]攪-搞杲稿[5]告斠窖膏覺酵
kʰ	[1]拷敲蹺[3]烤考[5]犒靠
x	[1]號-蒿薅[2]嚎毫豪[3]好[5]號=好耗
ts	[1]招朝糟遭[3]找早棗沼澡爪蚤[5]竈照笊罩躁燥
tsʰ	[1]抄皁譟趙-超造-[2]嘈曹朝槽漕潮𤵥[3]吵炒草[5]糙造=
s	[1]梢燒稍騷[2]少?捎睄[3]嫂少掃[5]哨少掃潲睄肖鹺𢜶
z	[1]繞-[2]饒[3]擾繞{～彎子}[5]繞=
0	[1]傲-螯[2]熬鏖[3]咬懊[5]傲=奡扷拗擙
#iɔ
p	[1]標瞟膘[3]婊表
pʰ	[1]飄[2]嫖瓢[3]飄[5]票鰾
m	[1]廟[2]苗
t	[1]刁叼雕[3]屌[5]吊掉=調=釣
tʰ	[1]挑掉-調-銚[2]條調[3]挑斢[5]跳
n	[1]尥撂敹料[2]㞠僚撩燎鰷?鰷[3]了鳥[5]尥?
tɕ	[1]交嬌椒澆焦[3]敽絞[5]叫教-較
tɕʰ	[1]撬繰蹺轎鍬[2]喬憔橋翹[3]巧悄[5]俏竅翹
ɕ	[1]宵枵消肖蛸銷𢳚𣻏[2]餚[3]小曉[5]咲孝笑
0	[1]吆唷妖腰要闄[2]搖窯謠遙[3]仸夭[5]葽要
#ɤɯ
t	[1]兜吺[3]抖鬥陡[5]鬥
tʰ	[1]偷豆[2]頭投[5]透
n	[1]漏鰳[2]樓螻[3]㧕簍
k	[1]勾溝鉤[3]狗苟[5]夠
kʰ	[1]扣摳瞘[2]剾[3]口[5]扣
x	[1]侯厚-後[2]喉流?猴瘊齁[3]吼[5]䞧厚=
ts	[1]周州謅[2]㥮[3]帚縐肘走[5]咒皺
tsʰ	[1]抽[2]愁抽籌[3]丑醜[5]湊臭
s	[1]受壽收餿[3]守手首[5]瘦色?
z	[5]肉{～頭：脾氣倔，有事難商量}
0	[1]熰[2]牛-𧉖[3]嘔藕[5]慪漚
#iɤɯ
m	[5]謬
t	[1]丟
n	[1]溜熘蹓[2]䗜榴流牛=留瘤[3]扭柳[5]忸拗
tɕ	[1]揪灸疚糾鬮鬏鳩[3]久九酒[5]㰶㾭就=救[0]究
tɕʰ	[1]丘就-秋臼舅鰍[2]仇囚揂求球虯[3]搝糗
ɕ	[1]修脩[5]秀繡袖
0	[1]優又右憂悠[2]油遊由蚰*[3]友有酉[5]幼
#iɪ
p	[1]悲杯碑背[5]倍備背臂被=貝輩避
pʰ	[5]佩匹呸配=
m	[1]昧-[2]媒=梅棉-煤眉=綿脢黴=[3]每美[5]妹=昧=
f	[1]非飛[2]肥[5]䉬廢肺費
v	[1]爲位味威未煨萎[2]爲危喂圍圩微維違[3]尾痿葦[5]畏胃
t	[3]尐
n	[3]你娌
#uɪ
t	[1]堆=[5]對=隊=
tʰ	[1]推=[2]頹[3]腿=[5]退=
n	[2]累=雷=
k	[1]歸規龜[3]癸軌鬼[5]桂貴
kʰ	[1]虧櫃跪[2]奎葵魁[5]潰
x	[1]會灰燴[2]回蛔[3]悔[5]惠慧晦檜
#yɪ
tɕ	[1]追[3]嘴[5]罪=贅
tɕʰ	[1]催=吹[2]槌[5]翠
ɕ	[2]隨=[3]水=[5]歲=睡
#ə
m	[1]沒
t	[3]嘚
s	[3]什
#iɪ̃
p	[1]煸邊鞭鯿[3]匾扁籩[5]便=變弁
pʰ	[1]便-偏篇辮[2]便=[5]片騙
m	[1]面-[2]棉=綿[3]免[5]面=
t	[1]癲顛[3]點[5]店殿電踮
tʰ	[1]墊天添[2]填甜田[3]舔[5]㐁掭
n	[1]念楝練[2]簾年憐聯蓮連鐮鰱黏[3]捻臉[5]戀黏
tɕ	[1]前堅尖搛煎肩[3]儉剪檢趼[5]毽見鍵
tɕʰ	[1]千牽籤賤踐[2]前撏錢[3]淺[5]欠芡
ɕ	[1]䘆仙先掀現-鍁鮮[2]嫌弦賢[3]顯蜆險[5]憲燹獻現=線
ts	[1]佔沾[3]搌[5]戰
tsʰ	[1]纏[2]纏[5]纏
s	[1]搧苫[3]閃[5]善扇苫騸
z	[2]然[3]染
0	[1]咽堰煙胭醃驗[2]嚴檐沿炎鹽芫言[3]偃厴掩魘[5]䞁宴焰
#æ̃
p	[1]扳斑爿班[3]板瓪[5]瓣瓪絆
pʰ	[1]辦拚攀[2]湴爿[5]盼
m	[1]慢曼?蠻[2]蠻?蠻[5]漫=
f	[1]幡犯-番翻範飯-[2]凡煩繁[3]反[5]㽹泛犯=範販飯=
v	[1]萬彎[2]玩[3]彎挽捾?晚[5]彎畈
t	[1]丹單擔耽[3]䋎撣膽[5]但彈擔蛋=
tʰ	[1]坍擔攤淡灘蛋-貪[2]檀談[3]啖坦[5]嘆探?{慢慢地倒下}探=炭
n	[1]濫爛難[2]蘭南=嵐攔漤籃難[3]兩+懶攬罱[5]難
k	[1]尷乾=甘=間-[3]揀杆稈襉[5]㔋?幹間-
kʰ	[1]鉛顑?鵮[3]坎=檻砍=[5]嵌看=
x	[1]憨旱=汗=粯莧限-陷-[2]含=鹹寒=[3]喊[5]漢
ts	[1]劗[3]㜺嶄斬[5]湛站蘸
tsʰ	[1]䱗孱攙暫-[2]殘[3]產鏟[5]孱懺
s	[1]三山衫[2]饞[3]傘散饊[5]散
0	[1]安=胺鞍[2]䶠啽顏[3]眼-[5]晏暗=案=
#iæ̃
tɕ	[1]奸監間=[3]減鹼簡
ɕ	[2]閒[5]限=陷=
0	[3]眼=
#uæ̃
k	[1]關[5]慣
kʰ	[1]摜[2]環蜷
x	[2]還[5]患
#yæ̃
tɕ	[1]㔍跧[5]撰賺
tɕʰ	[5]𢺟
ɕ	[1]刪赸[5]摌涮
#õ
p	[1]搬[5]半
pʰ	[1]伴拌[2]盤[5]判
m	[1]漫-蹣?蹣[2]瞞鞔饅[3]滿
t	[1]瓭端耑[3]短[5]斷=段=籪鍛*鍛
tʰ	[1]斷-段-[2]團罈[5]探-毻
n	[1]亂[2]南-呥男鸞[3]卵攬暖
k	[1]倌冠官乾-棺甘-肝觀[3]擀-管趕-館[5]灌罐貫鸛
kʰ	[1]寬看-龕[3]冚坎-款砍-{～頭瘡}[5]看-
x	[1]換旱-汗-獾蚶[2]含-寒-涵[5]熯瘓
