#a
p[1]包疤爸拍{~工：打工}[3]阿饱百伯把拍
ph[3]拍
t[1]□{渴}[3]踏搭□{舔}[5]踏
th[3]塔[5]踏
l[1]拉[2]萝-{~卜}腊=蟧{~䗁：蜘蛛}
ts[1]姐{瓯语借词}[2]杂闸[3]早扎
tsh[1]差[2]柴[3]插擦[4]炒
s[2]煠{煮}
k[1]教[2]茄[3]铰甲
kh[1]骹{脚}[3]甲[5]敲
g[4]咬
h[2]□{打结}[5]下匄{给，瓯语借词}□{与}
∅[2]黄{~昏：晚上，疑似瓯语借词，原资料无字}[3]鸭[5]下{~更：下午}

#ɔ
p[2]雹[4]晡哺[5]布步
ph[1]铺[3]扑谱[4]簿
b[1]摸[2]牡[3]某[5]墓幕
t[2]图徒[3]赌[4]杜肚[5]大=道
th[3]土[5]兔吐
ts[1]租[3]左
tsh[5]醋
S[5]数
l[2]如螺{~钉}卢鸬[3]吕[5]路类露璐□{~乌：乌鸦}
ts[3]左
k[1]姑菇高[2]糊[3]牯果古股[5]故
kh[1]箍[3]考苦[5]裤库
g[2]吴[3]五□{~爪：鸟爪}
h[1]呼[2]湖[3]虎[4]户雨
∅[1]乌{黑}胡[2]壶[3]屋[5]芋

#ə
p[2]绑缚[3]北腹□{认识}
ph[2]皮曝{晒}[4]被[5]配{菜肴}
b[2]末密墨木目□{~~：常常}
t[2]达毒夺[3]短
th[1]脱踢读[2]头-{~壳：头顶}涂[3]土[4]特=
l[2]栗力鹿六驴
ts[2]十贼[3]卒
tsh[2]贼[3]测策
s[3]虱宿室
k[3]各角国谷合
kh[3]壳
h[2]核盒[3]福
g[2]鹤
∅[2]盒[3]恶

#e
p[2]爬白[3]把=柏擘{剥开}
Ph[3]趴
b[2]麦脉[3]马麻[5]味□{保~：保护}
t[2]茶[3]□{压}[5]弟
Th[1]撑-{~伞}
ts[3]叔蜀-{~百~千}[5]制
tsh[1]车初
s[1]痧[5]世
k[1]家[3]假格隔改-{土~}[5]嫁
kh[1]开[2]克{扑~}[3]客
g[2]个牙[5]艺
h[2]虾[3]瞎[5]夏
∅[3]哑扼[5]下

#ɵ
p[1]飞[2]赔[5]坝
b[2]袜沫{稀饭}[3]尾[5]妹
t[3]短[5]袋
th[1]胎
l[2]螺{田~}骡
ts[4]坐罪[5]过
tsh[1]吹[3]缺出[5]☑{~死：自杀}□{寻找}
s[1]刷[2]□{转圈}[3]雪涮
g[2]月
k[3]馃{年糕}
Kh[3]瞌
h[1]灰-[2]和回-[3]火[5]货岁-

#o
p[2]婆佛薄□{□ia5~：蝴蝶}[3]宝拨剥保
ph[4]抱
b[2]无[3]慕[5]磨帽
t[1]刀佗{哪}[2]□{撕}[3]桌[5]大到倒
th[1]拖=[2]逃桃塗{~都：花生}迌[3]讨
l[2]罗锣落萝=[4]老[5]□{长}
ts[2]昨[3]作枣[5]造罩族
tsh[1]戳=[2]错[5]挫
s[1]□{擀面}[2]镯[3]嫂锁所索唢[5]数皂
k[1]哥锅郭[3]稿
kh[1]窟[3]可[4]靠
g[2]熬[4]饿
h[2]河荷[3]好[4]祸号
∅[1]莴[2]学[3]恶{难}[5]岙

#i
p[3]比[5]币闭
ph[1]批[2]鼻
b[2]蔑[3]米[5]味
t[1]低知[2]碟池迟=□{掐}[5]递治渧帝蒂
th[1]梯[3]剃铁[5]嚏
l[2]梨=裂[3]李礼鲤[5]痢
ts[2]舌荠匙[3]紫子鲫筝[4]姊
tsh[2]鹚[3]□{□tshua~：闪电}[4]市[5]刺寺饲
s[1]丝祠[2]时协[3]死[5]四
z[2]□{按压}[5]二字
k[1]饥支箕□{倚靠}[2]棋骑渠知-迟-旗其琪蜞[3]乞[5]志痣记既
kh[2]起[3]齿[4]柿[5]契器气
g[2]宜[5]义
h[1]希[2]协[3]耳喜[5]戏
∅[1]衣伊{他}[2]移姨[3]椅倚以[5]意系又

#ɯ
t[1]猪[2]除锄[4]伫{在}[5]箸
l[3]女汝你
ts[1]书资之芝知{~了}[2]薯{番~囝：马铃薯}[3]子紫煮[5]住
tsh[3]鼠取
s[1]师=[2]徐[3]水-{瓯语借词}黍使[5]自事试
k[3]举[5]锯
kh[5]去
h[2]鱼余[3]许{那}

#u
p[2]蒲{~桸：瓢}[5]菢{孵}
ph[2]浮蒲
b[2]无[3]武母=[4]物[5]雾
Th[3]戳-
