漢字	聲部	韻部	調類	聲-值	韻-值	調-值	釋義
䒶	透	先	陰平	tʰ	in	1	古文天字
仙	心	先	陰平	s	in	1	神仙
偏	滂	先	陰平	pʰ	in	1	不正也
僊	心	先	陰平	s	in	1	同上(神仙)
儃	照	先	陰平	tʃ	in	1	態也又回不進也
先	心	先	陰平	s	in	1	前進又始也
先	心	先	陰去	s	in	5	先之也
千	清	先	陰平	tsʰ	in	1	十百曰千
堅	見	先	陰平	k	in	1	實也
填	端	先	陰平	t	in	1	病也詩哀我填寡音臣詩孔填不寧
填	透	先	陽平	tʰ	in	2	塞也又鼓聲
天	透	先	陰平	tʰ	in	1	積陽氣而上浮者也
嫣	以	先	陰平	j	in	1	笑貌
巔	端	先	陰平	t	in	1	巓山頂也
幵	見	先	陰平	k	in	1	姓
愆	曉	先	陰平	h	in	1	過失也
戔	精	先	陰平	ts	in	1	戔戔淺少之貌
扁	滂	先	陰平	pʰ	in	1	小舟也
扁	幫	先	陰上	p	in	3	不員貌又脾扁
掀	曉	先	陰平	h	in	1	以手髙舉
搴	曉	先	陰平	h	in	1	拔取也
旃	照	先	陰平	tʃ	in	1	通白之器又解曰之
枅	見	先	陰平	k	in	1	木名
枅	見	威	陰平	k	ɐi	1	柱上橫木承棟者
歅	以	先	陰平	j	in	1	九方歅善相馬者即九方臯也
毡	照	先	陰平	tʃ	in	1	同上(以毛爲物曰氊)
氊	照	先	陰平	tʃ	in	1	以毛爲物曰氊
汧	見	先	陰平	k	in	1	汧渭秦地也
湔	精	先	陰平	ts	in	1	湔洗
滇	端	先	陰平	t	in	1	地名又姓
烟	以	先	陰平	j	in	1	同上(煙霧火煙)
焉	以	先	陰平	j	in	1	何也
焉	日	先	陽平	ɲ	in	2	語助詞
煎	精	先	陰平	ts	in	1	熬煎
煙	以	先	陰平	j	in	1	煙霧火煙
燕	以	先	陰平	j	in	1	國名
燕	以	先	陰上	j	in	3	鳥名
燕	以	先	陰去	j	in	5	燕飲又安也
牽	曉	先	陰平	h	in	1	連也引也
犍	見	先	陰平	k	in	1	犍牛
瘨	端	先	陰平	t	in	1	疾也
箋	精	先	陰平	ts	in	1	簡牒
箯	幫	先	陰平	p	in	1	竹輿曰箯
篇	滂	先	陰平	pʰ	in	1	書篇
籛	精	先	陰平	ts	in	1	彭祖姓
籩	幫	先	陰平	p	in	1	籩豆盛黍稷之器
綫	精	先	陰平	ts	in	1	一綫言微也
編	幫	先	陰平	p	in	1	簡編
緶	幫	先	陰平	p	in	1	縫衣曰緶又網巾緶
羶	照	先	陰平	tʃ	in	1	腥羶羊脂也
翩	滂	先	陰平	pʰ	in	1	翩翻又疾飛也
