漢字	石橋	注釋
多	to55	
拖	tʰo55	
他	tsau51	渠，陰上
駝	to13	
舵	to21	
大	ta21	
羅	lo13	
鑼	lo13	
籮	lo13	
左	tso51	
搓	tsʰo55	
歌	ko55	
哥	ko55	
哥	/	
可	kʰo51	
鵝	ŋo13	
我	ŋo51	陰上
餓	ŋo31	
河	xo13	
荷	xo13	
賀	xo21	
茄	tɕia13	
波	po55	
菠	po55	
簸	po21	~一下
簸	po22	~箕
坡	po55	不送氣
破	pʰo21	
婆	po24	
磨	mo24	~刀
磨	mo21	石~
朵	to51	
躲	to51	
糯	no21	
騾	lo13	
螺	lo13	
腡	lo13	
坐	tsʰo51	陰上
蓑	so55	
梭	suaŋ55	例外
鎖	so51	
鍋	tɕʰie55	鐺
果	ko51	
過	ko21	
科	/	
窠	kʰo24	調疑誤
課	/	
火	xo51	
貨	xo21	
和	xo13	~氣
禾	o13	
禍	xo13	
瘸	tɕya31	陽上
靴	/	
巴	pa55	
疤	pa55	
把	pa51	一~
壩	pa21	
怕	pʰa21	
爬	pa13	
杷	pa13	枇~
麻	ma13	
馬	ma51	陰上
罵	ma21	
拿	mo55	訓讀
茶	tsa13	
渣	tsa55	
榨	tsa21	
叉	tsʰa55	
差	tsʰa55	~不多
查	tsa13	
沙	sa55	
紗	sa55	
灑	sua51	
家	ka55	
加	ka55	
痂	ka55	
嘉	ka55	~禾
假	ka51	真~
架	ka21	
嫁	ka21	
價	ka21	
揢	kʰa55	
牙	ŋa13	
芽	ŋa13	
衙	/	~門
蝦	xa55	
嚇	xa21	
下	xa21	去聲，底~
下	xa21	去聲，~山
夏	xa21	~天
鴉	a55	
啞	a51	
姐	tɕia51	母親
姐	tɕia13	姐姐
借	tɕia21	
些	ɕia55	
些	li33	
寫	ɕia51	
瀉	ɕia21	
邪	ɕia13	
斜	tɕia13	
謝	ɕie55	
遮	tɕia55	
蔗	tsa21	
車	tsʰa55	~馬
扯	tsʰa51	
蛇	ɕia13	
射	ɕia21	
賒	ɕia55	
捨	ɕia51	~得
社	/	~日
惹	ɕie51	
爺	ia13	
也	ia31	陽上
野	ia31	陽上
夜	ia21	
耍	sua51	玩~
瓜	kua55	
寡	kua51	
剮	kua51	
誇	kua24	？
垮	kua51	？
跨	kua21	？
{跨}	tɕia21	
瓦	ua31	陽上
花	xua55	
化	/	
划	xua13	~船
補	pu51	
譜	pʰu51	
布	pu21	
鋪	pʰu55	~床
鋪	pʰu21	店~
蒲	pu13	
菩	pu13	
步	pu21	
模	/	
都	xa21	訓讀
