#ɿ
p[31]屄{女阴}[213]比彼鄙妣[35]毙闭秘泌敝弊憋匕
pʰ[31]批披砒[44]皮疲脾啤琵枇毗蚍纰便2{~宜}[213]被{~子}痞□{横削}[35]屁[22]备惫鼻篦避鐾币蔽庇痹
m[44]眉媚楣迷谜1弥靡糜猕[213]米[35]□{喝}[22]谜2
n[44]尼泥梨犁黎藜宜谊倪霓离璃漓篱彝厘狸仪疑拟鳢鲡痢[213]里理鲤锂李[22]例义议泪利莉俐隶丽鹂俪艺厉励吏毅1莅
ts[31]之芝知智蜘支枝肢技吱孜栀姿资咨眵淄辎兹滋□{撕}鸡机饥肌叽矶基箕稽低齑济[213]子籽仔纸抵旨指紫止齿趾址芷梓己几麂挤[35]至致志痣痔置稚制滞记纪忌计剂济季悸偈既暨冀继寄系{~鞋带}髻帝际祭穄{萝~：高粱}屉是{真~}
tsʰ[31]痴欺嗤蚩奚溪妻凄栖[44]池驰弛慈磁糍瓷迟持词祠齐脐荠祁祈辞鳍其棋旗期祺萁{豆~}琪奇骑歧岐题提啼蹄梯[213]是{~不~}此耻企启起岂杞体弟{兄~}[35]次刺翅赐气汽器弃契砌剃[22]自字治寺伺地第递弟{徒~}替
s[31]诗师狮蛳施尸丝咝思司私斯撕嘶厮西牺兮奚嬉嘻犀希稀熙厕[44]时鲥匙[213]史使屎矢始驶柿死喜蟢玺徙[35]四世试逝誓势视{重~}嗜肆戏细系[22]事市视{近~}是{实事求~}巳祀似嗣饲侍示士仕氏
∅[31]衣医移依伊[44]沂颐夷胰姨遗怡贻饴[213]以椅已[35]意亿臆懿忆腻[22]易肄毅2

#i
p[31]悲碑卑
m[31]□{“没有”的合音。没有，无}[44]谋□{拧}[213]美1[22]茂
f[31]飞非菲挥辉妃徽[44]肥[213]匪榧否翡毁[35]废费肺吠[22]慧
v[31]威危[44]为{作~}围韦违苇维惟唯潍微薇圩[213]伪伟纬尾委[35]未卫谓渭畏喂尉慰魏[22]位为{~什么}胃味
t[31]丢兜[213]斗{一~米}抖陡[35]斗{动词}
tʰ[31]偷[44]头投[213]㪗{展开}[35]透[22]豆逗
n[44]楼娄流琉硫留榴瘤馏刘[213]柳篓缕搂垒[35]溜{滑}□{切割}[22]漏类陋
ts[31]周舟州洲邹锥追[213]走帚酒[35]咒奏揍纣昼皱宙
tsʰ[31]秋抽[44]愁仇囚泅酬绸稠筹[213]丑[35]臭凑粹翠脆{干~}[22]就袖
s[31]收修羞馊[44]随谁虽[213]手首守洗[35]瘦秀绣锈兽岁{万~}[22]受授售寿
k[31]勾{~销}沟钩阄[44]渠{他}[213]狗苟韭勾{~当}[35]够构购救究
kʰ[31]丘邱抠眍[44]求球仇{姓}[213]口白舅[35]去{白读}扣寇
ŋ[31]欧殴[44]牛□{~蚣：蜈蚣}[213]偶藕
