id	ini	fn	pt	单字	IPA	注释、
1	t	ɔ	213	多	tɔ213	多少
2	tʰ	ɔ	213	拖	tʰɔ213	拖拉机
3	tʰ	a	213	他	tʰa213	其他
4	tʰ	ɔ	21	駝	tʰɔ21	骆驼
5	t	ɔ	21	舵	tɔ21	舵手
6	t	ai	22	大	tai22	大夫、大黄
7	l	a	21	哪	la21	哪里；哪吒
8	l	a	21	那	la21	那里；那霍（地名）
9	l	ɔ	21	羅	lɔ21	姓
10	l	ɔ	21	鑼	lɔ21	锣鼓
11	l	ɔ	21	蘿	lɔ21	萝卜
12	l	ɔ	21	籮	lɔ21	箩筐
13	tʃ	ɔ	35	左	tʃɔ35	左右
14	tʃ	ɔ	35	佐	tʃɔ35	辅佐
15	tʃʰ	ɔ	213	搓	tʃʰɔ213	搓手
16	k	ɔ	213	歌	kɔ213	唱歌
17	k	ɔ	213	哥	kɔ213	哥哥
18	k	ɔ	33	個	kɔ33	一个
19	h	ɔ	35	可	hɔ35	可以
20	ŋ	ɔ	21	蛾	ŋɔ21	飞蛾
21	ŋ	ɔ	21	鵝	ŋɔ21	天鹅
22	ŋ	ɔ	21	俄	ŋɔ21	俄国
23	ŋ	ai	33	我	ŋai33	我们
24	ŋ	ɔ	22	餓	ŋɔ22	肚子饿
25	h	ɔ	21	荷	hɔ21	薄荷
26	h	ɔ	21	河	hɔ21	黄河
27	h	ɔ	21	何	hɔ21	姓何
28	h	ɔ	21	荷	hɔ21	荷花
29	h	ɔ	22	賀	hɔ22	祝贺
30		a	33	阿	a33	阿哥
31		ɔ	213	阿	ɔ213	阿胶；阿弥陀佛
32	kʰ	ei	21	茄	kʰei21	茄子
33	p	ɔ	213	波	pɔ213	风波
34	p	ɔ	213	菠	pɔ213	菠菜
35	p	ɔ	213	跛	pɔ213	跛足
36	p	ui	33	簸	pui33	簸箕
37	p	ɔ	33	播	pɔ33	播种
38	p	ɔ	213	坡	pɔ213	山坡
39	p	ɔ	213	玻	pɔ213	玻璃
40	pʰ	ɔ	33	破	pʰɔ33	破坏
41	pʰ	ɔ	21	婆	pʰɔ21	外婆
42	p	œk	022	薄	pœk2	薄荷
43	m	ɔ	213	魔	mɔ213	魔术
44	m	ɔ	21	磨	mɔ21	磨刀（动）
45	m	ɔ	21	摩	mɔ21	摩擦
46	m	ɔ	22	磨	mɔ22	石磨（名）
47	t	ɔ	35	朵	tɔ35	一朵花
48	t	ɔ	35	躲	tɔ35	躲避
49	t	øt	033	剁	tøt3	剁猪肉
50	tʰ	ɔ	35	妥	tʰɔ35	妥当
51	tʰ	ɔ	33	唾	tʰɔ33	唾液
52	l	ɔ	22	糯	lɔ22	糯米
53	l	ɔ	21	螺	lɔ21	田螺
54	l	ɔ	21	腡	lɔ21	手指纹
55	l	ɔ	213	囉	lɔ213	啰嗦
56	tʃʰ	ɔ	33	銼	tʃʰɔ33	锉刀
57	tʃʰ	ɔ	33	坐	tʃʰɔ33	请坐
58	tʃ	ɔ	22	座	tʃɔ22	座位
60	ʃ	ɔ	213	梭	ʃɔ213	织布梭
61	ʃ	ɔ	213	唆	ʃɔ213	唆使
62	ʃ	ɔ	35	鎖	ʃɔ35	门锁
63	ʃ	ɔ	35	瑣	ʃɔ35	琐碎
64		uɔ	213	鍋	uɔ213	砂锅；锅铲
65	k	ɔ	213	戈	kɔ213	大动干戈
66	k	uɔ	35	果	kuɔ35	水果
67	k	uɔ	35	裹	kuɔ35	包裹
68	k	uɔ	33	過	kuɔ33	过去
69	f	ɔ	213	科	fɔ213	文科
70	f	ɔ	213	棵	fɔ213	一棵
71	f	ɔ	213	顆	fɔ213	颗粒
72	f	ɔ	33	課	fɔ33	上课
74	ŋ	ɔ	22	臥	ŋɔ22	卧室
75	f	ɔ	35	火	fɔ35	火车
76	f	ɔ	35	伙	fɔ35	伙食
77	f	ɔ	35	夥	fɔ35	伙计，合伙
78	f	ɔ	33	貨	fɔ33	货物
79		uɔ	21	和	uɔ21	和气
80		uɔ	21	禾	uɔ21	禾苗
81		uɔ	22	禍	uɔ22	祸害
82		uɔ	21	和	uɔ21	和诗，唱和
83		uɔ	213	倭	uɔ213	倭寇
84		uɔ	213	窩	uɔ213	鸟窝
85		uɔ	213	萵	uɔ213	莴笋
86	h	œy	213	靴	hœy213	靴子
87	p	a	213	巴	pa213	巴掌
88	p	a	213	芭	pa213	芭蕉
89	p	a	213	疤	pa213	伤疤
90	p	a	35	把	pa35	把柄
91	p	a	33	霸	pa33	霸王
92	p	a	35	把	pa35	把握、一把
93	p	ɐi	213	壩	pɐi213	堤坝
94	p	a	52	爸	pa35	爸爸
95	pʰ	a	33	怕	pʰa33	害怕
96	pʰ	a	21	爬	pʰa21	爬树
97	pʰ	a	21	琶	pʰa21	琵琶
98	pʰ	a	21	杷	pʰa21	枇杷
99	pʰ	a	21	耙	pʰa21	犁耙
100	m	a	21	麻	ma21	麻袋
101	m	a	21	痲	ma21	麻疹
102	m	a	21	蟆	ma21	蛤蟆
103	m	a	35	媽	ma35	妈妈
104	m	a	33	馬	ma33	骑马
105	m	a	33	碼	ma33	码头
106	m	a	22	罵	ma22	骂人
107	l	a	21	拿	la21	拿手；推拿
108	tʃʰ	a	21	茶	tʃʰa21	茶叶
109	tʃʰ	a	21	搽	tʃʰa21	搽药
110	tʃ	a	213	楂	tʃa213	山楂
111	tʃ	a	213	渣	tʃa213	药渣
112	tʃ	a	33	詐	tʃa33	诈骗
113	tʃ	a	33	榨	tʃa33	榨油
114	tʃ	a	33	炸	tʃa33	炸弹
115	tʃʰ	a	213	叉	tʃʰa213	叉腰
116	tʃʰ	a	213	杈	tʃʰa213	枝杈
117	tʃʰ	a	213	差	tʃʰa213	差别
118	tʃʰ	a	213	岔	tʃʰa213	三岔路口
119	tʃʰ	a	21	查	tʃʰa21	调查
120	ʃ	a	213	沙	ʃa213	沙漠
121	ʃ	a	213	紗	ʃa213	纱布
122	ʃ	a	213	砂	ʃa213	朱砂；砂纸
123	ʃ	a	213	痧	ʃa213	刮痧；斑痧
124	ʃ	a	35	灑	ʃa35	洒水
125	k	a	213	家	ka213	成家，老家
126	k	a	213	加	ka213	加工
127	k	a	213	痂	ka213	结痂
128	k	a	213	嘉	ka213	嘉宾
129	k	a	213	傢	ka213	家具
130	k	a	35	假	ka35	真假
131	k	a	35	賈	ka35	姓，贾宝玉
132	k	a	35	假	ka35	放假
133	k	a	33	架	ka33	衣架
134	k	a	33	駕	ka33	驾驶
135	k	a	33	嫁	ka33	出嫁
136	k	a	33	價	ka33	价钱
137	ŋ	a	21	牙	ŋa21	牙齿
138	ŋ	a	21	芽	ŋa21	豆芽
139	ŋ	a	21	衙	ŋa21	衙门
140	ŋ	a	21	蚜	ŋa21	蚜虫（生在豆类、棉花、稻等幼苗上）
141	ŋ	a	33	雅	ŋa33	典雅
142	h	a	213	蝦	ha213	虾蟆（蛤蟆）
143	h	a	213	□	ha213	虾腰
144	h	ɛk	033	嚇	hɛk3	恐吓
145	h	a	21	霞	ha21	朝霞
146	h	a	21	瑕	ha21	瑕疵
147	h	a	213	蝦	ha213	鱼虾
148	h	a	22	下	ha22	下降
149	h	a	22	夏	ha22	春夏
150	h	a	22	厦	ha22	高楼大厦，商厦
151	h	a	22	下	ha22	下面
152	h	a	22	夏	ha22	姓夏
153	h	a	22	暇	ha22	目不暇接，闲暇
154		a	213	鴉	a213	乌鸦
155		a	213	丫	a213	丫头
156		a	213	椏	a213	桠杈
157		a	35	啞	a35	哑巴
158		a	33	亞	a33	亚洲
159	tʃ	ei	35	姐	tʃei35	姐姐
160	tʃ	ei	33	借	tʃei33	借钱
161	tʃʰ	ei	35	且	tʃʰei35	而且
162	tʃ	ei	33	藉	tʃei33	藉故，藉口
163	ʃ	ei	213	些	ʃei213	一些
164	ʃ	ei	35	寫	ʃei35	写字
165	ʃ	ei	33	瀉	ʃei33	腹泻
166	ʃ	ei	33	卸	ʃei33	卸货
167	tʃʰ	ei	21	邪	tʃʰei21	邪气
168	tʃʰ	ei	21	斜	tʃʰei21	斜线
169	tʃ	ei	22	謝	tʃei22	谢谢；姓
170	t	ei	213	爹	tei213	爹娘
171	tʃ	ei	213	遮	tʃei213	遮挡
172	tʃ	ei	35	者	tʃei35	记者
173	tʃ	ei	33	蔗	tʃei33	甘蔗
