[tsɿ{54}]梓
[tsɿ{33}]资疵咨姿滋辎
[tsʰɿ{51}]兹
[tsʰɿ{31}]词祠茨瓷慈辞磁鹚糍恃
[tsʰɿ{54}]紫此
[tsʰɿ{24}]伺
[sɿ{31}]饲嗣
[sɿ{24}]士仕
[sɿ{33}]斯似
[sɿ{42}]事寺巳祀俟侍
[pi{31}]必{～须}
[pi{24}]毙币庇畀陛痹弊避被
[pʰi{54}]鄙痞
[pʰi{33}]譬
[pʰi{42}]婢
[mi{31}]靡
[mi{33}]秘觅
[mi{42}]媚
[ti{31}]笛狄敌涤荻嫡
[ti{42}]递蒂
[ni{31}]霓倪逆匿溺
[ni{54}]拟
[li{31}]立璃篱疬泣历{～史}
[li{24}]丽
[tsi{51}]支芝蜘枝肢栀之
[tsi{31}]绩积迹缉疾集籍寂鲫矢汁值职植殖秩迟匙{～羹}
[tsi{54}]纸脂只仔止旨址指趾子
[tsi{24}]志誌际剂济是治致痔智滞痣稚雉
[tsi{42}]藉
[tsʰi{51}]妻凄栖
[tsʰi{31}]池踟驰持
[tsʰi{54}]齿耻侈
[tsʰi{33}]翅眵嗤痴
[si{51}]尸
[si{31}]时什蚀莳鲥豕室释夕悉蟋袭狮匙{钥～}
[si{54}]屎玺史始驶徙
[si{24}]市试视氏示式势饰柿适弃逝豉誓
[si{33}]诗施兮吸希昔析牺熙嬉系
[ki{31}]奇击激及吉级极急桔
[ki{54}]纪己杞
[ki{24}]忌既冀
[ki{33}]讥屐稽
[kʰi{31}]其麒戟祁岐歧祈畦
[kʰi{54}]启岂
[kʰi{24}]企
[ŋi{31}]宜疑
[ŋi{24}]耳
[ŋi{42}]贰二议
[hi{33}]气汽器
[ji{31}]移姨遗掖液腋仪夷沂抑译谊
[ji{54}]已
[ji{24}]亿乙义刈忆艺亦异肄翼缢
[i{51}]揖
[pu{31}]葡斧浮袍蒲瀑曝葫脯{胸～}蔔{萝卜}僕{仆人}
[pu{54}]宝保补辅普斧脯{果～}
[pu{33}]报怖布卜{～卦}佈{宣布}
[pu{42}]步部簿菢{孵}
[pʰu{51}]铺{～设}
[pʰu{31}]孵醭{酱油表层的霉}
[pʰu{54}]谱甫圃浦捕
[pʰu{33}]舖{店～}泡{松软不实}
[pʰu{42}]赴埠
[mu{31}]毛矛茅牡模{～子}
[mu{54}]舞拇母
[mu{24}]幕无没{沉～}
[mu{33}]墓募慕暮
[mu{42}]帽貌
[fu{51}]夫
[fu{31}]胡鬍糊扶芙服俘栿符幅辐蝠忽抚
[fu{54}]虎腐府俯釜浒糊
[fu{24}]富父负附驸护
[fu{33}]肤付副傅赋乎呼湖互户沪裤戽敷
[fu{42}]咐
[vu{31}]物握勿
[vu{33}]乌
[tu{51}]刀
[tu{31}]桃绹督犊笃
[tu{54}]岛捣倒
[tu{24}]杜妒渡
[tu{33}]到道都
[tʰu{31}]途涂
[tʰu{54}]讨
[tʰu{33}]套突
[nu{54}]闹
[nu{24}]脑恼努怒
[lu{51}]鲁橹卤虏
[lu{31}]劳牢痨庐卢鸬涝芦{葫～}
[lu{24}]老
[tsu{51}]糟
[tsu{31}]曹槽触龌逐筑朝{～代}
[tsu{54}]祖早阻组
[tsu{24}]助
[tsu{33}]灶燥诛株蛛
[tsʰu{51}]超操抄
[tsʰu{31}]潮粬嘲锄拙
[tsʰu{54}]草吵杵础楚褚处{～理}
[su{51}]骚
[su{31}]速赎束俗肃
[su{54}]嫂
