"来源："	"高晓慧 2019《山西中阳方言语音研究》；Skanda, Hynuza 整理录入"
"m"	"［1］妈-{呼称，实际调值接近243}［2］麻蟆{蛤~}［3］马码［5］骂"
"t"	"［2］□{拟声词，如水滴的声音}□{这~}［3］打"
"tʰ"	"［1］他它她［3］塌{形容词重叠式后缀，灰不~~}［5］□{拟声词，忽~，指突然一下}"
"n"	"［2］拿［3］哪［5］那"
"l"	"［1］拉啦［5］落□{旮~“罅”的分音词。}"
"ts"	"［1］遮渣奓{手~开，指张开手}［2］□{拟声词，如吵闹的声音，教室里~~的}［3］拃{一~}［5］诈榨{~油}炸{~弹}奓{头发~}"
"tsʰ"	"［1］叉杈差{~别}□{喉咙~，指嗓子哑}［2］茶查楂{山~}茬搽咱［5］差{~不多}岔{~路}错{~了}□{不~，拟声词，泼水在地上的声音}"
"s"	"［1］沙纱生-{~的}［3］洒傻［5］厦{偏~}沙{挑选}筛{稀疏，这块布特别~}"
"tʂ"	"［1］遮"
"tʂʰ"	"［1］车-{单念}［3］扯-{~面}［5］□{拟声词，不~，东西摔在地上的声音}"
"ʂ"	"［1］赊-{~账}［2］蛇-{单念}社-{~会}［3］舍-撒騇"
"ʐ"	"［3］惹-"
"k"	"［2］嘎{拟声词，鸭子叫的声音}［5］尬"
"kʰ"	"［1］咖［2］□{拟声词，~~几下就弄完了，形容利索}［3］卡"
"ŋ"	"［3］我"
"x"	"［1］哈［2］还{副词}［5］下-{~面}夏-{~天}吓-{~一跳}"
"Ø"	"［1］啊［2］阿"
"#iᴀ"	""
"p"	"［1］□{~出去了，指迸出去了}□{~上一块布}［5］迸-{炒豆子时老往出~}"
"pʰ"	"［2］棚-{~~}□{水快要溢出来了}［3］□{~上一根树枝}□{~溢着，形容说话比较夸张}□{腿~开}［5］□{拟声词，东西摔倒地上的声音}"
"m"	"［2］□{~住了，指突然愣住了}虻{牛~，~蝇}［3］猛{~则古，突然，没有预兆}［5］□{吹~~，将物体放在嘴巴里使发出声音}"
"t"	"［1］爹{呼称}［2］爹{弥~，背称}［3］嗲"
"tʰ"	"［1］□{粪圪~，指放垃圾的地方。}［3］□{~~地，指什么都不用干，不用操心。}"
"n"	"［1］□{[你们]的合音}［2］牙芽衙{~门}伢{孩~~，指小孩子}凌{冻~，结的冰}［3］哑□{圪~，指躺着休息一会}［5］硬-{~米，~柴}压-{~力}亚-{不~于}"
