"来源："	"高晓慧 2019《山西中阳方言语音研究》；Skanda, Hynuza 整理录入"
"tʰ"	"［1］掏［2］滔淘陶桃{~园}［3］讨［5］桃{单念}套"
"n"	"［2］脑{剃~}［3］脑{~子}恼［5］闹□{~死了，毒死了}"
"l"	"［2］劳捞牢唠［3］老□{圪~，放东西的器物}［5］涝烙骆落{~窝鸡}痨"
"ts"	"［1］遭糟朝{今~}［3］早找枣蚤澡［5］灶罩皂躁赵兆召昭笊{~篱}"
"tsʰ"	"［1］抄操超［2］朝{~代}曹槽{马~}巢潮褿{衣服上的污渍}［3］草吵炒［5］糙造□{~上些东西}"
"s"	"［1］骚{风~}臊{~气}梢{树~}捎{~带}稍{~微}［2］□{圪~，如坐实，不要圪~的一点点，小心掉下来}［3］嫂扫晌{~午，中午}［5］□{~~地，形容串门子次数多}□{褪色，衣服~了}□{~火火}"
"tʂ"	"［1］招{~手}［3］沼{~气}［5］照诏"
"ʂ"	"［1］烧［3］少{多~}［5］少{~年}绍邵"
"ʐ"	"［2］饶［3］扰［5］绕{~九曲}"
"k"	"［1］高膏糕［2］□{~子，人名}［3］稿搞［5］告"
"kʰ"	"［3］考烤［5］靠犒"
"ŋ"	"［2］熬-{~了}爊-{~白菜}［3］袄［5］傲-{骄~}鏊{~子}爊-{水~干了}撬{~锁子}"
"x"	"［1］蒿{杂草}［2］毫豪壕［3］好{~坏，~事}［5］号浩耗孝-{~帽}好{~吃}"
"Ø"	"［2］熬={煎~}爊={~白菜}［3］偶={~尔}藕=［5］傲={~气}懊"
"#iɔo"	""
"p"	"［1］标彪镖膘{~子，指肥肉}［3］表裱婊"
"pʰ"	"［1］飘嫖［2］瓢［3］漂{~白}［5］票漂{~亮}"
"m"	"［2］苗描［3］藐渺秒［5］庙妙谬"
"t"	"［1］刁貂雕□{~眉，指画眉毛。}［3］屌［5］钓吊掉藋{灰~}调{音~}"
"tʰ"	"［1］挑{~选}［2］条调{~和}［3］挑{~拨离间}［5］跳糶"
"n"	"［3］鸟咬□{痒}［5］尿"
"l"	"［2］聊敹{~上几针}撩{~起来}［3］了{~结}缭{形容词重叠式后缀，轻忽~~}［5］料瞭{~望}尥□{用水冲}"
"tɕ"	"［1］交焦郊胶蕉骄娇浇［3］绞狡搅剿矫{~作}缴{~费}侥{~幸}较{比~}饺［5］轿叫教酵窖觉{睡~}"
"tɕʰ"	"［1］敲={~打}悄{~些，命令安静点}［2］桥醮{打~}乔侨荞瞧={~一~}［3］雀={~~}巧［5］缲{~边}窍俏鞘"
"ɕ"	"［1］潇消宵硝霄萧［2］枵{~空，圪~起，指稍微抬起来点}学{~会}［3］小晓［5］孝={~敬}校{学~}笑效"
"Ø"	"［1］腰妖邀约{~摸}要{~求}［2］摇谣窑姚鹞［3］舀{~水}杳{~无音信}［5］要{想~}耀跃"
"#ə "	""
"p"	"［1］奔崩［3］本［5］笨坌{进入眼中的尘土}"
"pʰ"	"［1］喷烹［2］盆朋棚={大~}蓬彭膨篷［3］捧［5］喷{~香}"
"m"	"［2］门萌盟蒙［3］蚊={~子}猛={~虎}［5］梦濛{~生生雨，毛毛细雨}闷□{浸泡，把碗~上}"
"t"	"［1］灯登［3］等［5］凳澄邓戥瞪{~眼}"
"tʰ"	"［1］吞藤［2］腾滕疼［5］蹬{圪~，指台阶}"
"n"	"［2］能［3］□{指他，带有感情色彩}［5］嫩"
"l"	"［1］□{合~子，当地一种食物}［2］棱［3］冷={~库}［5］楞{~性性的}"
"ts"	"［1］增臻榛曾{姓}争筝［5］憎赠"
"tsʰ"	"［1］撑［2］曾{~经}层澄橙［5］蹭衬"
"s"	"［1］森僧生={~活}牲笙糁{濛~~雨}［2］神寻［3］省［5］渗"
"tʂ"	"［1］针贞珍真增征蒸={水~气}侦正={~月}［3］整枕诊疹拯［5］震镇证振症郑政阵"
"tʂʰ"	"［1］称{~呼}撑［2］陈沉尘辰城程晨丞臣橙乘诚呈盛={~满了}［3］惩{~罚}逞{~能}［5］趁衬蹭{磨~}秤={电子~}"
"ʂ"	"［1］参{人~}深身僧升={上~}声={~气}伸娠［2］神绳={井~}［3］沈审婶［5］葚{桑~}肾慎胜剩={~女}圣甚盛{兴~}"
"ʐ"	"［1］吟仍扔［2］人任仁壬［5］认赁{~房子}"
"k"	"［1］根耕={退~还林}跟庚羹［2］□{一般认为是[个人]的合音，相当于普通话中的“自己”}［3］梗鲠{骨~在喉}埂{田~}耿［5］更"
"kʰ"	"［1］坑={~人}［2］□{拟声词，受的~~的}［3］肯垦恳"
"ŋ"	"［1］恩"
"x"	"［2］横={~竖}痕恒亨衡［3］很狠［5］恨横{蛮~}"
"Ø"	"［3］嗯{指突然明白了}"
"#iə "	""
"p"	"［1］冰兵彬宾槟{~榔}［3］柄饼={~子}丙秉禀［5］病={~房}殡鬓并並"
"pʰ"	"［2］贫平={~安}瓶={~~罐罐}频坪评萍姘凭［3］品［5］拼{~车}聘"
"m"	"［2］民明={清~}名={姓~}鸣铭［3］闽悯敏抿皿［5］命={长~锁}"
"t"	"［1］丁钉={订书~}［3］顶={~住}鼎［5］定钉={~住}订锭"
"tʰ"	"［1］厅听={~力}汀［2］停={~车}亭廷庭蜓［3］挺［5］□{~死，什么也不干，等死}"
"n"	"［2］银凝宁［3］拧{~住}［5］硬={强~}佞"
"l"	"［2］林邻零={单念}淋临粼陵灵铃={~铛}拎凌={姓}［3］领={~袖}岭={大兴安~}［5］赁{租~}吝{~啬}令={命~}"
"tɕ"	"［1］金筋更{打~}经={~过}今襟{衣~}津巾斤粳{~米}茎京荆惊精={~神}紟晶睛={眼~}［3］紧井={~绳}锦仅{~前}谨景警［5］浸进镜={放大~}静禁妗进晋尽近境敬竞净={~水器}劲"
"tɕʰ"	"［1］亲{~的}清{~明}轻={~快}青={~年}侵芹卿蜻晴={~天}［2］琴勤禽擒秦情［3］寝请顷倾［5］亲{~家}庆磬"
"ɕ"	"［1］心新星={~~}辛薪欣兴腥={血~}［2］行{~为}形型刑陉［3］省{反~}醒□{面发酵的过程}［5］兴姓信讯{通~}杏={~花岭}幸性衅囟{~门子}"
"Ø"	"［1］音阴淫因姻鹰鹦樱英［2］赢={~利}营={~长}迎盈［3］引隐影={电~}饮{~水机}颖［5］印荫{屋子很~}饮{~马}印应{~对}映窨"
"#uə "	""
"t"	"［1］墩{用力猛的往下放}蹲东冻{~凌}冬敦［2］□{拟声词，放炮时声音~~的}［3］懂董［5］冻{冷}动洞顿盾沌栋饨"
"tʰ"	"［1］通［2］铜臀豚同童瞳桐［3］统桶筒捅［5］熥"
"n"	"［2］脓浓农侬［5］嫩"
"l"	"［2］轮聋龙伦笼隆沦［3］拢垅［5］弄论"
"tʂ"	"［1］中{~间}终尊遵宗忠钟综［3］准肿总冢种{~类}［5］重{轻~}种{~树，轻~}中{射~}众纵仲"
"tʂʰ"	"［1］村春葱充冲皴{脸~}聪囱{烟~}舂{~米}［2］纯虫存唇醇丛崇从重{~复}［3］寸忖蠢宠"
"ʂ"	"［1］孙松嵩［2］㞞［3］笋损［5］顺送宋舜诵颂讼"
"ʐ"	"［2］荣=戎绒茸{参~}容={人名}蓉{芙~}［3］冗{~长}［5］闰润"
"k"	"［1］公宫恭蚣{蜈~}工攻功弓躬［3］滚汞拱{~手}巩{~固}［5］共棍贡供={~销社}"
"kʰ"	"［1］昆空{~间}昆坤［3］孔捆恐［5］困控空{~缺}"
"x"	"［1］婚分风封蜂昏烘{~干}枫疯锋［2］魂坟红丰馄浑{~浊}弘宏轰峰虹={人名}［3］粉混{相~}讽哄［5］粪凤缝{一条~}奉俸忿奋凤□{招引，~蚊子}"
"Ø"	"［1］温翁［2］蚊={~香}文纹闻［3］稳吻刎［5］问瓮"
"#yə "	""
"tɕ"	"［1］军君供-{~不起}［3］均菌［5］俊粽-{~子}郡"
"tɕʰ"	"［2］裙穷琼［5］黢"
"ɕ"	"［1］熏{烟~}兄={~长}凶胸［2］熊雄旬循［3］□{批评小孩子}［5］熏{~得不能}逊殉训"
"Ø"	"［1］雍庸［2］匀云荣-{光~}融-{~化}溶容-{~易}［3］永拥允泳詠勇［5］运用熨韵晕孕佣"
"#ɑʔ"	""
"p"	"［7］八剥驳［8］傍{~激}"
"pʰ"	"［7］胖-{~子}琶杷［8］拔{用冰水使凉，放在冷水里~一会}"
"m"	"［7］抹{~桌子}□{~帽子，摘了帽子}"
"t"	"［7］答搭达鞑{毛~子，头发长}褡{~裢链，中间开口两端装东西的口袋}"
"tʰ"	"［7］搨{~本}塔榻溻{汗~湿了}托{摩~}［8］沓{一~纸}踏"
"n"	"［7］纳"
"l"	"［7］腊蜡辣落乐{快~}洛"
"ts"	"［7］扎{用针~}睫{眼~毛}札指-{~头}作泽匝{缠了三~}"
"tsʰ"	"［7］插擦察侧测拆策［8］杂-{~乱}炸{用油~}"
"s"	"［7］撒{~手}萨杀瑟虱涩色索{利~}"
"tʂ"	"［7］窄摘"
"tʂʰ"	"［7］册撤"
"ʂ"	"［8］舌"
"ʐ"	"［7］热弱日-{~头}"
"x"	"［7］蛤{~蛎}瞎［8］合{十~一升}匣{箱~}盒学-{~扮，指模仿}"
"#iɑʔ"	""
"n"	"［7］鸭押"
"tɕ"	"［7］夹甲挟{~菜}颊角隔-{~开}褯觉{知~}"
"tɕʰ"	"［7］恰掐确搉{~蒜}"
"ɕ"	"［7］协狭峡黠辖{管~}"
"Ø"	"［7］约{~会}乐{音~}"
"#uɑʔ"	""
"tʂ"	"［7］桌卓琢啄浊镯={~子}"
"tʂʰ"	"［7］戳促{~进}镯-{手~}"
"ʂ"	"［7］刷缩"
"ʐ"	"［7］□{刷鞋的工具}"
"k"	"［7］刮掴{耳~子}"
"x"	"［7］发{~财，~发}［8］乏滑猾{狡~}法伐罚筏"
"Ø"	"［7］袜握={~手}"
"#yɑʔ"	""
"Ø"	"［7］握-{~住}"
"#əʔ"	""
"p"	"［7］博拨驳帛膊{胳~}钵{饭~~}泊{梁山~}"
"pʰ"	"［7］泼{~水，~茶}朴迫魄扑瀑{~布}敷{面~}［8］薄簿{账~}"
"m"	"［7］末沫抹没莫膜幕陌木目穆牧苜{~蓿}"
"t"	"［7］得德"
"tʰ"	"［7］忒{~好}特"
"n"	"［7］□{递东西时的语气助词}"
"ts"	"［7］□{打~居舍，收拾屋子}褶{~子}直-{~线}脊-{~背}子-{李~}［8］蛰{惊~}"
"tsʰ"	"［7］吃撤娶-{~[媳妇]子}赤［8］值-{~的}着-{火~了}直-{~性子}"
"s"	"［7］塞啬［8］折{弄~了}"
"tʂ"	"［7］执汁哲折{~叠，~断}浙秩质值={~班}只织职植={~树}殖={养~}"
"tʂʰ"	"［7］尺斥［8］侄"
"ʂ"	"［7］失室识式饰适释摄涉湿拭{~布}［8］射-{骨~出去}实食蚀十拾{~起来}什{~物}植-{木~}殖-{骨~}"
"ʐ"	"［7］日-{~子}若"
"k"	"［7］隔={~离}旮{~旯}去{到哪~了}"
"kʰ"	"［8］去{~不~}"
"ŋ"	"［7］恶{~人}"
"x"	"［7］喝郝黑褐核贺-{祝~}"
"#iəʔ"	""
"p"	"［7］鳖憋笔毕必璧畐{颗粒饱满}北逼百柏伯别{~针}擘{用手~开}壁［8］别{区~}"
"pʰ"	"［7］匹{一~布}拍僻劈撇{用勺子在液体表面上平舀}［8］鼻-{~子}别{~人}白-{~菜}"
"m"	"［7］灭篾{竹~}蜜密墨麦觅秘沫{唾~}"
"t"	"［7］跌的{目~}滴嫡敌狄碟={光~}［8］谍蝶={蝴~}叠={重~}"
"tʰ"	"［7］帖{碑~}贴铁踢剔［8］叠-{~被子}碟-{~子}蝶-{蝴~}笛{~子}"
"n"	"［7］聂{姓}镊{~子}蹑{~脚走}孽捏噎{~住了}匿逆业-"
"l"	"［7］猎列烈裂栗力历立"
"tɕ"	"［7］集={~合}接劫缉{~鞋口}急级及捷={快~}杰揭节结洁吉脚积籍藉击激墼{土坯}截={~肢}疾［8］辑{编~}"
"tɕʰ"	"［7］怯{畏~}泣切七漆却戚雀-{孔~}鹊［8］集-{赶~}捷-{~径}截-{~住}"
"ɕ"	"［7］吸歇蝎屑楔悉熄媳夕析锡［8］袭席习学-{~习}"
"Ø"	"［7］叶揖{作~}乙一益逸约{~摸}药钥抑易疫役译予{~我一本书}业="
"#uəʔ"	""
"t"	"［7］掇{拾~}铎督□{~子，屁股}夺={~取}读独牍"
"tʰ"	"［7］脱突秃坨{圪~，成块的东西}［8］夺-{~下}毒-{~药}犊{牛~}"
"n"	"［7］□{手~了，指手扭了}"
"l"	"［7］律肋{~肢}鹿禄绿辘录洛络勒{~死}"
"tʂ"	"［7］拙卒{兵~}作{~坊}酌灼族竹筑□{塞~，堵塞}足={~够}烛{蜡~}做［8］昨逐{追~}"
"tʂʰ"	"［7］撮{一~米}猝{仓~}出错{~杂}畜{~生}促{~进}□{圪~，皱}□{明光~烂，指亮}"
"ʂ"	"［7］说朔速束叔淑术述［8］勺熟赎属俗={~气}"
"ʐ"	"［7］入褥辱"
"k"	"［7］骨郭虢穀个-{一~}国"
"kʰ"	"［7］括阔窟{~窿，水~子}廓扩哭"
"x"	"［7］豁忽佛{仿~}霍藿{~香}劐{用刀~开}福幅蝠腹覆或复［8］活佛{~像}缚{~笤帚}获斛服伏{入~}"
"Ø"	"［7］物勿屋五-{~个}□{热}"
"#yəʔ"	""
"n"	"［7］虐疟{~疾}"
"tɕ"	"［7］绝拽-{拖}厥{突~}决诀橘爵䦆{~头}菊={人名}掬局□{~烂，扯烂}掘倔{~强}"
"tɕʰ"	"［7］缺屈雀{麻~}鹊{喜~}曲{歌~}□{把手镯往圆~一下}橛{~子}［8］菊-{~花}卒{棋子}"
"ɕ"	"［7］薛雪血恤削肃宿-{~舍}畜{~牧}蓄{储~}蓿［8］穴俗-{风~}续"
"Ø"	"［7］阅{~读}月越粤跃狱-{监~}岳乐{~器}域育玉-{璧~}欲浴-{淋~}"
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
