#参考资料	《安徽庐江方言音系》 周元琳
#调值	[1]陰平55 [2]陽平31 [3]上聲213 [5]去聲35 [7]陰入5 [8]陽入3 [0]輕聲
#ɹ̩	
p	[1]屄{女陰} [3]彼鄙比擗{用手折斷：~斷得} [5]陛斃{文讀|槍~}
pʰ	[1]批胚坯披{~漏}砒{~霜} [2]皮疲脾啤痹琵枇匹 [3]痞跛{~子；走路一~一~的} [5]庇屁毙{白|死：~得之}
m	[1]眯{眼睛~之；笑~~}咪{慢慢地喝；~兩杯酒} [2]迷謎泥{白|~墻} [3]米迷{灰~之眼睛}
n	[1]泥{文|~菩薩過江}犁黎{姓}倪{姓}離{~家不遠}尼梨厘 [3]禮李裏{被~子}理鯉 [5]例厲勵荔離{~垢夾：搓去身上的污垢}膩{濁~~的}利{~息}痢{溏溏~：家禽的溏便}
ts	[1]爹{祖父}低齜滋{~水}雞稽饑肌基{打地~}幾{~乎}機資姿 [3]姐底觝擠紫姊几{茶~}幾{~個}己紀子{瓜~；~公鷄}籽□{一~小葱} [5]借第祭{~祖}際劑計繼技妓寄地{土~}自穄{穗：稻~子}濟字記{~得}忌既季 [0]子{桌~；珠~}
tsʰ	[1]妻欺{~生}期睇{看：不~見} [2]題提{~意見}蹄齊臍瓷糍{~巴；~得很}奇騎歧祁{姓}其棋旗息磁辭祠詞 [3]且體啓{~子；~開}此起豈 [5]替剃屜砌契刺賜次器棄伺氣汽去{白|我不~}
s	[1]些{好~子：多少}西溪奚{姓}斯撕嘶{人或某些動物大聲喊叫：別~}私師獅螄{螺~}司絲思厠{白|茅~}嬉希稀 [2]邪斜 [3]寫洗死使史駛喜篩{~酒} [5]卸謝細系{派~}戲四肆似巳寺飼士仕柿事恃侍 [0]些{多~}婿{女~}係{關~}喜{歡~}息{沒出~}
z	[1]醫{~子}醫衣依 [2]爺{叔、伯}宜儀移誼姨{~娘}疑 [3]野冶{~父山}倚椅已以 [5]夜藝義議{文|~論}易{不~}意異毅憶億 [0]宜{便~}易{容~}
#ɻˈ	
tʂ	[1]支枝肢梔知之芝 [3]紙只{~配跟他}旨指{~他鼻子訣（骂）}止阯 [5]製制智致至痔置{辦：~點個東西}治誌痣 [0]之{助詞：坐~；走~}
tʂʰ	[1]癡𨒬{滑：下雨，路上~得很；一下~老遠的} [2]池馳匙{湯~}遲持{~家} [3]恥{羞~；~她}齒始 [5]翅 [0]匙{鑰~}
ʂ	[1]施{姓}尸屍 [3]屎{屙~；眼~；耳朵~} [5]世勢誓逝是氏示視嗜市試式{~樣} [0]式{樣~}
ʐ	[1]□{溜走：老早就~得之}
#i	
t	[0]地{慢慢~講}的{你~；好~}
tʰ	[0]嚏{噴~}
n	[3]你 [0]裏{家~}狸{狐~}利{勤~}
k	[3]給{~他；~狗齩之}
Ø	[5]咦{嘆詞|表示醒悟、驚訝、不滿、反對等}
#ʉ	
p	[3]補 [5]布佈埠{蚌~}部步{~行}
pʰ	[1]铺{~牀}潽{借字|燒~得之；~蛋湯} [2]蒲{~團}菩葡 [3]脯譜普蹼 [5]舖{店~}步{白|就兩~路}
f	[1]夫{老~子}膚敷麩 [2]俘符扶浮 [3]府腑頫甫斧腐輔阜{~陽} [5]付傅{姓}赴{~宴}父附富{~有；~態}副{正~；一~手套}婦負 [0]夫{丈~}袱{包~}傅{師~}侮{欺~}
v	[1]梧烏污巫誣{~枉}嗚□{紙叠的玩具：打~子} [2]吳蜈無 [3]五伍午武侮{~辱}捂 [5]誤悟務霧{起~；吵~得之；吵成~團}焐{水~子；~手}
tʂ	[1]豬諸居車{~馬炮}蛛株朱珠拘 [3]煮擧主矩 [5]著拒距據劇鋸{~木頭}聚柱駐住注蛀鑄俱句具
tʂʰ	[1]蛆區□{往盆裏一~}□{木~~：啄木的感覺}[2]茄{~子}瘸除{~得：除去；除非}渠廚殊櫥{碗~}瞿{姓} [3]褚{姓}處{~得來}杵{~送：諷刺挖苦}暑{大~}鼠取娶拄 [5]處{住~}去{文|~皮}趣
ʂ	[1]靴{~子}書舒虛{心~}噓{別~}須{必~}鬚{~子}需輸 [2]徐{姓} [3]署{專~}許 [5]序叙絮{棉~}恕{饒~}續{連喊~喊}竪樹
ʐ	[1]迂{~得很}淤{~血} [2]廬{~江}驢{狗頭~子}如魚于{姓}余與愚盂榆 [3]女呂旅語擩{一根根~}雨禹羽 [5]慮濾御譽預娛遇愉芋玉 [0]裕{富~}
k	[1]姑孤咕{~~叫；一口~}軲{~轆轆直滾}菇蛄{蝲蝲~}辜{~負}□{塞水裏~死得} [3]古估牯{~牛}股{五~辮子}鼓 [5]故{非親非~}固雇顧{~家}庫痼{~之膿} [0]顧{照~}
kʰ	[1]箍{打個~；~個桶}枯骷{~髏頭} [3]苦 [5]褲
x	[1]乎呼烀{放少量的水燒煮：~山芋} [2]胡鬍湖煳{飯燒~得之}糊{打~；~窗子}狐壺葫{~蘆}弧{鬼畫~}和{半天沒~牌} [3]虎滸戽{~水} [5]戶互護{~他媽媽}瓠{~子}糊{模糊不清}
#ʊ	
p	[1]波菠坡玻播{廣~}簸{□（tʂʰəʔ）~子：畚箕} [3]跛{~子；一~一~的}簸{~麥}□{~鬼：挑撥，進讒言} [5]簸{~箕：大於篩子的竹製圓形器具}
pʰ	[2]婆 [5]破剖
m	[1]摸{輕輕~~} [2]魔磨{~刀；跟他~；~人}饝模{~子}膜蘑謀 [3]抹{~之一一臉的}某{王~}畝母 [5]磨{石~；~面}抹{七屁八~的}幕
t	[1]多 [3]躲 [5]舵剁{~碎}跺{~腳}□{~~實實：身體厚實}垛{竪放：~到桌子高頭}
tʰ	[1]拖{~拉；~子} [2]駝馱{~子；~之}砣{秤~} [3]妥 [5]拖{囉~：麻煩，纍贅}
l	[1]羅{~嗦}擄{一把~：無對手} [2]羅{姓}鑼籮{稻~}蘿{~蔔}螺{~螄}腡{圓形指紋}奴{~才}廬{文|~山}□{遺忘，丟失：~得之} [3]虜{俘~}擄{~走}努捋 [5]糯怒□{馬虎，隨便：大~不~的}
ts	[3]左 [5]坐座做
tsʰ	[1]搓 [2]矬{矮~~的} [3]□{打：~你} [5]銼{搞~刀~}措錯挫□{節：一~~的}
s	[1]蓑{~衣}梭唆{~狗齩人} [3]鎖所數{動詞}
tʂ	[5]□{喚雞聲}
k	[1]歌哥過{超過一定界限：餓~得之}鍋幹{能~：老成，能幹貌} [3]果裹{~腳；沒牙子，慢慢~}□{~豆：黃豆} [5]個{~人；~子}過{~來；滅：燈吹~得之；喫~之}□{~小豬}課{算命打~} [0]過{來~的}
kʰ	[1]科窠{太陽~裏}棵苛{~求}柯{姓} [3]可□{隨他~去：隨他去} [5]課{上~}
x	[1]呵{討好，獻媚} [2]河何{姓~；如~}荷{~包}和{~氣；~得之} [3]火夥{一~；~家}□{盛器的重量} [5]賀貨禍和{搞筷子~~} [0]火{柴~}和{□（ʐã˧˩）~：柔軟}夥{家~}活{生~重得很}
ŋ	[3]我
Ø	[1]屙{~屎}臥{~倒}萵{~筍}窩渦{淚~；酒~}蝸 [2]蛾鵝阿{~彌陀佛}譌{相差：~不少；怪罪：~鍬~版的} [5]餓齷{~齪}
#ə	
p	[0]不{買~起；琴~子（人名）}
m	[0]麽{什麽：幹~事}們{他~}沫{唾~星子}
f	[0]□{小~：男孩}
n	[2]喏{嘆詞|引起聽話人注意所指十五：~給你}
t	[0]得{不~起來；撂~}瘩{疙~}
k	[0]個{一~；摸~子：摸一下}家{人~}
tʂ	[0]朝{後~}
#iə	
t	[0]的{目~}
l	[0]了{語氣詞|到家~}
#ɛ	
p	[3]擺{~尾巴；~架子} [5]拜稗{~子}敗別{~搞} [0]唄{語氣詞}
pʰ	[1]呸{嘆詞|表示厭惡、鄙視等} [2]排牌 [3]擺{擺放} [5]派{兩~；~我去；原以爲：我~他來呢}
m	[2]埋{~深深的}明{~個，明天}□{“媽、哎”的合音字：媽~，我餓之了} [3]買 [5]賣邁{大門不出，二門不~}
v	[1]歪餵{嘆詞|表呼喚} [2]□{豬~在泥巴裏不起來} [3]□{賴，糾纏：~住人家}□{扭傷：~之腳} [5]外{~頭；不~}
t	[1]呆{發~} [3]逮{~住他}歹 [5]待怠{~慢}戴代袋帶大{~夫}汰{白|~衣裳} [0]怠{懈~}
tʰ	[1]胎苔{舌~}擡{襯托：~人得很}□{~氣：大方} [2]臺{戲~子}苔{青~}擡{~頭；~水} [3]呔{~子；撇~} [5]太{~大之；老~~}態{表~}汰{文|淘~}泰{有眼不識~山} [0]態{富~}
n	[1]奶{祖母：~奶} [3]奶{妻子；婦女：他家~奶；~奶們}
l	[2]來{~人} [3]乃{中指代詞|~個}攋{~草}奶{乳房：~汁；摸~；喫~；~伢子（嬰兒）} [5]耐奈賴癩 [0]來{小~：小時候；過~}□{語氣詞|“了、哎”的合音}
tsʰ	[1]猜 [2]才纔材財裁 [3]彩踩 [5]菜蔡{姓}
s	[1]腮鰓塞 [5]賽{比~；越講越~}
tʂ	[1]齋{吃~飯} [5]債寨側{歪斜：斜之~之} [0]□{語氣詞|“之、哎”的合音：家婆來~}
tʂʰ	[1]釵差{~事} [2]豺柴㾹{~骨人：一貫很瘦的人} [3]跐
ʂ	[1]篩{~子；~糠} [5]曬
Ø	[1]哎{嘆詞|表示呼喚、應答、同意、醒悟、反對、懷疑等} [2]唉{嘆詞|表示嘆息} [0]哎{語氣詞|他有（也）來~！}
#iɛ	
tɕ	[1]皆嗟{嘆詞|~，好疼！} [3]解{文|不~；~放} [5]戒{~煙}届{往~}械界 [0]□{“計、哎”的合音，男子閒的昵稱：夥~}
ɕ	[5]解{想：~不開}
k	[1]該{應~}稭{麥~子}街{上~}今{~個：今天}□{連~：打麥子、油菜等之竹製農具} [3]改解{白|~鞋帶子} [5]概{大~~的：不拘小節}溉{灌~}蓋芥{~菜}鋸{白|搞鋸子~}
kʰ	[1]開揩 [3]楷{小~}
x	[1]海{大：好~；地方：在哪~}□{打：~你} [2]孩鞋還{~要} [3]海{大~}蟹{~子} [5]亥{~時}害{~人：~病}懈{~怠得很}
ŋ	[1]哀{節~}挨{一個~一個}娭{祖母：搞你~子}唉{~聲嘆氣} [2]呆{死板，不靈活} [3]矮 [5]礙{~事}艾{~蒿}愛捱{拖延：洗吧，別慢慢~了}
#uɛ	
tʂ	[3]□{漂亮、氣派：穿之~得很}□{擺架子：~什麽老？} [5]拽
tʂʰ	[1]揣{~起來}搋{用力揉、壓：~面} [2]膗{蠢、笨} [5]踹{蹬：~他一腳}
ʂ	[1]衰{沒精神：燒之兩天燒~得之}摔 [3]甩{扔：不要亂~得；打：~他} [5]帥{老~}率{直~}
k	[1]乖{好~；嘆詞|~~，好險！} [3]拐{~彎；~棍；老~子；走路一~一~的} [5]怪{~他；~得很} [0]怪{古~：小氣}
kʰ	[5]會{~計}塊{一~肉；兩~錢}快{~活；刀~}筷 [0]快{涼~}
x	[2]淮懷{~裏}槐□{~□（xuən꜊）：事已開始，沒有退路} [3]□{搖搖晃晃地走：慢慢~} [5]壞
#ɔ	
p	[1]褒{~貶}包胞苞{花~子} [3]保堡寳飽 [5]抱報暴{~雨}菢{~小鷄}鮑豹爆鑤{~子} [0]啵{語氣詞|歇個~}
pʰ	[1]泡{魚~；鬆：飯~得很；一~尿}脬{尿~} [2]袍跑 [5]炮泡{~澡}雹{雪~~子}
m	[1]貓 [2]毛矛茅{~草}錨 [3]卯{點個~}□{少：寧少一村，不~一店} [5]冒{~失}帽貌茂{~林：地名}貿
t	[1]刀叨㧅{~菜} [3]禱島倒{打~}擣{~蛋} [5]道稻到倒{~水} [0]盜{強~}□{堆~：體積}
tʰ	[1]掏 [2]桃逃淘陶萄 [3]討 [5]套
