a
p [53]巴芭疤爸[21]爬耙琶杷[33]把[35]霸壩榻坝[22]罢
pʰ[53]趴[35]怕
m[53]蟆｛癞蛤～｝□｛抓：～住佢｝[21]麻痂妈｛～妈｝[13]马码[35]妈｛妈～｝[22]骂
β [53]花蛙[21]华铧桦[13]瓦[35]化[22]画话
t [33]打[13]舵｛船～｝
tʰ [53]他[33]□｛～～污：地名｝
n [21]拿[33]哪
l [21]罗锣箩｛又lo21｝[35]□｛发～：发瘟｝
ts [53]渣楂｛山～｝擅[21]茶搽查[35]左炸诈榨[22]□｛扫：竹枝做的扫把｝
tsʰ  [53]搓叉差岔
θ [53]沙纱[13]洒[35]□｛张开：～毛｝
k [53]加家嘉傢痂[21]□｛卡：～颈｝[33]贾假[35]价嫁
kʰ[53]卡掐[35]驾架
ŋ [53]桠｛～杈｝[13]我[22]饿｛饥～。程度比饥厉害｝
h   [53]虾哈｛～腰｝[35]罅｛手指～：手指缝。又he35｝[22]下｛底～。又ja22｝
ʔ [53]屙鸦[33]哑[35]亚阿
ŋj [53]揸｛拿｝[21]牙芽衙[33]□｛ŋjap35～：垃圾｝[35]渣｛甘蔗～。声调较为特殊｝
j[53]丫[33]雅[22]下｛又ha22｝夏夜｛～饭：晚饭。又je22｝
ku[53]瓜[33]寡[35]卦挂
kʰu [53]夸跨[33]垮
＃e
p[35]□｛乳房｝
pʰ [53]□｛打～：打扑克｝[35]□｛拨拉，找｝
m [21]□｛～邪：歪｝[33]□｛歪｝[35]孭｛背负｝
f [22]□｛撩拨：马尾～粪窟｝
β[53]靴[33]□｛哕，呕吐｝[35]□｛～水：排水｝[22]画｛～图｝
t [53]爹□｛～细嘢：带孩子｝[33]嗲｛～le13：撒娇｝[35]□｛护～花：牵牛花｝
n[53]□｛粘贴｝
l[53]□｛车～：轻浮｝[13]□｛口水～：流口水的样子｝[22]□｛（火势）蔓延｝
ts [53]遮[33]姐者[35]□｛拥挤：车～｝[22]谢
tsʰ  [53]车[21]斜[33]且扯[35]笡[22]□｛～le22炮：一种鞭炮｝
θ [53]些□｛～网：一种渔网｝[21]邪[33]写捨[35]卸泻舍[22]射麝
k [21]茄｛番～｝[35]□｛割、锯：～柴｝
ŋ [53]□｛坑骗｝[13]嘢[35]嘢｛肉：牛～｝
h [35]罅｛缝儿。又ha35｝
j [21]爷耶[13]惹也野[22]夜｛～摸：夜间偷东西的人。又ja22｝
ku [21]瘸[33]□｛割：～草｝
kʰu [33]□｛～子：一种小青蛙｝[35]□｛拨拉：～火｝
＃o
p[53]波菠玻
pʰ [53]坡
m [53]摩魔模摹[35]□｛～水：泉水｝[22]墓雾
β [53]窝｛打～：用诱饵诱鱼集中｝
t [53]多都[21]驼图徒涂途屠[33]赌堵[13]肚｛鱼～｝[22]惰度渡镀杜
tʰ [53]拖[33]妥土椭[35]兔
n [21]奴挪[13]努[22]怒
l [53]啰[21]萝｛～卜｝骡卢芦炉鸬箩｛～筐。又la21｝[13]卤虏鲁□｛捞｝[35]□｛kɯ35～嘢：这种东西｝[22]露路鹭
ts [53]租[21]锄[33]组祖阻佐[35]做[22]座助
tsʰ[53]粗初[33]础楚娶取｛又tsʰi33｝[35]醋错措
θ [53]梭蓑苏酥梳疏蔬[21]傻[33]所数[35]诉素塑数
k [53]哥歌孤戈[21]□｛～ʔek35：腋窝｝[33]古鼓牯｛～牛：公牛｝
 kʰ [53]□｛花生等榨油后剩下的饼状渣滓｝箍[33]可[35]课
ŋ [21]俄鹅蛾吴梧[13]五午伍[22]饿卧误悟互
h [53]枯[21]何河荷狐壶葫鬍[33]苦虎[35]菏｛薄～｝库裤[22]贺户护
ʔ [53]乌｛～鸦。又ʔu53｝[35]□｛～草皮：用火慢慢燃烧草皮｝
ŋj [13]□｛人家｝
＃i
n [21]倪宜疑[13]拟
l [13]履吕旅
ts [53]知支枝肢姿资咨脂兹滋之芝[21]徐池驰瓷糍迟慈磁词祠辞饲持[33]紫只纸旨指子止址趾梓滓齿[35]借蔗蜘智致置至志痣知｛～识青年｝稚[22]序叙自字牸寺痔治侍谢｛～日：昨日｝巳
tsʰ [53]趋痴[33]取｛又tsʰo33｝聚耻此[35]趣次翅刺似赐
θ [53]赊畲｛～地：荒地｝舒需输｛运～｝斯撕施私尸丝司思诗[21]蛇储殊匙时[33]屎[13]市始[35]绪署世势试[22]誓氏是豉示视
k [21]奇歧祁鳍其棋期茄｛～瓜：茄子｝[35]个
ŋ  [21]儿仪宜｛便～｝[13]乳蚁议耳饵尔[22]尔｛那｝义二贰
h [53]嬉[21]如余餘儒娱喻迂[13]与羽宇已以[22]预誉愉裕愈豫
ʔ [53]於吁于伊[21]盂饴[35]肄异[22]亦｛他去我～去｝
＃u
p[21]婆葡菩[35]簸｛～箕，～一下｝
pʰ [33]谱浦普辅甫脯｛果～｝剖｛解～｝[35]破
m [21]磨无[13]武舞侮鹉[22]磨｛石～｝务募慕
f [53]肤敷[21]符芙[35]富副[22]附腐父釜俯付赋妇负
t [53]都[21]涂｛糊～｝[33]朵
tʰ [35]吐｛～痰，呕～｝
n[22]糯｛～米｝
l [21]脶｛～旋：手指纹｝螺｛～蛳｝
ts[13]坐
θ[33]琐锁
k[53]锅姑估｛～计｝[33]果股[35]过固故顾雇
h[53]科呼乎[21]禾和胡湖[33]火伙浒[35]货[22]祸恶｛可～｝
ʔ [53]乌｛又ʔo53｝污坞巫诬
＃ɯ
l [21]而｛～且｝
k[35]个箇｛这｝
＃ai
p[21]排牌簰[33]摆[13]㗑｛尔～：那里｝[35]拜[22]稗败
pʰ [35]派
m [21]埋[13]买[22]卖迈
β [53]歪[21]怀淮槐[35]块快[22]外坏
t [53]獃呆[21]台抬苔[35]戴带[22]贷待怠代袋大
tʰ  [53]胎[35]态太泰
n[13]乃奶[35]□｛～犁：牛带犁在路上走｝[22]耐奈
l [53]拉[21]来[13]□｛～尿：尿床｝[35]赖｛打～死：耍赖｝[22]赖癞｛～疮｝
ts[53]灾栽斋[21]才材财裁豺[33]宰[35]载再债[22]在寨
tsʰ  [53]猜差钗[33]睬采彩[35]菜蔡
θ [53]腮鳃[21]柴[35]赛晒
k [53]该阶皆楷佳街[21]□｛一种草案｝[33]改解[35]盖介戒芥界疥
kʰ [33]凯[35]概慨溉丐
ŋ [53]涯｛～话：客家话｝[21]捱[22]碍艾
h[53]开[21]孩鞋[33]海[22]亥害骇懈
ʔ [53]哀挨[35]爱
ŋj [35]□｛嚼｝
ku [53]乖[35]怪
kʰu [33]拐｛～棒：拐棍｝[35]筷｛～箸：筷子｝
＃ɐi
p [53]蓖｛～麻｝[33]□｛遮挡｝[13]□｛遮挡｝[35]闭[22]敝弊币毙鐾｛～刀布｝□｛倒霉｝□｛～喇：忘了，落了｝
pʰ [53]批坯｛生～砖：砖坯｝[33]□｛将东西平甩出去；用刀横扫砍削｝
m [53]劘｛削｝[21]迷谜[13]米美[35]眯□｛别。“冇使”的合音｝
β [53]威覣[21]回茴危为｛作～｝唯维遗围违苇[33]毁委萎伟悔[35]秽｛～气。又βɐi22｝[22]贿汇会｛开～｝晦绘卫惠为｛～哪门：为什么｝位匯彙胃谓秽｛又βɐi35｝
t [53]低[21]堤啼提题蹄[33]底抵[13]弟｛徒～。兄～：弟兄｝[35]帝[22]第递隶弟｛阿～，表～｝
tʰ  [53]梯[33]体[35]替涕｛鼻～｝剃
n [21]泥尼[22]腻
l [21]犁黎[33]□｛看｝[13]礼[35]䚕｛寻找｝[22]例励丽荔
ts [53]挤剂[21]齐脐[35]祭际制济[22]滞｛肚～tsœt22tsot22：消化不良；湿～：啰嗦｝
