□	丨(囗) 一
〇	乙
㐀	艹(卝) 一
㐁	一 囗(人)
㐂	七 七
㐃	厶 丨
㐄	十 乙
㐅	丿 丶
㐆	厂 乙
㐇	九 乙
㐈	入 乙
㐉	丁 乙
㐊	士 乙
㐋	土 乙
㐌	人 也
㐍	爪 乙
㐎	文 乙
㐏	五 乙
㐐	奴 乙
㐑	冬 乙
㐒	召 乙
㐓	可 乙
㐔	亠 乙
㐕	由 乙
㐖	吉 乙
㐗	老 乙
㐘	米 乙
㐙	豆 乙
㐚	吾 乙
㐛	佑 乙
㐜	求 九
㐝	拘 乙
㐞	其 乙
㐟	非 乙
㐠	乳 乙
㐡	九 大
㐢	浮 乙
㐣	庫 乙
㐤	九 真
㐥	鋤 乙
㐦	舉(擧) 乙
㐧	丶 丿
㐨	予 予
㐩	井 井
㐪	亠 人
㐫	亠 凶
㐬	亠(云) 川
㐭	亠 回
㐮	衣 井
㐯	亠 香
㐰	亻 口
㐱	人 彡
㐲	亻 大
㐳	亻 兀
㐴	亻 夕
㐵	亻 于
㐶	亻 巳
㐷	亻 马
㐸	亻 欠
㐹	亻 气
㐺	亻 人
㐻	亻 内
㐼	亻 升
㐽	亻 风
㐾	亻 元
㐿	亻 手
㑀	亻 太
㑁	亻 出
㑂	亻 丙
㑃	亻 幼
㑄	亻 母
㑅	亻 上
㑆	亻 兄
㑇	亻 刍
㑈	亻 东
㑉	亻 夙
㑊	亻 亦
㑋	亻 曲
㑌	亻 匡
㑍	亻 耒
㑎	亻 山
㑏	亻 守
㑐	亻 小(尗)
㑑	亻 自
㑒	人 人
㑓	亻 友
㑔	亻 页
㑕	亻 岁
㑖	亻 仲
㑗	亻 身
㑘	亻 戒
㑙	亻 耳
㑚	亻 那
㑛	亻 束
㑜	亻 折
㑝	亻 弄
㑞	亻 廾
㑟	亻 兵
㑠	亻 坚
㑡	亻 即
㑢	亻 却
㑣	亻 林
㑤	亻 苗
㑥	亻 易
㑦	亻 戾
㑧	亻 季
㑨	亻 矢
㑩	亻 罗
㑪	亻 齐
㑫	亻 念
㑬	亻 姑
㑭	亻 畀
㑮	亻 軍
㑯	亻 頁
㑰	亻 彖
㑱	亻 柔
㑲	亻 南
㑳	亻 芻
㑴	亻 又
㑵	亻 疾
㑶	亻 氣
㑷	亻 能
㑸	亻 可
㑹	人 日
㑺	亻 隽
㑻	亻 密
㑼	亻 略
㑽	亻 堂
㑾	亻 言
㑿	亻 巢
㒀	亻 啇
㒁	亻 幸(圉)
㒂	亻 著
㒃	亻 貳
㒄	亻 然
㒅	亻 多
㒆	亻 羽(翕)
㒇	亻 無
㒈	亻 敢
㒉	亻 棠
㒊	亻 止
㒋	亻 斯
㒌	亻 冗
㒍	亻 糸
㒎	亻 非
㒏	亻 寒
㒐	亻 旬(筍)
㒑	亻 匯
㒒	亻 業
