#ɿ
ts[1]知治[3]植值{～班、～日}织蜘[2]至值{物品的价值}直质殖智
tsʰ[1]痴[3]吃尺[2]池迟驰{奔～}
s[3]湿失[2]室十石食实世什
tθ[1]滋{～味}资姿咨
[3]紫自姊{～妹儿}仔{牛～裤}[2]字{儿}滋{儿，表示舒服，开心高兴}
tθʰ[1]刺[2]词瓷磁辞
θ[1]四丝撕私思[3]死厮
#ʅ
tʃ[1]只支芝{～麻汁儿，墨汁，果汁}枝{儿，树枝儿}[3]纸指志止
tʃʰ[3]匙{汤～、～子}[2]翅{儿}
ʃ[1]试师诗狮市视事{儿}[3]使史屎[2]时
#i
Ø[1]衣医姨[3]胰一[2]移亿义意艺
p[1]逼{逼迫}屄{生殖器}[3]笔比[2]避毙币闭
pʰ[1]屁批[3]劈[2]皮
m[1]蜜[3]米沫{白}[2]迷泥谜
t[1]低[3]底滴笛[2]地递敌
tʰ[1]梯[3]体[2]题提踢替
n[3]你拟妮[2]腻逆
l[1]梨[3]李里理[2]离丽利力
tɕ[1]鸡机级[3]急己几吉[2]记季寄
tɕʰ[1]气期[3]起启企[2]器骑奇旗棋
ɕ[1]戏熙[3]喜希[2]系
ts[1]济{好，优，通常只能和“不”搭配，不～}[3]绩挤[2]剂集
tsʰ[1]妻呲{～牙}
[3]七漆□{接近地面或其他事物，意同“□tsʰyə”，～地}[2]齐
s[1]西细[3]洗惜溪[2]席息习
#u
Ø[1]屋雾乌[3]五舞武捂[2]梧误
p[1]□{小孩儿对姑姑的称呼}[3]补不[2]部步布{儿}
pʰ[1]铺[3]普谱{儿}葡菩扑朴蒲
m[1]木目幕墓牧[3]母{儿}牡亩模拇[2]睦慕沐
f[1]富妇幅麸[3]斧福夫符府抚肤腐敷[2]负腹阜服付副扶浮芙缚父复
t[3]堵赌肚[2]度读毒镀
tʰ[3]吐土凸秃突徒[2]涂图兔途唾{～沫}
n[3]奴努[2]怒
l[1]录鹿[3]卤{～子}鲁炉[2]路露陆
k[1]姑孤固雇菇咕辜[3]鼓古骨股谷榖估[2]顾故
kʰ[1]库枯[3]哭苦窟骷[2]酷裤
x[1]呼{风～～地刮}[3]虎葫[2]户湖护壶蝴糊
tθ[1]组租[3]阻足族
tθʰ[1]粗醋[3]蹴{因紧急而摔着，～着手，～着脚}[2]促
θ[1]素酥塑[3]苏[2]诉俗速
tʃ[3]竹[2]筑烛
tʃʰ[1]初[3]□{傻傻地站着}楚[2]怵畜锄触
ʃ[1]淑梳疏漱[3]数属[2]熟{熟悉，～人}墅恕
ts[1]猪朱诸{地名，～城}珠株[3]主煮嘱注[2]住柱祝助
tsʰ[1]□{把带子往里收紧，□裤腰带}[3]出□{皱巴巴的样子，～～}储[2]橱除厨处
s[1]书输舒姝蔬[3]叔鼠暑黍薯[2]树赎竖术
#y
Ø[1]玉育[3]雨语尾{～巴}[2]鱼狱浴
tɕ[1]聚锯居句距[3]举橘桔菊[2]局剧
tɕʰ[1]去[3]区蛐{儿}曲
ɕ[1]虚絮[3]旭吸
ts[3]足{知～}
tsʰ[1]蛆[3]取娶
s[3]需宿[2]徐婿
#a
Ø[3]啊阿
p[1]疤粑□{屋～}耙{一种农具使用方法～地}[3]八把巴剥{～皮}[2]爸拔霸坝膊{胳～}把{刀～}
pʰ[1]怕趴扒[2]爬耙{{一种农具}
m[1]妈抹{擦得意思，～桌子}[2]麻蚂抹{名词，～布}蟆
f[3]发{～放}法[2]罚乏{身体疲劳，解～}阀
t[1]大[3]打耷哒搭[2]答达
tʰ[3]塔塌遢[2]踏
n[1]□{大拇指和中指伸直的距离为一～}[3]哪[2]拿娜
l[1]辣蜡[3]邋垃拉[2]腊落
