序号	例字	注释	古晋	揭西
1	多		to44	tou44
2	拖		tʰo44	tʰou44
3	他		ki24	ki24
4	駝		tʰo24	tʰou24
5	馱		ta24	tʰou24
6	舵		tʰo31	tʰou31
7	大		tʰai31	tʰai31
8	哪		na31	na31
9	那		la31	kai24
10	羅		lo24	lou24
11	鑼		lo24	lou24
12	籮		lo24	lou24
13	蘿		lo24	lou24
14	左		ʦo31	ʦou31
15	佐		ʦo31	ʦou31
16	歌		ko44	kou44
17	哥		ko44	kou44
18	個		kai52	kai52
19	可		ko31	kou31
20	蛾		ŋo24	ŋou24
21	鵝		ŋo24	ŋou24
22	俄		ŋo24	ŋou24
23	我		ŋai24	ŋai24
24	餓		kʰuei31	kʰuei31
25	荷		ho24	hou24
26	何		ho24	hou24
27	河		ho24	hou24
28	荷		ho24	hou24
29	賀		heu31	heu31
30				
31	阿		a44	a44
32	茄		kʰio24	kʰiou24
33	波		po44	pou44
34	菠		po44	pou44
35	簸		poi52	pou44
36	跛		pei24	pei24
37	簸		poi52	pun52
38	坡		po44	pou44
39	玻		po44	pou44
40	破		pʰo52	pʰou52
41	婆		pʰo24	pʰou24
42	薄		pʰok2	pʰok2
43	魔		mo24	mou24
44	磨		mo24	mou24
45	摩		mo24	mou24
46	朵		to31	tou31
47	躲		kʰaŋ52	kʰaŋ52
48	橢		tʰo31	tʰou31
49	糯		no31	nou31
50	騾		lo24	lou24
51	螺		lo24	lou24
52	腡		lo24	lou24
53	囉		lo44	lou44
54	摞		tʰiap5	tʰiap5
55	坐		ʦʰo44	ʦʰou44
56	座		ʦʰo44	ʦʰou44
57	蓑		so44	sou44
58	梭		so44	sou44
59	唆		so44	sou44
60	鎖		so31	sou31
61	瑣		so31	sou31
62	過		ko52	kou52
63	鍋		bok2	vok2
64	果		ko31	kou31
65	裹		ko31	kou31
66	餜		ko31	kou31
67	過		ko52	kou52
68	科		kʰo44	kʰou44
69	棵		kʰo44	kʰou44
70	顆		liap2	kʰou44
71	課		kʰo52	kʰou52
72	火		fo31	fou31
73	夥		fo31	fou31
74	伙		fo31	fou31
75	貨		fo52	fou52
76	和		fo24	fou24
77	禾		bo24	vou24
78	禍		fo52	fou52
79	和		fo24	fou24
80	瘸		kʰio24	kʰiou24
81	靴		hio44	hiou44
82	巴		pa44	pa44
83	芭		pa44	pa44
84	疤		pa44	pa44
85	把		piaŋ33	piaŋ33
86	垻		pa52	pa52
87	爸		pa44	pa44
88	怕		kiaŋ44	kiaŋ44
89	帕		pʰa52	pʰa52
90	爬		pʰa24	pʰa24
91	琶		pʰa24	pʰa24
92	杷		pʰa24	pʰa24
93	鈀		pʰa24	pʰa24
94	耙		pʰa24	pʰa24
95	麻		ma24	ma24
96	蟆		ma24	ma24
97	媽		mei44	mei44
98	痲		ma24	ma24
99	馬		ma44	ma44
100	碼		ma31	ma31
101	駡		ma52	ma52
102	拿		na44	na44
103	茶		ʦʰa24	ʦʰa24
104	搽		ʦʰa24	ʦʰa24
105	查		ʦa44	ʦa44
106	渣		ʦa44	ʦa44
107	詐		ʦa52	ʦa52
108	榨		ʦa52	ʦa52
109	炸		ʦa52	ʦa52
110	叉		ʦʰa44	ʦʰa44
111	杈		ʦʰa52	ʦʰa52
112	差		ʦʰa44	ʦʰa44
113	岔		ʦʰa44	ʦʰa44
114	查		ʦʰa24	ʦʰa24
115	沙		sa44	sa44
116	紗		sa44	sa44
117	厦		ha31	ha31
118	家		ka44	ka44
119	加		ka44	ka44
120	嘉		ka44	ka44
121	傢		ka44	ka44
122	假		ka31	ka31
123	假		ka31	ka31
124	架		ka52	ka52
125	駕		ka52	ka52
126	嫁		ka52	ka52
127	稼		ka44	ka44
128	價		ka52	ka52
129	牙		ŋa24	ŋa24
130	芽		ŋa24	ŋa24
131	衙		ŋa24	ŋa24
132	蝦		ha24	ha24
133	嚇		hak2	hak2
134	霞		ha24	ha24
135	瑕		ha24	ha24
136	下		ha44	ha44
137	夏		ha31	ha31
138	下		ha44	ha44
139	夏		ha31	ha31
140	鴉		a44	a44
141	丫		a44	a44
142	椏		a44	a44
143	啞		a31	a31
144	亞		a44	a44
145	姐		ʦe24	ʦei24
146	借		ʦia52	ʦia52
147	笡		ʦia52	ʦia24
148	寫		sia31	sia31
149	卸		ha44	sia52
150	邪		sia24	sia24
151	斜		ʦʰia52	ʦʰia24
152	謝		ʦʰia31	ʦʰia31
153	爹		tia44	tia44
154	遮		ʧa44	ʧa44
155	者		ʧa31	ʧa31
156	蔗		ʧa52	ʧa52
157	車		ʧʰa44	ʧʰa44
158	扯		ʧʰa31	ʧʰa31
159	蛇		ʃa24	ʃa24
160	射		ʃa31	ʃa31
161	奢		ʃa44	ʃa44
162	捨		ʃa31	ʃa31
163	舍		ʃa31	ʃa31
164	社		ʃa44	ʃa44
165	惹		ŋia44	ŋia44
166	耶		ʒai24	ʒai24
167	爺		ʒa24	ʒa24
168	椰		ʒai24	ʒai24
169	也		ʒa44	ʒa44
170	野		ʒa44	ʒa44
171	夜		ʒa31	ʒa31
172	傻		ŋa52	ŋa52
173	瓜		kua44	kua44
174	寡		kua31	kua31
175	剮		kuat2	kua31
176	誇		kʰua44	kʰua44
177	侉		kʰua44	kʰua44
178	垮		kʰua31	kʰua31
179	跨		kʰua52	kʰua52
180	瓦		ŋua31	ŋua31
181	瓦		ŋua31	ŋua31
182	花		fa44	fa44
183	化		fa52	fa52
184	華		fa24	fa24
185	划	划船	pʰa44	vat5
186	華		fa24	fa24
187	蛙		kuai31	kuai31
188	補		pu31	pu31
189	譜		pʰu31	pʰu31
190	布		pu52	pu52
191	佈		pu52	pu52
192	鋪		pʰu44	pʰu44
193	普		pʰu31	pʰu31
194	鋪		pʰu52	pʰu52
195	怖		pu52	pu52
196	菩		pʰu24	pʰu24
197	脯		pʰu24	pʰu24
198	葡		pʰu24	pʰu24
199	部		pʰu31	pʰu31
200	簿		pʰu44	pʰu44
201	步		pʰu31	pʰu31
