聲母	韻母	聲調	漢字	註釋
ts	ɿ	[1]	豬	2
ts	ɿ	[1]	諸	
ts	ɿ	[1]	蛛	1
ts	ɿ	[1]	株	2量詞,用於樹
ts	ɿ	[1]	朱	1
ts	ɿ	[1]	硃	1
ts	ɿ	[1]	珠	1
ts	ɿ	[1]	支	
ts	ɿ	[1]	枝	2
ts	ɿ	[1]	肢	
ts	ɿ	[1]	資	
ts	ɿ	[1]	姿	
ts	ɿ	[1]	諮	
ts	ɿ	[1]	脂	～油:豬油
ts	ɿ	[1]	之	
ts	ɿ	[1]	芝	
ts	ɿ	[3]	主	1
ts	ɿ	[3]	紫	
ts	ɿ	[3]	指	戒～
ts	ɿ	[3]	子	
ts	ɿ	[3]	籽	
ts	ɿ	[3]	梓	
ts	ɿ	[3]	止	
ts	ɿ	[3]	址	
ts	ɿ	[3]	齒	
ts	ɿ	[3]	嘴	
ts	ɿ	[5]	注	
ts	ɿ	[5]	蛀	
ts	ɿ	[5]	鑄	
ts	ɿ	[5]	註	1
ts	ɿ	[5]	志	
ts	ɿ	[5]	誌	
ts	ɿ	[5]	痣	
ts	ɿ	[5]	醉	1
ts	ɿ	[12]	□	～□兒lian⁴⁵:知了
ts	ɿ	[12]	滋	～味:鹹
ts	ɿ	[12]	□	～栗兒:一種栗子
tsʰ	ɿ	[1]	雌	
tsʰ	ɿ	[1]	吹	1
tsʰ	ɿ	[3]	取	
tsʰ	ɿ	[3]	此	
tsʰ	ɿ	[5]	處	～所
tsʰ	ɿ	[5]	趣	
tsʰ	ɿ	[5]	戍	～裏:家裏
tsʰ	ɿ	[5]	次	
tsʰ	ɿ	[5]	試	1
dz	ɿ	[2]	除	
dz	ɿ	[2]	儲	
dz	ɿ	[2]	廚	
dz	ɿ	[2]	櫥	
dz	ɿ	[2]	殊	
dz	ɿ	[2]	錘	
dz	ɿ	[4]	聚	1
dz	ɿ	[4]	柱	1
dz	ɿ	[6]	住	
dz	ɿ	[0]	□	搗臼～:杵
dz	ɿ	[9]	槌	□mom¹¹～:棒槌
dz	ɿ	[9]	□	□tuoʔ⁵～:幫助挑擔用的棍子
s	ɿ	[1]	梳	
s	ɿ	[1]	書	1
s	ɿ	[1]	舒	
s	ɿ	[1]	輸	1
s	ɿ	[1]	篩	米～
s	ɿ	[1]	斯	
s	ɿ	[1]	施	
s	ɿ	[1]	私	
s	ɿ	[1]	師	
s	ɿ	[1]	獅	
s	ɿ	[1]	司	
s	ɿ	[1]	絲	
s	ɿ	[1]	思	
s	ɿ	[1]	尿	1
s	ɿ	[3]	數	動詞
s	ɿ	[3]	死	
s	ɿ	[3]	使	
s	ɿ	[3]	史	
s	ɿ	[3]	駛	
s	ɿ	[3]	始	
s	ɿ	[3]	髓	1
s	ɿ	[3]	水	1
s	ɿ	[5]	歲	
s	ɿ	[5]	稅	
s	ɿ	[5]	賜	
s	ɿ	[5]	試	2
s	ɿ	[9]	螄	螺～
s	ɿ	[12]	□	牆～板:修築土牆時用的木製模板
z	ɿ	[2]	徐	1
z	ɿ	[2]	如	
z	ɿ	[2]	孺	新～人:新娘
z	ɿ	[2]	瓷	
z	ɿ	[2]	糍	
z	ɿ	[2]	慈	
z	ɿ	[2]	磁	
z	ɿ	[2]	辭	
z	ɿ	[2]	詞	
z	ɿ	[2]	祠	
z	ɿ	[2]	時	
z	ɿ	[2]	隨	
z	ɿ	[2]	□	脾臟
z	ɿ	[4]	序	1
z	ɿ	[4]	豎	
z	ɿ	[4]	氏	
z	ɿ	[4]	似	
z	ɿ	[4]	祀	
z	ɿ	[4]	巳	
z	ɿ	[4]	士	
z	ɿ	[4]	仕	
z	ɿ	[4]	柿	
z	ɿ	[4]	市	
z	ɿ	[6]	署	
z	ɿ	[6]	樹	1
z	ɿ	[6]	視	
z	ɿ	[6]	字	
z	ɿ	[6]	寺	
z	ɿ	[6]	飼	
z	ɿ	[6]	事	
z	ɿ	[6]	侍	
z	ɿ	[6]	睡	
z	ɿ	[9]	薯	番～:白薯
p	i	[1]	鞭	
p	i	[1]	編	
p	i	[1]	屄	
p	i	[3]	比	
p	i	[3]	扁	
p	i	[3]	匾	
p	i	[3]	蝙	
p	i	[5]	輩	1過～哇:死了
p	i	[5]	蔽	
p	i	[5]	弊	
p	i	[5]	幣	
p	i	[5]	庇	
p	i	[5]	痹	
p	i	[5]	變	
p	i	[5]	遍	
pʰ	i	[1]	批	
pʰ	i	[1]	篇	
pʰ	i	[1]	偏	
pʰ	i	[5]	屁	
pʰ	i	[5]	騙	
pʰ	i	[5]	片	
b	i	[2]	皮	
b	i	[2]	脾	
b	i	[2]	琵	
b	i	[2]	枇	
b	i	[2]	肥	1洋～皂
b	i	[2]	便	～宜
b	i	[2]	□	層,量詞
b	i	[4]	被	被子
b	i	[4]	辨	
b	i	[4]	辯	
b	i	[6]	璧	
b	i	[6]	吠	狗叫
b	i	[6]	避	
b	i	[6]	篦	
b	i	[6]	便	方～
b	i	[11]	別	1～樣:別的東西
m	i	[2]	迷	
m	i	[2]	彌	
m	i	[2]	眉	
m	i	[2]	楣	
m	i	[2]	綿	
m	i	[2]	棉	
m	i	[4]	米	
m	i	[4]	未	2副詞
m	i	[4]	免	
m	i	[4]	勉	
m	i	[10]	□	～□tɕʰi⁵⁵蟲:孑孓
