#a
p[1]巴疤粑扒[2]八拔捌[3]把靶㞎{大便}[5]吧罢霸坝
pʰ [1] 趴啪琶[2]爬[5]怕帕
m[1] 妈[2]麻抹[3]马码蚂[5]骂
f[1]□{说某个人不会打扮，很土}[2]发法罚伐乏筏阀
t [2]答达搭[3]打[5]大
tʰ [1]他她它[2]踏塔塌
n[1]拉啦垃[2]辣蜡腊拿纳呐钠[3]喇邋[5]娜那
ts[1]喳吒渣[2]杂砸扎咂炸轧[3]眨[5]榨诈炸
tsʰ[1] 叉[2]查插茶察擦[5]岔
s[1]沙纱莎萨[2]杀煞[3]傻撒洒
k[3]嘎 
kʰ[1]□{角落}[3]卡[5]胯{大腿内侧}
x[1]哈[2]搳{挠人}[3]□{笨}[5]下{ 白，一 会儿}
Ø [1]啊阿[5]那{白}

#o
p[1]包胞苞[2]薄剥拨[3]饱保堡宝[5]抱报暴爆豹
pʰ [1]抛[3]跑[5]炮泡
m[1]猫[2]毛模矛[3][5]冒帽貌茂贸
t[1]多[2]夺铎[3]朵躲[5]垛跺惰堕
tʰ [1]拖[2]脱托驮驼[3]妥
n [1]罗[2]挪落锣烙箩螺萝洛骆逻络骡[3]裸[5]懦糯
ts  [2]捉桌着啄拙卓酌作昨[3]左[5]坐座
tsʰ[1]搓[2]撮戳[3]□{跌倒}[5]错措挫 
s[1]梭唆[2]索缩说硕烁[3]锁所琐[5]芍
z[2] 若弱
k[1]锅哥歌[2]郭割各阁[3]裹果[5]过个
k[1]棵科柯[2]渴磕嗑[3]可颗[5]课
x[1]喝[2]和河禾何荷盒活和[3]火伙[5]贺货祸郝
ŋ [2]□{凶悍}[3]我
Ø  [1]喔□{拉屎}窝蜗[2]握鹅蛾俄娥恶[5]卧饿

#ᴇ
p伯白百北
pʰ[2]培赔陪拍
m[2]玫媒梅麦
f[2]肥
t[2] 得德
tʰ[2]特
ts[1]遮[2]贼
tsʰ[1]车[2]撤彻澈[3]扯
s[3]舍
z[2] 热
k [2] 客咳刻[5]去 
x[2]黑核

#ɚ
Ø  [2]儿而[3]耳[5]二

#iᶽ
p [1]屄{女性生殖器}[2]笔鼻碧逼毕[3]比匕[5]闭避币弊陛蔽 
pʰ [1]屄{女性生殖器} [2]皮匹脾疲[3]坯痞鄙[5]屁
m[1]眯咪[2]密迷蜜谜秘弥[3]米[5]沕{游泳时潜水}
t[1]低[2]敌滴涤笛迪狄[3]底抵[5]帝递地第弟 
tʰ [1] 梯[2]提题踢蹄[3]体[5]替剃
n[2]泥逆尼妮倪[3]你拟[5]腻
tɕ [1]机鸡基肌饥讥[2]及急积级极激吉击迹集[3]几挤[5]记既计季寄纪际妓
tɕʰ [1]期妻欺凄[2]其七齐骑棋奇漆柒[3]起启[5]气汽企弃
ɕ [1]西稀熙希[2]吸席熄锡膝息袭惜习夕悉[3]洗喜[5]细戏系
Ø  [1]衣依医[2]一移乙仪益姨揖彝[3]已以椅蚁[5]易亿意毅忆义议异

#ɿ
ts[1]姿咨之知支芝枝蜘肢脂[2]直汁织职植执值侄[3]指子紫籽纸址止趾旨[5]字自志至致智治制
tsʰ [1]痴齿[2]吃尺迟池赤持斥弛词瓷慈雌磁辞[3]耻侈此[5]次赐
s [1]师狮施诗尸丝撕私思嘶司斯[2]十时室石失湿拾实释[3]使史屎驶始死[5]四似寺肆嗣饲是试示士世誓势
z [2]日 

#uᶹ
p[1]□{∽tu[1]：气球}[2]不[3]补[5]步布部怖
pʰ[1]铺[2]扑仆朴瀑葡蒲菩[3]谱浦普[5]铺{床}
m[1]□{傻} [2]木目[3]母姆
f[1]敷呼糊[2]扶浮福伏服符湖壶胡狐蝴葫[3]虎斧[5]副负付户互护 
t [1]嘟[2]读毒独[3]堵赌睹[5]度渡肚镀
tʰ [2]图涂秃徒突途[3]土吐[5]兔
n [1]□{教唆}[2]录鹿陆炉卢芦庐[3]努鲁卤[5]露怒路
ts[1]猪株珠蛛朱诸租[2]竹筑逐烛祝[3]主煮组阻祖诅[5]住柱助蛀铸注驻 
tsʰ [1]初粗[2]出锄除橱储厨[3]楚[5]醋处
s[1] 书输梳蔬舒殊疏苏[2]熟叔术[3]数暑鼠[5]素诉树
z[1]擩{递给别人东西}[2]如入[3]汝乳
k[1]孤姑[2]谷骨[3]股古鼓[5]故顾固雇
kʰ[1] 枯[2]哭[3]苦[5]库裤
v[1]乌污[2]屋物吴[3]五舞武伍午[5]捂雾误

#iu
tɕ [2]局菊鞠
tɕʰ[2]曲屈渠
ɕ [2]俗宿肃

#yᶽ
tɕ  [1]居[3]举[5]巨具剧聚拒
tɕʰ [1]区趋驱蛆[3]取娶[5]趣
ɕ [1]需须虚[2]徐[3]许[5]叙绪  
Ø [1]迂[2]鱼余渔[3]雨语羽[5]遇玉

#ae
p[1]被{瘸} [2]伯[3]摆[5]败拜
pʰ[2]拍牌陪赔培[5]派
m [2]煤枚眉玫梅媒麦埋[3]买美[5]卖迈
f [2]肥
t[1]呆[3]逮歹[5]带代戴袋贷
tʰ [1]胎[2]抬台苔[5]太态泰汰
n [1]奶[2]来[3]乃[5]耐奈赖
ts [1]斋灾栽[2]摘择宅[3]宰崽[5]在再载债寨 
tsʰ[1]差猜[2]才材财柴豺[3]采踩彩[5]菜蔡
s[1]鳃筛[3]舍[5]晒塞
k[1] 该[3]改[5]盖钙介界戒械
k[1]开揩[2]刻客[3]凯楷[5]概□{小缺口}
x[2]孩核还鞋[3]海[5]害

#eɪ
p[1]背杯碑悲[2]北白百佰[3][5]被倍贝辈
pʰ[1]批披[5]配沛
m[1]没[2][3]美[5]妹昧
f[1]非飞[2][3]匪[5]费肺废□{调皮}

#ʌɤ
p[1]波播玻[2]拨
pʰ[1]坡[2]泼婆[3][5]破
m[1]摸[2]魔[3][5]
t[1]刀叨[3]岛[5]到道盗稻蹈导
