
ɿ
n		奴	努弩	怒
l	碌（骨~）噜（咕~）			辘（轱~）芦
ʦ	租猪诸朱珠诛蛛株	竺卒	主阻嘱煮拄祖组	著注蛀铸驻柱住
ʦʰ	粗初	锄除雏	储楚处杵	醋畜促
s	苏酥梳蔬舒枢淑书 输殊	赎俗=	暑鼠黍薯数（动词） 粟蜀	素诉塑=  嗉庶数（名 词）戍竖树漱墅
z		如儒	乳擩辱孺	褥
k	姑孤箍估		古股鼓蛊	故固雇顾
kʰ	枯窟		苦	库裤酷
x	呼乎	胡湖狐壶斛	虎浒	互护户
y
阴平42	阳平 413	上声 53	去声 24
n			女
l		驴	吕旅捋缕屡履	虑滤律率绿=
ʨ	居车（下棋）拘驹	局	举	锯巨矩拒距聚俱句 具剧
ʨʰ	蛆趋区蛐	渠瞿	取娶	去=趣
ɕ	墟虚嘘须需吁	徐栩	许	序叙绪絮续婿
Ǿ	淤迂	鱼渔于余愚虞娱盂 榆	语雨宇禹羽	预御寓=喻=域=玉-
a
阴平42	阳平 413	上声 53	去声 24
p	巴疤芭	拔冹（冰冷）	把（量词）靶□（~ 尿）	霸坝爸罢
pʰ	乓-	耙爬钯	□（豁出去）	怕帕
m	妈	麻	马码	蟆骂
f		乏伐筏罚
v	蛙娲哇	娃	瓦（名词）挖	瓦（动词）袜
t	瘩□（~~ ，父亲）		打	大
tʰ	他
n		拿	哪	娜=钠=
l	拉垃啦	□（间隙大）	喇	辣腊落（丢失）
ʦ	渣喳□（乱踩）	砸炸（油~）铡杂	咋闸眨=	诈榨炸（~弹）乍栅
ʦʰ	差（~别）叉（~子）	茶搽查茬	叉（~腰）	杈差（~不多）岔
s	沙纱砂 鲨裟□ （ ~ 摸，寻找）		啥洒傻撒	厦萨□（挑选）
k		尬嘎
kʰ	咖		卡（~片）
x	哈□（吸入）		□（不好，不优秀）
Ǿ	啊阿
ia
阴平42	阳平 413	上声 53	去声 24
p	□（打枪声）
pʰ	□（象声词）
n	□（吃东西的声音）
ʨ	家加痂嘉佳袈		假（真假）贾	假（放假）架驾嫁 价
ʨʰ	掐（~脖子）		卡-（~子）	恰洽
ɕ	虾	霞匣瑕遐峡狭		下夏吓
Ǿ	鸦丫呀压（~力）	牙芽衙涯崖	雅哑	亚轧压（~住）
ua
阴平42	阳平 413	上声 53	去声 24
ʦ	抓		爪
ʦʰ	□（象声词）	□（~饼）	□（打翻）
s	唰□（~口）		耍
z		□（揉乱）
k	瓜呱	褂挂卦	剐寡
kʰ	夸	跨胯	垮□（~子，口音难 懂的人）
x	花哗	华（中~）划滑猾		话化画（动词）
ɤ
阴平42	阳平 413	上声 53	去声 24
pʰ	波菠玻膊播（~放）	薄帛博脖	播（~粮食）	簸（~箕）
p	坡颇	婆		破
m	馍（~~）	磨（~刀）魔摩模（~ 范）摹膜	抹	磨（磨盘）没=（~过）
f		佛
v	倭踒蜗窝喔□（~一 ~ ，暖和）		我	卧
n	屙	蛾鹅娥讹（~人）		饿
l				乐=
ʦ	遮		者
ʦʰ	车		扯
s	奢赊	蛇佘舌折（~断）	舍	射麝赦社
z			惹	热=
k	哥=歌戈			个=（~人）
kʰ	可（~点了）科棵颗		可（~以）	课
x	呵	河何荷合盒		贺
Ǿ	阿=（~胶）
uɤ
阴平42	阳平 413	上声 53	去声 24
t	多□（打）		朵躲垛	舵剁堕惰
tʰ	拖	驼（~队）驮鸵	妥椭	唾
n		挪
l	啰	罗骡螺萝锣	裸	骆摞
ʦ		镯	左佐撮（量词）	坐座
ʦʰ	搓			错
s	唆嗦		锁琐所
z		挼（两手相揉搓）
k	过锅蝈		果裹=	过
kʰ	□（打）			嗑（~瓜子）
x		活（~的）和（~面）	火	货祸
ɛi
阴平42	阳平 413	上声 53	去声 24
p	杯背（~包）碑卑悲	白	摆	贝拜败背（脊~）辈 倍被= 卜
pʰ	胚坯（土~）呸（表 斥责或唾弃）	牌排徘培陪赔裴		沛派配佩
m		埋梅枚媒煤霉楣眉=	买每美	卖迈妹昧魅
f	非飞妃菲	肥淝	匪翡诽	废肺吠费
v	危微威歪	为（作~）维惟唯违 围	伪萎委尾（末~）伟 苇纬	外卫喂为（因~）位 未味魏
t	呆		逮掸（~子）	戴带贷待怠代袋大 （~夫）
tʰ	胎苔（牙~）	台抬苔（青~）		太泰态
n	挨（~着）捱（~打）	挨（~打）	乃奶癌馁	耐奈爱内那-（~个）
l		来雷	累（积~）垒磊	赖癞累（劳~）类泪 肋
ʦ	灾栽斋	贼宅	宰载	在债寨
ʦʰ	猜差（出~）	才材财裁豺柴	彩睬踩采	菜蔡
s	腮鳃筛（~选）塞-（堵 ~）		筛（~子）甩（~干）	赛晒塞（~外）
k	该		改给	概溉盖丐
kʰ	开		凯慨楷铠
x	嗨嘿	孩	海	亥害骇
uɛi
阴平42	阳平 413	上声 53	去声 24
t	堆			对队兑
tʰ	推	颓	腿	退蜕褪
ʦ	追锥		嘴	最罪缀赘醉坠拽
ʦʰ	催崔锤炊吹揣（ ~ 着）	垂锤槌	□（摸）	脆翠粹
s	虽衰摔	随隋遂绥谁	髓水	碎岁税睡隧穗率蟀
z			蕊=	芮锐瑞
k	乖圭闺规龟归		拐诡轨癸鬼	怪桂柜贵鳜
kʰ	盔亏窥	奎逵葵魁		会（~计）溃快筷跪 愧
x	灰挥辉徽	回茴怀槐淮	悔毁	贿会绘坏惠慧秽讳 汇
ɔu
阴平42	阳平 413	上声 53	去声 24
p	包胞苞	雹=	保宝饱	报抱暴菢豹爆鲍曝
pʰ	抛剖	袍刨	跑	泡炮
m	□（看）猫	毛茅矛	卯牡铆□（无聊， 烦人，不招人待见）	冒帽貌茂贸
t	刀叨	捯（~腾）	祷岛倒（~卖）导捣	到倒（~车）道稻盗
tʰ	滔掏涛萄	桃逃淘陶	讨	套
