



陰平44陽平51去聲213

零聲母q

ɿ
ts1資姿滋=茲=孜咨支枝肢脂芝輜=
2紫姊子籽梓=滓=旨止址趾紙指(用於動詞)
5自字牸(~牛)志誌止(~有)痔指(手~頭,只用於名詞)孜(~然,一種調料)
tsʰ1□(用水~)
2雌=疵=瓷(~實)餈=(~巴)垐(~實)慈磁詞祠辭遲此□(橡皮,)齒
5刺賜次伺食飼翅秩
s1思絲司私斯撕廝施師獅尸屍詩
2死時鰣=匙史使駛始屎矢
5四肆似寺氏是示視士仕市柿事試廁-(茅~坑)
ʅ
tʂ1知蜘梔=(~子花)隻(一~、兩~)汁
2直值(~錢)執侄
5治智置制製滯至致稚雉職值(~班)植織殖質炙=擲
tʂʰ1癡
2池馳持恥侈
5飭喫赤斥尺
ʂ2什十拾實食蝕石適室
5世勢誓逝嗜=矢豉(豆~)溼濕失飾式識釋
ɻ5日

ɚ
2兒而爾耳餌□(扔)
5二貳

i
p1屄
2鼻比秕鄙彼=
5蓖篦被(~臥)婢=陛髀蔽敝弊幣斃閉箅(~子)避譬備痹(麻~)庇泌-碧逼壁筆畢必弼愎=潷璧=
pʰ1批砒𤿎披霹匹皮(~牙子,洋蔥)
2皮疲枇琵脾
5屁劈僻
m1咪眯□(藏)
2迷米彌糜(~子)𪎭(~子)
5謎秘泌=靡蜜密覓
t1低堤=滴
2的(~確)嫡=笛迪敵狄糴=底抵抵
5弟第遞帝地倜(~儻)
tʰ1梯
2題提蹄啼體堤-
5替涕剃屜嚏踢剔惕
l2離籬璃梨黎犂厘狸釐李里裏鯉禮
5利痢荔吏例厲勵麗隸力粒笠立栗曆歷瀝
tɕ1雞饑飢肌几(茶~)基機譏稽擊激鯽屐(木~)
2急給(供~)極級及擠幾(~個)己蟣
5技妓紀記薺=濟劑際祭寄冀忌既季髻繫(~扣兒)計繼藉脊跡積疾吉緝集即戟績寂
tɕʰ1妻棲淒其欺期漆
2奇騎琦祈旗棋鰭祁岐臍齊芪企起杞豈啟戚
5氣汽棄器徛砌契去-(來~)泣乞訖七
ȵ2尼泥倪霓你爾
5膩擬匿溺逆
ɕ1西溪犀希稀嘻嬉兮奚畦=攜息熄昔錫惜析膝
2洗嬉喜熙徙璽席習襲悉
5戲犧系繫係細媳吸隙
q1醫伊衣依沂溢
2飴=疑姨夷遺宜以已矣椅倚蟻尾(~巴)胰(~子)
5儀毅異意肄(~業)易(難~ 交~)議義誼縊=藝疫役憶億抑翼逸=一益亦譯揖(作~)

u
pf3補
5布佈怖部步埠不卜
pfʰ1鋪(~設)撲
2蒲葡脯甫捕潽普譜圃醭僕瀑=樸殕
5鋪(店~)
m2模(~子)某謀畝牡母姆拇
5暮慕墓募木目穆牧幕苜睦
f1夫膚敷麩書舒梳蔬疏輸殊叔
2芙扶俘孚浮府腑俯斧腐輔釜否複(~習)腹伏袱服蝠符跗(~面)撫阜(~康縣）樞暑薯署-數(~錢)熟贖屬蜀
5父付賦赴訃附孵富副婦負復(~原)服(~藥)覆幅福縛=恕庶樹輸(運~)戍豎數(~學)漱(~口)述術淑
v1烏汙誣巫無屋
2吳蜈梧吾五午鵡侮舞武儒乳擩汝辱褥
5悟誤惡(可~)霧戊物勿杌沃握(把~)如
tf1都(首~)督
2堵賭肚(豬~)獨讀牘犢毒
5肚(腹~)杜妬度渡鍍
tfʰ1突禿
2徒屠途塗圖土吐(~痰)
5兔吐(嘔~)唾(~沫)
n3奴努
5怒
l2盧蘆廬魯櫓虜鹵滷
5路賂露(~水)陋陸鹿祿錄
tsf1租
2祖組阻足卒
5做
tsfʰ1麤
2族
5醋促猝(倉~)
s1蘇酥
2俗
5素訴(~說)塑嗉宿肅速束粟朔
tʂf1豬誅蛛株朱硃珠囑
2主拄煮軸逐燭术
5柱駐詿住蛀鑄著箸助築竹祝
tʂfʰ1初
2除儲鋤廚雛苧(~麻)褚楚礎處(相~)鼠帚觸
5處(~所)畜(~牲)出
kf1姑孤箍估
2古股鼓穀谷
5故固雇顧骨
kfʰ1枯窟
3苦
5庫褲絝哭酷
x1呼忽
2胡湖葫狐壺乎瓠虎滸核斛
5戶滬互護

y
l2驢呂旅縷履捋(~面)
5慮濾綠率律
tɕ1駒拘俱矩車(~馬礮)居
2舉局
5巨拒距聚據鋸懼具句桔鋦(~碗)劇菊
tɕʰ1蛆趨區驅瞿麯曲(~折)屈焌黢
2取娶渠曲(歌~)
5去=(~皮)趣
ȵ2女
ɕ1須需吁墟虛噓
2徐許
5序敘緒絮婿續戌畜(~牧)
q1淤迂邘
2魚漁虞愉逾孟於愚語羽禹宇雨
5娛愈芋喻裕遇寓禦與譽預豫浴欲獄玉育鬱？郁域

a
p1巴笆疤芭扒
2把(一~刀)父爸□(~屎)拔鈸
5罷壩把(柄)伯霸耙八
pʰ1帕𤆵(肉~)
2爬杷琶
5怖怕
m1母媽
2麻馬碼螞
5罵抹(~布)
f2耍罰筏伐乏法(方~)刷
5發髮法(~院)
v1蛙窪穵挖
2娃瓦䜺挼
5韤
t1搭答(~應)褡耷
2打達
5大答(回~)搭(~衣服)
tʰ1他它
2踏沓遝榻蹋
5撮溻塌塔獺
n2拿哪納(~斯,維吾爾語借詞)
