ɚ
Ǿ[1]儿[3]耳而[5]二

ɿ
ts[1]资姿滋咨[3]紫子只{~有}纸旨指={~挥}止址姊[5]自={~习}滞治志{~向，杂~}
tsʰ[1]兹慈磁{~石}瓷{~器}辞词雌祠={~堂}[3]此[5]自-{~己}字刺赐次翅{~膀}
s[1]斯撕丝思私司尸诗时师狮祠{晋~}[3]死史始驶使{大~}使{~用}[5]肆四似巳{辰~}祀{祭~}寺饲嗣施是示视士事{～儿}市柿试{～一下}

ʅ
tʂ[1]知{~道}蜘只{一~}支枝肢直栀{~子花}之芝执值职脂殖{~民}植[5]汁织智致质{人~}稚至置秩{~序}痣质{~量}
tʂʰ[1]痴池驰迟持[3]耻齿豉{豆~}[5]制{~度，~造}吃尺赤斥
ʂ[1]食识石室[5]世势逝士仕氏侍誓室饰式释试={考～}事={～故}

i
p[1]鼻={~祖}[3]彼比[5]逼鄙笔蔽敝弊币毙闭臂篦毕必碧璧壁={~纸}
ph[1]鼻-{~子}批坯披皮疲脾[3]匹[5]避劈屁僻辟被{~子}
m[1]迷弥眉-{~眼}[3]米[5]谜{~语，破~}秘觅密
t[1]低的{~确}敌狄[3]底抵[5]第帝
tʰ[1]堤笛梯题提啼蹄体[5]弟递地踢剔涕剃惕
l[1]梨犁离{1~别}篱黎厘狸[3]李里{~程，~外}礼鲤理[5]离{2~开}厉力隶荔利痢粒笠栗历{~史，日~}励丽例{2}
tɕ[1]鸡机饥基讥积激急级及疾吉极[3]几{~乎}挤己几{~个}脊{~梁骨}脐{肚~眼}[5]稽击即祭{~拜}际济{救~}剂记计继季寄技妓纪既迹寂忌{~讳}绩
tɕʰ[1]妻{夫~}凄欺期其奇骑祁齐旗棋麒戚[3]祈启企起岂乞[5]气汽漆弃契去-{出~}泣器
ȵ[1]尼呢{~绒}泥宜疑衣{~裳}[3]你女-{~子}[5]腻逆溺意{故~}抑
ɕ[1]西习棲牺溪希稀席吸昔夕锡兮飞-{~虫儿}[3]膝洗喜擤{~鼻涕}[5]悉息熄析袭细系戏
Ǿ[1]医依一仪移夷姨遗衣{毛~}[3]蚁倚椅已以乙尾{~巴}[5]艺译义议意{~思}异逸忆亿翼易{容~，交~}疫役益
u
p[1]葡=[3]补不[5]布{~匹}步{散~}
pʰ[1]铺{~设，店~}脯仆浦葡蒲[3]捕谱普朴[5]怖部簿扑菩{~萨}
m[1]毛-{羊~}谋[3]母亩木拇□{躲老~~，一般不单用，连用表示捉迷藏}[5]牡暮慕墓幕目牧穆某
f[1]肤夫麸扶浮服伏俯跗缚芙幅蝠书输-{2运~}[3]敷府腑斧腐符黍暑鼠薯水-{喝~}[5]福辅付傅父附富副妇负复{~杂}腹复{重~}覆复{~原}赴睡-{~觉}
v[1]输{1~赢}输={2运~}如-{~意}儒[5]入务雾{~气}
t[1]毒={~素}笃牍[3]赌堵[5]督妒度渡镀杜={~鹃}肚{猪~}肚{腹~}
tʰ[1]突途图涂唾{~液}毒-{~气}屠[3]土[5]杜-{姓~}秃徒兔吐{~痰，呕~}
tsʰ[5]猝凿-
s[5]束{一~花}
tʂ[1]猪朱珠蛛逐诛株硃[3]煮主诸拄{~拐杖}[5]助{帮~}驻蛀著注{~解}铸住={~持}柱={~子}
