#ɿ
ts[1]之兹咨姿滋知脂芝蜘资[3]址姊子指旨止紫趾[5]志痣置致
tsʰ[1]疵雌[3]此耻齿[5]刺次
dz[2]持迟驰[4]痔稚[6]治
s[1]丝厮司咝嘶尸师思撕斯施私诗[3]使史始死[5]四肆试赐
z[2]慈时瓷磁祠而词辞饲[4]似士尔市是柿耳{文}[6]事字寺待氏示自视
#i
p[3]彼比[5]庇蔽鄙闭[7]壁必毕泌璧碧臂逼
pʰ[1]批披[5]屁[7]僻劈辟
b[2]枇{~杷}琵{~琶}疲皮脾[4]被[6]备币弊
m[2]楣眉谜迷靡[4]米美[6]味未
f[1]妃非飞[3]匪[5]废肺费
v[2]微肥
t[1]低[3]底抵[4]帝[7]嫡滴的{目~}
tʰ[1]梯[3]体[5]剃替涕[7]剔踢
d[2]啼堤提蹄题[4]弟[6]地第递[8]敌狄笛
l[2]厘梨犁璃{玻~}离篱黎[4]李理礼里鲤[6]利励厉吏荔{~枝}隶[8]力历
tɕ[1]几{~乎}基支机枝猪稽肌肢讥饥鸡[3]己煮纪纸[5]借制剂寄挤济祭系{~鞋带}继计记际[7]击只{量}激积织绩职脊迹鲫
tɕʰ[1]妻欺溪[3]企{又}启岂起鼠[5]器契弃气讫[7]尺戚斥砌赤
dʑ[2]企其奇岐旗期棋池祁骑鳍[6]値剧妓忌技极植殖滞{停滞}箸
ȵ[2]谊宜尼泥疑[4]你拟蚁议[6]义艺[8]孽聂逆
ɡ[2]佢{他}
ɦ[2]夷姨爷移系{联~}肄{~业}[4]已[6]以[8]亦异易翼腋译逸
Ø[1]依倚医衣[3]椅[5]亿忆意[7]抑益
#u
p[1]坡玻{~璃}菠[3]补谱[5]布怖
pʰ[1]铺{动}[3]普浦铺{店~}[5]破{文}
b[2]婆菩蒲[4]簿部[6]埠捕步[7]扑[8]仆卜
f[1]俘呼夫敷肤[3]伙俯府斧火腑[5]付傅讣货赋赴[7]复幅福腹蝠{蝙~}覆
v[2]何和壶河湖狐禾胡荷[4]侮户武父祸舞[6]互务护腐贺附雾[8]伏服
t[1]多[5]剁[7]督笃
tʰ[1]拖{又}[3]妥椭{~圆}
