tsɿ[1]支枝资[3]紫纸指子[5]志痣
tsʰɿ[1]初粗[2]池糍祠迟锄[3]治止字取助[5]刺试{~下子}
sɿ[1]思丝撕师施私须梳苏[2]时匙[3]豉{豆~}死屎寺士柿事使市[5]赐四驶史试{考~}
pi[1]□{发麻}[3]比[5]痹闭蓖蔽
pʰi[1]被婢[2]皮脾[3]鼻备[5]屁
mi[2]迷眉[3]米美[5]眯{目珠~起来}
fi[1]非挥辉[3]水[5]废肺慧费悔毁
vi[1]微威[2]违围[3]位胃魏[5]慰伟卫委
ti[1]知{~得}里{几多~；~片}[2]驴梨[3]李利{~钱}[5]帝
tʰi[1]提题[3]第地[5]体
li[1]吕铝[2]离[3]里{肚~}礼理丽痢利{~害}
tɕi[1]机饥基箕居拘[2]渠{他}[3]几举巨据[5]计划记忌济寄锯
tɕʰi[1]企区欺[2]奇齐旗骑[3]启起[5]气器
ɕi[1]希墟{赴~}[3]喜许序绪
ki[1]鸡系{~鞋带子}[3]解{~开}[5]计{无~哩}
kʰi[1]溪□{斥责}[3]□{疲劳累}
ʰi[5]去
ŋi[2]鱼艾
i[2]余愚禹[3]雨愉芋
pʉ[1]补布
pʰʉ[1]铺{~设}[2]菩普扶符[3]部步孵
mʉ[2]模摹[5]墓
fʉ[1]乎书输夫[2]胡狐殊[3]父负虎户互树[5]富附
vʉ[1]乌污诬[2]无{~锡}武舞[5]务雾
tʉ[1]都猪株[3]堵肚[5]著注
tʰʉ[1]柱[2]涂厨除[3]住土度[5]吐处
nʉ[2]奴努[3]怒
lʉ[1]虏[2]庐炉[3]路[5]鲁露
kʉ[1]姑箍[3]古鼓[5]故固顾
kʰʉ[1]枯[3]苦[5]裤
ŋʉ[3]误悟娱
pɛ[1]飞{~起来}杯悲碑[3]□{差劲}[5]背{~人}
pʰɛ[1]批[2]培陪牌[3]倍[5]佩配
mɛ[1]买每[2]埋[3]卖□{小气}
fɛ[2]回[3]汇会
vɛ[3]□{撒~谷子}
tɛ[1]低[3]底[5]对
tʰɛ[1]推□{搬~出来晒}[5]退替剃
nɛ[2]尼泥[3]内腻
lɛ[2]来犁雷[3]累儡类
tsɛ[5]最
tsʰɛ[2]摧锤槌[3]罪[5]脆
sɛ[2]垂随[3]洗[5]细岁婿
kɛ[1]□{唤狗声}[3]□{那~个人}
xɛ[3]系{是：~读书人}
ɛ[3]矮
kui[1]规归龟[3]鬼轨诡[5]季桂贵
kʰui[1]亏窥[2]葵[3]跪柜
ŋui[2]危[3]伪
mæ[3]亩
tæ[3]斗[5]斗{斗争}
tʰæ[1]偷[2]投头[3]豆[5]透
næ[2]□稠[3]纽{~子；~窟}
læ[2]楼[3]漏□{逗引}
tsæ[1]邹[3]走[5]皱
tsʰæ[1]□{拿}[3]□{要；讨}
sæ[1]搜[2]愁[5]瘦
kæ[1]勾钩[3]狗[5]够
kʰæ[1]厚[3]口[5]扣
xa[2]猴侯[3]后候
ŋæ[2]牛
æ[2]呕
pʰuæ[2]赔[3]背{耳脑~，~书}
muæ[2]梅媒枚[5]妹
fuæ[1]灰
tuæ[1]堆[5]碓
tʰuæ[1]胎推{~辞}[2]台[3]代贷[5]蜕
tsuæ[5]载
tsʰuæ[1]在{~屋下}[2]裁财材才[3]睬[5]菜
suæ[1]衰[3]睡[5]赛
kuæ[1]该[3]改[5]盖
kʰuæ[1]开
xuæ[3]海害
ŋuæ[2]呆[3]外碍
uæ[1]煨𡟓{母亲}[3]会{~做}[5]爱
pɑ[1]巴[3]把[5]把{锄头~}坝
pʰɑ[2]爬耙排[3]败稗[5]怕派
mɑ[1]马[2]麻[5]骂
fɑ[1]花[2]华[3]坏[5]化
vɑ[1]歪[3]话{~人}
tɑ[1]爹{祖父}呆[3]打[5]带戴
tʰɑ[2]台[3]大待[5]太
nɑ[1]拿[3]耐
lɑ[1]拉[3]赖
tsɑ[1]抓渣[5]蔗再
tsʰɑ[1]差叉车[2]茶才[3]寨在[5]蔡
sɑ[1]沙社傻[2]蛇[3]射洒[5]晒
kɑ[1]家加[3]假[5]架嫁界介
kʰɑ[1]□{挑}[2]卡[3]概楷
xɑ[1]溪下{~岭}[2]霞鞋[3]下{打一~；~作}夏
ŋɑ[2]我[3]瓦
ɑ[1]挨阿[5]鸦{罗~}
tɕiɑ[3]解[5]借
tɕʰiɑ[2]斜[3]谢{姓}且□{锅刷}
ɕiɑ[2]邪[3]写谢{多~}
