汉字	音标	注释
多	tu55	
拖	tʰu55	
他	tɕi21	训读
驼	tʰu13	
舵	to35	例外
大	tai33	~小
挪	/	
哪	na33	~个
罗	lu13	
锣	lu13	
箩	lu13	
萝	lu13	
左	tsu33	调例外，阳上
搓	tsʰu55	
歌	ku55	
哥	pa55	白训读
鹅	ŋu13	
我	ŋu33	
饿	ŋu33	
河	xai55	训读
何	fu55	调例外，阴平
荷	fu55	~花，调例外，阴平
贺	fu33	
茄	tɕiu13	
簸	pu33	~箕
破	pʰu33	
婆	pʰu13	
磨	mu13	~刀
磨	mu33	石~
朵	tu35	
躲	tu21	
跺	tu33	
糯	nu33	
螺	lu13	
脶	lu13	指纹
锉	tsʰu35	
坐	tsu21	
座	tsu33	
蓑	su55	
梭	su55	
锁	su21	
果	ku21	
过	ku33	
窠	kʰu55	
课	kʰo33	例外，韵官调土
火	fu21	
伙	fu21	
货	fu33	
和	fu13	~气
和	u13	~尚
禾	u13	
祸	fu33	
和	fu33	~面
靴	fia55	
巴	pa55	
疤	pa55	
把	pa21	~握
霸	pa35	借官
欛	pa33	柄
怕	pʰa33	
帕	pʰa33	
爬	pʰa13	
杷	pʰa13	枇~
耙	pʰa13	犁~
麻	ma13	
马	ma33	
骂	ma33	
拿	na55	调例外，阴平
茶	tsʰa13	
渣	tsa55	
榨	tsa33	~干
炸	tsa33	~弹
叉	tsʰa55	
杈	tsʰa55	枝~
差	tsʰa55	~别
岔	tsʰa55	~路，调例外，阴平
查	tsʰa13	调~
沙	sa55	
纱	sa55	
家	ka55	
加	ka55	
痂	ka55	
假	ka21	真~
架	ka33	
嫁	ka33	
价	ka33	
揢	kʰa55	抓住，调例外，阴平
牙	ŋa13	
芽	ŋa13	
蝦	xa55	鱼~
哈	xa55	~腰
嚇	xa33	惊~
下	xa33	底~
下	xa33	~降
夏	xa33	春~
哑	a21	
姐	tɕi35	姊训读
借	tɕia33	
席	tɕia33	~子
写	ɕia21	
泻	ia33	声例外
斜	tɕʰiu33	
谢	tɕia33	
遮	tsa55	
车	tsʰa55	马~
扯	tsʰa21	
蛇	sa21	
射	sa33	
赊	sa55	
捨	sa21	施~
社	sa33	
爷	ia13	
也	ie55	~是，借官
野	ia21	
夜	ia33	
瓜	kua55	
寡	kua21	
剐	kua21	
瓦	ua21	
花	fa55	
化	fa33	
划	fa13	~船，例外
补	pu21	
谱	pʰu21	
布	/	
铺	pʰu55	~设
铺	pʰu33	店~
蒲	pʰu13	
菩	pʰu13	~萨
步	pu33	
模	mu13	~子
堵	tu21	
赌	təu21	
土	tʰəu21	
吐	tʰəu33	呕~
兔	tʰəu33	
徒	tʰəu13	
图	tʰəu13	
肚	təu33	腹~
度	təu33	
渡	təu33	
炉	ləu13	
鸬	ləu13	~鹚
路	ləu33	
露	ləu33	
租	tsəu55	
祖	tsəu21	
做	tsəu33	
粗	tsʰəu55	
醋	tsʰəu33	
错	tsʰa55	~误，例外（疑为差）
素	su33	
诉	su33	
姑	kau55	
孤	ku55	
箍	ku55	
古	ku21	
估	ku21	~计
牯	ku21	
股	ku21	
鼓	ku21	
故	ku33	
顾	ku33	
苦	kʰu21	辛~
苦	kʰu21	~味
裤	kʰu33	
吴	u13	
五	ŋ51	调存疑，疑21
午	ŋ51	调存疑，疑21
误	u33	
虎	fu21	
胡	fu13	
湖	fu13	
壶	fu13	
鬍	u13	~须
乌	u55	
女	ny21	
驴	ləu13	
蛆	tɕʰy55	生~
猪	tɕy55	
除	tɕʰy13	
苎	tɕy33	~麻
阻	tsəu21	
初	tsʰəu55	
楚	tsʰəu21	
锄	/	
助	tsʰu33	
梳	sɿ55	~头
煮	tɕy21	
处	tɕʰy33	~理
书	ɕy55	
暑	ɕy21	
鼠	ɕy21	
薯	ɕy33	白~
举	ky21	~动
锯	tɕi33	~子
墟	ɕy55	~市
去	tɕʰie33	来~
鱼	ŋ13	
虚	ɕy55	
余	y13	
夫	fu55	
府	fu21	
斧	fu21	
付	fu33	
傅	fu33	
敷	fu55	
符	fu13	
扶	fu13	
腐	fu33	
无	u13	
武	u33	
舞	u21	
雾	u33	
取	tɕʰi21	
厨	tɕʰy13	
柱	tɕy33	
住	tɕy33	
数	səu21	动词
数	səu33	名词
朱	tɕy55	
珠	tɕy55	
主	tɕy21	
输	ɕ55	~赢
树	ɕy33	
矩	tɕy21	规~
句	ky21	调例外，阴上
遇	y33	
雨	y21	
芋	ɕy35	借官
贝	pei33	
戴	tei33	
带	tai33	
胎	tʰai55	
太	tʰai33	
臺	tʰai13	戏~
抬	tʰai13	
待	tai33	
