ã31 杏
a44 矮
ŋ̩131 吴吾梧鱼
aʔ5 鸭
ba131 牌
bã131 棚
ba213 排罢稗败
bɑ̃213 旁螃庞棒
baʔ12 白帛
baʔ5 百柏
bɔ131 跑
bɔ213 抱暴刨
bɛ131 攀爿盘
be213 沛倍备绊叛
bɛ213 办
bən213 笨
bəʔ12 勃饽
bi131 琵痹
bi213佩痱便辨辩汴便辫憋弼
bi31 皮疲脾俾婢
biɪʔ12 别
bin131 瓶屏萍
bin213 凭病
boʔ12 雹醭仆曝瀑
bu213 埠甫
bu324 部簿步捕
ɔ213 袄懊
ɔ31 奥懊
ɕi31 牺玺熙希稀楦衅
ɕi324 絮细戏
ɕi44洗死嬉喜喜险轩宪献显
ɕia213 藉泻
ɕia31 邪
ɕiã31 箱厢湘镶香乡
ɕia324 借谢
ɕiã324 相象相向
ɕia44 写
ɕiã44 襄想鲞享飨饷
ɕiaʔ12 嚼
ɕiaʔ5 削
ɕio131 悄
ɕio213 孝
ɕio31 消宵霄硝销嚣萧
ɕio324 酵笑晓
ɕio44 小
ɕiɪʔ5些徙胁薛泄歇戌恤息熄媳昔锡析
ɕin31 欣兴馨
ɕioŋ31 熏勋薰兄胸凶
ɕioŋ324 训
ɕioʔ5 蓄
ɕiɤ31 修靴
ɕiɤ44 休朽嗅
ɕy31书舒墟虚嘘须须需输
ɕy44 处许最
ɕyəʔ5 血
ɔʔ12 恶
ɔʔ5 恶沃
dɑ̃213 党荡
daʔ12 踏
dɔ213 道稻盗导
dɔ31 掏桃逃淘陶萄涛
dɛ131 坛弹
de213 队对
dɛ213 待贷代淡但
dɛ31 诞弹蛋
dən131 腾誊藤疼
dən213屯豚饨臀囤沌钝遁邓
dən31 盾
dəʔ12 特
di131 甜佃
di213 弟第兑
di31 提
di324 地
di44 底
diɔ213 掉调调藋
diɪʔ12 笛敌狄籴溺历历
din131 亭停廷庭蜓锭
din213 订定
dø213 段缎椴
doŋ131 同铜桐童瞳
doŋ213 筒桶动洞
doʔ12 毒独
du131 驼驮徒屠途涂图
du213 大驮度渡镀
du324 杜肚
dɤ131 头
dɤ13 豆
ʥɿ31 住绪
ʥy 序叙苎巨儒
ʥi213期旗忌祈俭践件建健腱笕鲫
