符号说明：{}外注释 {}内注释																																																	
tsɿ	1	知资之支																																															
tsɿ	2	直质职																																															
tsɿ	3	子纸指紫址{新}																																															
tsɿ	5	字自这{白}制																																															
tsʰɿ	1	痴疵齿{牙∽}摛{伸}																																															
tsʰɿ	2	池持尺蛰词赤																																															
tsʰɿ	3	此齿耻{老}																																															
tsʰɿ	5	次剌																																															
sɿ	1	丝诗师																																															
sɿ	2	时十食石实适{∽合}																																															
sɿ	3	死始																																															
sɿ	5	是四事市世式																																															
zɿ	2	日																																															
pi	2	笔																																															
pi	3	比																																															
pi	5	闭备被																																															
pʰi	2	皮																																															
pʰi	3	痞鄙																																															
pʰi	5	屁																																															
mi	1	咪梅{白,杨∽}																																															
mi	2	密眉{∽毛}迷																																															
mi	3	米																																															
mi	5	谜																																															
ti	1	低的																																															
ti	2	敌滴																																															
ti	3	底																																															
ti	5	地第弟																																															
tʰi	1	梯																																															
tʰi	2	题提																																															
tʰi	3	体																																															
tʰi	5	剃替																																															
li	2	立犁律率																																															
li	3	李里理旅吕礼																																															
li	5	利厉滤丽																																															
li	7	律{南区}率{南区}																																															
tɕi	1	鸡机基																																															
tɕi	2	急																																															
tɕi	3	挤几{∽个}																																															
tɕi	5	寄记济																																															
tɕʰi	1	期蛆溪妻																																															
tɕʰi	2	其齐徐七吃旗																																															
tɕʰi	3	取起																																															
tɕʰi	5	气去{出∽,∽城头}企器																																															
tɕʰi	7	七{南区}吃{南区}																																															
ȵi	2	泥疑																																															
ȵi	3	女你																																															
ȵi	5	腻																																															
ɕi	1	西需须希																																															
ɕi	2	惜戌习息席袭脐{肚∽眼}																																															
ɕi	3	许洗喜																																															
ɕi	5	戏绪细序																																															
ɕi	7	戊{南区}																																															
i	1	衣医																																															
i	2	一移																																															
i	3	已椅雨{隆里、铜鼓音}以																																															
i	5	意异易																																															
kʰi	5	去																																															
pu	2	不																																															
pu	3	补																																															
pu	5	步布部□{从缝隙或暗处偷看：∽小偷}																																															
pʰu	1	铺{∽路,∽床}潽{翻滚的水、汤等溢出炊具：饭∽嘎}																																															
pʰu	2	扑																																															
pʰu	3	普谱																																															
pʰu	5	铺{∽子,店∽}扑{白,∽爬,被摔}																																															
mu	2	木目																																															
mu	3	母																																															
mu	5	暮贸茂																																															
fu	1	夫呼																																															
fu	2	胡福																																															
fu	3	府腐虎																																															
fu	5	户父																																															
tsu	1	猪朱蛛																																															
tsu	2	竹祝足□{填塞,把箱子∽满}																																															
tsu	3	主煮																																															
tsu	5	柱做																																															
su	1	书																																															
su	2	熟俗																																															
su	5	树																																															
tsʰu	1	初粗																																															
tsʰu	2	出除厨族																																															
tsʰu	3	处{∽理,相∽}鼠暑楚杵{∽头∽脑：脑子不灵活,呆笨}																																															
tsʰu	5	处{住∽,∽长}醋																																															
zu	2	如入肉擩{塞：∽进去；戳、捅：∽他一棒}																																															
zu	3	乳																																															
tu	1	都																																															
tu	2	读																																															
tu	3	堵																																															
tu	5	度杜																																															
tʰu	2	图																																															
tʰu	3	土																																															
tʰu	5	兔																																															
lu	1	□{∽拉：脏,零乱}																																															
lu	2	卢录㫽{又读}如																																															
