pai平	擺
pai去	拜稗敗
pʰai平	牌排
pʰai去	派
mai平	埋
mai上	買
mai去	賣邁
fai平	衰摔
fai上	甩
fai去	帥率(~領)
vai平	歪
vai上	舀崴
vai去	外
tai平	呆
tai上	歹逮□(好)
tai去	戴貸待代袋帶大(~夫)
tʰai平	胎臺苔擡
tʰai去	態太泰
nai平	挨捱
nai上	奶乃
nai去	耐奈愛那(2)
lai平	來
lai去	賴癲
tsai平	災栽齋宅□(咬)哉
tsai上	宰載崽
tsai去	再在債寨
tsʰai平	差(出~)猜釵材才財裁柴
tsʰai上	採彩
tsʰai去	菜蔡
sai平	腮鰓篩
sai去	賽塞(邊~)曬
kai平	該楷街
kai上	改解(2~開)
kai去	概溉蓋丐
kʰai平	開
kʰai上	凱慨楷
xai平	咳孩鞋
xai上	海
xai去	害亥
ai平	哀唉呆(~板)
ai上	矮
ai去	艾礙

pan平	班斑頒般搬扳
pan上	板版阪
pan去	伴拌半絆扮辦瓣
pʰan平	攀潘番盤蟠
pʰan去	判叛盼襻
man平	蠻瞞饅
man上	滿
man去	慢漫鏝幔
fan平	帆凡翻煩繁栓閂
fan上	反返
fan去	範犯販泛飯涮
van平	豌灣彎完丸玩頑
van上	碗晚挽綰軟阮
van去	萬蔓(瓜~)腕
tan平	丹單耽擔(~任)
tan上	膽撣疸
tan去	淡旦但擔(挑~)蛋彈(子~)
tʰan平	貪灘攤癱坍譚壇談彈(~琴)
tʰan上	毯坦袒
tʰan去	探嘆炭
nan平	南男難(~易)安
nan去	難(患~)揞案按
lan平	蘭欄藍籃
lan上	覽攬懶
lan去	濫爛
tsan平	簪
tsan上	斬盞攢
tsan去	贊濽暫站蘸
tsʰan平	參餐摻攙蠶殘慚
tsʰan上	慘產鏟
tsʰan去	燦□(開綫)
san平	三山衫珊
san上	散饊傘
san去	散(分~)
tʂan平	粘沾氈
tʂan上	展
tʂan去	占戰顫
tʂʰan平	蟬纏嬋
tʂʰan去	顫(1)
ʂan平	刪搧羶
ʂan上	閃陜
ʂan去	善扇騸膳單(姓)鄯釤(~鐮)苫
ʐan平	燃然黏(~飯)
ʐan上	染
kan平	乾(~濕)竿肝甘柑潛尷
kan上	感敢稈桿搟趕
kan去	幹(~活)
kʰan平	看(~守)刊勘龕
kʰan上	坎砍侃
kʰan去	看(~見)
xan平	憨酣涎(~水)寒韓含函鹹還
xan上	喊罕
xan去	漢旱汗銲翰撼莧
an平	鞍
an去	暗岸

paŋ平	幫邦浜
paŋ上	榜綁
paŋ去	棒蚌
pʰaŋ平	螃旁龐
pʰaŋ上	耪
pʰaŋ去	胖
maŋ平	忙芒茫盲
maŋ上	莽蟒
faŋ平	方芳坊妨房霜雙
faŋ上	紡仿訪防爽
faŋ去	放雙(~生)
vaŋ平	汪亡王枉
vaŋ上	往
vaŋ去	忘妄望旺
taŋ平	當(~時)襠
taŋ上	黨擋
taŋ去	蕩當(上~)檔宕
tʰaŋ平	湯唐糖棠塘
tʰaŋ上	倘躺淌
tʰaŋ去	燙趟
naŋ平	灢(泥濘)昂
naŋ上	饢攮
naŋ去	齉
laŋ平	郎廊狼
laŋ上	朗
laŋ去	浪
tsaŋ平	贓臟
tsaŋ去	葬藏(西~)臟(内~)
tsʰaŋ平	倉蒼艙昌(~吉,地名)藏(隱~)
saŋ平	桑喪(婚~)
saŋ上	嗓槡
saŋ去	喪(~失)
tʂaŋ平	張章樟璋
tʂaŋ上	漲掌長(成~)
tʂaŋ去	丈仗帳賬脹障
tʂʰaŋ平	昌(~盛)娼長(~短)腸常嫦嘗償
tʂʰaŋ上	場敞廠氅
tʂʰaŋ去	暢唱倡
ʂaŋ平	商傷墑
ʂaŋ上	賞晌
ʂaŋ去	上(~山)尚
ʐaŋ平	瓤
ʐaŋ上	壤嚷
ʐaŋ去	讓
kaŋ平	鋼綱剛缸肛扛(1)
kaŋ上	崗港
kaŋ去	鋼(~刀)虹杠□(脾氣~,倔强)
kʰaŋ平	康糠扛腔(胸~)
kʰaŋ上	慷
kʰaŋ去	抗炕渴□(煎)
xaŋ平	夯航杭行(銀~)
xaŋ去	巷
aŋ平	骯

pa平	巴笆疤扒八拔爸
pa上	把(一~刀)□(~屎,拉屎)
pa去	霸壩耙罷楊
pʰa平	帕(肉~)爬杷
pʰa去	怕
ma平	媽麻抹(~布)
ma上	馬碼螞
ma去	罵
fa平	發法乏伐筏罰刷
fa上	耍
va平	漥蛙挖襪娃挼
va上	佤瓦
ta平	搭答褡耷達
ta上	打
ta去	大
tʰa平	他她它塌溻塔獺踏沓(一~子)
na平	拿納捺
na上	哪
la平	拉臘蠟辣落(~下來)拉
tsa平	渣植閘炸(油~)紮劄側眨順砸咱雜
tsa上	咋拃(一~)這
tsa去	詐榨乍炸(爆~)挓(~手,舉手)
tsʰa平	叉差插茶茬察擦□(包穀~子)搽
tsʰa上	視
tsʰa去	差(2)岔杈詫(~生,認生)
sa平	沙紗砂殺煞
sa上	灑
sa去	啥廈
ʂa上	傻
ka平	尕尜蹶(尥~子)
kʰa上	揩(~油)卡(~車)
xa平	哈(~氣)蝦(~腰)瞎
xa上	哈(姓)
xa去	嚇下(~頭,下面)
a平	阿

pau平	包胞苞雹
pau上	寶保飽
pau去	報抱暴曝豹爆鉋
pʰau平	拋脬(尿~)泡(軟)袍刨
pʰau上	跑
pʰau去	泡(~茶)炮
mau平	毛貓錨茅蟊(~賊)
mau上	卯鉚
mau去	冒帽貌茂貿
tau平	刀叨
tau上	倒(打~)島導搗
tau去	稻道到倒(~水)盜悼
tʰau平	掏滔桃濤逃淘陶
tʰau上	討
tʰau去	套
nau平	撓熬
nau上	惱腦襖
nau去	鬧□(搽)藥(做動詞)
lau平	撈嘮勞牢癆
lau上	老姥
lau去	澇□(拉、拽)
tsau平	遭糟
tsau上	早蚤爪(1)澡棗
tsau去	造皂竈躁罩築(~籬)
tsʰau平	操抄鈔曹槽
tsʰau上	草吵炒
tsʰau去	糙
sau平	騷臊(~臭)捎梢稍
sau上	嫂掃(~地)
sau去	臊(害~)哨潲掃(~帚)
tʂau平	朝(~夕)召招著(~涼)
tʂau上	沼
tʂau去	趙兆照
tʂʰau平	超嘲朝(~代)潮
ʂau平	燒韶□(傻)
ʂau上	少(多~)
ʂau去	少(~年)邵紹
ʐau平	饒
ʐau上	擾繞(圍~)繞(~綫)
kau平	高羔糕膏(~油)
kau上	稿搞告膏
kʰau平	拷
kʰau上	考烤
kʰau去	靠銬犒
xau平	蒿薅豪毫號(呼~)嚎
xau上	好(~坏)
xau去	好(喜~)號(~碼)耗浩
au平	傲鏊奧澳

pei平	杯背(~槍)碑卑悲百白伯掰北
pei去	貝輩背(後~)臂(胳~)被(2~)被(~迫)焙鐾
pʰei平	胚坯披培陪賠裴拍
pʰei去	配佩倍
mei平	麥墨脈梅媒煤眉黴
mei上	美每
mei去	妹昧媚
fei平	飛非妃肥
fei上	匪翡水
fei去	廢肺費睡稅
vei平	微煨威維危惟唯違圍為(作~)□(挪動)
vei上	偽偉葦緯委萎尾(2)
vei去	衛魏慰畏位味未胃渭謂蝟為(~啥)銳瑞
tei平	得
tei上	□(吆喝牲口往前走)
nei去	內那(3)
lei平	勒肋
lei去	累(工作~)
tsei平	擇(~菜)窄摘賊
tsei去	這(2)
tsʰei平	拆
sei平	塞澀色骰(~子)嗇虱誰
kei平	隔
kei上	給
kʰei平	客剋
xei平	黑

ə˞平	兒而
ə˞上	爾耳餌□(扔)
ə˞去	二貳

pɤŋ平	錛崩蹦(跳~子)繃
pɤŋ上	本
pɤŋ去	笨奔迸蹦
pʰɤŋ平	噴盆烹抨滕臌朋
pʰɤŋ上	捧
pʰɤŋ去	噴(~嚏)碰
mɤŋ平	悶(不通氣)門蒙(~騙)
mɤŋ上	蒙(~古)猛
mɤŋ去	悶(煩~)夢孟
fɤŋ平	分芬紛吩墳封峰蜂豐瘋風逢縫馮
fɤŋ上	粉
fɤŋ去	糞奮憤忿份奉縫(~隙)俸鳳諷順舜
vɤŋ平	溫瘟文紋蚊聞翁嗡榮茸容絨
vɤŋ上	穩吻刎
vɤŋ去	問甕閏潤
tɤŋ平	登燈蹬鐙
tɤŋ上	等戥(~子)
tɤŋ去	扽凳鄧瞪澄
tʰɤŋ平	熥吞騰謄藤疼
nɤŋ平	能
lɤŋ平	楞棱
lɤŋ上	冷
lɤŋ去	楞
tsɤŋ平	增曾(姓)爭箏睜
tsɤŋ上	怎
tsɤŋ去	贈掙
tsʰɤŋ平	撐鐺(鉼~)層曾(~經)
tsʰɤŋ去	襯牚蹭磣鋥
sɤŋ平	森參(人~)僧生牲笙甥
sɤŋ上	省(節~)滲□(潮冷)
tʂɤŋ平	針珍真征正(~月)蒸貞偵
tʂɤŋ上	枕診疹整
tʂɤŋ去	鎮陣振震鄭政正(~直)證癥
tʂʰɤŋ平	抻稱(~呼)沈陳塵晨臣橙乘(~除)承程城成誠盛(~飯)
tʂʰɤŋ上	懲逞
tʂʰɤŋ去	趁稱(相~)秤乘(~車)
ʂɤŋ平	深身申伸紳呻神繩升聲
ʂɤŋ上	沈審嬸
ʂɤŋ去	腎甚剩勝盛(~大)聖
ʐɤŋ平	扔人仁
ʐɤŋ上	忍
ʐɤŋ去	任刃認靭紝(縫~)
kɤŋ平	根跟更(~改)庚耕
kɤŋ上	梗埂耿
kɤŋ去	更(~加)
kʰɤŋ平	坑
kʰɤŋ上	墾懇肯啃
kʰɤŋ去	坑(陷,車~住了)
xɤŋ平	亨哼痕橫
xɤŋ上	很
xɤŋ去	恨杏
ɤŋ平	恩
ɤŋ去	摁

pɤ平	波玻菠撥薄博搏駁剝嫑
pɤ上	簸
pɤ去	薄(~荷)
pʰɤ平	坡潑頗迫婆
pʰɤ去	破剖
mɤ平	摸魔磨摸模(~範)膜沫沒莫漠陌末
mɤ上	抹
mɤ去	磨(~麵)
fɤ平	說佛勺芍
vɤ平	窩矮握沃弱若
vɤ上	我
vɤ去	臥餓
tɤ平	德
tʰɤ平	特
nɤ平	娥鵝訛惡(善~)
nɤ上	那(1)
lɤ平	樂(快~)勒(庫爾~,地名)
tsɤ平	澤擇責則
tsɤ去	仄
