	注釋：=文讀，-白讀
#a	
p	[1]巴吧芭笆疤叭{俗，喇～}靶{俗，拍～：打靶}[2]爸{俗，阿～}杷=爬={～行}耙琶[3]把={～握}飽-{～實}[4]罷[5]靶霸把{又，劍～}豹-{虎～}壩{水～}[6]耙=爸{俗，阿～}□{用手打}
pʰ	[1]葩{兩～尾：兩條尾巴}啪{象聲詞}潘{～山：地名}脬{卵～：陰囊}拋-{～牆：翻牆}[2]爬{又}[5]帕={手～}
b	[2]峇{～厘：頭等艙}麻={～木}貓-{野～}[5]密{緊密，密切}[6]碼{量詞，三～布}茉{～莉}
t	[1]大{俗，～家：婆婆}焦{乾燥}礁{俗，白～：地名}丈{俗，～夫：男人}茶=□{枯～：乾枯}[3]□{兒語，吃}[6]奈{俗，無～何}
tʰ	[5]姹詫{驚～}□{撥動}
l	[1]拉={拖～}啦垃{俗}喇{～叭}[2]拉{又，～尿}朥{脂肪}□{～鯉：穿山甲}蘿{～蔔}鐃-{～鈸}[3]□{巧～：奇特}[4]老{～鶚：老鷹}鬧-{吵～}擾{攪拌}[6]奈{無～何}
ts	[1]查{檢～}渣=喳吒{哪～：神話中的兒童神}諸{俗，～母：女人}[3]早-{～起：早上}[5]乍詐炸蚱榨[6]昨{～日}
tsʰ	[1]差{～別}叉=杈衩岔[2]材{棺～}茶={又}査{又，～辦}柴{～門}樵{柴}[3]吵-{～醒}炒-{～飯}[5]鈔-{～票}
s	[1]沙={～彌}砂=紗=痧=鯊=裟=莎捎{抓}相{～同}[2]傻[3]灑{瀟～}[5]□{好}
k	[1]虼{～蚤：跳蚤}家={國～}傢=佳加={～法}枷茄{雪～}笳嘉袈迦痂=伽交-{～定：預定}鮫-{魚～}膠-{～水}鉸-{～剪：剪刀}栲{俗，～栳}傀{俗，～儡}[2]□{搬；拿}崎{石～：地名}[3]賈{姓}假={請～}絞-{～索}鉸{又，～鏈}攪{滾～：騷擾，騷動}[4]蛟{咬}[5]架={～設}駕={～駛}價={無～}稼=嫁={～接}假=教-{～冊：教書}漖{稀}校{～正}
kʰ	[1]奇-{～數}尻{～川：屁股}骹{腳}[2]騎-{～馬}[3]巧{奇～}[4]徛{站立}[5]較{～好}敲-{～鐘}[6]徛{豎}
ɡ	[2]牙={～關}芽={～接}蚜={～蟲}衙{～役}涯[6]訝{驚～}
