字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
卑	=D2&E2&F2	文	p	i	35	=IF(D2=0,"〇",D2)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2=B3,0,1)	=D2&E2	=IF(L2=L3,0,1)	=IF(M1=0,IF(K1=0,IF(B2=B1,N1&IF(C2=0,A2,A2&"{"&C2&"}"),"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}")),N1&"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}")),"["&J2&"]"&IF(C2=0,A2,A2&"{"&C2&"}"))	=L2&N2
碑	=D3&E3&F3	文	p	i	35	=IF(D3=0,"〇",D3)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3=B4,0,1)	=D3&E3	=IF(L3=L4,0,1)	=IF(M2=0,IF(K2=0,IF(B3=B2,N2&IF(C3=0,A3,A3&"{"&C3&"}"),"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}")),N2&"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}")),"["&J3&"]"&IF(C3=0,A3,A3&"{"&C3&"}"))	=L3&N3
裨	=D4&E4&F4		p	i	35	=IF(D4=0,"〇",D4)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B4=B5,0,1)	=D4&E4	=IF(L4=L5,0,1)	=IF(M3=0,IF(K3=0,IF(B4=B3,N3&IF(C4=0,A4,A4&"{"&C4&"}"),"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}")),N3&"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}")),"["&J4&"]"&IF(C4=0,A4,A4&"{"&C4&"}"))	=L4&N4
悲	=D5&E5&F5	文	p	i	35	=IF(D5=0,"〇",D5)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B5=B6,0,1)	=D5&E5	=IF(L5=L6,0,1)	=IF(M4=0,IF(K4=0,IF(B5=B4,N4&IF(C5=0,A5,A5&"{"&C5&"}"),"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}")),N4&"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}")),"["&J5&"]"&IF(C5=0,A5,A5&"{"&C5&"}"))	=L5&N5
篦	=D6&E6&F6		p	i	35	=IF(D6=0,"〇",D6)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B6=B7,0,1)	=D6&E6	=IF(L6=L7,0,1)	=IF(M5=0,IF(K5=0,IF(B6=B5,N5&IF(C6=0,A6,A6&"{"&C6&"}"),"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}")),N5&"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}")),"["&J6&"]"&IF(C6=0,A6,A6&"{"&C6&"}"))	=L6&N6
屄	=D7&E7&F7		p	i	35	=IF(D7=0,"〇",D7)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B7=B8,0,1)	=D7&E7	=IF(L7=L8,0,1)	=IF(M6=0,IF(K6=0,IF(B7=B6,N6&IF(C7=0,A7,A7&"{"&C7&"}"),"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}")),N6&"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}")),"["&J7&"]"&IF(C7=0,A7,A7&"{"&C7&"}"))	=L7&N7
蓖	=D8&E8&F8		p	i	35	=IF(D8=0,"〇",D8)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B8=B9,0,1)	=D8&E8	=IF(L8=L9,0,1)	=IF(M7=0,IF(K7=0,IF(B8=B7,N7&IF(C8=0,A8,A8&"{"&C8&"}"),"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}")),N7&"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}")),"["&J8&"]"&IF(C8=0,A8,A8&"{"&C8&"}"))	=L8&N8
裨	=D9&E9&F9		p	i	44	=IF(D9=0,"〇",D9)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B9=B10,0,1)	=D9&E9	=IF(L9=L10,0,1)	=IF(M8=0,IF(K8=0,IF(B9=B8,N8&IF(C9=0,A9,A9&"{"&C9&"}"),"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}")),N8&"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}")),"["&J9&"]"&IF(C9=0,A9,A9&"{"&C9&"}"))	=L9&N9
脾	=D10&E10&F10	文	p	i	44	=IF(D10=0,"〇",D10)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B10=B11,0,1)	=D10&E10	=IF(L10=L11,0,1)	=IF(M9=0,IF(K9=0,IF(B10=B9,N9&IF(C10=0,A10,A10&"{"&C10&"}"),"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}")),N9&"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}")),"["&J10&"]"&IF(C10=0,A10,A10&"{"&C10&"}"))	=L10&N10
琵	=D11&E11&F11		p	i	44	=IF(D11=0,"〇",D11)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B11=B12,0,1)	=D11&E11	=IF(L11=L12,0,1)	=IF(M10=0,IF(K10=0,IF(B11=B10,N10&IF(C11=0,A11,A11&"{"&C11&"}"),"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}")),N10&"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}")),"["&J11&"]"&IF(C11=0,A11,A11&"{"&C11&"}"))	=L11&N11
枇	=D12&E12&F12		p	i	44	=IF(D12=0,"〇",D12)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B12=B13,0,1)	=D12&E12	=IF(L12=L13,0,1)	=IF(M11=0,IF(K11=0,IF(B12=B11,N11&IF(C12=0,A12,A12&"{"&C12&"}"),"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}")),N11&"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}")),"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}"))	=L12&N12
稗	=D13&E13&F13	文	p	i	53	=IF(D13=0,"〇",D13)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B13=B14,0,1)	=D13&E13	=IF(L13=L14,0,1)	=IF(M12=0,IF(K12=0,IF(B13=B12,N12&IF(C13=0,A13,A13&"{"&C13&"}"),"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}")),N12&"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}")),"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}"))	=L13&N13
彼	=D14&E14&F14		p	i	53	=IF(D14=0,"〇",D14)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B14=B15,0,1)	=D14&E14	=IF(L14=L15,0,1)	=IF(M13=0,IF(K13=0,IF(B14=B13,N13&IF(C14=0,A14,A14&"{"&C14&"}"),"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}")),N13&"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}")),"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}"))	=L14&N14
俾	=D15&E15&F15		p	i	53	=IF(D15=0,"〇",D15)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B15=B16,0,1)	=D15&E15	=IF(L15=L16,0,1)	=IF(M14=0,IF(K14=0,IF(B15=B14,N14&IF(C15=0,A15,A15&"{"&C15&"}"),"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}")),N14&"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}")),"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}"))	=L15&N15
比	=D16&E16&F16		p	i	53	=IF(D16=0,"〇",D16)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B16=B17,0,1)	=D16&E16	=IF(L16=L17,0,1)	=IF(M15=0,IF(K15=0,IF(B16=B15,N15&IF(C16=0,A16,A16&"{"&C16&"}"),"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}")),N15&"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}")),"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}"))	=L16&N16
牝	=D17&E17&F17		p	i	53	=IF(D17=0,"〇",D17)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B17=B18,0,1)	=D17&E17	=IF(L17=L18,0,1)	=IF(M16=0,IF(K16=0,IF(B17=B16,N16&IF(C17=0,A17,A17&"{"&C17&"}"),"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}")),N16&"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}")),"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}"))	=L17&N17
閉	=D18&E18&F18		p	i	11	=IF(D18=0,"〇",D18)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B18=B19,0,1)	=D18&E18	=IF(L18=L19,0,1)	=IF(M17=0,IF(K17=0,IF(B18=B17,N17&IF(C18=0,A18,A18&"{"&C18&"}"),"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}")),N17&"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}")),"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}"))	=L18&N18
陛	=D19&E19&F19		p	i	11	=IF(D19=0,"〇",D19)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B19=B20,0,1)	=D19&E19	=IF(L19=L20,0,1)	=IF(M18=0,IF(K18=0,IF(B19=B18,N18&IF(C19=0,A19,A19&"{"&C19&"}"),"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}")),N18&"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}")),"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}"))	=L19&N19
被	=D20&E20&F20	文	p	i	11	=IF(D20=0,"〇",D20)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B20=B21,0,1)	=D20&E20	=IF(L20=L21,0,1)	=IF(M19=0,IF(K19=0,IF(B20=B19,N19&IF(C20=0,A20,A20&"{"&C20&"}"),"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}")),N19&"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}")),"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}"))	=L20&N20
婢	=D21&E21&F21		p	i	11	=IF(D21=0,"〇",D21)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B21=B22,0,1)	=D21&E21	=IF(L21=L22,0,1)	=IF(M20=0,IF(K20=0,IF(B21=B20,N20&IF(C21=0,A21,A21&"{"&C21&"}"),"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}")),N20&"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}")),"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}"))	=L21&N21
備	=D22&E22&F22		p	i	11	=IF(D22=0,"〇",D22)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B22=B23,0,1)	=D22&E22	=IF(L22=L23,0,1)	=IF(M21=0,IF(K21=0,IF(B22=B21,N21&IF(C22=0,A22,A22&"{"&C22&"}"),"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}")),N21&"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}")),"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}"))	=L22&N22
蔽	=D23&E23&F23		p	i	41	=IF(D23=0,"〇",D23)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B23=B24,0,1)	=D23&E23	=IF(L23=L24,0,1)	=IF(M22=0,IF(K22=0,IF(B23=B22,N22&IF(C23=0,A23,A23&"{"&C23&"}"),"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}")),N22&"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}")),"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}"))	=L23&N23
