#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
ø	[3]也[5]液
#uɛ	
k	[1]乖[3]拐[5]怪
kʰ	[2]块{~钱}[3]擓[5]块快筷[6]擓{拎，提}
x	[1]竵{不正}[2]怀=槐淮踝[6]坏
ts	[1]□{失足}[5]啐
tʂ	[3]跩[5]拽
tʂʰ	[3]揣
ʂ	[1]摔衰[3]甩[5]帅率
#a	
p	[1]扒吧巴疤笆粑芭[3]㞎把靶[5]坝欛爸霸[6]叭
pʰ	[1]趴葩[2]扒掱爬琶筢耙螃[5]帕怕[6]罢
m	[1]妈[2]嘛麻蟆麻[3]玛码蚂马[6]骂
ʋ̩	[1]搲{扣}哇洼蛙[2]划-娃[3]搲{用瓢~米}瓦[5]凹洼[6]画-
t	[1]咑[3]打[5]大
tʰ	[1]他她它
n	[1]南{~无啊弥陀佛}[2]拿[3]哪=[5]那=[6]娜
l	[1]拉啦垃[2]□{屎尿遗身}哪{~个}[3]哪
s	[3]洒
ts	[3]咋
tʂ	[1]遮喳奓查楂渣碴挓{张开手指，嘴巴}[3]□{舞~：横七竖八，杂乱}砟[5]吒榨蔗蚱诈
tʂʰ	[1]车叉差杈蛼[2]搽{抹：~粉}查茬茶[3]扯[5]岔诧
ʂ	[1]沙奢痧砂纱莎裟赊鲨[2]佘蛇[3]傻舍[5]厦嗄舍赦□{耳~儿：耳屎}[6]射{~箭}社
ʐ	[2]蘘（~荷）
k	[1]家伽加痂袈[5]尬架{~子}界{不搭~}
kʰ	[1]咖[2]□{~蹦：大腿根部}□{~嗓子：咽喉部不适}[3]卡[5]揢{掐对方脖子}
x	[1]虾{麻~儿雨}哈颬{用手指挠痒痒}□{驼背}㗇{喘气}[2]瘕{~虚：傻瓜}[3]□{糊涂：~儿糊儿}[6]下
ŋ	[1]桠丫吖鸦□{硬塞}[2]伢牙芽蚜[3]哑[5]垩掗[6]枒{瓜果等的一瓣}閕{缺口}
ø	[1]阿[2]啊（感叹词）[5]阿{~姨：新派文读}
#ia	
p	[1]□{眼睛斜视着看人：眼睛~阿~的}
pʰ	[6]□{掌击的拟声词}
m	[1]乜{眯着眼睛斜视}
t	[1]爹[3]嗲{发~}
n	[3]□{你家合音}
tɕ	[1]佳加嘉家枷苴{~镇：如东东北部小镇}[3]假姐贾[5]借价嫁架=稼驾
tɕʰ	[1]笡{不正：~头儿}[2]斜茄邪[3]且[6]㴬{~尿}谢
ɕ	[1]虾=些[2]暇瑕遐霞[3]写[5]卸泻[6]下=厦夏
ø	[1]椰丫呀耶[2]涯爷{父亲}衙[3]也冶野雅[5]亚氩讶[6]夜
#ua	
tʂ	[1]抓 [3]爪
ʂ	[3]耍
k	[1]瓜呱[3]剐寡[5]卦挂掛褂
kʰ	[1]夸[2]刳{用刀，勺刮}[3]侉{粗野}垮[5]挎跨
x	[1]花[2]划哗华[5]化[6]划=桦画=华{姓}话
ŋ	[3]□{我家合音}
ø	[1]搲{用凹状器皿把东西取出来}[3]咓{呕吐}
#ya	
tɕʰ	[2]瘸
ɕ	[1]靴□{用手打}
ø	[1]□{身体僵硬}
#ɔ	
p	[1]包孢胞苞褒[3]保堡宝葆褓饱[5]报暴爆豹趵鲍{溅射}
pʰ	[1]抛泡胞[2]咆炮袍跑{走路}[5]泡炮[6]刨抱龅
m	[2]猫毛牦矛茅锚髦[3]卯铆[6]冒帽耄貌
t	[1]刀[3]倒岛捣祷[5]倒到
tʰ	[1]涛掏滔韬[2]啕桃淘萄逃陶[3]导-讨蹈[5]套[6]悼盗稻道
n	[1]孬[2]挠铙{乐器}[3]恼瑙脑[6]闹
l	[1]捞[2]劳唠捞{多管闲事}牢痨[3]佬老[6]涝
ts	[1]遭糟[3]早枣澡藻蚤[5]灶躁{发~}
tsʰ	[1]操[2]嘈曹槽漕艚[3]草[5]噪燥糙造{~桥}[6]皂造
s	[1]臊搔缫骚{~脚：双脚乱蹬}[3]嫂扫[5]䴛{咸}臊
tʂ	[1]招昭朝钊[3]找沼爪[5]照罩
tʂʰ	[1]超抄钞[2]嘲巢上朝潮[3]吵炒[5]耖{~田}[6]兆召肇赵
ʂ	[1]烧捎梢稍艄[2]绍韶[3]少[5]哨少稍肖[6]佋{呆，不正}
ʐ	[2]饶娆桡[3]扰[6]绕
k	[1]交-教皋睾篙糕羔膏胶{~黏}茭{~瓜：茭白}跤高[3]搞搅杲稿绞铰[5]告窖觉{困~}较酵
kʰ	[1]敲[3]拷烤考[5]犒铐靠
ŋ	[1]鏖{~糟}凹爊[2]嗷敖熬翱遨鳌[3]咬[5]奥懊拗澳[6]傲
x	[1]蒿薅[2]嗥嚎壕毫濠号蚝豪[3]好[5]好耗浩[6]浩灏皓号
ø	[1]噢[3]袄=
#iɔ	
p	[1]彪䁃{盯着一处看}标滮膘镖[3]婊表裱[5]嫑{不要合音}
pʰ	[1]飘嘌漂螵[2]嫖瓢[3]漂[5]漂票鳔
m	[2]苗描瞄[3]秒[6]妙庙缪{如东西部大姓}
t	[1]叼凋刁碉貂雕[3]屌[5]吊调钓
tʰ	[1]挑[2]条笤{~帚}调迢[3]斢{调换}[5]眺跳[6]掉调铫{烧水的器具}
n	[3]鸟[6]尿=
l	[1]撩[2]聊僚寥撩潦燎獠疗缭辽镣[3]了[6]尥廖撂料瞭镣
tɕ	[1]交=姣娇椒浇焦胶蕉蛟郊骄[3]佼侥剿搅狡皎矫绞缴饺[5]叫教校较
tɕʰ	[1]跷悄橇锹[2]侨乔憔樵桥翘荞轿{~车}[3]巧[5]俏峭撬窍翘鞘[6]轿{~子}
ɕ	[1]哓嚣宵枵{物薄}枭消浇潇硝箫萧逍销霄[2]淆爻肴[3]小晓[5]哮啸孝笑肖酵[6]
ø	[1]妖么吆{驱赶动物}喓夭腰邀闄{牌局开始时，切断牌}[2]尧姚摇瑶窑谣遥肴鳐[3]仸{衣物等不平不顺}杳舀[5]要[6]耀鹞{~子：风筝的旧称}
#u	
p	[1]波播玻菠[3]簸跛[5]簸{~箕}
pʰ	[1]坡颇[2]婆鄱[3]叵[5]破
m	[1]磨[2]摩摹模磨蘑魔[3]姆母沫牡[5]拇{大~指头}[6]募墓幕慕暮磨
t	[1]多哆都[3]朵躲[5]刴
tʰ	[1]拖[2]坨砣陀驮驼[3]妥椭[5]唾[6]堕惰舵{~手}
n	[2]挪傩哪娜[6]懦糯
l	[1]啰螺[2]啰摞{叠放}逻箩罗腡{手指上闭环的圆形纹路}萝螺逻锣骡[3]剆{割，划}裸[5]那
ts	[3]左佐[5]做
tsʰ	[1]搓[5]挫锉错[6]□{~tɕʰ6：催促}坐座
s	[1]蓑唆娑梭[3]唢所琐锁
k	[1]哥戈歌过{~了}锅[3]哿果裹[5]个过{~来}
kʰ	[1]窠{巢穴}柯棵珂科稞苛蝌颗[3]可坷[5]课
ŋ	[2]鹅俄娥峨蛾讹[3]我[6]卧-饿
x	[1]吙{蒸}呵欢[2]何和河禾荷[3]伙火[5]货[6]和祸贺-
ø	[1]屙{~屎}倭婀挝涡窝莴蜗[5]卧=
#iɘʊ	
m	[6]谬
t	[1]丢=
l	[2]硫=
ȵ	[1]妞[2]牛={~奶}[3]扭纽钮
tɕ	[1]揪纠赳鬏{头发盘成的结}阄鸠[3]久九灸玖酒韭[5]㾭{猛地收缩}救究[6]究{考~}
tɕʰ	[1]秋丘蚯邱鳅[2]仇俅囚求泅球裘酋[6]就臼舅旧袖
ɕ	[1]休修羞馐[3]朽[5]嗅宿溴秀绣臭袖=锈
ø	[1]优幽悠忧[2]又尤油游犹由疣蝣游邮鱿[3]友有莠酉[5]幼[6]佑右宥柚祐诱釉
#ɪi	
p	[1]背卑悲杯碑[5]倍狈背贝辈
pʰ	[1]呸=胚[2]便{~宜}培徘蓓裴赔陪[5]佩呸沛配[6]备币悖惫焙
m	[2]煤媒枚梅玫眉莓霉[3]每美镁[6]妹媚魅
f	[1]啡妃扉绯菲霏非飞[2]淝肥[3]匪斐翡诽[5]䉬{芦~：芦席，用芦苇篾或高粱秆篾编织而成，方形或长方形，用来铺垫或苫盖物资}废沸肺费
v	[1]偎威煨萎[2]危唯喂围巍帷帏微惟桅为维薇违韦[3]伟伪委尾炜猥玮痿纬萎苇[5]尉慰畏胃蔚[6]位味未渭为卫谓魏
n	[3]馁=
l	[2]雷=
ʂ	[2]谁=
k	[5]给
x	[1]嘿
#uɪi	
t	[1]堆[3]怼=[5]对队兑=
