#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
ʂ	[1]舂{击打}
ʐ	[2]戎狨绒茸[3]冗
k	[1]公功宫工弓恭攻蚣躬龚[3]拱汞巩[5]供贡
kʰ	[1]空[2]穹隆起[3]孔恐[5]控空[6]共
ŋ	[5]{}（鼻堵）
x	[1]哄烘訇轰[2]宏弘洪红虹=鸿[3]哄擤{擤鼻子}
#iɔŋ	
tɕʰ	[2]琼穹穷
ɕ	[1]兄凶匈汹胸[2]熊
ø	[1]臃雍[2]雄荣容庸榕溶熔蓉融[3]拥俑勇涌甬蛹咏踊[5]壅{一种耕作方法，把泥土壅在植物根部，可以防止倒伏，促进生长}□{不强势}[6]佣用
#iŋ	
p	[1]兵冰彬斌槟滨濒缤宾[3]丙炳秉禀饼[5]并柄殡鬓
pʰ	[1]乒姘拼[2]坪嫔屏平凭瓶萍苹贫频颦[3]品评[5]聘[6]并{~排}病
m	[2]冥名明民瞑螟铭鸣[3]悯抿敏皿闽[6]命
t	[1]丁叮疔盯钉[3]顶鼎[5]澄订钉锭淀=
tʰ	[1]厅[2]亭停婷庭廷莛{某些植物的茎}蜓霆[3]挺艇[5]听淀-
ȵ	[2]凝宁您柠狞[6]宁
l	[1]拎[2]伶凌林淋凌澪玲琳磷粼绫羚聆膦临苓菱邻铃陵零霖灵鳞麟龄[3]岭领[6]令另蔺
tɕ	[1]京今巾惊斤旌晶津泾睛禁筋精经荆茎菁襟金惊鲸[5]劲境径敬晋浸禁竟胫径进镜[3]井仅尽境景槿瑾紧谨警锦颈
tɕʰ	[1]侵倾卿钦氢清蜻亲轻青[2]勤寻情擎擒晴琴禽黥[3]寝请顷[5]庆揿{往下按}亲{~家}[6]净尽近靖静
ɕ	[1]心惺新星欣猩腥兴芯薪辛锌鑫馨[2]刑型形桁行邢[3]省{反~}醒[5]信囟{~囊子：婴儿头顶骨未合缝的地方，在头顶的前部中央}姓性汛{潮~}兴讯衅[6]幸杏荇
ø	[1]嘤因姻婴应樱殷璎缨罂英茵荫阴音莺鹰鹦[2]吟赢寅楹淫瀛荧莹盈蝇赢迎银龈[3]尹引影瘾颖蚓隐饮[5]印应映饮瀴{凉气袭人}洇{液体渗透物体并向四周散开}□{火烧透}
#uəŋ	
t	[1]蹲=
tʰ	[1]吞=
l	[1]抡=
ts	[1]尊樽遵
tsʰ	[1]皴[2]存[5]吋寸[6]鳟
s	[1]孙[3]损[5]逊{肮脏，丑陋，不好}
tʂ	[1]肫[3]准□{允许}
tʂʰ	[1]村春椿[2]鹑[3]碜{夹有沙子}蠢[5]衬{以假意的过分的评价进行夸耀}
ʂ	[2]纯唇淳唇醇[3]吮[5]瞬舜[6]顺
ʐ	[6]润=
k	[3]滚[5]婫{一种烹调方法食物煮熟了，加盖再煮一会儿}[3]滚辊
kʰ	[1]坤昆琨[3]捆[5]困睏{睡觉}
x	[1]婚昏荤[2]浑馄魂[6]混鯶{青鱼}
#yŋ	
tɕ	[1]君均皲菌军钧[3]准[5]俊峻晋浚竣郡骏
tɕʰ	[1]囷逡[2]秦芹巡循群裙[6]郡
ɕ	[1]勋曛熏薰[2]巡旬询[3]榫笋隼髓[5]训迅驯
ø	[1]晕[2]云匀纭耘芸[3]允殒永泳咏陨[5]愠蕴酝[6]孕晕{发~}熨运韵
#iʔ	
p	[7a]鳖[7b]憋别{别针}瘪蹩鳖
pʰ	[7a]劈撇瞥[8]别
m	[8]灭篾
t	[7b]跌碟窒
tʰ	[7a]贴[8]喋堞牒叠碟蝶谍迭[7b]铁帖贴
l	[8]列劣烈猎裂
ȵ	[8]镊啮孽捏聂镍颞
tɕ	[7a]哲接揭折洁睫[7b]结劫哲接揭折洁睫节结
tɕʰ	[7a]撤切妾[8]杰截捷涉竭藉[7b]切妾彻沏窃
ɕ	[7a]摄歇泄胁蝎亵设[8]协折{~本}挟舌[7b]摄歇{~力}泄胁蝎亵设
ø	[7a]咽掖{[8]曳业叶页[7b]噎咽掖{把被子靠身压紧}
#yiʔ	
tɕ	[7a]决=
tɕʰ	[8]绝-{~根}
ɕ	[7a]雪=屑雪鱈[7b]雪-鱈屑
#əʔ	
p	[7a]不
pʰ	[8]勃饽荸㶿{热锅翻炒}
m	[7b]没
f	[8]佛佛弗拂
v	[7a]捥{使条状物变形}□{将桶具等没入水中装水，或纳头于水中}[8]勿物
t	[7a]得只德□{粘，帖}
tʰ	[7a]忑忒[8]突凸特
n	[8]抐{握紧，捏住}讷
l	[8]肋勒
ts	[7a]责仄侧则昃
tsʰ	[7a]侧册坼厕拆测策[8]宅择泽翟贼
s	[7a]涩塞瑟色[8]□{撕}
tʂ	[7a]摘执指汁窒织职质趾这只[8]蜇{海~}
tʂʰ	[7a]尺斥赤[8]值植殖直秩
ʂ	[7a]饰虱失室式湿识轼适释[8]十实拾石蚀食
ʐ	[8]肏入
k	[7a]格嗝疙胳隔革骼
kʰ	[7a]克刻咳[8]隔
ŋ	[7a]厄扼[8]呃杌{木制小板凳}额
x	[7a]黑吓壑赫[8]劾核阂齕{啃食}
ø	[7a]阿
#iəʔ	
p	[7a]笔壁弼必潷{沥干水分}璧毕碧臂辟逼
pʰ	[7a]枇僻劈匹辟霹[8]□{心跳突然加速或不稳}柲{门板后面的横条}
m	[8]密幂汨蜜觅
t	[7a]滴䊞嫡扚
tʰ	[7a]踢倜剔惕[8]敌涤狄笛籴翟荻迪
ȵ	[8]匿溺逆
l	[8]力历律栗泪沥率砾立笠粒雳
tɕ	[7a]急亟即吉圾击激积级绩脊迹鲫
tɕʰ	[7a]七[8]及夕-嫉寂极疾籍习藉袭辑集席
ɕ	[7a]吸夕=息悉晰析熄皙蟋锡隙[8]翕{~动}
ø	[7a]一乙忆抑溢益缢[8]亦掖易腋译
#yəʔ	
tɕ	[7a]橘掬
tɕʰ	[7a]屈[8]倔掘绝
ɕ	[7a]穴噱戌蟀谑
ø	[7a]疫[8]域役
#uɜʔ	
k	[7a]骨
kʰ	[7a]窟矻{~粒儿}
x	[7a]忽惚[8]囫核
ts	[7a]卒
tʂʰ	[7a]出[8]术{魔~}
ʂ	[7a]率[8]术述
#ɐʔ	
p	[7a]博剥柏[7b]博剥搏柏煿驳𠺣
pʰ	[7a]杷粕[8]亳泊箔薄雹
m	[8]摸漠膜莫陌
v	[7a]龌[7b]凹幄握
f	[7a]缚
t	[7a]沰[7b]耷{~墙}沰
tʰ	[7a]拓[8]踱[7b]托庹{两手平伸的长度}拓托
n	[8]诺掿
l	[8]落乐洛烙珞笿络酪骆
k	[7a]阁[7b]角各搁觉角阁
kʰ	[7a]客搉[7b]壳颏{下巴~儿}
ŋ	[7a]垩恶[8]噩愕萼谔鄂颚鳄鹗腭
x	[8]学鹤[7b]郝蠚{紧靠}
ts	[7b]作
tsʰ	[8]凿
ø	[7a]阿{~姨}
s	[7b]索
tʂ	[7a]酌[7b]着斫{剁，砍}酌
tʂʰ	[7a]绰㪕焯[8]昨着[7b]绰㪕{舀取，用瓢或舀等，一般指从下兜住舀起}焯
ʂ	[8]勺芍[7b]硕烁
ʐ	[8]弱箬{芦柴叶，可裹粽子、衬斗笠}若
#uɐʔ	
k	[7a]郭[7b]郭
kʰ	[7a]扩廓[7b]扩廓
x	[7a]藿{~香}攉藿霍濩{摇晃，动荡的样子}劐{用刀尖插入物体后顺势挑开一道口子}[8]获
ø	[7a]嗀{恶心，要呕吐}握[7b]握
#iaʔ	
p	[7a]八捌[8]拔跋[7b]八捌
m	[8]抹
f	[7a]发法[8]伐筏罚阀[7b]发法
v	[7a]挖[8]袜[7b]挖□{倾倒}
t	[7a]答[7b]答搭瘩
tʰ	[8]沓踏蹋达[7b]塔塌搨榻獭遢鳎□{涂抹}
ȵ	[8]纳呐捺疟纳虐衲钠
l	[8]辣剌掠□{阻拦}略腊蜡辣邋
ts	[7a]匝咂杂[7b]匝咂杂
tsʰ	[7a]擦[8]杂[7b]擦
s	[7a]萨卅撒飒[7b]萨卅
tʂ	[7a]眨扎札扎[7b]眨扎札扎
tʂʰ	[8]闸煠铡[7b]察插
ʂ	[7a]杀煞[8]刹[7b]杀煞
k	[7a]甲胛[7b]夹嘎夹甲胛
kʰ	[7a]甲{指~}[8]轧[7b]掐
x	[7a]瞎[8]匣狎狭辖[7b]瞎
tɕ	[7a]爵甲脚觉雀[7b]爵甲脚觉
tɕʰ	[7a]雀鹊[8][7b]剧却恰洽确
ɕ	[7a]削楔[8]刹学侠峡[7b]削楔
ŋ	[7a]押鸭压[8]轧[7b]鸭压押
ø	[8]岳乐药跃钥[7b]约
#uaʔ	
x	[7a]攉豁[8]滑猾[7b]攉{用手打}豁
tʂ	[7b]卓捉桌
tʂʰ	[7a]戳[8]㪬{用棍棒、筷子等自上而下反复捣}浊镯[7b]戳
#yaʔ	
ʂ	[7a]刷嗍{吮吸}[8]刷[7b]刷嗍
k	[7a]刮{耳~子}[7b]括刮
kʰ	[7a]狭{促~：捉弄}[8]□{触碰，划}
#ɔʔ	
p	[7a]伯佰北卜柏百[7b]北百{~块钱}
pʰ	[7a]赴{~宴}噗扑拍朴泊珀蹼迫魄}[8]白仆帛舶铂
m	[8]木墨沐牧目睦穆脉苜蛨陌麦默
f	[7a]福幅复腹蝠复覆辐[8]伏匐服茯菔袱
t	[7a]啄督笃
tʰ	[7a]秃[8]毒渎牍犊独读黩
n	[8]喏=
l	[8]陆六戮氯漉碌禄绿录鹿
k	[7a]国帼谷蝈
kʰ	[7a]哭酷
ts	[7a]足
tsʰ	[7a]促簇[8]族
s	[7a]肃僳宿粟续速缩[8]俗
tʂ	[7a]烛嘱瞩祝竹竺筑粥
tʂʰ	[7a]畜搐触[8]啄妯{妯娌：兄弟之妻相互的关系，或她们的合称}舳轴逐
ʂ	[7a]叔属束淑缩[8]塾孰属熟赎
ʐ	[8]肉褥辱
x	[7a]砉{~动}[8]惑或获
v	[7a]沃=
ø	[7a]沃-屋
#iɔʔ	
tɕ	[7a]菊掬趜{不伸展}锔鞠鞫
tɕʰ	[7a]曲蛐[8]侷局焗
ɕ	[7a]旭畜蓄
ø	[7a]郁玉=□{身体不舒展}[8]囿欲浴狱玉育
#uʔ	
p	[7a]拨钵[7b]拨钵
pʰ	[7a]泼[8]卜
m	[8]沫末茉
t	[7b]□{慢煮}
tʰ	[8]夺[7b]脱蜕
n	[8]衲{~子：尿布}
l	[8]捋
k	[7a]蛤阁颌[7b]葛佮合蛤阁颌鸽
kʰ	[7a]阔[7b]瞌嗑瞌磕
tsʰ	[7a]撮[7b]撮{~合}
tʂ	[7a]拙茁[7b]拙茁
tʂʰ	[7a]辍[7b]辍啜{~气}
ʂ	[7a]说[7b]说
x	[7a]豁{缺口，~子：兔唇}[8]合活盒阖[7b]喝
ø	[7a]斡盦遏[7b]斡盦{闷，不透风}遏
#iuʔ	
tɕ	[7a]决厥噘抉撅獗蕨[7b]决=厥噘抉撅獗蕨
tɕʰ	[7a]缺阙[8]掘绝=[7b]缺阙
ɕ	[7a]薛血[8]穴[7b]血薛
ø	[8]月悦玥粤越阅
#ɯiʔ	
ʐ	[8]热日
tʂ	[7a]折[7b]折
tʂʰ	[8]侄
#iɪ̃	
ʐ	[2]然燃髯[3]染冉
tʂ	[3]搌{擦，抹}
