#ɿ							
ts	[1] 資姿諮滋茲之知（~鳥兒）支□（~手兒）肢芝脂梔蜘枝眵咨輜		[3] 子紫梓紙止扯趾指旨	[5] 製制志至置致智誌痣蔗			
tsʰ	[1] 癡雌（~拉婆兒：粗野的女人）差（參~）疵嗤		[3] 恥此齒侈	[5] 次刺（~窠：帶刺的小灌木）疵廁翅侈嗤			
dz		[2] 辭磁慈祠詞匙遲池持馳瓷稚餈			[6] 痔滯治恃伺雉苧稚		
s	[1] 思司斯師（~姑:尼姑）螄絲私（~伢兒：私生子）獅尸屍詩廝撕施		[3] 死史矢屎駛始豕使	[5] 四（~司六局:言排場大）世勢試賜肆矢			
z		[2] 時（~光：時候）鰣匙			[6] 寺嗣飼是事士仕侍柿氏誓視逝字自墅俟豉示嗜似祀巳市恃		
#i							
p	[1] 屄（小~兒：小姑娘的貶稱）蓖		[3] 比臂敝匕妣鄙	[5] 閉鄙秘祕泌篦			
pʰ	[1] 批丕披			[5] 披屁（~~輕：很輕）庇譬（~如當~如：寬慰自解）			
b		[2] 皮（~~兒：愛玩愛鬧）脾琵啤疲枇痹肥-（~皂）			[6] 避幣弊斃陛被（~窠：被窩）鐾蔽婢痹篦		
m	[1] 瞇	[2] 迷謎糜彌眉嵋媚靡	[3] 米（~湯）靡尾-（~巴）		[6] 謎		
f	[1] 飛非菲妃榧		[3] 匪榧	[5] 肺廢吠沸費痱疿翡			
v		[2] 唯維惟薇微肥=（~料）			[6] 未味尾=（結~）		
t	[1] 低爹		[3] 底抵砥詆	[5] 諦帝蒂			
tʰ	[1] 梯		[3] 體	[5] 替涕剃綈（~相：細膩光滑的樣子）屉			
d		[2] 堤提題啼蹄			[6] 第弟遞地娣隸逮棣		
n			[3] 你□（~線：縫衣針）		[6] □（~粟：嫩玉米）		
l		[2] 離璃梨（~頭兒）黎犁灕江釐麗（高~）鸝籬狸	[3] 裏里理鯉禮娌俚李		[6] 例厲吏勵麗荔礪痢利（~鈿：利息）離□（~li⑥tɕi③：可愛或可恨）		
tɕ	[1] 雞肌基機饑几（茶~）譏記（~掛：掛念）□（~歇：什麼時候）稽羈嵇箕姬飢		[3] 姐擠幾（~個）己姊	[5] 濟祭際記繼旣寄計鯽借薺劑繫髻冀紀季			
tɕʰ	[1] 妻欺棲淒溪（~溝：山澗）蛆		[3] 啓企起（~先：原先）豈杞契且	[5] 氣（~急呼啦）汽器棄去（來~）砌契			
dʑ		[2] 騎奇其棋期旗（~下）茄（~兒：茄子）齊臍岐祁鰭祈			[6] 伎技忌（做~：拘謹）妓謝薺（~菜花兒）		
ȵ		[2] 泥尼倪疑宜誼擬蟻			[6] 儀義議藝毅膩厲刈宜誼擬		
ɕ	[1] 西（~貝貨：假貨）稀希犧些犀嬉熙嘻		[3] 喜洗（~臉）徙璽寫嗜蟢		[6] 細繫系係戲（~文）尿（~單爿兒：尿布）壻		
ɦ		[2] 移姨遺爺（乾~：姑父或姨父）奚兮攜夷怡			[6] 異易夜肄矣		
ʔ	[1] 衣依醫蟻懿伊倚		[3] 椅蟻野（~伢兒）勩（磨損）已以	[5] 意億憶已以夜（~到：夜裡）易			
#u							
p	[1] 玻		[3] 撲補（~食：補品）譜	[5] 布（~兒）佈怖			
pʰ	[1] 鋪（~設）		[3] 普浦脯	[5] 鋪（店~）			
b		[2] 蒲菩脯□（~太陽）			[6] 部簿捕步埠菩（~頭兒）孵		
f	[1] 夫膚敷麩俘		[3] 斧甫釜府腑輔脯	[5] 富副付傅浮赴訃賦			
v		[2] 符扶撫誣			[6] 父婦腐（~乳）附釜		
t	[1] 都嘟		[3] 賭肚（豬肚）堵睹妬	[5] 妒蠹			
tʰ			[3] 土吐（~痰）	[5] 兔（~兒）吐（嘔~）			
d		[2] 徒塗途圖屠			[6] 杜肚（~皮）度渡鍍屠		
l		[2] 盧爐蘆廬瀘鸕	[3] 魯擼（~順毛：拍馬屁）鹵虜		[6] 路露鷺賂		
ts	[1] 租		[3] 祖組阻				
tsʰ	[1] 粗初		[3] 楚礎	[5] 醋措錯			
dz		[2] 鋤			[6] 助		
s	[1] 蘇酥疏蔬		[3] 所數	[5] 素塑嗉數漱			
k	[1] 姑辜孤鍋（~兒缸灶：泛指炊具）戈過蝸		[3] 古估股鼓牯果裹餜	[5] 顧雇故固賈（商~）過			
kʰ	[1] 枯箍（~兒：耳環）		[3] 苦	[5] 庫（~兒紙：冥鈔）褲			
g					[6] □（~搭搭：傻乎乎）		
h	[1] 呼（~~泡：很燙）		[3] 火（~出郎當：急急忙忙）虎（~叉口：額頭兩邊向上延伸部分）夥伙滸	[5] 貨			
ɦ		[2] 禾吳梧湖胡狐無糊（~喋喋：膩心的樣子）蜈吾壺乎鬍符扶			[6] 賀禍戶誤悟互護霧滬戊瓠巫誣務		
