字	IPA	调值
玻	po	44
牙	ia	42
待	tei	55
牛	niou	31
窄	tse	24
令	liɯ	55
確	tɕʰio	24
棍	kuei	55
音	iɯ	44
衰	suei	44
早	tsɔ	42
申	sɯ	44
髮	fa	24
該	kei	44
父	fu	55
銀	iɯ	31
遇	yi	55
緊	tɕiɯ	42
屈	tɕʰyu	24
百	pe	24
桃	tʰɔ	31
紙	tsɿ	42
落	lo	24
義	i	55
毫	xɔ	31
辰	sɯ	31
經	tɕiɯ	44
楷	kʰei	42
曹	tsʰɔ	31
體	tʰi	42
實	sɿ	24
四	sɿ	55
昨	tso	24
京	tɕiɯ	44
謎	mi	55
權	tɕʰye	31
妹	mei	55
母	mu	42
祭	tɕi	55
酣	xa	44
邑	i	24
宫	ku	44
朋	pʰou	31
胸	ɕyu	44
是	sɿ	55
斷	tua	55
平	pʰiɯ	31
合	xo	24
别	pie	24
必	pi	24
陷	ɕie	55
溪	ɕi	44
稿	kɔ	42
棧	tsa	55
虎	xu	42
常	tsʰa	31
蟬	sa	31
萬	va	55
衣	i	44
跪	kuei	55
殊	su	44
怯	tɕʰie	24
害	xei	55
扇	sa	55
轟	xu	44
戌	ɕyu	24
黍	tsʰu	42
楚	tsʰu	42
招	tsɔ	44
巷	xa	55
鋤	tsʰu	31
諧	xei	31
仍	zɯ	31
家	tɕia	44
陣	tsʰɯ	31
陣	tsɯ	55
反	fa	42
勒	le	24
舊	tɕiou	55
寄	tɕi	55
僕	pʰu	24
友	iou	42
出	tsʰu	24
識	sɿ	24
觀	kua	44
丁	tiɯ	44
凝	niɯ	31
愛	ei	55
聲	sɯ	44
滯	tsɿ	55
拘	tɕyi	44
涯	ia	42
誦	su	55
朗	la	42
色	se	24
移	i	31
尤	iou	31
銜	ɕie	31
歇	ɕie	24
環	xua	31
泥	ni	31
舀	iɔ	42
驢	lu	31
津	tɕiɯ	44
白	pe	24
烏	u	44
現	ɕie	55
慘	tsʰa	42
萌	mou	31
菠	po	44
襯	tsʰɯ	55
石	sɿ	24
水	suei	42
話	xua	55
倫	luei	31
黑	xe	24
