字	IPA	调值
玻	po	44
牙	ɕia	42
牛	niəɯ	42
窄	tsɔ	42
令	li	11
確	tɕʰio	42
準	tʂuə	53
棍	kuə	11
音	ɕi	44
衰	ʂuɛ	44
早	tsɔ	53
申	ʂə	44
髮	fa	42
該	kɛ	44
銀	ɕi	42
遇	ɕi	11
緊	tɕi	53
屈	tɕʰiu	42
百	pɔ	42
逢	foŋ	42
桃	tʰɔ	42
紙	tʂʅ	53
落	lo	42
康	kʰaŋ	44
蠻	mæ	42
毫	xɔ	42
辰	ʂə	42
經	tɕi	44
楷	kʰɛ	53
曹	tsʰɔ	42
倣	faŋ	53
體	tʰi	53
受	ʂəɯ	11
實	ʂʅ	42
四	sɿ	11
昨	tso	42
京	tɕi	44
權	tɕʰiæ	42
妹	me	11
桿	kæ	44
母	mu	53
母	mo	44
祭	tɕi	11
邑	ɕi	42
宫	koŋ	44
朋	pʰoŋ	42
胸	ɕioŋ	44
是	ʂʅ	11
斷	tuæ	11
平	pʰi	42
美	me	53
合	xo	42
别	pie	42
必	pi	42
陷	ɕiæ	11
溪	ɕi	44
稿	kɔ	53
棧	tʂæ	11
虎	xu	53
常	tʂʰaŋ	42
猛	moŋ	53
樓	ləɯ	42
凳	tə	11
蟬	ʂæ	42
萬	væ	11
衣	ɕi	44
殊	ʂu	44
歪	xuɛ	44
刷	ʂua	42
堂	tʰaŋ	42
角	ko	42
制	tʂʅ	11
吹	tʂʰue	44
漢	xæ	11
欣	ɕi	44
亥	xɛ	11
細	ɕi	11
趁	tʂʰə	11
孔	kʰoŋ	53
吉	tɕi	42
愁	tsʰəɯ	42
貧	pʰi	42
孫	suə	44
上	ʂaŋ	11
鏟	tʂʰæ	53
表	piɔ	53
絨	ʐoŋ	42
篤	tu	42
數	su	53
數	su	11
盈	ɕi	42
星	ɕi	44
祥	tɕʰiaŋ	42
榮	ɕioŋ	42
跌	tie	42
憲	ɕiæ	11
娘	niaŋ	42
冬	toŋ	44
明	mi	42
披	pʰi	44
整	tʂə	53
