id	ini	fn	pt	middeng	middiao	midini	midkaihe	midyun	单字	ipa调值	ipa调号	注释
1	t	ɔ	33	一	平	端	開	歌	多	tɔ33	tɔ1a	～少
2	tʰ	ɔ	33	一	平	透	開	歌	拖	tʰɔ33	tʰɔ1a	～拉机
3	tʰ	a	33	一	平	透	開	歌	他	tʰa33	tʰa1a	其～
4	tʰ	ɔ	213	一	平	定	開	歌	駝	tʰɔ213	tʰɔ2	骆～
6	tʰ	ai	21	一	去	定	開	歌	大	tʰai21	tʰai3	～夫，～黄
7	n	ɔ	213	一	平	泥	開	歌	挪	nɔ213	nɔ2	～用公款
8	n	ai	21	一	上	泥	開	歌	哪	nai21	nai3	～里
9	n	a	213	一	上	泥	開	歌	哪	na213	na2	～吒
10	n	ai	21	一	去	泥	開	歌	那	nai21	nai3	～里；姓
11	l	ɔ	213	一	平	來	開	歌	羅	lɔ213	lɔ2	姓
12	l	ɔ	213	一	平	來	開	歌	鑼	lɔ213	lɔ2	～鼓
13	l	ɔ	213						箩	lɔ213	lɔ2	～筐
14	ʦ	ɔ	21	一	上	精	開	歌	左	ʦɔ21	ʦɔ3	～右
15	ʦ	ɔ	21	一	去	精	開	歌	佐	ʦɔ21	ʦɔ3	辅～
16	k	ɔ	33	一	平	見	開	歌	歌	kɔ33	kɔ1a	唱～，～声
17	k	ɔ	45	一	平	見	開	歌	哥	kɔ45	kɔ1b	大～，学生～
18	k	ɔ	451	一	去	見	開	歌	個	kɔ451	kɔ5	两～，～别
19	k	ai	451	一	去	見	開	歌	個	kai451	kai5	我～（我的）
20	h	ɔ	21	一	上	溪	開	歌	可	hɔ21	hɔ3	～能，许～证
21	ŋ	ɔ	213	一	平	疑	開	歌	蛾	ŋɔ213	ŋɔ2	飞～扑火
22	ŋ	ɔ	45	一	平	疑	開	歌	鵝	ŋɔ45	ŋɔ1b	天～
23	ŋ	ɔ	213	一	平	疑	開	歌	俄	ŋɔ213	ŋɔ2	～罗斯
24	ŋ	ɔ	213	一	上	疑	開	歌	我	ŋɔ213	ŋɔ2	自～[文]
25	ŋ	ai	213	一	上	疑	開	歌	我	ŋai213	ŋai2	涯，第一人称[白]
26	ŋ	ɔ	21	一	去	疑	開	歌	餓	ŋɔ21	ŋɔ3	饥～
