#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
多	tə³¹²	tə⁴¹²	tə³¹²	tə³¹²	tə¹³	tə¹³	tə¹³	tə¹³
左	tsə⁵³	tsə⁵³	tsə⁵³	tsə⁵³	tsə⁵³	tsə⁵³	tsə⁵³	tsə⁵³
大(~小)	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴
挪	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³
我	kə⁵³	kə⁵³	kə⁵³	kə⁵³	kə⁵³	kə⁵³	kə⁵³	kə⁵³
个	kʰuei¹³	kʰuei¹³	kʰuei¹³	kʰue¹³	kə¹³	kə¹³	kə¹³	kə¹³
河	xuə¹³	xuə¹³	xuə¹³	xuə¹³	xə¹³	xuə¹³	xuə¹³	xuə¹³
贺	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³	xə¹³
跛	pə⁵³	pə⁵³	pə⁵³	puə⁵³	pə⁵³	pə⁵³	puə⁵³	puə⁵³
破	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴	pʰə⁴⁴
唾	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴	tʰuə⁴⁴
骡	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³	lə¹³
坐	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴
座	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴
课	kʰuə⁴⁴	kʰuə⁴⁴	kʰə⁴⁴	kʰuə⁴⁴	kʰə⁴⁴	kʰə⁴⁴	kʰə⁴⁴	kʰuə⁴⁴
颗	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³	kʰuə⁵³
火	xuə⁵³	xuə⁵³	xuə⁵³	xuə⁵³	xuə⁵³	xuə⁵³	xuə⁵³	xuə⁵³
货	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴	xuə⁴⁴
靴	ɕyə³¹²	ɕyə⁴¹²	ɕyə³¹²	ɕyə³¹²	ɕyə¹³	ɕyə¹³	ɕyə¹³	ɕyə¹³
把(量词)	pa⁵³	pə⁵³	pə⁵³	pə⁵³	pə⁵³	pə⁵³	pə⁵³	pə⁵³
拿	la¹³	la¹³	la¹³	la¹³	la¹³	la¹³	la¹³	la¹³
