汉字	注释	罗坝
多		to11
拖		tʰo11
他		tʰa11
駝		tʰo42
羅		lo42
鑼		lo42
搓		tsʰai11
歌		ko11
哥		ko11
鵝		ŋo42
河		ho42
何		ho42
荷	~花	ho42
舵		tʰo11
左		tso31
可		kʰo31
我		ŋo11
大		tʰai44
那		na31
個	一~	ke44
餓		ŋo44
荷	薄~	ho42
賀		ho44
茄		tɕʰio42
波		po11
坡		po11
玻		po11
婆		pʰo42
磨	~刀	mo42
螺		lo42
腡	指紋	lo42
囉		lo11
蓑		so11
梭		so11
唆		so11
戈		/
科		kʰo11
棵		kʰo11
和	~氣	fo42
禾		vo42
倭		vo11
窩		vo11
跛		pe11
朵		to31
妥		tʰo31
惰		tʰo44
裸		lo31
坐		tsʰo11
鎖		so31
瑣		so31
果		ko31
裹		ko31
顆		kʰo31
火		fo31
禍		fo44
簸	~箕	po44
破		pʰo44
薄	~荷	pʰok2
磨	石~	mo44
刴		to44
糯		no44
銼		tsʰo44
座		tsʰo11
過		ko44
課		kʰo31
貨		kʰo44
瘸		tɕʰio42
靴		ɕio11
疤		pa11
爬		pʰa42
麻		ma42
痲		ma42
拿		na11
茶		tsʰa42
搽		tsʰa42
查	山~	tsa11
渣		tsa11
叉		tsʰa11
差	~別	tsʰa11
查	調~	tsʰa42
沙		sa11
紗		sa11
家		ka11
加		ka11
嘉		ka11
牙		ŋa42
芽		ŋa42
蝦	魚~	ha42
霞		ha42
鴉		a11
把		pa31
馬		ma31
假	真~	ka31
雅		ŋa42
下	底~	ha11
廈	~門	ha44
啞		a31
霸		pa44
壩	堤	pa44
怕		pʰa44
帕		pʰa44
耙		pʰa42
罵		ma44
詐		tsa44
榨		tsa44
岔	~路	tsʰa44
假	放~	ka31
嫁		ka44
價		ka44
揢	捕捉拿住	kʰat3
嚇	~一跳	hak3
下	~降	ha44
夏	春~	ha44
亞		a11
些		ɕia11
邪		ɕia42
斜		tɕʰia42
爹		tia11
遮		tsa11
車	馬~	tsʰa11
蛇		sa42
賒		sa11
爺		ia42
姐		tɕia31
且		tɕʰia31
寫		ɕia31
者		tsa31
扯		tsʰa31
捨		sa31
社		sa44
惹		ɲia31
野		ia11
借		tɕia44
藉		tɕia44
瀉		ɕia44
卸		/
謝		tɕʰia44
蔗		tsa44
射		sa44
赦		sa44
舍		sa44
夜		ia44
瓜		ka11
蝸		vo11
誇		kʰa11
花		fa11
華	中~	fa42
划		vak2
划		pʰa42
蛙		va11
漥		va11
寡		ka31
垮		kʰa11
瓦		ŋa31
跨		kʰa11
化		fa44
華	姓	fa44
鋪	~設	pʰu11
菩		pʰu42
脯		pʰu42
模		mo42
都		tu11
徒		tʰu42
塗		tʰu42
圖		tʰu42
奴		nu42
盧		lu42
爐		lu42
租		tsu11
粗		tsʰu11
蘇		su11
酥		su11
姑		ku11
孤		ku11
箍		ku11
箍		kʰu11
枯		ku11
吳		m42
梧		m42
呼		fu11
胡		fu42
湖		fu42
壺		fu42
烏		vu11
污		vu11
補		pu31
譜		pʰu31
普		pʰu31
部		pʰu44
簿		pʰu44
簿		pʰu11
堵		tu31
賭		tu31
肚		tu31
土		tʰu31
杜		tʰu44
努		nu31
魯		nu31
滷		nu31
祖		tsu31
組		tsu31
古		ku31
牯		ku31
鼓		ku31
苦		kʰu31
苦		fu31
五		m31
午		m31
虎		fu31
戶		fu44
布		pu44
舖	店~	pʰu11
舖		pʰu44
怖		pu44
步		pʰu44
捕		pʰu31
墓		mu44
募		mu44
吐	嘔~	tʰu44
兔		tʰu44
度		tʰu44
渡		tʰu44
怒		nu44
路		lu44
露		lu44
做		tso44
醋		tsʰu44
錯		tsʰo44
素		su44
訴		su44
故		ku44
固		ku44
顧		ku44
庫		kʰu44
褲		kʰu44
誤		vu44
戽	~水	fu44
護		fu44
瓠	~瓜	pʰu42
惡	可~	ok3
廬		lu42
驢		lu42
徐		tsʰɿ42
豬		tsu11
除		tsʰu42
儲		tsʰu42
初		tsʰu11
鋤		tsʰo42
梳		so11
疏	~遠	su11
