字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	闽中区			沙县(城关话)	0	e	212	入声	
丁	闽中区			沙县(城关话)	t	ɛiŋ	33	阴平	
七	闽中区			沙县(城关话)	tsʰ	e	212	入声	
三	闽中区			沙县(城关话)	s	ɔ̃	33	阴平	
上	闽中区			沙县(城关话)	s	iŋ	24	去声	
下	闽中区			沙县(城关话)	0	a	53	阳上	
丐	闽中区			沙县(城关话)	k	ai	24	去声	
丑	闽中区			沙县(城关话)	tʰ	io	21	阴上	
专	闽中区			沙县(城关话)	tʃ	yɪ̃	33	阴平	
且	闽中区			沙县(城关话)	tsʰ	iɔ̃	21	阴上	
丕	闽中区			沙县(城关话)	pʰ	i	31	阳平	
世	闽中区			沙县(城关话)	s	ɿ	24	去声	
丗	闽中区			沙县(城关话)	s	ɿ	24	去声	
丙	闽中区			沙县(城关话)	p	ɛiŋ	21	阴上	
业	闽中区			沙县(城关话)	0	ie	53	阳上	
东	闽中区			沙县(城关话)	t	ɔuŋ	33	阴平	
丝	闽中区			沙县(城关话)	s	i	33	阴平	
丞	闽中区			沙县(城关话)	s	ɛiŋ	31	阳平	
两	闽中区			沙县(城关话)	l	iŋ	21	阴上	
严	闽中区			沙县(城关话)	ŋ	ɪ̃	31	阳平	
丧	闽中区			沙县(城关话)	s	aŋ	24	去声	丧失。
中	闽中区			沙县(城关话)	t	œyŋ	33	阴平	
丰	闽中区			沙县(城关话)	x	ɔuŋ	33	阴平	
临	闽中区			沙县(城关话)	l	ɛiŋ	31	阳平	
丸	闽中区			沙县(城关话)	0	yɪ̃	31	阳平	
主	闽中区			沙县(城关话)	tʃ	ø	21	阴上	
丼	闽中区			沙县(城关话)	ts	ɔ̃	21	阴上	
丽	闽中区			沙县(城关话)	l	i	24	去声	
举	闽中区			沙县(城关话)	k	ø	21	阴上	
乃	闽中区			沙县(城关话)	l	ai	21	阴上	
久	闽中区			沙县(城关话)	k	io	21	阴上	
义	闽中区			沙县(城关话)	ŋ	ɪ̃	24	去声	
之	闽中区			沙县(城关话)	ts	ɿ	33	阴平	
乌	闽中区			沙县(城关话)	0	u	33	阴平	
乍	闽中区			沙县(城关话)	ts	a	24	去声	
乏	闽中区			沙县(城关话)	x	ua	53	阳上	
乐	闽中区			沙县(城关话)	g	o	53	阳上	音乐。
乔	闽中区			沙县(城关话)	k	io	31	阳平	
乗	闽中区			沙县(城关话)	s	ɛiŋ	31	阳平	
乘	闽中区			沙县(城关话)	s	ɛiŋ	31	阳平	
乙	闽中区			沙县(城关话)	0	e	212	入声	
九	闽中区			沙县(城关话)	k	io	21	阴上	
乞	闽中区			沙县(城关话)	kʰ	yɛ	212	入声	
也	闽中区			沙县(城关话)	0	ia	21	阴上	
习	闽中区			沙县(城关话)	s	i	53	阳上	
乡	闽中区			沙县(城关话)	s	iŋ	33	阴平	
书	闽中区			沙县(城关话)	ʃ	y	33	阴平	
买	闽中区			沙县(城关话)	m	ɛ	21	阴上	
乱	闽中区			沙县(城关话)	n	uɪ̃	24	去声	
乳	闽中区			沙县(城关话)	0	ø	21	阴上	
乾	闽中区			沙县(城关话)	kʰ	ɪ̃	31	阳平	乾坤。
亂	闽中区			沙县(城关话)	n	uɪ̃	24	去声	
了	闽中区			沙县(城关话)	l	iau	21	阴上	
事	闽中区			沙县(城关话)	s	ai	24	去声	话事。
二	闽中区			沙县(城关话)	ŋ	ɪ̃	24	去声	
于	闽中区			沙县(城关话)	0	y	31	阳平	
亏	闽中区			沙县(城关话)	kʰ	yi	33	阴平	
五	闽中区			沙县(城关话)	g	o	21	阴上	
井	闽中区			沙县(城关话)	ts	ɔ̃	21	阴上	
亚	闽中区			沙县(城关话)	0	a	24	去声	
亞	闽中区			沙县(城关话)	0	a	24	去声	
亡	闽中区			沙县(城关话)	g	uaŋ	31	阳平	
交	闽中区			沙县(城关话)	k	au	33	阴平	
亥	闽中区			沙县(城关话)	x	ai	53	阳上	
产	闽中区			沙县(城关话)	s	uẽ/ɔɪ̃	21	阴上	
亨	闽中区			沙县(城关话)	pʰ	ɔɪ̃	33	阴平	
京	闽中区			沙县(城关话)	k	ɛiŋ	33	阴平	
亭	闽中区			沙县(城关话)	t	ɔɪ̃	31	阳平	
亿	闽中区			沙县(城关话)	0	i	24	去声	
什	闽中区			沙县(城关话)	s	ɿ	53	阳上	
仁	闽中区			沙县(城关话)	0	iɛiŋ	31	阳平	
仅	闽中区			沙县(城关话)	k	ɛiŋ	21	阴上	
今	闽中区			沙县(城关话)	k	ɛiŋ	33	阴平	
介	闽中区			沙县(城关话)	k	ai	24	去声	
仑	闽中区			沙县(城关话)	n	uɪ̃	31	阳平	
仓	闽中区			沙县(城关话)	tsʰ	aŋ	33	阴平	
仕	闽中区			沙县(城关话)	s	ɿ	24	去声	
仗	闽中区			沙县(城关话)	t	iŋ	53	阳上	
仙	闽中区			沙县(城关话)	s	ɪ̃	33	阴平	
代	闽中区			沙县(城关话)	t	ai	24	去声	
令	闽中区			沙县(城关话)	l	ɛiŋ	24	去声	
以	闽中区			沙县(城关话)	0	e	21	阴上	
仲	闽中区			沙县(城关话)	t	œyŋ	53	阳上	
件	闽中区			沙县(城关话)	k	ɪ̃	53	阳上	
任	闽中区			沙县(城关话)	0	iɛiŋ	24	去声	
企	闽中区			沙县(城关话)	kʰ	e	21	阴上	
伍	闽中区			沙县(城关话)	g	o	21	阴上	
伏	闽中区			沙县(城关话)	x	u	53	阳上	
伐	闽中区			沙县(城关话)	x	ua	53	阳上	
休	闽中区			沙县(城关话)	s	iu	33	阴平	
会	闽中区			沙县(城关话)	x	ui	24	去声	
伞	闽中区			沙县(城关话)	s	uẽ	21	阴上	
伟	闽中区			沙县(城关话)	0	ye	212	入声	
伤	闽中区			沙县(城关话)	s	iŋ	33	阴平	
伦	闽中区			沙县(城关话)	n	uɪ̃	31	阳平	
伪	闽中区			沙县(城关话)	g	ui	24	去声	
伯	闽中区			沙县(城关话)	p	a	212	入声	
估	闽中区			沙县(城关话)	k	o	21	阴上	
伴	闽中区			沙县(城关话)	pʰ	uɪ̃	53	阳上	
伸	闽中区			沙县(城关话)	s	ɛiŋ	33	阴平	
似	闽中区			沙县(城关话)	s	ɿ	53	阳上	
伽	闽中区			沙县(城关话)	k	ia	33	阴平	
位	闽中区			沙县(城关话)	0	yi	24	去声	
住	闽中区			沙县(城关话)	t/tʃ	iu/y	24	去声	文读，白读。
佐	闽中区			沙县(城关话)	ts	ɔ	21	阴上	
佗	闽中区			沙县(城关话)	t	o	31	阳平	
佛	闽中区			沙县(城关话)	x	ue/ui	212/53	入声/阳上	
佩	闽中区			沙县(城关话)	pʰ	ui	24	去声	
佳	闽中区			沙县(城关话)	k	a	33	阴平	
使	闽中区			沙县(城关话)	s	ai/ɤ	21	阴上	文读，使得。
來	闽中区			沙县(城关话)	l	ai	31	阳平	
例	闽中区			沙县(城关话)	l	ie	24	去声	
侍	闽中区			沙县(城关话)	s	ɿ	24	去声	
侏	闽中区			沙县(城关话)	tʃ	y	33	阴平	
侖	闽中区			沙县(城关话)	n	uɪ̃	31	阳平	
供	闽中区			沙县(城关话)	k	œyŋ	24	去声	供佛。
依	闽中区			沙县(城关话)	0	i	33	阴平	
侨	闽中区			沙县(城关话)	k	io	31	阳平	
侪	闽中区			沙县(城关话)	ts	e	31	阳平	
侬	闽中区			沙县(城关话)	l	ɔuŋ	31	阳平	
侮	闽中区			沙县(城关话)	0	o	21	阴上	
侯	闽中区			沙县(城关话)	x	au	31	阳平	
侵	闽中区			沙县(城关话)	tsʰ	ɛiŋ	33	阴平	
便	闽中区			沙县(城关话)	p	ɛiŋ	31	阳平	便宜。
促	闽中区			沙县(城关话)	tʃʰ	ø	212	入声	
俄	闽中区			沙县(城关话)	g	o	31	阳平	
俌	闽中区			沙县(城关话)	x	o	21	阴上	
俏	闽中区			沙县(城关话)	tsʰ	io	24	去声	
俗	闽中区			沙县(城关话)	ʃ	y	53	阳上	
保	闽中区			沙县(城关话)	p	ɔ	21	阴上	
俞	闽中区			沙县(城关话)	0	y	24	去声	
信	闽中区			沙县(城关话)	s	ɛiŋ	24	去声	
俭	闽中区			沙县(城关话)	k	ɪ̃	53	阳上	
修	闽中区			沙县(城关话)	s	iu	33	阴平	
俯	闽中区			沙县(城关话)	x	o	21	阴上	
俱	闽中区			沙县(城关话)	k	y	33	阴平	
俸	闽中区			沙县(城关话)	x	ɔuŋ	53	阳上	
俺	闽中区			沙县(城关话)	0	ɔ̃	33	阴平	
倉	闽中区			沙县(城关话)	tsʰ	aŋ	33	阴平	
倒	闽中区			沙县(城关话)	t	ɔ	21	阴上	打倒。
倚	闽中区			沙县(城关话)	0	e	21	阴上	
倦	闽中区			沙县(城关话)	k	yɪ̃	24	去声	
倪	闽中区			沙县(城关话)	0	ie	31	阳平	
倫	闽中区			沙县(城关话)	n	uɪ̃	31	阳平	
债	闽中区			沙县(城关话)	ts	ie	24	去声	
倾	闽中区			沙县(城关话)	kʰ	ɛiŋ	33	阴平	
假	闽中区			沙县(城关话)	k	a	21	阴上	
偉	闽中区			沙县(城关话)	0	ye	212	入声	
偏	闽中区			沙县(城关话)	pʰ	ɪ̃	33	阴平	
偕	闽中区			沙县(城关话)	k	ai	33	阴平	
停	闽中区			沙县(城关话)	t/tʰ	ɔɪ̃	31	阳平	停止，停酒：筛酒。
健	闽中区			沙县(城关话)	k	yɪ̃	24	去声	
偷	闽中区			沙县(城关话)	tʰ	au	33	阴平	
偿	闽中区			沙县(城关话)	s	iŋ	21	阴上	
傍	闽中区			沙县(城关话)	p	aŋ	31	阳平	
傑	闽中区			沙县(城关话)	k	ie	53	阳上	
傘	闽中区			沙县(城关话)	s	uẽ	21	阴上	
備	闽中区			沙县(城关话)	p	i	24	去声	
储	闽中区			沙县(城关话)	t	y	31	阳平	
催	闽中区			沙县(城关话)	tsʰ	ue/ui	33	阴平	
傲	闽中区			沙县(城关话)	0/g	au	24	去声	文读，白读。
債	闽中区			沙县(城关话)	ts	ie	24	去声	
