pa[1]巴疤芭[2]把爸[5]坝霸[6]罢={~了}
pʰa[2]爬琶杷[5]怕帕[6]耙稗罢-{~免}
ma[1]妈[2]麻痲蔴嫲[3]马码[6]骂
fa[1]花[2]华铧划{~船}[5]化[6]画话=划{笔~}
ta[1]爹-[3]打
tʰa[1]车{马~}[2]茶查[3]扯[5]岔□{善意拉}
na[1]拿{~取}[6]拿{~办}
la[1]拉啦[6]□{~~蹩蹩：吹牛}
tsa[1]遮渣抓[3]者[5]蔗乍炸诈柞榨
sa[1]沙砂纱赊奢傻[2]佘蛇[3]耍捨[5]舍赦[6]社射麝
ka[1]加伽枷痂嘉家傢佳[2]嘎[3]假贾[5]架驾嫁稼价
kʰa[1]卡
ŋa[1]□{张嘴}[2]牙芽伢迓衙涯崖[3]我-雅
ha[1]哈{打~次}[2]虾霞遐暇[3]下{~山}[6]下{打~~}夏厦
a[1]鸦丫阿桠[2]啊{应答词}[3]哑{~巴}[5]亚哑{嘶~}
pɔ[1]波坡玻菠[5]播簸
pʰɔ[1]□{啜}[2]婆[3]颇[5]破
mɔ[1]摸[2]磨{~刀}摩蘑魔[3]无-[6]磨{石磨}
fɔ[2]和[3]火伙夥[5]货[6]祸
tɔ[1]多=哆[3]朵唆-{~使}
tʰɔ[1]拖=□{骂人，胡说}[2]佗[3]坐妥[5]锉错
nɔ[1]按[6]糯懦
lɔ[1]囉𬂂{~子，睾丸}[2]罗箩锣螺骡脶[3]瞜{看望}
tsɔ[3]左佐[5]做
sɔ[1]蓑梭□{锯木条}[2]□{差劲}[3]锁琐
kɔ[1]哥歌戈[3]□{这}[6]咯
kʰɔ[1]柯苛轲疴□{小儿睡}[3]可
ŋɔ[1]俄鹅□{傻}[3]我=[5]□{仰头}[6]饿
hɔ[1]拖-[2]河何荷驼驼[3]嗬{叹词}[6]贺荷{薄~}惰舵
ɔ[1]局阿{~胶}[3]噢
mə[6]妹-
tə[3]□{用脚踏}
tʰə[1]雌[2]锄瓷磁慈[3]苧[5]刺次饲{餵}[6]助自寺箸
nə[3]□{踩}
tsə[1]猪资咨姿[3]煮紫子=
sə[1]私丝司思师狮筛书梳疏[2]辞祠词[3]死=士使史驶鼠□{他}[5]赐[6]似祀柿事=
kə[3]蕨[5]锯
kʰə[1]尅[5]去
ŋə[2]鱼渔[3]□{笨}
hə[1]圩
pi[1]碑□{野柿}[3]比彼[5]闭痹避=秘泌
pʰi[2]脾[3]疕{痂}鄙篦[5]屁[6]幣敝毙吠被{~动}鼻备
mi[1]眯[2]眉楣糜迷[3]美弥谜
fi[1]飞非菲靡妃挥晖辉徽[2]肥[3]匪毁水[5]费废[6]惠穗慧
vi[1]威微[2]为维唯惟违围危桅[3]伟委尾=[5]畏慰尉蔚[6]未味卫位胃魏
ti[5]帝
ni[3]你=
li[2]厘狸梨黎离[3]里理鲤俚礼李蠡吕旅[6]利利痢吏厉丽类履虑滤
tsi[1]知蜘之芝追锥诸朱珠蛛茱侏[3]旨指脂止址趾嘴姊主[5]祭制致緻志至誌痣醉赘铸蛀注著
tsʰi[1]妻凄栖吹炊[2]池弛驰持迟餈齐荠脐槌锤厨橱储除贮徐[3]齿治柱取[5]趣娶=翅翠粹处[6]稚雉痔住聚
si[1]诗施犀虽书输殊须鬚需[2]时垂睡谁殊{又}[3]死-屎署黍[5]四世试遂税戌[6]是示始侍视市誓豉瑞竖树
ki[1]基机玑讥饥=肌居拘驹[3]己几=杞纪举[5]计继髻记=既句据剧
kʰi[1]欺稽区[2]其棋琪期旗祁祈耆渠[3]起=岂启[5]气汽契=[6]技忌巨拒距
ŋi[2]仪宜=谊倪拟凝愚虞娱[3]耳女=语[5]□{蒂}[6]义议二毅艺呓遇御禦
hi[1]稀希熙嬉=梯虚嘘[2]蹄题提堤[3]许体弟=系[5]戏[6]第地
i[1]衣医依伊於[2]移=夷姨而儿于孟余儒如茹乳[3]已以倚汝雨与宇禹羽[5]意亿忆[6]易异愈癒愉裕芋誉预豫
pu[3]补[5]布佈怖
pʰu[1]铺{~设}[2]蒲葡菩[3]甫浦埔脯普谱埠{黄~：地名}[5]哺铺{店~}[6]步部簿
mu[2]模[3]母姆[6]墓幕募
fu[1]夫麸敷妇父呼[2]胡湖糊壶扶芙符狐弧瓠[3]虎斧府腑俯腐釜[5]付附傅{姓}富幅副赋[6]户护互傅{师~}
tu[1]都嘟[3]堵赌[5]蠹[6]肚{猪~}
tʰu[1]粗初[2]塗={糊~}[3]楚础[5]醋瘄{痱子}[6]助
nu[1]囡{小儿爱称}[2]奴弩[3]努[6]怒
lu[2]卢炉庐芦鸬[3]鲁橹虏滷[6]路露赂
tsu[1]租[3]祖组
su[1]苏甦蔬酥[2]叔[3]数{~一~}[5]数{~学}素叔{又读}
ku[1]姑孤菰[3]古估沽牯鼓臌股[5]故固锢
kʰu[1]枯箍[3]苦[5]库裤
u[2]吴蜈吾梧[3]五伍午[6]模误悟寤晤
hu[2]塗-{~上去}途屠徒图[3]肚{腹~}吐{~痰}土杜[5]吐{呕~}兔[6]度渡镀
u[1]乌[2]无巫诬芜[3]武舞[5]侮恶{可~}污[6]务雾戊
fia[5]□{撒}
via[1]挖=[3]□{挠痒}
tsia[1]靓{漂亮}[3]姐[5]借{~口}
tsʰia[2]斜[3]且[5]斜{山陡}[6]谢
sia[1]□{si~：不随和}[2]邪[3]写[5]泻卸
ŋia[3]惹
ia[1]呀[2]耶爷椰[3]野冶也[6]夜
kʰiɔ[2]茄瘸[3]□{拄拐杖}
hiɔ[1]靴
iɔ[1]哟
pie[1]陂{小水埧}簰{竹工}蜱{枯~：臭虫}[5]□{~瞌：熬夜}
pʰie[1]批披砒[2]皮疲[3]被-{棉~}[5]□{~削：讥讽}[6]避-
mie[1]咩[3]米
fie[5]肺
tie[1]低爹-[2]𫪭{叹词}[3]底
lie[3]犁篱驴[3]□{~~sie sie：不严肃}[6]荔
tsie[1]支枝肢脂[3]纸[5]磜
tsʰie[3]娶-[5]□{缺口}
sie[1]西茜{水草}[2]匙[3]洗舐髓[5]细岁婿
kie[1]鸡[5]寄
kʰie[1]溪[2]骑[3]徛{站立}[5]契-
ŋie[2]宜-{便~}泥[3]女-蚁
hie[1]□{歪}[2]啼[3]弟-[5]替剃
ie[2]移-翳[3]椅
niu[3]扭纽
liu[1]溜遛[2]流硫琉留榴瘤刘浏[3]柳
tsiu[2]虬{发旋}[3]酒[5]昼=
tsʰiu[1]秋鞦[2]囚泅[6]就
siu[1]修羞=[5]秀绣锈
kiu[1]纠[3]久九[5]灸救究
kʰiu[2]求球[3]臼=舅=[6]旧=
hiu[1]休[3]朽[5]嗅
iu[1]幽忧优[2]邮尤由油犹游[3]有友[5]幼[6]又右佑
kua[1]瓜呱[3]寡剐[5]挂卦
kʰua[1]誇垮跨[3]侉{~佬：大个子，又泛指北方人}
ua[1]蛙洼[6]话-{说}
kuɔ[1]锅[3]果餜裹[5]过
kʰuɔ[1]科窠颗[5]课
uɔ[1]窝倭[2]禾[3]□{叫人}[6]卧
kui[1]规龟归闺[3]鬼诡轨[5]贵季桂
kʰui[1]亏窥[2]葵逵[3]跪傀[6]柜溃愧癸
pai[3]摆[5]拜
pʰai[3]排徘牌[3]拍-[5]派[6]败
mai[2]埋霾[3]买[6]卖迈
fai[2]怀淮槐[6]坏
tai[1]多-{我~：我们}[3]歹□{提起话题}[5]带戴
tʰai[1]钗差{出~}猜[2]才材财豺-裁[3]采彩採睬踩在[5]菜蔡[6]寨-{山~}
nai[3]乃奶[6]耐奈
lai[6]赖濑癞
tsai[1]灾栽斋[3]宰载{年~}[5]载{~重}再债寨{大~}
sai[1]腮鳃筛{~酒}[2]柴豺=[3]洒[5]赛帅晒
kai[1]皆阶偕街[3]解[5]介界芥疥戒届[6]械
kʰai[1]揩[3]楷锴
ŋai[2]癌挨[6]艾
hai[1]胎苔[2]台蓝鞋谐[3]待蟹[5]太态泰[6]大代贷怠懈
ai[1]埃挨[3]矮[5]隘
pei[1]杯悲卑[5]贝辈背畀{给}
pʰei[1]坏胚丕[2]培陪赔[5]配[6]佩倍焙
mei[2]梅媒煤枚[3]每尾-[6]妹=昧
fei[1]灰[2]回茴迴蛔[3]贿[5]悔[6]汇会
tei[1]堆[5]对碓
tʰei[1]推崔催摧[6]罪字
nei[1]□{扭}[6]内
lei[2]来雷擂[3]累{积~}垒儡[6]累{连~}锐
tsei[3]子-[5]最纃{苎麻布}
tsʰei[5]脆=
sei[1]衰筛-{动词}[5]碎粹瘁[6]事-
kei[1]该饥-[3]改几-[5]盖丐钙记-
kʰei[1]开[3]凯恺起-[5]溉概概
ŋei[2]呆[6]碍
hei[1]嬉-{玩儿}[3]海腿[5]退[6]袋亥骇害队
ei[1]哀埃[3]蔼霭[5]爱
kuai[1]乖[3]拐[5]怪
kʰuai[5]快筷
uai[1]歪[6]外
kʰuei[1]盔魁恢[5]会{~计}绘桧刽块
uei[1]煨[5]□{那}
pau[1]包胞苞褒[3]保堡定饱[5]报豹暴{~露}
pʰau[1]抛[2]袍饱刨[3]跑[5]砲泡暴{~躁}[6]抱鲍
mau[2]毛矛茅[3]卯铆[6]冒帽貌
tau[1]刀叨[3]倒岛祷[5]到倒{~水}
tʰau[1]操抄滔韬[2]曹槽巢朝{~代}潮[3]讨草炒吵[5]套=糙造={改~}[6]造-{~桥}兆赵
nau[3]脑恼瑙
lau[3]捞[2]劳涝唠牢挠[3]老䇭
tsau[1]糟遭招昭[3]早蚤枣爪[5]灶罩照[6]召
sau[1]臊骚梢艄挠捎[3]少{多~}嫂[5]少{~年}扫[6]邵绍
kau[1]高篙蒿羔糕膏交郊胶铰[3]稿搞搅绞狡[5]告诰窖教较
kʰau[1]敲=[3]考烤巧[5]靠犒
ŋau[2]敖熬鳌遨[3]咬[6]傲
hau[1]涛焘[2]毫豪壕狼逃桃陶萄淘[3]好[5]套-耗好{~恶}孝酵[6]号浩校效稻道导盗
au[1]坳凹爊[3]袄拗[5]奥澳懊
pəu[3]剖
məu[2]谋[3]某亩牡[6]茂贸
fəu[2]浮[3]否
təu[1]兜[3]斗抖陡[5]斗{~争}
tʰəu[1]抽羞-[2]绸稠筹踌酬[3]丑[5]凑臭
nəu[3]藕孬
ləu[1]搂{抠}[2]楼搂娄[3]篓[6]漏陋
tsəu[1]邹周舟州洲[3]走肘帚[5]奏宙昼=
səu[1]馊收[2]愁仇[3]手首守[5]瘦嗽兽漱[6]受授寿售
kəu[1]勾沟钩阄[3]狗苟垢菲韮[5]够构购
kʰəu[1]抠丘垢邱[3]口臼-舅-[5]扣叩寇[6]旧-桕
ŋəu[2]牛[2]偶
həu[1]偷[2]侯喉猴头投[3]厚敨{~气}[5]透[6]后後豆痘逗侯
əu[1]欧瓯殴[3]呕[5]沤-怄
piau[1]标膘飙彪[3]表錶裱婊[5]俵{分赠}
pʰiau[1]飘漂{~流}嫖鳔[2]瓢薸[3]漂{~白}[5]票
miau[2]猫描瞄[3]秒渺藐杳淼[6]庙妙谬
tiau[1]刁雕凋[3]鸟-[5]吊钓掉{~头}
niau[3]鸟=
liau[2]辽燎療寮寥聊[3]了瞭潦[6]料廖
tsiau[1]焦蕉礁椒[3]剿□{潦草}[5]醮
tsʰiau[1]悄[5]俏[6]嚼
siau[1]肖消宵硝霄销萧箫[3]小筱[5]笑鞘
kiau[1]骄娇浇[3]饺缴矫绞[5]叫
kʰiau[1]敲-{作~}[2]桥荞侨乔[5]窍跷翘[6]桥轿
ŋiau[1]娆[2]尧饶[3]绕[6]尿
hiau[1]挑嚣[2]条迢调{~和}[3]晓[5]跳粜[6]调{~动}
iau[1]要{~求}腰邀妖[2]摇徭谣瑶窑淆姚[3]舀夭忧[5]要{重~}[6]耀曜鹞
tam[1]担{~任}耽[3]胆[5]担{挑~}
tʰam[1]参渗=搀[2]蚕惭谗馋[3]惨[5]忏[6]暂□{手压}
nam[1]喃{唠叨}[2]南男
lan[2]蓝篮婪[3]览榄揽缆[6]滥=
tsam[1]詹瞻簪[3]斩崭{好}
sam[1]三杉衫[3]掺{竹~：竹屋}
kam[1]监{~牢}尴[3]减鹻□{跨越}[5]监{太~}舰鉴
kʰam[1]龛[2]钳-[3]砍[5]□{覆盖}
ŋam[2]岩[3]簷
ham[1]贪[2]咸鹹衔潭谭罈谈痰[3]喊[5]探[6]淡陷馅
am[3]□{树欲倒}
tap[7]答搭
tʰap[7]插[8]杂𧑎{蟑螂}
nap[8]纳
lap[8]腊蜡
tsap[7]泛{挽袖子}摺{裥}
sap[7]摄{~影}[8]涉煠□{~婆：疯婆子}
kap[7]甲䘥笈{箱~}夹
kʰap[7]恰[5]□{kʰi kʰi~~：胡言}
ŋap[7]吸
hap[7]塔沓塌榻[8]踏狭
ap[7]鸭押压
kɔm[1]甘柑泔[3]感敢橄
kʰɔm[1]堪[3]□{咳}
ŋɔm[2]□{摇动}[3]□{嗜好}
hɔm[1]蚶[2]含函涵[5]憨{无分寸}[6]撼憾
kɔp[7]鸽合{动词}
kʰɔp[7]磕
hɔp[8]合{~作，量词}盒
ɔp[7]㷈{受暑}𤎣{热一下饭}
tsəm[1]砧
səm[1]参{人~}森[5]渗
kəm[3]𰃳{覆盖}
kʰəm[6]妗
ŋəm[3]□{盖子微开}
həm[5]□{文火煮}
tsəp[8]撮
səp[7]涩虱啬
lim[2]林淋临霖[3]凛
tsim[1]斟针[3]枕[5]浸
tsʰim[1]侵[2]沉寻{~找}[3]寝
sim[1]心深琛[2]寻{一~地}[3]沈閧审
kim[1]今金襟-[3]锦[5]禁
kʰim[1]钦襟-[2]禽噙擒琴[3]胗{鸡~}
ŋim[2]吟[5]韧[6]任赁
im[1]音阴荫淹-[2]淫[3]饮
lip[8]立笠
tsip[7]汁执[8]辑缉㗱{吮吸}
tsʰip[8]集
sip[7]湿[8]习袭十拾
kip[7]急级给
kʰip[7]吸[8]及
ŋip[8]入
hip[7]吸
ip[7]揖
tiam[3]点[5]店惦踮
niam[1]拈[2]黏鲶[7]念
liam[2]廉镰簷[3]敛殓奁
tsiam[1]尖櫼{木楔}[5]占佔
tsʰiam[1]签歼竿纤[2]潜[6]渐暂{又读}
siam[3]闪陕
kiam[1]兼[3]检捡鹻=[5]剑
kʰiam[1]谦[2]钳=[5]欠歉[6]俭
ŋiam[2]严[3]染[6]验
hiam[1]添[2]甜嫌[3]险[6]垫
iam[1]阉淹=醃[2]炎盐阎簷[3]掩[5]厌艳[6]焰
liap[7]聂[8]猎
tsiap[7]接
tsʰiap[7]妾[8]睫捷
siap[7]楔{垫高}
kiap[7]劫颊[8]挟
kʰiap[7]怯抾{积钱}
ŋiap[7]㳧{~尿：尿床}[8]聂{又读}
hiap[7]帖贴[8]侠峡脅协叶洽碟谍迭叠蝶=
iap[7]页□{凹下}[8]叶{树~}蝶-
pan[1]班斑颁扳[3]板版[5]扮绊{~子：口吃}
pʰan[1]攀[5]盼绊襻辫[6]办
man[2]蛮[6]曼慢漫蔓幔
fan[1]番翻藩幡[2]凡帆乏还环=[2]反返[5]泛=贩幻[6]范範犯饭宦患
tan[1]单丹[3]跌{~倒}[5]担{量词}旦
nan[2]难[6]难{患~}
lan[2]兰拦栏[3]懒瀾{口水}[6]滥=烂
tsan[3]盏[5]站赞讚栈
san[1]山疝汕舢珊删[3]产伞散{药~}[5]散分散[6]□{揪衣领}
kan[1]间艰奸奸[3]简拣柬裥[5]间{~断}间谏
ŋan[2]颜[3]眼[6]彦
han[1]滩摊瘫[2]弹{~琴}坛檀闲[3]坦苋[5]炭碳叹[6]弹{子~}但蛋诞限
an[1]俺[5]晏
pat[7]八
pʰat[8]拔=跋
mat[8]袜
fat[7]法发髪阀[8]伐筏罚豁
tʰat[7]塌{槽~}獭=擦[8]塌{~台}
lat[8]辣
