#m̩	
ʃ	[55]篩西犀[35]洗駛使-[33]世勢細婿[22]誓逝噬
j	[13]曳[22]拽
k	[55]雞圭[35]偈[33]計繼髻鱖
kʰ	[55]溪蹊[35]啟[33]契
kw	[55]閨龜歸鮭[35]詭軌鬼簋[33]鱖桂癸季貴瑰劌悸蹶饋[22]跪櫃饋匱餽悸柜
kwʰ	[55]盔規虧窺谿[33]愧[21]攜畦逵葵畦揆夔馗[13]揆
w	[55]威[35]毀萎委[33]穢畏慰[21]桅為維惟遺唯違圍[13]諱偉葦緯[22]衛惠慧為位胃謂蝟
h	[55]屄[21]奚兮蹊嵇[22]繫系{中文系}係
ø	[35]矮[33]縊翳哎隘[21]倪危[13]蟻[22]藝毅偽魏
#ɐu	
m	[55]痞[33]卯[21]謀牟眸蝥蟊[13]某畝牡[22]茂貿謬謬繆袤
f	[35]剖否[21]浮[22]埠阜復
t	[55]兜[35]斗{一斗米}抖陡糾蚪[33]鬥{門爭}[22]豆逗讀{句讀}竇痘荳
tʰ	[55]偷[35]㪗{展開}[33]透[21]頭投
l	[55]褸騮[35]紐扭朽[21]樓耬流留榴硫琉劉餾榴嘍摟琉瘤瀏婁耬蹓鎏[13]簍摟柳[22]漏陋溜餾鏤遛蹓
tʃ	[55]揫鄒掫{巡夜打更}周舟州洲[35]走酒肘帚[33]奏晝皺縐咒[22]就袖紂宙驟
tʃʰ	[55]秋靴抽[35]丑{小丑}醜{醜陋}[33]湊臭糗嗅[21]囚泅綢稠籌酬
ʃ	[55]修羞颼蒐收[35]臾搜手首守[33]嗽秀宿鏽瘦漱獸[21]愁仇[22]受壽授售
j	[55]丘休憂優幽[33]幼[21]柔揉尤郵由油游猶悠[13]有友酉莠誘[22]又右祐柚鼬釉
k	[55]鳩鬮[35]狗苟九久韭[33]夠灸救究咎[22]舊柩
kʰ	[55]溝摳瞘{眼瞘}[33]構購叩扣寇[21]求球[13]臼舅
h	[55]吼[35]口[21]侯喉猴瘊{皮膚所生的小贅肉}[13]厚[22]後后{皇后}候
ø	[55]勾鉤歐甌[35]嘔毆[33]漚慪[21]牛[13]藕偶耦耦
#ɐm	
l	[21]林淋臨[13]檁{正樑}
tʃ	[55]斟[35]枕[33]浸枕
tʃʰ	[55]侵參{參差}[35]寢[21]尋沉
ʃ	[55]心森參{人参}深[35]沈審嬸[33]滲[21]岑[22]葚甚
j	[55]欽音[33]蔭[21]壬吟淫[22]賃任紝
k	[55]甘柑泔今[35]感敢橄錦[33]禁[22]撳
kʰ	[55]襟[21]琴禽擒[13]妗
h	[55]堪龕蚶[35]坎砍[33]勘[21]含酣[22]撼憾嵌
ø	[55]庵[35]揞{揞住}埯[33]暗
#ɐn	
p	[55]杉賓檳奔[35]稟品[33]殯鬢[22]笨
pʰ	[33]噴[21]貧頻
m	[55]蚊[21]民文紋聞[13]澠閩憫敏抿吻刎[22]問璺
f	[55]昏婚分芬紛熏勳薰葷[35]粉[33]糞訓[21]墳焚[13]奮憤忿[22]份
tʰ	[55]吞飩[33]褪
tʃ	[55]珍真[33]鎮振震
tʃʰ	[55]親{親人}[35]診疹[33]親{家}趁襯[21]陳塵
ʃ	[55]辛新薪身申伸娠[21]神辰晨臣[22]腎慎
j	[55]陰恩姻欣殷[35]隱[33]印[21]人仁寅[13]忍引[22]刃韌
k	[55]跟根巾筋[35]僅緊謹[33]棍[22]近{接近}
kʰ	[21]芹
kw	[22]郡
