#m̩	
tʰ	[55]推[35]腿[33]退蛻
l	[13]呂旅縷屢儡累壘女[21]雷[22]濾累{連累}類淚慮
tʃ	[55]追錐蛆[35]嘴[33]最醉[22]聚罪贅墜序聚
tʃʰ	[55]趨催崔吹炊[35]取娶[33]趣脆翠[21]除隨槌錘徐
ʃ	[55]須需雖綏衰[35]水[33]碎歲稅帥[21]垂誰[13]髓絮緒[22]睡瑞粹遂隧穗
j	[13]蕊[22]芮銳
k	[55]居車{車馬砲}驅[21]渠瞿[13]佢拒距
w	[55]煨[21]回茴[13]會{懂得}[22]匯會{會計}彙匯
h	[55]墟虛噓吁[35]許[33]去
#un	
p	[55]般搬[35]本[33]半[22]絆伴拌叛胖
pʰ	[55]潘[33]拚判[21]盤盆
m	[21]瞞門[13]滿[22]悶
f	[55]寬歡[35]款
k	[55]官棺觀{參觀}冠{衣冠}[35]管館[33]貫灌罐觀{寺觀}冠{冠軍}
w	[35]玩{玩味}豌剜碗腕[21]桓{春秋時代齊桓公}[13]皖[22]喚煥緩換玩{玩味}
#ut	
p	[2]撥勃
pʰ	[3]潑
m	[3]抹[2]末沫沒
f	[3]闊
kʰ	[3]括豁
w	[2]活
#œ	
h	[55]靴
#ɵn	
t	[55]敦墩蹲[22]頓遁
tʰ	[13]盾
l	[35]卵[21]鄰鱗燐崙倫淪[22]吝論
tʃ	[55]津榛臻[35]準准[33]進晉俊濬[22]盡
tʃʰ	[55]椿春[35]蠢[21]旬循巡
ʃ	[55]荀殉[35]筍榫{榫頭}[33]信訊遜迅[21]純醇[22]順舜
#ɵt	
l	[2]律栗慄率{效率}
tʃ	[5]捽
tʃʰ	[5]出齣
ʃ	[5]蟀摔率{半領}[2]朮術述秫
#y	
tʃ	[55]豬諸誅蛛株朱硃珠[35]煮拄主[33]著駐註注鑄[22]箸住
tʃʰ	[35]處杵[33]處{處所}[21]廚[13]褚{姓}儲苧署柱
ʃ	[55]書舒樞輸[35]暑鼠黍[33]庶恕戍[21]薯殊[22]豎樹
j	[55]於淤迂于[21]如魚漁余餘儒愚虞娛盂榆愉[13]汝語與乳雨宇禹羽[22]御禦譽預遇愈喻裕
#yn	
t	[55]端[35]短[33]斷{決斷}鍛[22]斷{斷絕}段緞椴
tʰ	[21]團屯豚臀
l	[35]戀[21]鸞[13]暖[22]亂嫩
tʃ	[55]專尊[35]纂轉[33]鑽{鑽子}轉{轉螺絲}[22]傳{傳記}
tʃʰ	[55]川穿村[35]揣喘忖[33]竄串寸吋[21]全泉傳{傳達}椽存
ʃ	[55]酸宣孫[35]選損[33]算蒜[21]旋鏇船[22]篆
j	[55]冤淵[35]丸阮宛[33]怨[21]完圓員緣沿鉛元原源袁轅援玄懸[13]軟遠[22]院願縣眩
k	[55]捐[35]捲卷[33]眷絹[22]圈倦
kʰ	[21]拳權顴
h	[55]圈喧[35]犬[33]勸券[21]弦
#yt	
t	[2]奪
tʰ	[3]脫
l	[3]捋劣[2]捏
tʃ	[2]拙
tʃʰ	[3]撮猝
ʃ	[3]雪說
j	[3]乙[2]悅月閱越曰粵穴
kʰ	[3]決訣缺
h	[3]血
