	字表	注释	元眼根	
	1391		1381	
202	哀		ɔi45	
216	挨	～着	ai45	
230	矮		ai31	
203	爱		ɔi52	
200	碍		ŋɔi31	
785	安		ɔn45	
780	岸		ŋɔn31	
786	案		ɔn52	
659	暗		əm52	
492	熬		ŋai212	
496	袄		pʰɔ212	
493	傲		ŋəu31	
788	八		pat31	
37	疤		pa45	
790	拔		pʰat5	
38	把		pa31	
42	耙	犁～	pʰa212	
39	霸		pa52	
1218	白		pʰɐk5	
1215	百		pɐk31	
217	摆		pai31	
231	败		pʰai31	
210	拜		pai52	
220	稗		pʰi31	
804	班		pan45	
889	搬		pan45	
805	板		pan31	
789	办		pʰan31	
890	半		pan52	
787	扮		pʰan31	
895	伴		pʰan31	
1068	帮		pɔŋ45	
1168	绑		pɔŋ31	
497	包		pau45	
1070	薄		pʰɔk5	
498	饱		pau31	
458	宝		pɔ31	
459	报		pɔ52	
461	抱		lai?45	
499	豹		pau52	
462	暴		pʰɔ31	
259	杯		pui45	
331	悲		pəi45	
304	碑		pi45	
1181	北		pət31	
204	贝		pui52	
333	备		pʰi31	
260	背	～脊	pɔi52	
263	倍		pʰui212	
307	被	～子	pʰi45	
308	被	～迫	pʰi31	
1014	本		pun31	
1017	笨		pun52	
1195	逼		pit31	
334	鼻		pʰi31	
332	比		pi31	
975	笔		pit31	
236	闭		pəi52	
232	毙		pʰəi31	
1273	壁		pit31	
858	边		pien45	
812	鞭		pien45	
688	贬		pien31	
859	扁		pien31	
813	变		pien52	
860	遍		pʰien52	
816	辩		pʰien31	
863	辫		pʰien31	
515	标		pieu45	
640	彪		pieu45	
516	表		pieu31	
817	别		pʰiet5	
974	宾		pən45	
1194	冰		pin45	
1239	兵		pin45	
1240	柄		pieŋ52	
1249	饼		pieŋ31	
1242	病		pʰieŋ31	
15	波		pɔ45	
1169	剥		mɔk31	
1216	伯		pɐk31	
1069	博		pɔk31	
87	补		pu31	
1015	不		put31	
88	布		pu52	
92	步		pʰu31	
90	部		pʰu31	
91	簿		pʰu212	
771	擦		ʦʰat31	
196	财		ʦʰɔi212	
195	菜		ʦʰɔi52	
207	蔡		ʦʰɔi52	
652	参	~加	ʦʰam45	
739	参	人～	ʦʰam45	
770	餐		ʦʰan45	
772	残		ʦʰan212	
653	蚕		ʦʰam212	
1087	仓		ʦʰɔŋ45	
479	操	体～	ʦʰɔ45	
481	曹		ʦʰɔ212	
480	草		ʦʰɔ31	
1189	层		ʦʰɐŋ212	
49	叉		ʦʰa45	
677	插		ʦʰap31	
47	茶		ʦʰa212	
50	查		ʦʰa212	
794	察		ʦʰat31	
1222	拆	～开	ʦʰɐk31	
836	缠		san212	
796	产		ʦʰan31	
793	铲		ʦʰan31	
1130	昌		ʦʰieŋ45	
1120	肠		ʦʰɔŋ212	
1138	尝		sieŋ212	
1137	常		sɔŋ212	
1131	厂		ʦʰɔŋ31	
1132	唱		ʦʰɔŋ52	
505	抄		ʦʰau45	
528	超		ʦʰau45	
507	巢		ʦʰau212	
527	朝	今～	ʦau45	
529	潮		ʦʰau212	
506	炒		ʦʰau31	
71	车		ʦʰa45	
151	车	～马炮	ʦʰa45	
72	扯		ʦʰa31	
738	沉		ʦʰim212	
991	陈		ʦʰən212	
1221	撑		ʦʰɐŋ45	
1268	成		sɐŋ212	
1263	程		ʦʰin212	
1203	秤	～杆	ʦʰin52	
375	痴	新派	ʦʰi45	
382	痴	老派	ʦʰi45/ʦʰy̜45	
312	池	新派	ʦʰi212	
318	池	老派	ʦʰi212/ʦʰy̜212	
349	迟	老派	ʦʰi212/ʦʰy̜212	
356	迟	新派	ʦʰi212	
1266	尺		ʦʰɐk31	
393	齿		ʦʰi31	
403	齿		ʦʰi31/ʦʰy̜31	
376	耻	新派	ʦʰi31	
383	耻	老派	ʦʰi31/ʦʰy̜31	
1377	冲		ʦʰuŋ45	
1347	虫		ʦʰuŋ212	
1350	铳		tʰuŋ31	
602	抽	新派	ʦʰəu45	
605	抽	老派	ʦʰiu45	
620	仇	新派	siu212	
621	仇	老派	siu212	
603	绸	新派	ʦʰəu212	
606	绸	老派	ʦʰiu212	
609	愁		ʦʰəu212	
616	臭		ʦʰiu52	
1043	出		ʦʰut31	
139	初		ʦʰu45	
136	除	新派	ʦʰi212	
137	除	老派	ʦʰu212	
169	厨	老派	tsʰi212/ʦʰy̜212	
171	厨	新派	ʦʰi212	
