#i									
p	[2]脾陛琵枇‖蝙{～蝠}啤{～酒}[3]比美{1，～国}[5]毙闭箅{竹～}脾{1，器官}婢痹备毕								
pʰ	[2]疲脾{2，～气}[3]疕{痂}[5]鼻{器官；闻}								
m	[1]‖砚{～瓦：砚台}[2]眉{～毛伓过寸}迷‖蜜{～枣}[3]米[5]渳{呷}								
t	[1]知{1，得～}[2]的{目～}□{埋[贬]}𧉟{小虫}[3]里{1，腹～：下水}鲤{1，～鱼}□{打～：整人}[5]帝蒂地治{1，降服}事{1}								
tʰ	[1]筛{1，[名]}[2]题{1，～目}治{2，杀}[3]体								
n	[2]宜{1，人名}日{1，～头}								
l	[1]‖荔{～枝}‖歷{～史}[2]梨痢{1，瘌～：秃头}[3]礼李{1，姓}里理鲤{2，鲮～：穿山甲}[5]厉励隶利痢{2，病赤～：拉肚子}								
s	[1]撕丝{1，牵～}私{1，家～：工具}西{1，～瓜}司{1，官～}[3]死[5]四								
tɕ	[1]知{2，～县}支{1，～部}值{1，～班}[2]糍{～粑}鹚{鸬～}[3]挤姊旨指{1，手拇～}子{1，小称}籽止趾址职[5]滞制济{安～：地名}智自至字治{3，政～}痔志痣质{～量}								
tɕʰ	[2]持[5]试{1，～引}饲								
ɕ	[1]尸诗嬉‖喜{1，～欢}适{～合}世{1，～界}[2]时事{2，故～}习室识释式{1，新～}食{1，扁～}实{1，落实}席{1，主～}石{1，人名}[3]屎始[5]是氏豉戏示市试{2，～验}□{眼小}								
k	[1]枝{1，[量]}几{茶～}基箕机[2]骑棋{1，象～}期旗芪{黄～}葵{～菜冬：寒菜}集极绩[3]纪{姓}杞麂□{～人：痒}[5]计{1，～算机}继{1}技寄已记								
kʰ	[2]奇欺其棋{2，人名}蜞{蜉～：水蛭；蟛～：蟹类}乞{1，表被动}‖企{～业}[3]启齿起□{发情}[5]器弃柿气汽								
ŋ	[2]入{1，～来：进来}□{迷恋}[5]二耳□{细～：小心}								
x	[1]熙[3]喜{2，双～}[5]系{1，关～}								
∅	[1]医衣{胎盘}[2]移姨疑以乙□{尖叫}[3]指{2，戒～}伊[5]易谊义议意异抑译□{刺耳}□{[儿]～～：肉}								
#u									
p	[1]‖腹{1，～肚}[2]菩{～萨}蒲{1，菖～洋：地名}匏□{[贬]埋}□{嘴～：嘴}[3]补脯[5]部簿布佈步斧妇{1，新～：媳妇}伏孵笏{大～：地名}哺{嚼}								
pʰ	[1]铺瀑{～布}[2]蒲{2，～扇}普浮[3]谱浦□{做～：无用}甫殕辅								
m	[1]夫{丈～}摸[2]模摹[3]母[5]暮慕雾幕瞀{看不清}								
t	[1]都嘟{噘}督{1，监～}[2]途涂图[3]堵赌肚{1，腹～}贮[5]杜肚{2，羊～}妒度渡镀□{畦}□{模糊}								
tʰ	[2]徒[3]土吐{1，～出来}[5]吐{2，想～}兔□{凸}								
n	[1]‖努{～力}[2]奴{1，仆}[5]怒奴{2，阿～：小孩爱称}								
l	[1]‖鹭{白～鸶}[2]炉芦{1，～竹}□{滑}[3]卤□{搅拌}□{吐}[5]路{无道～：没前途}赂露{正番～：正番鸭熬的汤}陆溽录睩{警惕地看}								
ts	[1]租资兹滋‖足{1，～球}[2]族[3]祖组阻主{1，心里有～}紫此{故～：难怪}子{2，天干地支}筑[5]助祝□{亲嘴}□{[儿]～～：鸡}								
tsʰ	[1]粗初[2]迟{磁～铁}□{摩擦}[3]楚础触[5]醋处{1，～级}蹙{皱眉}								
s	[1]苏酥梳舒斯私{2，～人}师{1，～傅}狮{1，～子}司{2，～令}思[2]塾芦{2，苇}殊祠{～堂}术{白～；技～}属‖似{～像}[3]史驶{1，驾～}[5]素诉塑疏{签诗}恕数竖视{电～}伺巳寺士事{3，本～}速肃								
k	[1]姑孤‖谷{1，～雨}[2]糊狐{～狸}[3]古{1，～老}估牯股鼓[5]故固雇顾□{漱口}								
kʰ	[1]箍枯‖□{～毛：毫毛}[2]‖古{2，～田：地名}[3]苦[5]库裤								
ŋ	[2]吴[3]午[5]五								
x	[1]呼肤[2]和{1，麻将术语}胡壶符扶蜉{～蜞：水蛭}茴湖{1}煳妇{2，～女}服{1，～装}幅[3]虎府□{掀}[5]户互护父腐付赋傅赴{时间够}附雨{1，落～}负富副□{移}								
∅	[1]乌污菇巫[2]‖梧{～桐}[3]武舞伍[5]误务芋戊								
#y									
t	[2]除厨锤[5]苧箸{筷子}								
tʰ	[1]□{抵触}[2]锄锤[5]□{悬}								
n	[3]女汝								
l	[1]□{摩擦}[2]驴□{旧时运柴的工具}律率[3]吕铝旅蕊[5]虑滤泪{冰～：冰锥}□{割}								
