音標	調類	調值	
ɕi	2	12	溪
ɕi	1	334	希
ɕi	3	43	喜
ɕi	5	45	系
ɕĩ	2	12	嫌
ɕĩ	6	21	現縣
ɕĩ	3	43	險顯
ɕĩ	5	45	現
ɕiɔ	6	21	下
ɕiɔ	1	334	蝦
ɕiɔ	5	45	夏
ɕiɑ	5	45	孝校
ɕie	7	24	協歇
ɕiɘ	1	334	休
ɕin	2	12	行形熊雄
ɕin	1	334	兄兇
ɕin	5	45	興
ɕio	7	24	削勺學
ɕio	5	45	勺
ɕiuŋ	2	12	降
ɕiuŋ	3	43	響
ɕiuŋ	5	45	向
ɕy	6	21	樹
ɕy	1	334	書輸
ɕy	3	43	許水
ɕy	5	45	鼠豎
ɕyɔ	1	334	靴
ɕyæ	7	24	血
ɕyɜ	3	43	水
ɕyn	6	21	順
ɕyn	1	334	熏
ɕyn	5	45	順
kɔ	7	24	夾甲
kɔ	5	45	嫁
kã	1	334	甘肝間奸
kã	3	43	感敢減
kã	5	45	監
kæ	7	24	格隔
ka	1	334	該街
ka	3	43	改解
ka	5	45	蓋戒
kɑ	1	334	高
kən	6	21	共
kən	1	334	根更耕公宮恭
kən	3	43	梗
kən	5	45	共
kɘ	1	334	鉤
kɘ	3	43	狗
kɘ	5	45	夠
kʰã	5	45	看
kʰæ	7	24	刻客
kʰa	1	334	開
kʰɑ	1	334	敲
kʰɑ	5	45	靠
kʰən	1	334	坑
kʰən	3	43	肯孔
kʰɘ	3	43	口
kʰo	7	24	渴闊殼
kʰo	3	43	可
kʰo	5	45	課
kʰø̃	1	334	寬
kʰø̃	5	45	看
kʰu	7	24	哭
kʰu	3	43	苦
kʰu	5	45	褲
kʰua	3	43	塊
kʰua	5	45	快
kʰuɜ	1	334	虧
kʰuɜ	3	43	跪
kʰuən	5	45	困
kʰoŋ	1	334	坑倾
kʰuŋ	1	334	糠
ki	1	334	饑
ki	3	43	幾
kie	7	24	結
ko	7	24	割各郭角
ko	1	334	歌
ko	3	43	果
ko	5	45	個過
kø̃	1	334	官
ku	7	24	骨穀
ku	1	334	箍
ku	3	43	古
ku	5	45	過
kuɔ	7	24	刮
kuɔ	1	334	瓜
kuɔ	5	45	掛
kuã	1	334	關
kuã	5	45	慣
kuæ	7	24	骨國
kua	3	43	拐
kua	5	45	怪
kuaŋ	2	12	狂
kuɜ	6	21	櫃
kuɜ	1	334	規龜
kuɜ	3	43	鬼
kuɜ	5	45	桂貴
kuən	3	43	滾
kuŋ	1	334	鋼光
kuŋ	3	43	講
lɔ	7	24	蠟辣
lɔ	1	334	拉
lã	2	12	南藍難蘭
lã	6	21	爛
lã	3	43	懶
la	2	12	來
lɑ	6	21	鬧
lɑ	3	43	腦老
lɜ	2	12	雷
lɜ	3	43	呂
lɜ	5	45	類
lən	2	12	輪能膿濃龍
lən	6	21	嫩
lən	1	334	聾
lən	3	43	冷
lən	5	45	弄
lɘ	2	12	奴樓
lɘ	6	21	路
lɘ	7	24	鹿六綠
li	2	12	犁梨
li	7	24	立律力曆
li	3	43	李
li	5	45	栗
lĩ	2	12	連蓮
liã	2	12	零
liã	3	43	領
liɑ	6	21	料
lie	7	24	列
liɘ	2	12	流
lin	2	12	林鄰零
lin	3	43	領
liuŋ	6	21	亮
liuŋ	3	43	兩
lo	2	12	鑼螺
lo	7	24	落
lø̃	6	21	亂
lø̃	3	43	暖
lø̃	5	45	亂
luŋ	6	21	浪
luŋ	3	43	郎
loŋ	3	43	冷
mɔ	6	21	罵
mɔ	3	43	馬
mã	6	21	慢
mã	3	43	晚
mæ	7	24	墨麥
ma	2	12	埋
ma	3	43	買賣
ma	5	45	賣
mɑ	2	12	毛
mɑ	6	21	帽
mɑ	1	334	貓
mɜ	2	12	煤眉
mɜ	6	21	妹
mɜ	5	45	妹
mən	2	12	門
mən	6	21	夢
mən	1	334	蚊
mən	3	43	猛
mən	5	45	夢
mi	7	24	密
mi	3	43	米
mĩ	2	12	棉
mĩ	6	21	面面
mĩ	5	45	面
miã	2	12	明名
miã	6	21	命
miɑ	6	21	廟
miɑ	1	334	貓
mie	7	24	滅篾
min	2	12	民明名
min	6	21	命
mo	2	12	磨
mo	6	21	磨
mo	7	24	末木目
mo	1	334	摸
mo	3	43	母
mø̃	3	43	滿
muŋ	2	12	忙
ȵi	2	12	泥
ȵi	5	45	藝蟻義
ȵĩ	2	12	嚴言年
ȵĩ	6	21	黏念
ȵĩ	5	45	驗
ȵiɑ	3	43	鳥
ȵie	7	24	業孽捏
ȵie	3	43	藕
ȵiɘ	2	12	牛
ȵiĩ	5	45	念
ȵin	2	12	銀迎
ȵio	7	24	弱
ȵiuŋ	2	12	娘
ȵy	3	43	女
ŋɔ	2	12	牙
ŋɔ	7	24	鴨
ŋɔ	3	43	啞
ŋã	2	12	顏
ŋã	6	21	岸
ŋã	1	334	安
ŋã	3	43	眼
ŋã	5	45	暗
ŋæ	7	24	額
ŋa	2	12	岩
ŋa	3	43	矮
ŋa	5	45	愛
ŋɑ	2	12	熬
ŋən	6	21	硬
ŋən	1	334	恩
ŋɘ	3	43	藕
ŋo	2	12	鵝
ŋo	6	21	餓
ŋø̃	3	43	軟
ŋoŋ	6	21	硬
æ	3	43	耳
e	2	12	兒
e	6	21	二
e	7	24	葉熱
i	2	12	移姨
i	7	24	日一益
i	1	334	衣
i	5	45	意
ĩ	2	12	炎鹽延
ĩ	1	334	煙
ĩ	3	43	染
ĩ	5	45	厭
iɔ	2	12	牙爺
