#调值	[1]⁴⁵[2]³¹[3]⁴²[5]²¹³[7]³³																																																
#uɵ																																																	
k	[7]谷国角=郭葛=鸽各=割=骨																																																
kʰ	[7]哭瞌=壳=阔廓扩																																																
t	[7]独毒笃犊渎夺																																																
tʰ	[7]突秃脱托拓																																																
s	[7]速宿=说硕説蜀熟叔-述-俗=续-																																																
m	[7]木目末沫默莫=墨=																																																
f	[7]福佛服复氟赴伏																																																
n	[7]六绿落=懦诺烙																																																
ts	[7]竹足=烛桌浊作昨琢啄镯卓																																																
tsʰ	[7]出族促撮																																																
ø	[7]沃物握勿																																																
p	[7]剥=博僰薄亳脖簸搏不簿铂																																																
pʰ	[7]泼颇																																																
x	[7]豁霍藿或合=盒=贺=获惑忽活																																																
ŋ	[7]恶{文读}																																																
z	[7]若弱入																																																
#uᶹ																																																	
p	[3]补卜[5]怖布部步																																																
pʰ	[1]捕铺{∽盖，即被子}[2]蒲葡潽{液体因沸腾而溢出}菩[3]普谱脯甫浦[5]曝簿铺{∽子}																																																
m	[2]模膜[3]母拇[5]墓慕暮募																																																
f	[1]呼夫肤敷麸{麦∽子，∽炭儿}[2]湖胡糊胡壶符扶芙父腐辅浮[3]虎浒斧府腑抚[5]戽傅付咐赴户沪护互附富副负妇																																																
v	[1]乌污坞巫[2]吴梧蜈无[3]五午伍舞武侮[5]误悟务雾戊屋																																																
t	[3]堵赌肚{肚子，一种器官，胃}[5]肚{肚皮}妒杜度渡																																																
tʰ	[2]途图徒涂[3]吐土[5]兔																																																
n	[2]奴炉卢庐[3]鲁努橹卤[5]路怒露																																																
ts	[1]租猪诸株蛛珠朱[3]祖组阻煮主[5]箸助拄驻注柱住蛀铸做																																																
tsʰ	[1]粗初[2]除储锄橱厨[3]楚础处{动}杵[5]醋处																																																
s	[1]苏酥枢输疏梳蔬书舒殊[3]鼠暑黍数{动}薯署[5]素塑诉数{名}恕竖树术=漱																																																
z	[2]如儒孺蠕[3]汝乳																																																
k	[1]孤菇姑[3]古估鼓牯股□{瞪}□{固执，犟，∽着要}[5]固故雇顧																																																
kʰ	[1]枯箍{可作动词，∽着}[2]□{蹲，常用白话}[3]苦[5]库酷裤																																																
#yɵ																																																	
tɕ	[7]橘足-绝觉决爵脚抉局菊																																																
tɕʰ	[7]曲菊屈雀确缺阙鹊榷																																																
n	[7]略虐掠																																																
ɕ	[7]血=穴=雪学削俗-宿																																																
Ø	[7]欲月岳约悦越粤跃=域药钥育																																																
#y																																																	
n	[3]吕女旅[5]虑滤																																																
tɕ	[1]居拘驹俱[3]举狙矩[5]锯据拒距聚句具惧剧																																																
tɕʰ	[1]蛆觑趋区驱[2]渠瞿[3]娶取[5]趣																																																
ɕ	[1]靴墟绥虚须荽须[2]徐[3]许[5]絮叙遂序绪																																																
j	[1]迂□{∽弯，弯曲}[2]鱼渝瑜渔于余娱虞愚于盂愉榆[3]屿语与雨羽[5]御预遇芋愈喻裕慰玉																																																
#æ̞																																																	
t	[7]得达德鞑答搭蜘{白话，∽蛛儿}□{白话，汤汤水水∽得到处都是}□{白话，∽在地上，∽了一扑爬，东西不要∽下去}□{∽儿，髮，辫子}																																																
tʰ	[7]塔塌特																																																
p	[7]剥八拔伯白百佰北																																																
pʰ	[7]拍迫跋																																																
k	[7]角-各-割-格葛-隔骼革疙																																																
kʰ	[7]瞌-壳-咳刻客克磕-																																																
s	[7]涩-色瑟塞撒{白话，整∽了}																																																
m	[7]莫-墨-麦脉抹-																																																
f	[7]法罚發伐阀																																																
n	[7]辣腊落{白话，丢三∽四，∽在屋头}勒-																																																
ts	[7]折铡摘则杂砸																																																
tsʰ	[7]择-泽-策侧册厕测彻插拆																																																
x	[7]黑吓嚇贺-核-赫-																																																
z	[7]热																																																
ŋ	[7]恶-																																																
j	[7]鸭																																																
ku	[7]刮																																																
su	[7]刷																																																
tsu	[7]□{白话，踢，∽一脚}																																																
xu	[7]滑{∽刷}猾																																																
u	[7]袜																																																
#iæ̞																																																	
ɕ	[7]瞎侠霞峡瑕匣辖狭																																																
tɕ	[7]甲夹颊																																																
tɕʰ	[7]掐恰洽																																																
#e																																																	
kʰ	[7]去{白话}																																																
t	[7]得=																																																
n	[7]那-嘞=																																																
j	[7]一叶																																																
ts	[7]值直质置执侄职植掷这-																																																
tsʰ	[7]尺吃赤																																																
s	[7]舌涉折{∽本}石食湿适实识室失涩=十拾蚀释																																																
z	[7]日																																																
#ei																																																	
p	[1]杯背{动作}碑卑悲[5]贝辈倍背{∽诵/身体部位}焙																																																
pʰ	[1]批胚坯披丕[2]培陪赔裴[3]呸[5]沛配佩辔																																																
m	[2]梅枚媒煤眉=楣霉没[3]每美[5]妹昧媚																																																
f	[1]非飞妃扉□{纸∽∽儿}[2]肥[3]匪翡[5]废肺吠痱费沸																																																
ts	[1]这{元音高化}遮																																																
tsʰ	[1]车□{∽开}[3]扯																																																
n	[1]勒=嘞=那{元音高化}																																																
tsu	[1]追锥[2]贼{摸包∽，白}[3]嘴[5]罪最缀赘坠醉																																																
tsʰu	[1]催崔吹炊[2]垂锤[5]脆翠粹																																																
s	[1]奢赊佘[2]蛇[3]舍{∽得}[5]射麝舍{宿∽}社设=																																																
su	[2]髓随谁[3]水[5]碎岁税睡穗																																																
z	[3]惹																																																
zu	[3]蕊[5]芮锐																																																
t	[1]追																																																
tu	[1]堆[5]对兑队																																																
tʰu	[1]推[2]颓[3]腿[5]退蜕褪																																																
nu	[1]追-[2]雷累{∽赘}[3]儡垒屡[5]虑滤内累{连∽}类泪																																																
ku	[1]圭闺规龟归[3]诡轨鬼[5]鳜桂跪柜贵																																																
kʰu	[1]盔亏窥[2]傀奎逵葵癸[5]愧溃																																																
xu	[1]恢灰麾挥辉徽[2]回茴[3]悔毁[5]贿晦汇桧会绘秽惠慧讳																																																
u	[1]煨威[2]桅为{作∽}维惟唯违围[3]伪委尾伟苇纬萎[5]卫喂为{∽什么}位未味魏畏慰胃谓猬																																																
#ie																																																	
p	[7]笔别																																																
pʰ	[7]撇																																																
t	[7]的{目∽}笛叠迪蝶碟谍喋																																																
tʰ	[7]铁贴帖踢=																																																
m	[7]灭密蜜秘																																																
n	[7]劣列烈咧裂猎冽力历立丽业率律																																																
tɕ	[7]吉节揭杰接洁截捷婕桔孑击及极籍激脊级集积绩急劫																																																
tɕʰ	[7]七窃切																																																
ɕ	[7]血-穴-桖-熄习协																																																
#o																																																	
