汉字	注释	环县甜水	环县环城	环县车道	庆城庆城	庆城桐川	庆城太白梁	华池柔远	华池乔川	合水西华池	合水太白	合水段家集	西峰西街	西峰肖金	镇原城关	镇原新城	镇原三岔	宁县新宁	宁县早胜	宁县盘克	正宁山河	正宁宫河	正宁五顷原	正宁三嘉	泾川泾明	泾川城关	泾川玉都	灵台中台	灵台邵寨	华亭东华	华亭神峪	崇信锦屏	崇信木林	崇信新窑	崆峒柳湖汉	崆峒柳湖回	崆峒香莲	崆峒大秦
多		꜀tuə	꜀tuɤ	꜀tuə	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuə	꜀tuo	꜀tuə	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuə	꜀tuo	꜀tuo	꜀tuo	꜀tuɤ	꜀tuo	꜀tuo	꜀tuo	꜀tuə	꜀tuə	꜀tuə	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuo	꜀tuɤ	꜀tuɤ	꜀tuɤ	꜀tuo
他		꜂tʰᴀ/꜂tʰə	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ	꜂tʰᴀ	꜂tʰᴀ∣꜀tʰᴀ
大		tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuɤ꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuə꜄	tᴀ꜄/tʰuə꜄	tᴀ꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄/tʰuo꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄	tᴀ꜄
驮		tuə꜄	tuə꜄	tuə꜄	tuo꜄	tuo꜄	tuo꜄	tuo꜄	tuə꜄	tuo꜄	tuɤ꜄	tʰuo꜄	tuo꜄	tuo꜄	tʰuo꜄	tʰuo꜄	tʰuə꜄	tʰuo꜄	tʰuo꜄	tʰuo꜄	tʰuɤ꜄	tʰuo꜄	tʰuo꜄	tʰuo꜄	tʰuə꜄	tʰuə꜄	tʰuə꜄	tʰuo꜄	tʰuo꜄	tuo꜄	tuo꜄	tuo꜄	tʰuo꜄	tuo꜄	tuɤ꜄	tuɤ꜄	tuɤ꜄	tuo꜄/tʰuo꜄
挪		꜁nuə	꜁nuɤ	꜁nuə	꜁nuo	꜁nuo	꜁nuo	꜁nuo	꜁nuə	꜁luo	꜁nuə	꜁luo	꜁luo	꜁luo	꜁luo	꜁luo	꜁luə	꜁luo	꜁luo	꜁luo	꜁luɤ	꜁luo	꜁luo	꜁luo	꜁luə	꜁luə	꜁luə	꜁luo	꜁luo	꜁luo	꜁luo	꜁luo	꜁luo	꜁luo	꜁luɤ	꜁luɤ	꜁luɤ	꜁luo
那		nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄	꜂lɛ	nɛ꜄	nɛ꜄	꜂nᴀ	꜂nᴀ	꜂nᴀ	꜂lɛ	꜂lɛ	꜂lɛ	꜂lɛ	꜂lɛ	꜂lɛ	꜂lɛ	꜂nᴀ	꜂nᴀ	꜂nᴀ	꜂lᴀ	꜂lᴀ	꜂lᴀ	꜂lᴀ	꜂lᴀ	꜂lᴀ	꜂lᴀ	nɛ꜄	nɛ꜄	nɛ꜄	nɛ꜄
左		꜂tsuə	꜂tsuɤ	꜂tsuə	꜂tsuo	꜂tsuo	꜂tsuo	tsuo꜄	꜂tsuə	tsuo꜄	꜂tsuə	tsuo꜄	tsuo꜄	tsuo꜄	tsuo꜄	tsuo꜄	꜂tsuə	tsuo꜄	tsuo꜄	tsuo꜄	tsuɤ꜄	tsuo꜄	tsuo꜄	tsuo꜄	tsuə꜄	tʃʒ̍ʷə꜄	tʃʒ̍ʷə꜄	tsuo꜄	tsuo꜄	tsuo꜄	tsuo꜄	꜂tʃʒ̍ʷo	tsuo꜄	꜂tsuo	꜂tsuɤ	꜂tsuɤ	꜂tsuɤ	꜂tsuo
搓		꜀tsʰuə	꜀tsʰuɤ	꜀tsʰuə	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuə	꜀tsʰuo	꜀tsʰuə	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuə	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuɤ	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuə	꜀tʃʰʒ̍ʷə	꜀tʃʰʒ̍ʷə	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuo	꜀tʃʰʒ̍ʷo	꜀tsʰuo	꜀tsʰuo	꜀tsʰuɤ	꜀tsʰuɤ	꜀tsʰuɤ	꜀tsʰuo
歌		꜀kə/kɔ	꜀kuɤ	꜀kə/꜀kuə	꜀kɔ	꜀kɔ	꜀kuo	꜀kɤ	꜀kuə	꜀kɤ	꜀kə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kə/꜀kuə	꜀kə	꜀kə	꜀kuo	꜀kɤ	꜀kɤ	꜀kɤ	꜀kɤ	꜀kuə	꜀kuə	꜀kuə	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuo	꜀kuɤ	꜀kɤ	꜀kɔ/꜀kɤ	꜀kɤ
个	～子	kə꜄	kɤ꜄/kuɤ꜄	kə꜄/kuə꜄	kɤ꜄/kɔ꜄	kɤ꜄/kɔ꜄	kɤ꜄/kɔ꜄	kɤ꜄/kuo꜄	kə꜄/kuə꜄	kɤ꜄/kuo꜄	kə꜄/kuə꜄	kuo꜄	kɤ꜄/kɔ꜄	kuo꜄	kuo꜄	kuo꜄	kuə꜄	kə꜄	kə꜄	kə꜄	kɤ꜄	kɤ꜄	kɤ꜄	kɤ꜄	kuə꜄	kuə꜄	kuə꜄	kuo꜄	kuo꜄/kɔ꜄	kuo꜄	kuo꜄	kuo꜄	kuo꜄	kuo꜄	kuɤ꜄	kuɤ꜄	kuɤ꜄/kɔ꜄	kɤ꜄
