#参考资料	《安徽庐江方言音系》 周元琳
#调值	①陰平55 ②陽平31 ③上聲213 ⑤去聲35 ⑦陰入5 ⑧陽入3 ⓪輕聲
#ɹ̩	
p	①屄{女陰} ③彼鄙比擗{用手折斷：~斷得} ⑤陛斃{文讀|槍~}
pʰ	①批胚坯披{~漏}砒{~霜} ②皮疲脾啤痹琵枇匹 ③痞跛{~子；走路一~一~的} ⑤庇屁毙{白|死：~得之}
m	①眯{眼睛~之；笑~~}咪{慢慢地喝；~兩杯酒} ②迷謎泥{白|~墻} ③米迷{灰~之眼睛}
n	①泥{文|~菩薩過江}犁黎{姓}倪{姓}離{~家不遠}尼梨厘 ③禮李裏{被~子}理鯉 ⑤例厲勵荔離{~垢夾：搓去身上的污垢}膩{濁~~的}利{~息}痢{溏溏~：家禽的溏便}
ts	①爹{祖父}低齜滋{~水}雞稽饑肌基{打地~}幾{~乎}機資姿 ③姐底觝擠紫姊几{茶~}幾{~個}己紀子{瓜~；~公鷄}籽□{一~小葱} ⑤借第祭{~祖}際劑計繼技妓寄地{土~}自穄{穗：稻~子}濟字記{~得}忌既季 ⓪子{桌~；珠~}
tsʰ	①妻欺{~生}期睇{看：不~見} ②題提{~意見}蹄齊臍瓷糍{~巴；~得很}奇騎歧祁{姓}其棋旗息磁辭祠詞 ③且體啓{~子；~開}此起豈 ⑤替剃屜砌契刺賜次器棄伺氣汽去{白|我不~}
s	①些{好~子：多少}西溪奚{姓}斯撕嘶{人或某些動物大聲喊叫：別~}私師獅螄{螺~}司絲思厠{白|茅~}嬉希稀 ②邪斜 ③寫洗死使史駛喜篩{~酒} ⑤卸謝細系{派~}戲四肆似巳寺飼士仕柿事恃侍 ⓪些{多~}婿{女~}係{關~}喜{歡~}息{沒出~}
z	①醫{~子}醫衣依 ②爺{叔、伯}宜儀移誼姨{~娘}疑 ③野冶{~父山}倚椅已以 ⑤夜藝義議{文|~論}易{不~}意異毅憶億 ⓪宜{便~}易{容~}
#ɻˈ	
tʂ	①支枝肢梔知之芝 ③紙只{~配跟他}旨指{~他鼻子訣（骂）}止阯 ⑤製制智致至痔置{辦：~點個東西}治誌痣 ⓪之{助詞：坐~；走~}
tʂʰ	①癡𨒬{滑：下雨，路上~得很；一下~老遠的} ②池馳匙{湯~}遲持{~家} ③恥{羞~；~她}齒始 ⑤翅 ⓪匙{鑰~}
ʂ	①施{姓}尸屍 ③屎{屙~；眼~；耳朵~} ⑤世勢誓逝是氏示視嗜市試式{~樣} ⓪式{樣~}
ʐ	①□{溜走：老早就~得之}
#i	
t	⓪地{慢慢~講}的{你~；好~}
tʰ	⓪嚏{噴~}
n	③你 ⓪裏{家~}狸{狐~}利{勤~}
k	③給{~他；~狗齩之}
Ø	⑤咦{嘆詞|表示醒悟、驚訝、不滿、反對等}
#ʉ	
p	③補 ⑤布佈埠{蚌~}部步{~行}
pʰ	①铺{~牀}潽{借字|燒~得之；~蛋湯} ②蒲{~團}菩葡 ③脯譜普蹼 ⑤舖{店~}步{白|就兩~路}
