IPA	調值	調類	漢字
tse	24	7	卒
ʂe	24	7	失
tʂʰe	334	1	車
ke	45	5	鋸
Ǿe	112	2	兒
ʂe	45	5	射舌
Ǿe	22	6	二
Ǿe	24	7	熱
Ǿe	443	3	耳
po	112	2	婆
pʰo	24	7	潑
to	24	7	奪
tʰo	24	7	脫托
tso	22	6	坐
so	24	7	索
tsʰo	45	5	錯
tʂo	24	7	著
ko	24	7	割各郭角
kʰo	24	7	渴闊鶴殼
xo	112	2	河
mo	112	2	磨
ŋo	112	2	鵝
lo	112	2	鑼螺
Ǿo	24	7	惡握
po	24	7	撥薄剝
pʰo	45	5	破
to	334	1	多
tʰo	334	1	拖
tso	24	7	作桌鐲
so	443	3	鎖所
ko	334	1	歌
kʰo	443	3	可
xo	22	6	禍
mo	22	6	磨
ŋo	22	6	餓
lo	24	7	落
to	443	3	躲
tso	443	3	左
ko	443	3	果
kʰo	45	5	課
xo	24	7	鴿盒活霍或
mo	24	7	末木目
ko	45	5	個過
xo	443	3	火
mo	334	1	摸
xo	45	5	貨活
mo	443	3	母
pu	22	6	簿步
pʰu	334	1	鋪
fu	112	2	壺
ku	24	7	骨穀
kʰu	24	7	哭
Ǿu	112	2	吳
pu	45	5	布
pʰu	443	3	譜
fu	22	6	戶
ku	334	1	箍
kʰu	443	3	苦
Ǿu	22	6	霧
fu	24	7	佛福服
ku	443	3	古
kʰu	45	5	褲
Ǿu	24	7	物屋
fu	443	3	虎府
ku	45	5	過
Ǿu	334	1	烏
fu	45	5	付父富副婦縛
Ǿu	443	3	五武
Ǿu	45	5	霧
pi	112	2	皮
pʰi	24	7	劈
ti	22	6	弟遞地
tʰi	24	7	踢
tɕi	112	2	騎棋
ɕi	112	2	徐
tɕʰi	24	7	及七極
mi	24	7	密
ȵi	112	2	泥
li	112	2	犁梨
Ǿi	112	2	移姨
pi	24	7	鼻筆逼壁
pʰi	443	3	匹
ti	24	7	笛
tʰi	334	1	梯
tɕi	24	7	集急吉積擊
ɕi	24	7	溪習吸息惜席錫
tɕʰi	443	3	取
mi	443	3	米
ȵi	45	5	蟻義
li	24	7	立律力曆
Ǿi	24	7	日一益
pi	443	3	比
pʰi	45	5	屁鼻
ti	334	1	低
tʰi	45	5	剃
tɕi	334	1	雞饑
ɕi	334	1	西希
tɕʰi	45	5	契器氣
li	443	3	李
Ǿi	334	1	衣
ti	45	5	弟地
tɕi	443	3	幾
ɕi	443	3	洗喜
li	45	5	栗
Ǿi	45	5	藝意
tɕi	45	5	寄記季
ɕi	45	5	系戲
tɕy	112	2	除渠
ɕy	22	6	樹
tɕʰy	24	7	出
ȵy	443	3	女
Ǿy	112	2	如魚余
tɕy	22	6	柱住
ɕy	334	1	書輸
tɕʰy	334	1	區
Ǿy	22	6	芋
tɕy	24	7	橘菊局
ɕy	443	3	鼠許水
tɕʰy	45	5	去
Ǿy	24	7	入
tɕy	334	1	豬
ɕy	45	5	豎
Ǿy	443	3	雨
tɕy	443	3	舉主
Ǿy	45	5	遇裕玉
tɕy	45	5	鋸句劇
pa	112	2	排牌
pʰa	45	5	派
fa	112	2	懷
ta	112	2	台
tʰa	334	1	胎
