num	字	泗纶
	5484	751
20	愁	seu³⁵
26	岑	səm³⁵
35	寨	ꭧai³¹
49	策	ꭧak²¹
66	炒	ꭧau³¹
68	差	ꭧai⁵⁵
85	生	saŋ⁵⁵
92	沙	sa⁵⁵
108	刷	ꭧat²¹
117	殺	sat²¹
125	衫	sam⁵⁵
130	稍	sau⁵²
136	曬	sai⁵²
145	瑟	set²¹
152	篩	sei⁵⁵
171	責	ʦak²¹
175	渣	ʦa⁵⁵
179	鄒	ꭧeu⁵⁵
185	簪	ʦam⁵⁵
190	爪	ʦau³¹
193	債	ʦai⁵²
219	丑	ꭧʰiu³¹
228	超	ꭧʰau⁵⁵
230	椿	ꭧuŋ⁵⁵
242	丈	ꭧɔŋ³¹
260	茶	ꭧa³⁵
293	蟲	ꭧuŋ³⁵
305	召	ꭧam⁵²
306	滯	ʦei³¹
321	塵	ꭧen³⁵
324	秩	tʰet²¹
325	姪	ꭧit⁴
337	池	ꭧʅ³⁵
346	娘	niɔŋ³⁵
347	釀	ȵiɔŋ³¹
350	紐	neu³¹
356	賃	ȵim³¹
357	濃	ȵiuŋ
361	聶	ȵiap²¹
365	鬧	nau³¹
366	女	ȵy³¹/ny³¹
370	尼	ni³¹
377	張	ꭧɔŋ⁵⁵
393	爹	tie⁵⁵
400	晝	ꭧiu⁵²
420	劄	ʦat²¹
424	朝	ʦiau⁵⁵
434	豬	ʦy⁵⁵
442	珍	ꭧen⁵⁵
447	質	ꭧit²¹
448	知	ꭧʅ⁵⁵
453	稱	ꭧʰen⁵⁵
455	稱	ꭧʰen⁵⁵
465	唱	ꭧʰɔŋ⁵²
466	綽	ꭧiɔk²¹
472	臭	ꭧʰiu⁵²
474	川	ꭧʰɔn⁵⁵
481	充	ꭧʰuŋ⁵⁵
488	春	ꭧun⁵⁵
489	蠢	ꭧʰun³¹
492	出	ꭧut²¹
495	吹	ꭧʰui⁵⁵
497	嗤	ꭧʰʅ⁵⁵
510	上	ʂɔŋ³¹
518	社	ʂa⁵⁵
537	十	sep⁴/sɐp⁴
546	涉	siap⁴
561	薯	sy³⁵
574	慎	ʂen³¹
586	時	ʂʅ³¹
597	蛇	ʂa³⁵
603	盾	tʰun³¹
604	順	ʂun⁵⁵
621	湯	tɔŋ⁵⁵
623	商	ʂɔŋ⁵⁵
633	賒	ʂa⁵⁵
637	舍	ʂe⁵²
638	收	ʂeu⁵⁵
641	首	ʂiu³¹
650	深	səm⁵⁵
653	濕	ʂep²¹
656	叔	ʂuk²¹
658	閃	ʂiam³¹/ʂap²¹
661	燒	ʂau⁵⁵
664	說	ʂɔt²¹
665	稅	ʂɔi⁵²
672	舒	la³¹？
674	鼠	ʂʅ³¹
679	舜	ʂun⁵²
681	身	ʂɐn⁵⁵
682	申	ʂen⁵⁵
687	失	ʂit²¹
689	水	ʂui³¹
698	詩	ʂʅ⁵⁵
708	障	ꭧɔŋ⁵²
726	遮	ꭧa⁵⁵
727	者	ꭧe³¹
736	祝	ꭧuk²¹
738	拙	ꭧɔt²¹
744	針	ʦəm⁵⁵
746	枕	ʦəm³¹
748	汁	ꭧep²¹
749	執	ꭧep²¹
771	招	ꭧau⁵⁵
777	贅	ꭧui⁵²
778	制	ꭧai⁵²
795	准	ꭧun³¹
798	真	ꭧen⁵⁵
802	診	ꭧʰen³¹
807	侄	ꭧit⁴
809	錐	ꭧui⁵⁵
834	誌	ꭧʅ⁵²
838	弘	vaŋ³⁵
840	或	vak⁴
841	恆	haŋ³⁵
861	行	hɔŋ³⁵
866	鶴	hɔk⁴
880	宏	uaŋ³⁵
883	劃	vak⁴
884	莖	kuaŋ³¹
894	和	fɔ³⁵
895	禾	vɔ³⁵
905	賀	hɔ³¹
906	樺	va³¹
907	划	vak⁴
917	夏	ha³¹
919	下	ha³¹
925	學	hɔk⁴
939	穴	het⁴
958	滑	vat⁴
961	限	han³¹
991	紅	fuŋ³⁵
999	濫	lam³¹
1000	匣	hap⁴
1044	害	hɔi³¹
1066	蟹	hai³¹
1069	回	vɔi³⁵
1093	胡	fu³⁵
1117	響	hiɔŋ³¹
1130	轟	kuaŋ⁵⁵
1137	火	fɔ³¹
1142	花	fa⁵⁵
1150	休	iu⁵⁵
1165	決	kʰet²¹
1170	瞎	hat²¹
1180	吸	kʰep²¹
1187	險	hiam³¹
1189	脅	hiap⁴
1193	喊	ham⁵²
1197	囂	hiau⁵⁵
1202	好	hau³¹
1205	灰	fɔi⁵⁵
1206	悔	fui⁵²
1218	許	hy³¹
1220	呼	fu⁵⁵
1226	迄	ȵet²¹
1238	忽	ut²¹
1259	諱	vei³¹
1282	惡	ɔk²¹
1301	阿	a⁵⁵
1318	幼	iu⁵²
1345	煙	ien⁵⁵
1370	晏	an⁵²
1375	音	im⁵⁵
1376	飲	ȵim³¹
1381	揖	ip²¹
1385	雍	iuŋ⁵⁵
1389	甕	uŋ⁵²
1390	屋	uk²¹
1396	淹	iam⁵⁵
1397	醃	iap²¹
1406	押	ap²¹
1409	庵	am⁵⁵
1411	暗	am⁵²
1412	坳	au⁵²
1416	妖	iau⁵⁵
1420	要	iau⁵²
1421	約	iɔk²¹
1437	矮	ai³¹
1440	煨	vɔi⁵⁵
1443	埃	ai⁵⁵
1445	愛	ɔi⁵²
1448	喝	hɔt²¹
1464	乙	iet²¹
1465	因	in⁵⁵
1472	一	it²¹
1484	溫	un⁵⁵
1488	伊	i⁵⁵
1499	醫	i⁵⁵
1519	永	ʐuŋ³¹
1523	尤	iu³⁵
1543	越	iet⁴
1551	衛	ui³⁵
1552	汙	u⁵⁵
1558	雨	y³¹
1568	云	un³⁵
1593	蠅	in⁵⁵
1608	養	iɔŋ⁵⁵
1620	贏	iaŋ³⁵
1638	斜	ꭧie³⁵
1640	也	ia⁵⁵
1641	夜	ia³¹
1643	油	iu³⁵
1651	誘	iu⁵²
1663	悅	iet⁴
1673	容	iuŋ³⁵
1682	勇	iuŋ³¹
1688	慾	iuk²¹
1693	育	ʐuk²¹
1734	餘	ʐʅ³⁵
1749	引	in³¹
1780	食	sit⁴
1788	弱	ȵiɔk²¹
1789	若	ʐɔk⁴
1792	惹	ȵia⁵⁵
1800	燃	ȵien³⁵
1812	入	ȵip⁴
1815	茸	ʐuŋ³⁵
1817	辱	iuk⁴
1821	肉	ȵiuk²¹
1824	染	ȵiam³¹
1827	饒	ȵiau³⁵
1832	芮	ʐui³¹
1836	乳	ȵiu³¹
1838	如	ȵy³⁵
1842	潤	ʐun³¹
1843	人	ȵin³⁵
1844	仁	ʐin³⁵
1851	日	ʂit²¹？/ȵit²¹
1852	二	ȵi³¹
1855	兒	ȵi³¹/ȵi³⁵
1875	粱	liɔŋ³⁵
1876	良	liɔŋ³⁵
1886	略	liɔk⁴
1892	郎	lɔŋ³⁵
1895	浪	lɔŋ³¹
1903	落	lɔk⁴
1904	領	liaŋ⁵⁵
1909	冷	laŋ⁵⁵
1922	騾	lɔ³⁵
1930	羅	lɔ³⁵
1952	漏	lau³¹
1955	憐	lien³⁵
1962	劣	lɔt²¹
1963	連	len³⁵
1973	鸞	lɔn³⁵
1975	亂	lɔn³¹
1983	爛	lan³¹
1990	林	lim³⁵
1997	立	lip⁴
1998	龍	luŋ³⁵
2013	祿	luk²¹
2019	六	luk²¹
2023	廉	liam³⁵
2029	獵	liap⁴
2031	藍	lam³⁵
2039	臘	lap⁴
2045	料	liau³¹
2059	燎	liau³⁵
2066	老	lɔ³¹
2069	賴	lai³¹
2072	犁	lai³⁵
2085	雷	lui³⁵
2090	來	lɔi³⁵
2101	呂	ly³¹
2105	盧	lu³⁵
2114	魯	lu³¹
2128	律	lut⁴
2137	吝	nin³¹
2139	栗	lit²¹
2142	論	lun³¹
2149	梨	li³⁵
2170	李	li³¹
2178	賊	ꭧet⁴
2186	昨	ꭧɔk²¹
2187	請	ꭧiaŋ³¹
2199	坐	ꭧɔ⁵⁵
2200	座	ʦɔ³¹
2205	就	ʦiu³¹
2207	前	ꭧien³⁵
2213	絕	ꭧet⁴
2221	輯	ꭧip⁴
2225	族	ʦuk⁴
2235	雜	ꭧap⁴
2248	罪	ꭧui³¹
2257	咀	ꭧɔi⁵²
2258	粗	ꭧu⁵⁵
2261	疾	ʦit⁴
2267	瓷	ʦʰi³⁵
2283	則	ʦet²¹
2286	將	ʦiɔŋ⁵⁵
2291	雀	ʦiɔk²¹
2295	髒	ʦɔŋ⁵⁵
2303	井	ʦiaŋ³¹
2309	左	ʦɔ³¹
2312	姐	ʦie⁵⁵
2316	酒	ʦeu³¹
2317	走	ʦau³¹
2320	箋	ʦien³¹
2326	煎	ʦen⁵⁵
2331	鑽	ʦɔn⁵²
2333	撮	ʦɔt²¹
2334	讚	ʦan⁵²
2347	宗	ʦuŋ⁵⁵
2350	尖	ʦiam⁵⁵
2353	接	ʦiap²¹
2359	蕉	ʦiau⁵⁵
2360	焦	ʦiau⁵⁵
2372	最	ʦui⁵²
2374	濟	ʦi⁵²
