1890會城			IPA		註釋
	A				
吖		Á	ʔ	a	
屭		Ái	ʔ	aɪ	
挨		Ái	ʔ	aɪ	
握		Ák	ʔ	ak	
鈪		Ák	ʔ	ak	
唵		Ám	ʔ	am	會城音
庵		Ám	ʔ	am	會城音
唵		Aim	ʔ	am	會東北音
庵		Aim	ʔ	am	會東北音
晏		Án	ʔ	an	
鶯		Áng	ʔ	aŋ	
甖		Áng	ʔ	aŋ	
洽		Áp	ʔ	ap	
鴨		Áp	ʔ	ap	
扼		At	ʔ	ɐt	
扼		Át	ʔ	at	又音
壓		At	ʔ	ɐt	
區		Áu	ʔ	aʊ	
拗		Áu	ʔ	aʊ	
	C				
揸	Ch	á	tʃ	a	
茶	Ch'	á	tʃʰ	a	
製	Ch	ái	tʃ	aɪ	
砦	Ch	ái	tʃ	aɪ	
差	Ch'	ái	tʃʰ	aɪ	
窄	Ch	ák	tʃ	ak	
測	Ch'	ák	tʃʰ	ak	
冊	Ch'	ák	tʃʰ	ak	
斬	Ch	ám	tʃ	am	
杉	Ch'	ám	tʃʰ	am	
珍	Ch	an	tʃ	ɐn	會城音
珍	Ch	ín	tʃ	in	會西南音
盞	Ch	án	tʃ	an	
產	Ch'	án	tʃʰ	an	
箏	Ch	áng	tʃ	aŋ	
爭	Ch	áng	tʃ	aŋ	
橙	Ch'	áng	tʃʰ	aŋ	
閘	Ch	áp	tʃ	ap	
插	Ch'	áp	tʃʰ	ap	
枳	T	at	t	ɐt	
枳	Ch	at	tʃ	ɐt	又音
札	Ch	át	tʃ	at	上入聲，名詞
札	Ch	át	tʃ	at	中入聲，動詞
察	Ch'	át	tʃʰ	at	
籕	Ch	áu	tʃ	aʊ	
爪	Ch	áu	tʃ	aʊ	
炒	Ch'	áu	tʃʰ	aʊ	
池	Ch'	e	tʃʰ	ɛ	前字tʃʰi後字tʃʰɛ
針	Ch	em	tʃ	ɛm	僅一例
針	Ch	ím	tʃ	ɛm	會西南音
沈	Ch'	em	tʃʰ	ɛm	會城音
沈	Ch'	ím	tʃʰ	ɛm	會西南音
塵	Ch'	en	tʃʰ	ɛn	
摺	Ch	ep	tʃ	ɛp	
浙	Ch	et	tʃ	ɛt	
浙	Ch	ít	tʃ	it	音同廣州
朝	Ch	eu	tʃ	ɛʊ	
炤	Ch	íú	tʃ	iu	書面語音同廣州
昭	Ch	íú	tʃ	iu	書面語音同廣州
招	Ch	íú	tʃ	iu	書面語音同廣州
炤	Ch	íú	tʃ	iu	會西南音，書面語音同廣州
昭	Ch	íú	tʃ	iu	會西南音，書面語音同廣州
招	Ch	íú	tʃ	iu	會西南音，書面語音同廣州
兆	Sh	eu	ʃ	ɛʊ	會城音
兆	Sh	eu	ʃ	ɛʊ	會西南音
綢	Ch'	eu	tʃʰ	ɛʊ	
甎	Ch'	eu	tʃʰ	ɛʊ	
抽	Ch'	eu	tʃʰ	ɛʊ	會城音
抽	Ch'	áu	tʃʰ	aʊ	會西南音
臭	Ch'	íú	tʃʰ	iu	
治	Ch	í	tʃ	i	前字tʃi後字tʃɛ
朱	Ch	í	tʃ	i	
痴	Ch'	í	tʃʰ	i	會城音，前字tʃʰi後字tʃʰɛ
遮	Ch	íá	tʃ	ia	
車	Ch'	íá	tʃʰ	ia	
尺	Ch'	iak	tʃʰ	ɪɐk	
赤	Ch'	iak	tʃʰ	ɪɐk	
㮳	Ch	ím	tʃ	im	
斟	Ch	em	tʃ	ɛm	會城音
枕	Ch	em	tʃ	ɛm	會城音
針	Ch	em	tʃ	ɛm	會城音
浸	Ch	ím	tʃ	im	會西南音
斟	Ch	ím	tʃ	im	會西南音
針	Ch	ím	tʃ	im	會西南音
枕	Ch	ím	tʃ	im	會東北音
浸	Ch	ím	tʃ	im	會東北音
針	Ch	ím	tʃ	im	會東北音
箴	Ch	ám	tʃ	am	
砧	T	em	t	ɛm	
占	Ch	ím	tʃ	im	
浸	Ch	ím	tʃ	im	
占	Ch	em	tʃ	ɛm	會西南音
浸	Ch	em	tʃ	ɛm	會西南音
粘	Ch	ím	tʃ	im	會西南音
粘	Ch	em	tʃ	ɛm	會城音
粘	Ch	ím	tʃ	im	會東北音
諂	Ch'	ím	tʃʰ	im	
陣	Ch	ín	tʃ	in	
陣	Ch	ín	tʃ	in	會城音
氈	Ch	ín	tʃ	in	會城音
戰	Ch	ín	tʃ	in	會城音
陣	Ch	en	tʃ	ɜn	會西南音
氈	Ch	en	tʃ	ɜn	會西南音
戰	Ch	en	tʃ	ɜn	會西南音
廛	Ch'	ín	tʃʰ	in	會城音
廛	Ch'	en	tʃʰ	ɜn	會西南音
正	Ch	ing	tʃ	ɪŋ	
秤	Ch'	ing	tʃʰ	ɪŋ	
汁	Ch	íp	tʃ	ip	會城音
汁	Ch	ep	tʃ	ɜp	會西南音
質	Ch	ít	tʃ	it	
超	Ch'	íú	tʃʰ	iu	
阻	Ch	o	tʃ	ɔ	
初	Ch'	o	tʃʰ	ɔ	
著	Ch	ök	tʃ	œk	
卓	Ch'	ök	tʃʰ	œk	
壯	Ch	ong	tʃ	ɔŋ	
瘡	Ch'	ong	tʃʰ	ɔŋ	
丈	Ch	öng	tʃ	œŋ	
昌	Ch'	öng	tʃʰ	œŋ	
倡	Ch'	öng	tʃʰ	œŋ	
娼	Ch'	öng	tʃʰ	œŋ	
窗	Ts'	ong	tsʰ	ɔŋ	
追	Ch	úí	tʃ	ui	
廚	Ch'	uí	tʃʰ	ʊi	
處	Ch'	úí	tʃʰ	ui	
吹	Ch'	úí	tʃʰ	ui	
竹	Ch	uk	tʃ	ʊk	
捉	Ch	ok	tʃ	ɔk	
畜	Ch'	uk	tʃʰ	ʊk	
準	Ch	ún	tʃ	un	會城音
準	Ch	en	tʃ	ɜn	會城音，又音
準	Ch	ún	tʃ	un	會西南音
準	Ch	en	tʃ	ɜn	會西南音，又音
春	Ch'	ún	tʃʰ	un	會城音
春	Ch'	en	tʃʰ	ɜn	會城音，又音
春	Ch'	ún	tʃʰ	un	會西南音
春	Ch'	en	tʃʰ	ɜn	會西南音，又音
串	Ch'	ún	tʃʰ	un	會城音
串	Ch'	en	tʃʰ	ɜn	會城音，又音
串	Ch'	ún	tʃʰ	un	會西南音
串	Ch'	en	tʃʰ	ɜn	會西南音，又音
中	Ch	ung	tʃ	ʊŋ	
蟲	Ch'	ung	tʃʰ	ʊŋ	
出	Ch'	út	tʃʰ	ut	
出	Ch'	et	tʃʰ	ɜt	又音
	F				
花	F	á	f	a	
塊	F	áí	f	ai	
拂	F	ák	f	ak	
凡	F	án	f	an	
捹	F	áng	f	aŋ	
宏	F	áng	f	aŋ	
法	F	át	f	at	
浮	F	áu	f	aʊ	
非	F	éí	f	ei	會城音
非	F	úí	f	ui	會西南音
闊	F	et	f	ɛt	
火	F	o	f	ɔ	會城音
火	F	á	f	a	江門音
火	F	e	f	ɛ	江門音
矍	F	ok	f	ɔk	
方	F	ong	f	ɔŋ	
父	F	ú	f	u	
費	F	úí	f	ui	會城音
費	F	aí	f	ɐi	會城音，又音
費	F	úí	f	ui	會東北音
費	F	aí	f	ɐi	會東北音，又音
吠	F	úí	f	ui	書面語
吠	P	uí	f	ʊi	口語
灰	F	úí	f	ui	
賄	H	oí	h	ɔi	
福	F	uk	f	ʊk	
分	F	ún	f	un	
寬	F	ún	f	un	會城音
寬	F	en	f	ɛn	會西南音
風	F	úng	f	uŋ	上去聲
風	F	úng	f	uŋ	下去聲
𩗴	F	úng	f	uŋ	
	H				
下	H	á	h	a	
他	H	á	h	a	
蝦	H	á	h	a	
係	H	aí	h	ɐi	
鞋	H	áí	h	ai	
啼	H	áí	h	ai	
太	H	áí	h	ai	
黑	H	ak	h	ɐk	
客	H	ák	h	ak	
咸	H	ám	h	am	
氹	H	ám	h	am	
貪	H	ám	h	am	
恨	H	an	h	ɐn	
痕	H	aí	h	ɐi	會西南音
痕	H	áí	h	ai	會城音
閒	H	án	h	an	
莧	H	án	h	an	
炭	H	án	h	an	
亨	H	áng	h	aŋ	
坑	H	áng	h	aŋ	
藤	H	áng	h	aŋ	
恰	H	ap	h	ɐp	
峽	H	áp	h	ap	
合	H	áp	h	ap	
搭	H	áp	h	ap	
乞	H	at	h	ɐt	
核	H	át	h	at	
核	W	út	w	ut	種子
撻	H	át	h	at	
口	H	áu	h	aʊ	
考	H	áu	h	aʊ	
偷	H	áu	h	aʊ	
逃	H	áu	h	aʊ	
偷	T'	áu	tʰ	aʊ	又音tʰaʊ，但通常讀haʊ
逃	T'	áu	tʰ	aʊ	又音tʰaʊ，但通常讀haʊ
靴	H	e	h	ɛ	會城音
靴	H	eá	h	ɛa	會西南音
靴	H	ö	h	œ	會城音，又音
靴	H	ö	h	œ	會東北音
靴	H	ö	h	œ	江門音
㕔	H	eng	h	ɛŋ	
香	H	öng	h	œŋ	
喜	H	éí	h	ei	
喫	H	iak	h	ɪɐk	
欠	H	ím	h	im	
添	H	ím	h	im	
顯	H	ín	h	in	
天	H	ín	h	in	
兄	H	ing	h	ɪŋ	
協	H	íp	h	ip	
帖	H	íp	h	ip	
帖	T'	íp	tʰ	ip	又音，有時音同廣州
*	H'	íp	hʰ	ip	
歇	H	ít	h	it	
鐵	H	ít	h	it	
曉	H	íú	h	iu	
條	H	íú	h	iu	
何	H	o	h	ɔ	
拕	H	o	h	ɔ	
好	H	ò	h	o	
圖	H	ò	h	o	
*	H	ö	h	œ	
開	H	oí	h	ɔi	
胎	H	oí	h	ɔi	
胎	T'	oi	tʰ	ɔɪ	又音，甚少
