汉字	罗马字	IPA	注释																
					阴平1，阴上2，阴去3，阴入4														
多	to1	to˧˧			阳平5，            阳去˨˨，阳入˩˧														
他	tʰa1	tʰa˧˧			阴平 33	阴上 52	阴去 21	阴入 42											
舵	tʰo7	tʰo˨˨			阳平 12		阳去 22	阳入 13											
大	tua7	tua˨˨	(白)																
大	tai7	tai˨˨	(文)		˧˧	˥˨	˨˩	˦˨											
大	hainn1	haĩ˧˧	(训)		˩˨		˨˨	˩˧											
拖	tʰua1	tʰua˧˧	(白)																
拖	tʰou1	tʰou˧˧	(文)																
駝	tou5	tou˩˨																	
陀	tou5	tou˩˨																	
馱	tua5	tua˩˨	(白)驮米																
馱	to5	to˩˨	(文)																
挪	nou5	nou˩˨																	
挪	na5	na˩˨	挪用																
羅	lou5	lou˩˨	罗经lou5 kɛ̃1:罗盘																
鑼	lou5	lou˩˨	铿锣鼓kʰaĩ1 lou5 kou2																
籮	lua5	lua˩˨	(白)																
籮	lou5	lou˩˨	(文)																
左	tso2	tso˥˨																	
佐	tso2	tso˥˨																	
做	tso3	tso˨˩	做功课																
搓	so1	so˧˧	1.搓伸so1 tsʰun1 ，2.搓圆仔so1 ĩ5 a																
挲	so1	so˧˧	(俗写)搓so1																
歌	kua1	kua˧˧	乡镇音																
歌	kou1	kou˧˧	(文)歌舞kou1 bu2																
哥	ko1	ko˧˧	1.魠哥tʰõh8 ko1:笨蛋，2.癞哥tʰai7 ko1:恶心，3.痴哥ti1 ko1:变态好色																
個	ge5	ge˩˨	(量词)一个																
個	e5	e˩˨	1.(助词)谁的:伊个，2.(连接形容词)大个细个																
個	ko3	ko˨˩	(文)一个:顶级，数一数二"伊煮食是it4 ko3"																
軻	kho1	kʰo˧˧																	
可	khua2	kʰua˥˨	(白)小可sio2 kʰua2																
可	kho2	kʰo˥˨	(文)																
蛾	go5	go˩˨																	
鵝	go5	go˩˨																	
俄	gou5	gou˩˨																	
我	gua2	gua˥˨	(白)																
我	ngou2	ŋou˥˨	(文)																
餓	gou7	gou˨˨																	
何	ua5	ua˩˨	(白)无奈何tai7 ua5																
何	ho5	ho˩˨	(文)																
河	ho5	ho˩˨																	
河	hue5	hue˩˨	(白)地名:秀峰乡坪洄村pɛ̃5 hue5，相传平和建县时，王阳明原提议县名"清平县"，后遵循"照得县名须土俗"，而取平河社之名。原平河则因避讳改名为坪洄																
荷	kua5	kua˩˨	荷仔树																
荷	ho5	ho˩˨	荷兰豆																
苛	kho1	kʰo˧˧																	
賀	ho7	ho˨˨																	
阿	a1	a˧˧																	
阿	o1	o˧˧	阿弥陀佛																
茄	kio5	kio˩˨	茄仔																
茄	kɛ1	kɛ˧˧	番茄:西红柿																
波	pho1	pʰo˧˧	海波:泡沫板																
波	pou1	pou˧˧	波动																
菠	pue1	pue˧˧	(白)菠薐仔																
跛	pai2	pai˥˨	跛骹																
簸	pua3	pua˨˩																	
播	pua3	pua˨˩	(白)播稻																
播	pou3	pou˨˩																	
破	phua3	pʰua˨˩	(白)破烂，破开																
破	pho3	pʰo˨˩	(文)																
坡	phou1	pʰou˧˧																	
玻	pou1	pou˧˧																	
婆	pou5	pou˩˨	婆姐:诸生娘娘侍女，小孩十六岁出婆姐宫																
魔	mou1	mou˧˧	魔神																
魔	mou5	mou˩˨	魔鬼																
磨	bua5	bua˩˨	(白)																
磨	mou5	mou˩˨	(文)																
摩	mou5	mou˩˨																	
覕	bih4	biʔ˦˨																	
剁	to3	to˨˩																	
剁	tak4	tak˦˨	(训) 㧻																
剁	tok4	tok˦˨	(训) 㧻																
㧻	tak4	tak˦˨	(白)																
㧻	tok4	tok˦˨	(文)																
斫	tsioh4	tsioʔ˦˨	劈砍																
剉	tsho3	tsʰo˨˩																	
妥	tʰo3	tʰo˨˩																	
唾	tʰo3	tʰo˨˩																	
惰	tuann7	tuã˨˨	(白)懒惰																
惰	to7	to˨˨																	
墮	to7	to˨˨																	
囉	lo5	lo˩˨																	
囉	lo1	lo˧˧	(助词) 哪啰仔:哪里																
囉	loh8	loʔ˩˧	啰是:就是																
糯	no5	no˩˨																	
糯	tsut8	tsut˩˧	(训) 秫																
騾	lo5	lo˩˨																	
螺	le5	le˩˨	(白)虎咬㖹螺:1.枪打出头鸟  2.努力方向不对，原指老虎先袭击吹螺号的带队人反而不袭击埋伏的猎人																
螺	lou5	lou˩˨	(文)																
腡	le5	le˩˨	腡仔:手指上完整的圆形手纹																
裸	lou3	lou˨˩																	
摞	lo3	lo˨˩																	
銼	tsho3	tsʰo˨˩																	
坐	tse7	tse˨˨																	
坐	tshe7	tsʰe˨˨	1.沉陷，2.过滤沉淀																
座	tse7	tse˨˨	(白)																
座	tso2	tso˥˨	星座																
蓑	sui1	sui˧˧	棕蓑tsaŋ1 sui1																
梭	so1	so˧˧																	
唆	sua3	sua˨˩	(白)使唆:教唆																
唆	sou1	sou˧˧																	
鎖	sou2	sou˥˨																	
瑣	sou2	sou˥˨																	
鍋	ue1	ue˧˧	(白)																
過	kua1	kua˧˧	(白)蔬菜老了																
過	kua3	kua˨˩	(白)罪过																
過	kue3	kue˨˩	过着:染上， 罪过																
過	ko3	ko˨˩	(文)																
戈	ko1	ko˧˧																	
果	kue2	kue˥˨	(白)果仔kue2 tsi2:水果																
果	kou2	kou˥˨	(文)水果																
裹	kue2	kue˥˨	(白) 裹粽																
裹	kou2	kou˥˨	(文)																
科	khou1	kʰou˧˧																	
棵	kho1	kʰo˧˧																	
窠	kho1	kʰo˧˧	九峰长乐秀峰一些地方的窠有写作科: 如秀峰石圳科，老厝科， 长乐科子头，木棉科， 九峰甜笋科，老鸦科，担水窠.																
窠	khe1	kʰe˧˧	落骨橐窠lauʔ4 kut4 lop8 kʰe1:邋遢。  两山间深沟为窠																
窠	he1	he˧˧	落窟橐窠，同kʰe1																
窠	khuei1	kʰuei˧˧	地名:芦溪镇九曲村大窠(亦有写作大魁)， 秀峰乡龙船窠. 结合客语区的窠作科， 可以推测窠字分别转写作魁/科. 对比此字转写应该可作为平和西部客闽语分布区的判断条件之一																
課	khue3	kʰue˨˩	(白) 做功课:干活																
課	kho3	kʰo˨˩	(文)																
顆	kho1	kʰo˧˧																	
訛	go5	go˩˨																	
臥	ap4	ap˦˨	卧铺，卧倒																
火	hue2	hue˥˨																	
夥	hue2	hue˥˨																	
貨	hue3	hue˨˩																	
禾	hou5	hou˩˨																	
禾	ueh8	ueh˩˧	(白)割禾																
和	ho5	ho˩˨	(文) 讲和:讲平和本地闽南话																
和	hue5	hue˩˨	(白)相传平和之名来源于秀峰坪洄pɛ̃5 hue5，原名平河后雅化平和，因避嫌县名改为坪洄																
禍	hou7	hou˨˨																	
倭	ou1	ou˧˧																	
窩	o1	o˧˧																	
瘸	khue5	kʰue˩˨	瘸蹄:手有问题，常指笨手笨脚																
靴	hia1	hia˧˧	水靴																
巴	pa1	pa˧˧																	
疤	pa1	pa˧˧																	
疤	ba1	ba˧˧	疤仔																
疤	lan1	lan˧˧	(训) 结跉:生茧																
芭	pa1	pa˧˧																	
把	pɛ2	pɛ˥˨	(白)																
