#i				
p	[55]碑悲[24]皮脾枇琵[33]比畀{给}[13]被{被子。又pəi21}			
pʰ	[55]披			
m	[24]眉微[13]美尾			
f	[55]飞非妃[24]肥[33]匪[21]痱			
t	[55]啲{一～：一点儿}			
n	[55]□{个～：这些}[24]宜尼疑			
ɬ	[55]私丝司思[33]写[53]泻			
l	[24]离篱梨厘狸[33]□{ləp44ləp44～：萤火虫}[13]李里理鲤			
ts	[55]遮知蜘支枝肢姿资脂之芝[24]池驰瓷糍迟慈磁词祠辞持[33]只纸旨指止址[13]侍恃[53]借藉{～故}蔗[21]谢稚饲			
tsʰ	[33]此撕{训读，本字是“扯”}耻齿始[13]似			
s	[55]赊施尸诗[24]蛇匙时[33]屎[13]社是市巳[53]舍{宿～}□{～的棍：文明棍}			
k	[55]饥肌基机[24]奇骑祁期其棋旗祈[33]己几{～个}[13]企徛{站立}[21]技			
ŋ	[55]儿{狗～：小狗}[24]而[13]议耳[21]义二贰			
h	[55]欺嬉希稀[24]移姨[33]起喜岂[13]以[21]夜			
ø	[55]爷医衣依[33]椅[53]爷			
#u				
p	[24]婆脯菩葡浮[33]补			
pʰ	[55]铺[33]谱普			
m	[55]模{～子｜～范}摸[24]无[13]武舞母[21]墓			
f	[55]夫麸[24]符[33]府斧[13]妇			
t	[55]都{～城｜～是}[24]图徒涂途屠[33]堵赌[13]肚{肚子}			
tʰ	[33]土			
n	[33]努			
ɬ	[55]苏			
l	[24]卢芦炉[13]卤鲁			
ts	[55]租[33]组祖阻[21]助			
tsʰ	[55]粗初[33]础楚娶			
s	[55]梳疏[33]数{～钱。又sɔu53}			
k	[55]锅姑孤估[33]果古股鼓牯[53]过[24]瓠{～芦：葫芦儿}			
kʰ	[55]箍			
h	[55]科枯呼[24]禾和{～气}狐胡壶湖胡糊[33]火伙苦虎[13]户[53]课货[21]祸			
ø	[55]乌[53]涴{脏，邋遢}			
#y				
m	[53]□{厌烦：住～｜吃～}			
t	[24]砣{秤～：秤锤}			
ɬ	[55]须需须[33]锁			
l	[24]脶螺[13]吕旅累{连～．又lui13}			
ts	[55]猪诸株朱珠[24]徐除储厨殊橱[33]煮主[13]坐座柱[21]苎			
tsʰ	[55]蛆[33]取			
s	[55]书舒输[24]薯蜍{蟾～}[33]暑鼠			
k	[55]车居[33]举矩[13]距佢[53]据[21]具			
kʰ	[55]拘区驱			
ŋ	[24]如鱼渔愚[13]语			
h	[55]墟虚[24]余余[33]许[13]与{又hai53}雨[21]预喻裕			
ø	[55]淤于于			
#a				
p	[55]巴疤芭[24]琶杷爬钯[33]把[53]坝欛坝霸[21]罢			
pʰ	[53]怕			
m	[55]嫲{祖母}[24]麻[13]码马[21]骂			
t	[33]打			
tʰ	[55]他他它她			
n	[55]□{补～：补巴}□{粘贴}[24]拿□{pui24～：家婆}[33]哪[21]那			
l	[55]拉[33]□{收集，聚拢}[53]□{～喉：烟、酒等对喉咙刺激的感觉}			
ts	[55]渣楂揸抓[24]茶搽查{调～}[53]榨炸诈			
tsʰ	[55]杈叉差[53]岔			
s	[55]沙纱[33]洒耍			
k	[55]家加家嘉[33]贾假{真～。又ka53}[53]价驾架假{放～。又ka33}嫁[21]□{～肋：咯吱窝}			
kʰ	[55]□{～拉头：苤蓝}			
ŋ	[55]桠[24]衙牙芽雅			
h	[55]虾□{～人：欺负人}□{发～：喉咙干涩}[53]罅缝隙[21]下夏			
∅	[55]阿丫鸦亚[33]哑			
w	[55]花蛙[24]华[13]瓦[53]化[21]画话			
#ua				
k	[55]瓜[24]□{搲（伤）}[33]寡[53]挂卦			
kʰ	[55]夸[33]垮			
#e				
p	[53]□{～手儿：岔指儿}			
m	[55]孭{背负}[24]□{老～：老太婆}[21]□{～tse55：乳房}			
t	[55]爹			
ts	[55]□{me21～：乳房}□{狗～：男阴}[24]邪斜[33]姐者[53]这{～个月}			
tsʰ	[55]车[33]扯[53]笡			
s	[33]舍[21]射			
k	[24]茄[13]嘅{我～：我的}			
ŋ	[55]儿{侬～：小孩儿}[33]□{独～车：独轮车}			
j	[13]野			
#ø				
pʰ	[55]□{一～竹：一丛竹子}			
m	[21]□{～tsø33：急性}			
t	[55]□{疙瘩}[33]躲朵□{递}[13]舵			
n	[55]挼{搓}[21]糯□{～崽：小黄蚁}			
ɬ	[13]□{像}			
ts	[33]□{mø21～：急性}			
#ɔ				
p	[55]波菠玻[53]簸{～米。又pɔ21}播[21]薄簸{～箕。又pɔ53}□{～pet21炉：风箱}			
pʰ	[55]坡[53]破			
m	[55]摩魔摹无{喃～}[24]磨{～刀。又mɔ21}[53]卧[21]磨{石～。又mɔ24}			
t	[55]多[24]驮驼[21]舵惰			
tʰ	[55]拖搓[33]妥			
ɬ	[33]所			
l	[24]罗锣箩萝[33]□{买}			
ts	[33]左[13]锉[21]□{(房子)下陷}			
tsʰ	[55]搓[53]错			
s	[21]傻			
k	[55]哥歌[53]个个{～时：现在}			
kʰ	[33]可			
ŋ	[55]□{鼻～顶：鼻子尖儿}[24]俄鹅蛾[13]我[21]饿			
h	[24]何河荷[53]菏{薄～}[21]贺			
w	[33]□{～奶：小孩吐奶}			
∅	[55]屙			
#ai				
p	[24]排牌簰[33]摆[53]拜[21]稗败			
pʰ	[53]派			
m	[24]埋[13]买[21]卖迈			
t	[24]台抬苔[53]戴带[21]大贷待代袋			
tʰ	[55]胎[53]态太泰			
n	[13]奶[21]耐奈			
ɬ	[55]腮鳃□{夭折}[33]洗[53]细婿			
l	[24]来[13]濑{～尿：尿床}[21]赖			
ts	[55]灾斋[24]才材财裁豺[33]宰[13]在[53]再债			
tsʰ	[55]猜差{出～}钗搋{揉搓}[33]睬采彩踩[53]菜蔡			
s	[24]柴[53]赛晒[21]寨			
k	[55]阶皆楷佳街[33]解[53]介戒芥界疥届鎅{锯裁}解{押～}			
kʰ	[53]概慨			
ŋ	[24]挨			
h	[24]鞋[13]械蟹[53]与{给}			
w	[55]歪[24]怀淮槐[53]快[21]外坏			
j	[33]□{绳索搓绞得太松}			
∅	[55]挨[33]矮			
#uai				
k	[55]乖[33]拐[53]怪			
kʰ	[53]筷			
#əi				
p	[55]□{～脚佬：瘸子}[24]□{pɔŋ21～:蜻蜓}[53]蔽闭臂[21]币毙鐾婢{老～：女佣}被{～迫，又pi13}避备			
pʰ	[55]批[53]屁			
m	[55]劘{削}[24]迷[13]米[53]沕{潜水}[21]谜未味			
f	[53]废肺费[21]吠			
t	[55]低[24]堤啼提题蹄[33]底抵[13]弟[53]帝[21]递第地			
tʰ	[55]梯锑[33]体睇{看：～老婆}[53]剃涕替			
n	[24]泥[13]你{尔～个：那个}			
ɬ	[55]西[33]死[53]四肆			
l	[24]犁黎[13]礼[21]励例丽荔利吏			
ts	[55]剂[24]齐脐[33]挤紫子崽[53]际祭制济智致至置志[21]自字牸寺痔治			
tsʰ	[55]妻凄[53]砌刺次			
s	[55]筛师狮[33]史使驶[53]世试[21]誓豉示视士仕柿事			
k	[55]鸡[33]□{～处：这里}[53]计继髻寄记忌既季[21]偈{倾～：聊天}			
kʰ	[55]溪[33]启[53]契气			
ŋ	[55]□{缠磨，哀求}[24]危[13]蚁[21]艺毅伪			
h	[55]閪{女阴}[53]戏器汽[21]系易{容～}			
ȵ	[21]□{身上的泥垢}			
j	[24]□{能力差；质量次}			
w	[55]挥威[24]为{作～}维惟唯围[33]毁委伟[53]餧畏慰[21]卫惠慧为{～什么}位魏胃谓汇			
∅	[53]意异			
#uəi				
k	[55]龟归[24]葵[33]诡轨鬼[53]鳜桂贵癸[21]跪柜			
kʰ	[55]规			
#ɔi				
n	[13]女[21]内			
l	[21]滤虑			
ts	[53]著注注[21]序聚住驻			
tsʰ	[53]处{办事～}			
s	[21]竖树			
k	[55]该[33]改[53]锯句盖			
h	[55]开[33]海[13]亥[53]去[21]害			
ȵ	[21]艾□{蚯蚓}			
∅	[53]爱			
#ui				
p	[55]杯[24]陪培赔□{～na24：家婆}[53]贝背{又pui21}辈倍焙[21]背{～诵。又pui53}			
pʰ	[55]坯[53]配佩			
m	[24]梅媒煤[13]每[53]妹{使～：女佣。又mui21}[21]妹{又mui53}			
t	[55]堆[53]对碓[21]队兑			
tʰ	[55]推[33]腿[53]退蜕			
ɬ	[55]虽[33]尿[53]碎岁[21]隧			
l	[55]垒□{牛～：牛笼嘴}[24]雷擂[13]累{积～。又ly13}类[21]泪			
ts	[55]追锥[24]随锤[33]嘴[13]罪[53]最赘醉坠			
tsʰ	[55]崔催吹炊[53]脆翠			
ȵ	[13]乳蕊			
s	[55]衰[24]垂[33]水[53]税帅[21]睡			
h	[55]灰[24]回[33]悔[21]会{开～｜～冇～｜～计}绘			
ø	[55]煨□{～儿：水坑}			
#au				
p	[55]包雹{冰～}[24]铇刨[33]饱[53]豹			
pʰ	[55]抛泡{又pʰau53、pʰəu53}[33]跑[53]炮泡{又pʰau55、pʰəu53}			
m	[55]猫[24]茅矛[13]卯某冇{没有}[21]貌			
n	[24]□{很～：热闹}[21]闹			
ts	[33]找走酒[53]罩[21]棹			
tsʰ	[55]抄[33]吵炒[21]闹			
ȵ	[55]抓[33]爪			
s	[55]□{缩～：打退堂鼓}[53]潲			
k	[55]交郊[33]搞狡铰搅[53]教觉{又kʰek33}			
