	[1]阴平	[2]阳平	[3]阴上	[4]阳上	[5]阴去	[6]阳去	[7]阴入	[8]阳入
#i								
p	蓖屄		比鄙		毙闭庇秘泌			
pʰ	批披丕秕				屁			
b		皮脾琵枇坒肥{1，白，～缸}□{多用后不灵：骂～了}		被婢		避陛篦鐾{蹭，擦}币敝弊备{白，防～}		
m	眯咪	眉迷谜弥{文}		米		末{白}尾{文，又读}		
f	飞非妃		匪榧		废肺痱费翡			
v		维唯微肥{2，文}		尾{文}未{文}味{文}				
t	低		底抵		帝渧{滴落}			
tʰ	梯		体□{衬，添加衬里}體{细腻，软：～洁}		屉剃涕嚏替			
d		提题堤啼蹄		弟		递第地翟雉{～鸡}		
l		梨犁黎离璃厘狸		吕李里理鲤礼剺{划开}		丽例厉励{新读}利痢吏荔滤泪□{龇，咧：牙齿白～～}□{吃（含贬义）}屡{文}虑{文}漦{2}		
ts	知智支枝肢栀齑{～糟：烦恼}胝		纸姊止		际祭穄济制致至醉志置□{盛装：～饭}			
tsʰ	妻		鼠撕		觑{眯眼：近～（近视）}刺			
dz		迟持池脐		是痔治		箸苎滞稚		
s	西施尸尿犀□{摊放，使物什散乱：～了一地。铺设：～床}		洗髓玺		试细絮婿世势四肆			
z		齐徐时随		氏		自荠漦{1}		
tɕ	鸡机饥肌几{茶～}讥基笄{篦～}稽{新读}		己麂几{～个}		计系髻寄记纪继既㾵			
tɕʰ	溪欺		起企{文，新读，～业}		气汽器契			
dʑ		期奇骑旗鳍棋其祁		技妓		忌芪		
ȵ		泥倪尼疑宜{文}		拟议		仪义艺腻毅		
ɕ	嬉稀希牺		喜蟢		戏			
Ø	衣依医	移夷姨遗余{白}萸		以已	又□{量长短}意臆{编造}貤□{安上并使固定：～揿扣}	宜{白，便～}异勚{磨损}肄{文}易{新读，容～}咦		
#u								
p			补谱		布			
pʰ	铺潽{沸出，溢出}		浦普		埔捕			
b		□{聚集：苍蝇来～了}蒲菩荸		抱{白}脯辅		步埠孵部簿棒{～儿}曝{白，～热头（晒太阳取暖）}		
f	蜉{～眼儿：蚂蚁}夫肤敷俘		府虎{2}釜甫		斧付赋傅富			
v		扶芙浮符无{文}抚{文}		妇父{文}		附{又读}		
t	都		肚{猪～}赌堵□{指向某目标}		妒{新读}			
tʰ			土吐兔		吐{呕吐，渗出：～血}			
d		徒图涂屠堵		肚{～皮}杜		度镀□{倒掉}渡		
n						怒		
l	噜	炉卢芦庐		卤鸬鲁橹		路露鹭		
ts	租		祖组阻{新读}					
tsʰ	初粗		楚础		醋			
dz						助		
s	苏酥蔬疏{生～}				数{有～，～字}素诉塑			
k	姑咕孤		古估牯股鼓蛊蛄臌{半日～儿：疟疾}斛毂		故固雇顾			
kʰ	箍枯		苦		库裤			
g		跍{蹲下}		汩		咕		
x	呼{吸}		虎{1}浒		戽{～水}			
Ø	乌污乎{白，在～}	胡湖蝴狐壶吴{文}梧巫	坞	户伍武侮鹉污{～泥}	捂焐烀□{落～：妥当}□{废弃，荒废}	互{相～}护误务雾附腐{豆～}		
#y								
tɕ	朱珠株蛛车居{～民}归{白}		举□{指示，指向某目标}主矩嘴鬼诡		拄疰嗉贵{白}龟			
tɕʰ	区吹		取娶		去{去掉}			
dʑ		除渠厨衢橱瞿储锤杵		巨距柱柜{白}跪		住		
ȵ		愚虞娱渔		女喁{呼猪声}语{～儿：谜语}		蕊{～儿：花蕾}		
ɕ	书舒输须{不决～：并非一定要……}需虚{文}		水数许{文}暑		税{白，～扣：盈利，赚头}贳{租赁}墅			
ʑ		如垂		序叙竖聚绪乳		树聚		
Ø	椅盂于迂	如余俞围{2，～裙}		雨		羽{新读，～绒}		
#ɿ								
ts	资脂{～油}芝缁{黑～～}滋咨姿之		紫旨子指{文，新读，～示}					
tsʰ	雌		齿此		次翅{新读}			
dz						吱{拟声词}鲻□{油～～}		
s	丝司师蛳筛狮私		史死驶{文，新读，驾～}					
