ɯ
p[1]菠玻[3]簸{动词：~一下}[5]簸{~箕}[6]棒{~~：玉米杆}
pʰ[1]波坡[2]婆庞{~家岭：地名}[3]□{形容词，不顾后果：~上了}[5]破
m[2]魔磨{动词：~刀摩}馒忙膜[6]磨{名词，磨面的器械}
f[1]方{形容词：~的}[2]房{~子}防{~住}[5]放{~好}
v[6]忘望
t[1]多裆[5]挡{~住}
tʰ[1]拖汤托[2]驮{~起来}舵□{形容词，厚而细的土：~土}[6]大{形容词：很~}驮{~子}[0]驼{骆~}
n[2]挪[6]糯
l[2]罗锣箩萝骡螺狼[6]摞骆[0]□{拨~：用手把散在平面上的东西拨开}
ts[1]张{~开}[3]长{动词：~大}涨[5]左佐昨[0]掌
tsʰ[1]梭苍{~蝇}[2]长{形容词：~短}肠场[5]错唱[6]丈{~人}[0]着{睡~}
s[1]桑墒[2]尝[6]上{动词：~山}[0]裳{衣~}晌{前~}
z[2]瓤攘
k[1]歌[2]哥[5]个{~人}
kʰ[1]糠康{~和：地名}[3]康{病好了：~了}可[5]炕□{动词：用鏊子烙烤}
ŋ[1]屙[2]蛾鹅饿讹[3]我[6]饿恶鳄
x[2]河何荷{~花}[3]荷{动词：拿上东西}[6]贺喝{~彩}鹤巷{~子}
Ø[3]阿{~胶}

i
p[1]冰[3]屄
pʰ[2]瓶平坪[6]病
m[2]名明[6]命
t[1]街钉{名词：~子}[3]解{~开}[5]芥疥钉{动词：~住}界
tʰ[1]听[3]躺[6]凝{汤~住了}
n[2]娘{名词，奶奶：~~}[3]你影
l[2]凉粮铃[3]两{数词：~个}领{~子}[6]厉晾[5]□{一种野草：mɑɔ21kʌʔ3~草}[0]璃{玻~}篱{笊~}岭{要家~：地名}两{重量单位：一~}□{kʌʔ3~：一种像松鼠一类的小动物}
tɕ[1]街惊精阶缰[2]姐[3]解{讲~}[5]借戒虹镜介界酱[6]械井[0]菁{土豆：山蔓~}
tɕʰ[1]清轻青呛□{名词，人粪便：茅~}[2]墙强晴[3]且抢[6]净静[0]匠{木~}
ɕ[1]香星厢箱[2]邪[3]响想写[5]醒[6]谢懈泄像[0]婿{女~}
ŋ[0]应{答~}
Ø[2]羊阳扬{动词：~场}蝇赢[3]野{~蛮}养{动词：~活}冶[6]钥{~匙}液样{鞋~子}

u
t[1]□{圪~：玉米棒心}[3]躲[5]剁[0]朵
tʰ[2]坨{动词，面条粘连成一块：面~啦}[3]妥椭[5]唾吐[6]□{量词，一摞：一~子}
ts[1]庄装
tsʰ[1]搓锉{~子}疮窗[2]藏[6]坐座
s[1]舒霜双[2]床{名词，长凳}[3]锁琐晌{~午}□{红~：彩色的软的可写字的石头}[6]竖
z[2]如
k[1]锅光[3]戈果裹[5]过
kʰ[1]科棵[2]颗[5]课阔骒
x[1]呼[2]和{~气}湖狐壶瓠{~芦}须黄[3]火虎浒伙[5]货[6]祸瓠{~儿}户互护
Ø[1]蜈{~蚣}乌污窝屋[2]吴梧[3]五伍午[6]卧误悟恶{~心}戊[0]沃{曲~：地名}

y
n[2]鱼渔[3]羽女语雨
l[2]驴[3]屡履吕旅垒[6]虑滤泪律率{速~}
tɕ[1]居车{~马炮}拘驹[3]嘴举[5]巨拒距矩句醉剧据锯惧[6]聚
tɕʰ[1]蛆区驱椿趋[2]渠瞿[3]取娶[5]去{~皮}□{活~~：扣，节}[6]具[0]俱{~全}
ɕ[1]虚嘘须须{胡~}需[2]徐许[5]岁[6]序叙绪絮穗
Ø[1]淤[2]於余迂于{~是}盂榆愉娱[3]与宇禹[5]喂予{动词，给予。~了他}[6]御誉预像遇寓吁[0]于{等~}喻

ɿ
p[3]彼比秕[6]蔽蓖敝弊币毙陛[5]碧闭箅{~子}[0]备{准~}
pʰ[1]批披琵{~琶}[2]皮疲脾啤[3]劈[5]屁[6]备{~课}僻辟被{~子}避庇痹
m[2]迷谜縻弥眉[3]米[6]觅泌□{~tɕʰy：木橛子}
t[1]低鸡[3]底抵[5]帝继过{~}
tʰ[1]梯[2]堤题提{~拔}蹄啼[3]体[5]契剔剃替[6]地弟弟递[0]屉{笼~}
n[1]医衣[2]泥倪尼[6]腻匿
l[2]狸{~猫}犁黎离{~别}梨厘[3]礼李里理鲤[6]例励丽隶利吏栗劙{动词，分开：~开}
ts[1]知蜘支枝肢资姿咨脂饥肌兹滋之芝基几{~乎}机[3]挤紫纸姊旨指子梓止址几{~个}[5]祭际济滞制製继智寄致稚至冀置痔治志誌痣纪记忌既季炙迹{古~}计[0]几{茶~}刺{圪~}
tsʰ[1]妻差{参~}欺期痴□{形容词尾，加强形象感：黄~的}[2]齐脐雌池驰奇{形容词：~怪}骑岐瓷迟慈磁辞词祠持其棋旗[3]启此耻齿起杞岂乞[5]去{~哪里}砌刺{动词，~杀}赐翅次器弃伺气汽企[6]技自字治剂{一~药}[0]己{自~}
s[1]西犀溪斯牺私师狮尸司丝思饲诗希稀[2]徙匙时[3]洗死屎使史驶始喜[5]细世四肆势试誓逝[6]系{联~}是氏视似巳寺士仕柿事市侍饰[0]施{实~}示{表~}
ŋ[3]椅[0]宜{便~}
Ø[1]伊依揖[2]仪宜{~宾}谊移姨疑遗[3]己以尾[5]意忆亿[6]艺义议易异毅逸翼益译{~文}易液[0]蚁

v
p[3]补捕堡卜{~占}[5]布佈怖哺{动词：喂饭}
pʰ[1]铺{动词：~设}扑{~克}[2]蒲菩仆樸[3]普谱浦朴圃[5]铺{名词：~子}[6]部簿步孵菢瀑[0]脯{胸~}卜{萝~}
m[2]模摹[3]亩牡母[6]暮慕墓募幕牧
f[1]疏{~通}书夫肤敷麸芙枢输{动词：~了钱}妇辐[2]扶谁浮俘[3]暑鼠署府俯甫赋符腐辅水[5]付傅腑赴附富副负[6]父树睡[0]薯{红~}黍{tʰɑɔ53~：玉米}
t[1]都{~城}督[3]堵赌[6]度杜{杜鹃花}
tʰ[2]徒屠途涂图[3]土[5]吐{动词：~出来}兔[6]肚杜{姓}镀渡
ts[1]猪诛蛛株朱珠[3]煮拄主[5]著诸注祝□{动词，把扣子缝到衣服上：~上扣子}[6]驻註住
tsʰ[1]输{动词：~了钱}吹[2]除厨殊锤{动词，用拳头打人的动作：~了一拳}[3]储锤{名词：~子}处{动词：相~}[6]处{名词：~所}柱住铸[0]锥{环~：纳鞋底用的锥子}帚{扫~}
k[1]姑箍孤[3]古估股鼓{动词：~动}□{成年~月：成年累月}[5]故固雇顾[6]鼓{锣~}
kʰ[1]枯[3]苦[5]库裤酷
Ø[2]如无[3]武鹉儒乳擩女[6]抚巫诬舞侮务雾

ɚ
Ø[2]儿而[3]耳饵[6]二贰

ɿ
p[1]百柏伯掰
pʰ[1]迫拍□{~说：聊天}[6]片{量词，一~}
m[1]麦脉
f[1]说[0]诉{~苦}[6]仿{写~}□{拟声词，身体突感疼痛时的喊叫声}
t[6]秸滴{量词：一~}
tʰ[6]□{布~~：衣兜}
l[1]□{pʌʔ3~：玉米棒子芯}[6]列{~宁}
ts[1]者折{动词，~叠}哲蜇则窄摘责[5]这[6]浙折{量词，一~}[0]褶{圪~}
tsʰ[1]撤侧测拆策册
s[1]腮摄涉涩虱色[6]设射麝赦騇佘社
z[1]热[6]碾
ɕ[6]歇
k[1]革隔[5]盖{~~：小盖子}
kʰ[6]客
x[6]杏赫
tɕ[6]秸截{量词，一~}
tɕʰ[2]钱
Ø[1]叶[5]燕{~子}沿{帽~：帽子边缘部分}[6]页[0]爷{姥~}

yɪ
s[1]摔
tɕ[1]决{~定}
tɕʰ[1]缺[5]圈{名词：牛~}[0]□{木橛子：mɿ53~}
ɕ[1]靴雪血
k[1]掴{扇了一~}
kʰ[6]块{量词：一~砖}
x[5]或获
Ø[1]阅月{~亮}约越{~南}岳[2]□{名词，院中用栅栏围起种菜的地方}[6]粤

o
p[1]钵博[6]树
f[1]叔
tʰ[2]桃[6]道{一~：量词}[0]犊{牛~}
m[2]猫
l[1]落乐{欢~}鹿禄录[6]洛
ts[6]作{~业}枣朝{明~：明天}
tsʰ[1]错{~误}
s[1]索
k[0]羔{羊~}
x[5]核{水果中的硬核：~}
ŋ[6]袄
s[3]嫂

io
m[2]苗[6]庙
t[1]角{牛~：动物头上的角}[5]窖觉{睡~}[0]椒{辣~：辣椒。}
tʰ[2]条{量词：一~：形容细短状物的样子}
l[1]掠[0]猎{打~}略{侵~}
tɕ[1]诀{口~}脚觉{~悟}角{~度}
tɕʰ[1]确[3]雀[0]鹊{喜~}
ɕ[5]学[6]□{~娃：麻雀}[0]香{~：地名}宿{星~}
n[1]虐[0]业{作~}
Ø[1]约药乐{音~}

a
p[1]巴疤爸八[3]把{~握}[5]霸壩坝
pʰ[2]钯{~子}爬[5]怕[6]耙{~地}罢[0]琶
