音標	調類	調值				
tsɿ	1	22	支之枝芝知資滋孜肢梔咨姿			
tsɿ	3	42	只止趾紙指脂梓址子紫籽			
tsɿ	5	24	志至制製智置做-致			
tsɿ	7	45	只=幟=織=			
zɿ	1	22	嗤蚩癡初-粗-雌			
zɿ	2	21	持遲池馳鋤-瓷祠詞辭			
zɿ	3	42	恥齒此侈			
zɿ	5	24	次茨刺醋-			
zɿ	6	44	自字治寺			
zɿ	7	45	赤直值殖尺=			
sɿ	1	22	思私斯絲詩師獅厮司屍施			
sɿ	2	21	時匙			
sɿ	3	42	死史矢始使駛屎			
sɿ	5	24	四世式試轼勢			
sɿ	6	44	似是逝事示侍士			
i	1	22	衣依醫銥			
i	2	21	移遺姨夷貽頤咦怡飴			
i	3	42	以已矣倚椅伊（渠）苡			
i	5	24	億憶意噫伊			
i	6	44	異易			
i	7	45	抑逸翼益譯驛繹溢揖乙一亦液腋疫役			
pi	1	22	悲卑碑婢蓖痹			
pi	3	42	比彼妣匕			
pi	5	24	背輩閉蔽			
pi	7	45	貝必筆畢臂碧壁璧逼			
pʱi	1	22	披批坯			
pʱi	2	21	皮疲賠培陪陂			
pʱi	3	42	丕呸痞鄙			
pʱi	5	24	屁配沛佩匹			
pʱi	6	44	被背備倍避弊			
pʱi	7	45	鼻弼辟闢			
mi	2	21	彌霉黴眉楣煤枚梅媒			
mi	3	42	米每美鎂尾-			
mi	5	24	眯-			
mi	6	44	妹魅謎媚			
mi	7	45	泌密秘蜜			
fi	1	22	非飛啡菲灰輝揮晖虚徽			
fi	2	21	肥回誰蛔			
fi	3	42	水許悔毁匪賄（膜老國音也，非陽上也）晦			
fi	5	24	費廢誨穢痱肺税			
fi	6	44	吠會匯彙惠慧睡瑞			
pa	1	22	班斑扳			
pa	3	42	擺跛板版			
pa	5	24	拜扮			
pa	7	45	八不			
pɔ	1	22	褒包胞			
pɔ	3	42	保堡寶飽			
pɔ	5	24	報鮑豹爆			
pin	1	22	彬賓檳冰兵			
pin	3	42	禀丙秉柄餅			
pin	5	24	殯鬢併			
piaŋ	3	42	柄-餅-			
piɛ	1	22	鞭編邊（～弦：邊）			
piɛ	3	42	貶蝙扁匾			
piɛ	5	24	變			
piɛ	7	45	屄别鼈憋北			
piɑ	7	45	壁-			
piɔ	1	22	臕標彪			
piɔ	3	42	表錶			
pu	3	42	補			
pu	5	24	布			
paŋ	1	22	幫邦巴（或為「尾～儿」，mi paŋ）			
paŋ	3	42	榜綁			
paŋ	5	24	謗棒			
pən	1	22	奔錛崩			
pən	3	42	本			
pən	5	24	逩迸			
pɤ	1	22	頒般搬			
pɤ	5	24	半			
pɤ	7	45	鉢撥			
pɑ	1	22	巴（尾～，vi pɑ）芭疤			
pɑ	3	42	把㞎			
pɑ	5	24	霸欛壩垻			
pɑ	7	45	爸百柏伯			
po	1	22	波菠玻			
po	3	42	簸（顛~）跛			
po	5	24	簸			
po	7	45	博剝駁			
pʱa	1	22	扳攀			
pʱa	2	21	排牌簰			
pʱa	5	24	派盼襻			
pʱa	6	44	稗敗辦絆（~跤）			
pʱa	7	45	拔			
pʱɔ	1	22	泡抛			
pʱɔ	2	21	袍刨麅			
pʱɔ	3	42	跑			
pʱɔ	5	24	炮砲泡			
pʱɔ	6	44	抱暴菢鉋			
pʱin	1	22	姘拼			
pʱin	2	21	貧頻憑平評萍蘋瓶屏			
pʱin	3	42	品			
pʱin	5	24	聘牝			
pʱin	6	44	並			
pʱiaŋ	1	22	拼-			
pʱiaŋ	2	21	平-坪-瓶-屏-萍-			
pʱiaŋ	6	44	病-			
pʱiɛ	1	22	偏翩篇			
pʱiɛ	2	21	便			
pʱiɛ	5	24	騙片遍			
pʱiɛ	6	44	辨辯汴便辮			
pʱiɛ	7	45	别撇			
pʱiɑ	7	45	劈-			
pʱiɔ	1	22	飄漂（～流）			
pʱiɔ	2	21	嫖瓢（～鉤：湯匙）剽			
pʱiɔ	3	42	漂（～白）剖			
pʱiɔ	5	24	票漂（～亮）			
pʱu	1	22	鋪			
pʱu	2	21	蒲菩荸鬻脯			
pʱu	3	42	譜普浦捕			
pʱu	5	24	鋪			
pʱu	6	44	簿步部埠			
pʱu	7	45	樸朴卜撲仆僕曝（存疑，～閃：閃電）瀑			
pʱaŋ	1	22	滂乓烹-			
pʱaŋ	2	21	旁龐肨螃鳑徬膀彭-膨-			
pʱaŋ	5	24	胖			
pʱaŋ	6	44	傍蚌			
pʱən	1	22	噴烹			
pʱən	2	21	盆湓彭澎盆朋棚蓬			
pʱən	3	42	捧			
pʱən	5	24	噴			
pʱən	6	44	笨			
pʱɤ	1	22	潘			
pʱɤ	2	21	盤蟠			
pʱɤ	5	24	判叛畔泮			
pʱɤ	6	44	拌伴絆（羈~）			
pʱɤ	7	45	潑勃𡋯餑			
pʱɑ	2	21	爬扒			
pʱɑ	5	24	怕			
pʱɑ	6	44	罷			
pʱɑ	7	45	拍（飛～吶：蛾子）白（～果：银杏）迫（逼~）			
pʱo	1	22	頗坡			
pʱo	2	21	婆			
pʱo	5	24	破			
pʱo	7	45	薄泊雹			
m̩	3	42	姆（～媽）			
ma	2	21	埋蠻鰻			
ma	3	42	買			
ma	6	44	賣邁慢蔓			
mɔ	2	21	毛茅矛錨			
mɔ	3	42	卯			
mɔ	6	44	冒帽貌冇			
min	2	21	民明名鳴銘			
min	3	42	閩憫敏抿皿			
min	6	44	命			
miaŋ	2	21	明-名-			
miaŋ	6	44	命-（革～）			
miu	6	44	謬			
miɛ	2	21	綿棉眠			
miɛ	3	42	免勉娩緬澠			
miɛ	6	44	面麵			
miɛ	7	45	滅篾搣（又讀，撕開）墨陌（～生）			
miɔ	1	22	貓			
miɔ	2	21	苗描謀眸			
miɔ	3	42	藐渺秒某畝牡			
miɔ	6	44	廟妙茂貿謬			
maŋ	2	21	忙芒茫芒盲			
mən	2	21	門萌盟蒙			
mən	3	42	猛懵蠓			
mən	6	44	悶孟夢			
mɤ	2	21	瞞			
mɤ	3	42	滿			
mɤ	6	44	漫幔			
mɤ	7	45	末沫抹			
mɑ	1	22	媽			
mɑ	2	21	麻痲蟆			
mɑ	3	42	馬碼			
mɑ	6	44	罵			
mɑ	7	45	麥脈			
mo	1	22	摸饃			
mo	2	21	魔磨摩模模摹膜			
mo	3	42	母拇麼（～時際：甚麼時候；～地方，甚麼地方）			
mo	6	44	磨暮慕墓募			
mo	7	45	莫幕寞摸木目穆牧			
fa	1	22	翻藩翻番藩			
fa	2	21	懷槐淮凡帆環煩礬繁藩			
fa	3	42	反			
fa	5	24	泛販			
fa	6	44	壞犯飯			
fa	7	45	法乏髮發伐筏罰			
fin	1	22	熏勳薰			
fin	5	24	訓			
fiaŋ	1	22	兄-			
fiu	2	21	浮			
fiu	3	42	否			
fiɛ	1	22	靴軒			
fiɛ	2	21	玄懸			
fiɛ	7	45	血穴或惑獲			
fu	1	22	呼乎夫膚跗敷俘孵麩			
fu	2	21	胡湖蝴狐壺瓠鬍符扶芙泭（～水：游泳）□（或為「泭」，～水：游泳）			
fu	3	42	虎滸府腑俯甫脯斧撫釜腐輔			
fu	5	24	付賦傅赴訃附阜富副復戽			
fu	6	44	户滬互護瓠（～子：瓠瓜）父婦負			
fu	7	45	斛福幅蝠複腹覆服伏栿袱復			
faŋ	1	22	荒慌方芳			
faŋ	2	21	黃簧皇蝗肪妨房防橫-			
faŋ	3	42	謊晃倣紡仿彷訪			
faŋ	5	24	放			
fən	1	22	昏婚分芬紛葷轟揈風楓瘋豐封峯蜂鋒			
fən	2	21	魂餛渾焚墳弘宏紅洪鴻虹（文，彩～）馮逢縫			
fən	3	42	粉烘哄諷			
fən	5	24	忿糞奮俸縫			
fən	6	44	混憤份閧鳳奉			
fɤ	1	22	歡			
fɤ	2	21	桓			
fɤ	5	24	唤			
fɤ	6	44	緩焕幻患宦			
fɤ	7	45	佛			
fɑ	1	22	花			
fɑ	2	21	華鏵划（～水：游泳）			
fɑ	5	24	化			
fɑ	6	44	畫話劃			
fɑ	7	45	滑			
vi	1	22	區驅煨炊虧窺危微威淤			
vi	2	21	渠（~道）余餘瞿逾回垂為槌錘逵葵維惟唯違圍於于愉危			
vi	3	42	雨跪（新派音）偽萎委偉葦與宇禹羽尾（～巴，vi pɑ）			
vi	5	24	潰餧愧畏慰蕊			
vi	6	44	巨距拒炬具懼 櫃 預芋御禦譽愈喻裕 衛魏為位未味緯胃 銳芮睿			
vi	7	45	玉獄熨			
vin	2	21	勻裙雲羣云			
vin	5	24	韻			
vin	6	44	運熨暈孕			
viɛ	1	22	圈（老派yɛ）冤（老派yɛ）			
viɛ	2	21	茄（老派yɛ）權（老派yɛ）圓（老派yɛ）原（老派yɛ）園（老派yɛ）員（老派yɛ）緣（老派yɛ）沿（老派yɛ）元（老派yɛ）源（老派yɛ）袁（老派yɛ）轅（老派yɛ）援（老派yɛ）丸（老派yɛ）拳（老派yɛ）顴（老派yɛ）			
viɛ	3	42	跪（老派yɛ）犬（老派yɛ）遠（老派yɛ）阮（老派yɛ）抈（老派yɛ，折彎，折斷）			
viɛ	5	24	勸（老派yɛ）券（老派yɛ）怨			
viɛ	6	44	圈（老派yɛ）院（老派yɛ）苑（老派yɛ）願（老派yɛ）			
viɛ	7	45	越（老派viɛ）粵（老派viɛ）悅（老派viɛ）曰（老派viɛ）缺（老派yɛ）闕（老派yɛ）			
viɑ	3	42	噦（干吐）			
viɑ	7	45	噦（訓讀，大聲呵斥，高聲叫喊）□（大聲呵斥，高聲叫喊）			
ta	1	22	獃耽擔丹單			
ta	3	42	膽撣			
ta	5	24	戴带擔旦			
ta	7	45	答搭撘（存疑，～了一跤）□（或為「撘」，～了一跤）			
tɔ	1	22	刀叨朝招			
tɔ	3	42	禱島倒			
tɔ	5	24	到倒照詔			
ti	1	22	低堤堆			
ti	3	42	底抵			
ti	5	24	帝對碓隊兑			
ti	7	45	狄（新派音）荻（新派音）滴			
tin	1	22	釘砧			
tin	3	42	頂鼎			
tin	5	24	釘			
tiaŋ	1	22	丁釘靪疔			
tiaŋ	5	24	釘訂			
tiu	1	22	丟			
tiɛ	1	22	掂顛登燈			
tiɛ	3	42	點典等			
tiɛ	5	24	店凳鐙			
tiɛ	7	45	跌德得（行～：可以；不得：不可以）			
tiɑ	1	22	爹（大～：爺爺；細～：奶奶）			
tiɔ	1	22	雕刁			
tiɔ	3	42	抖鳥斗陡			
tiɔ	5	24	釣			
taŋ	1	22	當張章			
taŋ	3	42	整-（~病）黨擋長漲掌			
taŋ	5	24	當脹障瘴			
tən	1	22	針斟珍眞敦墩蹲蒸征東冬中忠鐘鍾盅正			
tən	3	42	拯枕枕診疹準准董懂冢種腫			
tən	5	24	振盾頓扽鈍遁盾證症凍棟中眾種正鎮			
tɐu	1	22	都豬諸誅蛛株朱硃珠周舟州洲			
tɐu	3	42	堵賭肚煑拄主矩肘帚			
tɐu	5	24	妬註注蛀鑄晝（上～：上午；下～：下午；～時/～邊：中午）咒			
tɐu	7	45	篤督竹祝粥燭囑築㞘（末尾）			
tɤ	1	22	沾粘占專磚端			
tɤ	3	42	展輾短轉			
tɤ	5	24	佔戰轉凼（水～：水坑）氹（水～：水坑）			
tɤ	7	45	折汁執織職質摺褶浙揭掇			
tɑ	1	22	遮			
tɑ	3	42	打			
tɑ	5	24	蔗			
tɑ	7	45	蟄（驚～）			
to	1	22	多			
to	3	42	朶躱			
to	5	24	刴			
to	7	45	着酌			
da/la	1	22	胎坍灘攤			
da/la	2	21	臺苔抬談痰檀壇彈			
da/la	3	42	奤毯坦			
da/la	5	24	態太泰炭碳嘆			
da/la	6	44	大袋待代淡誕但彈蛋			
da/la	7	45	踏搨沓塔榻塌溻達			
dɔ/lɔ	1	22	滔掏濤超㪕			
dɔ/lɔ	2	21	桃逃淘陶萄潮朝饒			
dɔ/lɔ	3	42	討繞			
dɔ/lɔ	5	24	套導			
dɔ/lɔ	6	44	道盜稻			
li/di	1	22	梯推			
li/di	2	21	題蹄啼犁黎雷離籬璃離梨釐狸			
li/di	3	42	呂稆旅縷屢體禮腿儡履李里裏理鯉累壘			
li/di	5	24	替剃退蜕			
li/di	6	44	慮濾弟屉第遞例厲勵麗隸地利痢莉吏累類淚酹			
li/di	7	45	立栗率（概～）律曆力笛荔笠粒踢狄驢			
lin/din	1	22	廳聽（一～可樂）汀			
lin/din	2	21	林淋琳霖臨鄰鱗燐陵菱亭停廷庭蜓鈴伶翎			
lin/din	3	42	領檩艇挺			
lin/din	5	24	聽			
lin/din	6	44	定吝凌令錠另			
liaŋ/diaŋ	1	22	聽-廳-			
liaŋ/diaŋ	2	21	靈-零-良涼量糧梁粱			
liaŋ/diaŋ	3	42	領-嶺-兩			
liaŋ/diaŋ	5	24	聽-（～話）			
liaŋ/diaŋ	6	44	定-亮諒輛量			
liu/diu	2	21	流劉留榴硫琉餾			
liu/diu	3	42	柳			
liu/diu	6	44	溜			
liu/diu	7	45	六綠-			
liɛ/diɛ	1	22	添天（～光：天亮）吞			
liɛ/diɛ	2	21	廉鐮簾甜連蓮聯田塡憐蓮騰謄藤			
liɛ/diɛ	3	42	斂臉舔腆			
liɛ/diɛ	5	24	掭			
liɛ/diɛ	6	44	殮電殿奠佃垫練鍊戀鄧			
liɛ/diɛ	7	45	貼鐵忒特碟列獵帖疊牒蝶諜烈裂劣			
liɑ/diɑ	2	21	提			
liɑ/diɑ	7	45	踢-苶（存疑，累）			
liɔ/diɔ	1	22	偷挑			
liɔ/diɔ	2	21	條樓頭投骰			
liɔ/diɔ	3	42	瞭（～解）了（～結）			
liɔ/diɔ	5	24	透			
liɔ/diɔ	6	44	料豆			
daŋ/laŋ	1	22	湯昌菖（～節：端午節）			
daŋ/laŋ	2	21	堂棠螳唐糖塘長腸場程-			
daŋ/laŋ	3	42	倘躺廠			
daŋ/laŋ	5	24	燙趟暢唱			
daŋ/laŋ	6	44	讓蕩宕丈仗杖鄭-			
dən/lən	1	22	春通充沖稱衝舂			
dən/lən	2	21	程人仁城銅蟲沉陳塵屯豚飩臀囤澄懲橙同桐筒童瞳重丞			
