e
p[2]憋别
pʰ[2]撇
m[2]灭篾抿
t[1]爹[2]跌跌迭牒碟蝶谍
tʰ[2]贴铁帖
n[2]捏聂孽镊业
l[2]列劣烈裂猎
ts[2]折
s[1]些[2]舌蛇涉设斜[3]舍写[5]佘舍社射赦
tɕ[1]遮[2]接疖捷节截蜇折哲辙褶浙[3]姐者[5]借射泻蔗
tɕʰ[1]车[2]彻撤切妾[3]扯且[5]翅
ɕ[1]奢赊[2]摄邪[5]泄谢[5]卸
k[2]揭劫杰结竭洁决诀厥蕨瘸
kʰ[2]茄怯

ie
tɕ[1]尖煎笺歼[3]剪践[5]箭贱饯溅
tɕʰ[1]千迁签[2]前钱[3]浅[5]渐
ɕ[1]掀[2]嫌歇协挟胁谐穴[3]险
c[5]荐
ç[2]闲贤[5]苋现
Ǿ[1]烟淹焉腌阉噎耶曰[2]然燃热涎延言炎檐顔盐爷页叶悦[3]冉染惹掩眼演也野[5]咽筵宴晏晏堰焰砚雁厌燕谚夜液腋

i
p[2]逼鼻笔必毕碧壁璧[3]比彼鄙[5]备庇陛敝闭痹币弊箅蔽滗篦避毙臂
pʰ[1]蓖批披[2]婢辟劈皮枇疲琵脾匹癖僻譬[3]痞[5]屁
m[2]眉楣媚迷弥密蜜[3]靡米[5]谜秘觅
t[1]低[2]的滴狄笛嫡敌[3]底抵蒂[5]地弟帝第递
tʰ[1]梯[2]堤踢啼提蹄题屉[3]剔体[5]剃涕替
n[2]尼泥倪匿溺凝宜疑[3]你拟[5]逆腻
l[2]梨璃黎离篱力立栗笠粒历粟[3]李里理里礼鲤[5]吏利例荔痢厉励隶丽
tɕ[1]之支芝枝知肢蜘只滋[2]持迟赤迹积绩即疾集辑籍脊鲫齐脐识媳蛰织侄直值执植殖职秩置质掷[3]挤脂止只旨址指纸趾[5]祭际剂藉隙至志制治致智痣稚滞
tɕʰ[1]妻[2]吃嗤池驰尺斥七戚漆膝汁[3]侈耻齿[5]砌
ɕ[1]尸施诗西犀稀豨嬉牺[2]匙失湿十什石拾食时实蚀室饰适释夕昔析息悉惜熄锡席习袭徙[3]史矢使始屎驶洗[5]豉氏世市示式拭是柿逝视势嗜试誓细戏
ȵ[3]蚁
c[1]肌飢基箕稽机讥饥[2]激及急级极髻藉讫吸[3]屐几己几虮纪杞[5]妓忌技季既计记寂寄冀济继企器系楔
cʰ[1]欺[2]击吉棘期岐其奇祈棋旗骑乞倚[3]岂起啓[5]汽泣契契气
ç[1]兮希奚熙[3]喜
kʰ[2]乞
Ǿ[1]栖溪玺衣依医[2]日一[3]伊[2]揖夷姨移遗乙抑益逸肄谊译域[3]已以椅[5]亦易意义亿忆缢翼艺议

o
p[1]波玻菠[2]剥拨博驳薄薄[3]跛簸[5]播
pʰ[1]坡颇[2]泊薄薄泼婆[5]破剖
m[1]摸摹模魔[2]模膜末沫陌莫寞[5]磨抹
t[1]多[2]夺[3]朵[5]剁舵惰
tʰ[1]拖[2]铎托脱陀驮驼唾[3]妥椭
n[1]肉[2]诺[3]挪[5]糯
l[2]乐脶螺罗骡萝箩锣落骆[3]裸瘰[5]摞
ts[2]芍凿卓拙捉桌酌啄着着琢镯昨作[3]左佐[5]坐座
tsʰ[1]搓[2]戳绰撮[5]措锉错
s[1]唆梭蓑[2]朔索[3]所琐锁
k[1]戈哥歌锅[2]胳割搁鸽葛各郭国角[3]果裹[5]个过
kʰ[1]科[2]阁磕渴廓扩阔壳确[3]棵窠颗可[5]课
ŋ[2]俄讹蛾鹅斡[3]我[5]饿卧
