tsɿ[1]资姿恣咨谘兹滋孳辎锱孜
tsɿ[3]子紫姊籽秭滓梓仔{～细}
tsɿ[5]字巳自寺炙
tsʰɿ[1]雌疵痴
tsʰɿ[2]词祠饲嗣辞瓷茨糍磁慈鹚
tsʰɿ[3]此
tsʰɿ[5]次刺赐伺
sɿ[1]思丝私司斯撕嘶蛳师狮
sɿ[3]死
sɿ[5]四驷肆事士仕祀似
pi[1]蓖{～麻}
pi[2]笔必毕壁碧逼鼻璧弼
pi[3]比妣彼
pi[5]币闭避臂弊敝蔽篦毙毖陛被备痹滗{～茶}鐾{～刀布}
pʰi[1]批砒披
pʰi[2]皮疲脾啤枇琵劈霹匹辟{复～}闢{开～}
pʰi[3]丕痞鄙匕庇
pʰi[5]屁譬
mi[1]眯咪
mi[2]迷弥猕眉楣媚蜜密
mi[3]米靡糜
mi[5]谜泌秘
ti[1]低的{我～}
ti[2]敌滴嫡嘀笛狄荻涤的{目～}
ti[3]底抵诋柢
ti[5]地第弟递帝缔蒂谛隶
tʰi[1]梯锑
tʰi[2]提题堤蹄啼屉踢剔惕
tʰi[3]体
tʰi[5]嚏涕剃
ni[2]泥尼妮霓溺匿逆宜谊
ni[3]你
ni[5]腻
li[1]□{禽类梳理羽毛}
li[2]离篱漓璃黎梨犁厘狸哩骊栗力历沥立粒笠
li[3]里理鲤娌李礼
li[5]利例莉俐痢丽厉励吏荔
tsi[1]隻之芝支枝肢知蜘
tsi[2]积集即鲫唧疾脊瘠绩迹籍直植殖职窒织帜侄质汁执挚蛰掷藉缉辑
tsi[3]挤止址趾指旨纸脂只{～有}
tsi[5]际祭济剂志痣峙痔智至制置致治雉
tsʰi[1]妻凄栖
tsʰi[2]齐脐七漆膝戚叱恃迟持池驰弛尺秩斥赤
tsʰi[3]耻齿侈
tsʰi[5]砌稚滞
si[1]西牺犀诗施尸
si[2]席习昔惜析晰息熄媳悉夕锡檄袭隙恤时饰什匙室识失适十拾石实食蚀湿释
si[3]洗徙始使史驶屎矢
si[5]细示势市视世式试是豉氏逝誓侍柿嗜
ki[1]机饥肌讥基箕鸡羁栀
ki[2]及级极吸击激急吉戟桔
ki[3]己纪杞几麂
ki[5]计记季既寄继忌技妓髻
kʰi[1]欺
kʰi[2]其期棋旗麒奇骑崎畸歧吃乞迄讫
kʰi[3]起启岂
kʰi[5]气汽器企契
ŋi[2]疑
ŋi[3]拟蚁
xi[1]稀希溪熙携
xi[3]喜
xi[5]弃系戏
i[1]衣医依伊裔
i[2]夷胰姨彝移仪遗懿一壹乙益溢译驿亦揖抑邑逸液掖腋日
i[3]以已矣椅
i[5]意义议异翼易肄毅臆艺忆亿瞖
pu[2]不
pu[3]补
pu[5]部布步簿怖蔔{萝卜}
pʰu[1]铺潽{沸水溢出}
pʰu[2]蒲讣葡菩匍蹼璞醭仆朴扑卜脯{胸～}
pʰu[3]普浦谱圃捕哺甫辅脯{果～　}
pʰu[5]舖{店铺}
mu[1]巫诬
mu[2]目木沐穆睦牧
mu[3]母姆
mu[5]墓幕慕暮募蓦
fu[1]夫肤敷乎呼
fu[2]符扶芙复服伏袱茯拂佛幅辐蝠覆腹胡湖糊葫蝴壶弧狐忽孵俘
fu[3]府俯腑抚釜斧虎浒腐{～烂　}
fu[5]副妇附负父富付傅赴赋咐驸互户护沪腐{豆～　}
tu[1]都
tu[2]读独毒督犊牍笃
tu[3]堵赌睹肚{猪～}
tu[5]度渡镀杜妒蠹肚{～腹}
tʰu[2]图途涂徒屠突凸秃
tʰu[3]土
tʰu[5]吐兔
nu[2]奴
nu[3]努
nu[5]怒
lu[1]颅{光头颅}
lu[2]炉芦卢庐鸬驴录绿碌禄陆鹿麓
lu[3]鲁橹卤虏掳
lu[5]路露鹭赂
tsu[1]租
tsu[2]足逐促祝竹筑烛浊触嘱簇族蜀
tsu[3]组祖阻诅
tsu[5]助
tsʰu[1]粗雏刍初
tsʰu[2]畜锄
tsʰu[3]楚础杵
tsʰu[5]醋
su[1]苏酥蔬梳疏
su[2]肃俗宿粟属叔熟塾赎续速束
su[3]数{动词}
su[5]素诉塑漱数{数目}
ku[1]孤菰姑菇辜鸪箍估沽
ku[2]谷骨
ku[3]古牯鼓股蛊
ku[5]固顾故雇梏
kʰu[1]枯
kʰu[2]窟哭酷
kʰu[3]苦
kʰu[5]库裤
u[1]乌污呜
u[2]无梧芜吴蜈吾物勿屋握幄悟{孙～空}
u[3]五伍武鹉舞午侮
u[5]务误雾晤戊悟恶{厌恶}
ny[3]女
ly[1]捋{手握着东西向一端抹取}
ly[2]律率{效～}
ly[3]吕铝侣旅
ly[5]虑滤
tsy[1]猪诸珠株朱蛛诛
tsy[2]卒
tsy[3]主煮
tsy[5]聚著箸注住柱驻蛀铸
tsʰy[1]趋蛆蛐
tsʰy[2]除徐储厨橱褚出
tsʰy[3]取娶处鼠
tsʰy[5]趣处
sy[1]需须抒书输舒戌枢荽{芫～}婿{又}
sy[2]薯术述殊
sy[3]黍暑署曙墅
sy[5]序竖树恕绪叙絮庶戍嗉{鸟类食囊}婿
ky[1]居拘驹车{～马炮}
ky[2]局鞠菊橘
ky[3]举矩
ky[5]具俱惧锯据距巨拒炬句剧
kʰy[1]区驱躯
kʰy[2]渠曲屈
kʰy[5]去
xy[1]虚墟嘘
xy[3]许
y[1]迂淤瘀舆
y[2]鱼于盂余予娱愚榆如儒役疫入域郁{又}
y[3]与屿雨语宇羽禹禺乳
y[5]预芋御遇裕喻愈愉俞逾誉豫驭隅玉煜
pa[1]巴疤爸芭笆粑
pa[2]八拔
pa[3]把靶
pa[5]霸罢坝
pʰa[1]趴
pʰa[2]爬扒耙杷琶
pʰa[3]趴{腿张开}
pʰa[5]怕
ma[1]妈蟆{癞蛤～}孖{双胞胎叫双～崽　}
ma[2]麻嘛抹
ma[3]马吗码蚂玛么
ma[5]骂
fa[2]髮发法砝乏罚伐阀筏
ta[2]瘩达答搭褡沓
ta[3]打
ta[5]大
tʰa[1]他她它遢{邋～}
tʰa[2]塔踏蹋榻
na[2]拿纳
na[3]哪
na[5]那捺
la[1]拉啦垃揦{在收获过的地里翻找剩余物　}
la[2]蜡腊辣剌邋{～遢}
la[3]喇
la[5]旯{缝隙}
tsa[1]渣喳楂蚱
tsa[2]砸杂扎札轧铡闸眨吒咤煠{熬煮}
tsa[3]鲊{榨菜叫～菜}
tsa[5]榨炸诈
tsʰa[1]叉差杈
tsʰa[2]擦查茶搽插察
tsʰa[3]镲
tsʰa[5]岔
sa[1]沙砂纱裟痧杉萨{菩～}
sa[2]卅煞圾杀刹
sa[3]洒撒
ka[2]旮
kʰa[1]卡{扼制}
kʰa[3]卡{关～}咔
kʰa[5]胯{股间}
ŋa[1]枒{树分枝处　}
ŋa[5]砑{挤压　}
xa[1]哈謑{吓唬}
a[1]阿
a[5]啊
tia[2]摕{拿，携}
nia[1]□{黏,挨近　}
nia[2]□{恼火叫～火}
kia[1]家稼加痂嘉佳
kia[2]甲胛夹荚颊裌
kia[3]假贾
kia[5]架驾价嫁
kʰia[2]恰洽掐跨{从别的物件上面迈过}
xia[1]虾
xia[2]霞瞎辖狭峡侠
xia[3]厦{～门　}
xia[5]下夏
ia[1]鸦丫
ia[2]牙芽蚜呀崖涯衙压鸭押
ia[3]雅哑
ia[5]亚
tsua[1]抓
tsua[2]錣{啄}
sua[2]刷
sua[3]耍厦{旁屋}
kua[1]瓜
kua[2]刮括聒
kua[3]寡
kua[5]挂褂卦
kʰua[1]夸
kʰua[3]垮
kʰua[5]跨挎
xua[1]花哗
xua[2]华铧骅划滑猾
xua[5]化话画
ua[1]蛙洼挖
ua[2]娃袜
ua[3]瓦
po[1]波玻菠啵
po[2]拨博搏膊薄勃脖剥钵驳缚
po[3]簸跛
po[5]播
pʰo[1]坡
pʰo[2]婆钹泼
pʰo[3]颇剖
pʰo[5]破
mo[1]摹摩摸魔仫{～佬族　}
mo[2]模末沫茉莫膜寞漠磨{～刀}
mo[5]蘑磨{石～　}
to[1]多
to[2]咄铎夺
to[3]朵躲垛
to[5]惰堕跺剁舵
tʰo[1]拖
tʰo[2]驮驼鸵坨砣托脱拓
tʰo[3]妥椭
tʰo[5]唾
no[1]捼{揉搓}
no[2]挪诺傩哪{哪吒}
no[5]糯懦
lo[1]箩{单用}
lo[2]罗逻锣萝骡螺脶箩落洛络骆乐{快～}
lo[3]裸卵{鹅～石}
lo[5]摞
tso[2]作昨凿酌灼琢啄镯桌卓绰捉着嘬{吸吮}
tso[3]左佐
tso[5]坐座
tsʰo[1]搓磋
tsʰo[2]撮戳
