		l	p	k	kʰ	t	pʰ	tʰ	ts	n	s	∅	m	ŋ	tsʰ	x
#i	1	黎藜釐魑璃篱籬灕梨嫠櫚鸝驪酈蜊藜罹犁					羆疲	啼綈㖷𦌢	之焠蒔糍鷀	呢	時塒鰣	噫飴𩛿	迷眉媚嵋鶥楣帷微	霓睨輗鯢猊	焠	兮傒
	2	麗	閉箅痹𤻖甓臂蔽庇	計記既繼薊	棄器氣炁霼契	帝智致蒂置螮殢䞃𨁷𩹈㴛𨂤		剃穄㱰	志誌至痣祭濟瘵掣際鰶制製		四勢試肆世壻弑	懿億薏縊憶意瘞			砌莿翅刺啛試	戲
	3	狸離理李禮儷𨓦蠡里娌履屨裏俚	枇琵脾彼比貔仳斐匕𥯡㚰妣髀毘魮	騎期踑祺棋錡旗圻琦蘄蜞耆蓍奇馗亓丌岐芪祇葵䗁杞麂圮几紀屺芑	啓起豈	池提持馳篪螚遲䪧弛蚳墀鮐題跱隄堤彽扯緹禔騠祗湜氐抵邸砥觝軧羝詆褆䩚踶裡底	丕否鄙嚭邳痞	禮挮鬀醴諦	齊臍𧓉旨止祉指枳𧉀姊沚秭咫霽芷	尼妮	死屎始豕矢兕	移兒夷恞跠栀痍姨彝訑怡貽貤蛇郾匜栘遺匙卮胰椅邇已苡似倚矣	彌麋縻蘼糜醿	宜儀犠疑嶷蟻擬鶃	齒耻恥侈㢋	喜
	4	靂慄栗瀝歷𢟍莅蒞凓麗	必筆奭畢蓽闢弼毖碧敝賁潷煏逼轡嗶璧鴓	及急戟吉激洁佶伋岌汲亟殛芨𨀙極棘擊譤獝級恄彶給笈䲯劀頡	隙泣綌乞吃愾憩	的笛姪嫡滴適鏑痔玓馰敵迪狄悐覿秩滌	匹嬖疋㱸鸊霹僻劈癖𧾑躃鷿薜辟譬廦	勅嚏涕飾裼惕陟祶剔慗蝃渧寘	即疾執贄汁質殖秩績勣鷙躓職熾織值緻植稷縶質鯽䆶蓻𡁶唧嫉脊瘠積踖輊	溺匿䁥搦惄	失昔惜式舄𩊿軾視逝室錫蝕晳穸識焟𣈏釋悉適媳蟋晹晹哳飾褶習熄浙息𡣪漝隰汐夕惁窸螯什拾碩食拭鼫𧙢㝜析	一壹乙揖疫鎰抑邑益溢䭂鷁挹搤佾繹嗌鳦亦奕弈歝懌液射噎饐逸謚佚軼	亹瀰渼媄美敉		七柒斥戚慼葺晻緝輯戢	翕熻歙檄潝吸殈橘桔
	5		碑	機箕幾畿𦠄肌基姬譏𮗸璣磯稽乩	欺欹崎蹊僛踦	知低	批披磇鈚𠯔啡	黐簛	支芝枝肢脂栀卮	旎𪏸	詩絲蕬司施䗐犀鷥	衣依咿漪伊醫	覓密蜜秘		癡痴妻屍尸悽淒栖棲蚩雌	熙熹禧姬妃絺嬉僖犧希稀俙晞欷非羲醯嘻
	7	力立貍笠苙		極	㘌	治第弟鯉雉娣珶值蟄		苐	集籍賫	日入你	㗩	寔譯驛馹易	米苡		𪖮	𧥤
	8	吏利俐莉隸禲例厲勵礪糲癘蠣離	齅畢篦獘陛備偹幣避敝斃婢被	忌𡜱技伎妓羈企	𣏕栜餼	地弟逓棣	鼻	滯悌禘締塊啻懘	字牸穉稚寺峙畤窒荢	二貳樲膩	示𩚉是諟恃侍氏十拾筮嗜席誓食	冀兾謚易翌羿裔驥肄翼	謎氼	誼毅義議藝詣蓻	市睼蒔豉	奚傒懏繫系携係
#iŋ	1	奩連聯鐮簾濂漣褳𢅖臁			鉗				占錢籛潜顫邅	年姩		鹽蔫	緡棉綿	閻	前	
	2		變𥍚	見劍劎	欠縴𬔀𦁤芡囝		騙片徧遍鴘		薦佔餞箭僭戰		扇煽謆	燕厭饜宴		峴	謭	還
	3	廉璉輦臉	扁蝙貶匾稨	乾虔檢	搴褰遣譴蹇	田畋纏典腆癦展輾		筅忝靦殄	牋箋攥		閃陝鮮跣僎	壬炎簷檐盈楹仁蟬蟾瀛嬴任延挺筳涏莛然撚燃蜓郔䀽鋋䳿綖冉髯兖苒偃掩琰演蚺衍剡	免勉娩冕浼	嚴閻妍	淺闡	賢弦絃嫌險顯憲儼
	4					玷坫										
	5		邊籩鞭褊翩編蹁	堅鏗兼今	謙愆鹻騫	顛	篇編偏	天添䒶靝	詹瞻襜尖霑沾毡鸇煎旃飦	粘拈捻𬠖	先鮮仙僊仚暹鱻羶	烟嫣闉淹焉咽甄湮堙諲禋耶			竿簽阡蚈躚遷迁褼籤扦𫾔	蜆
	7		范辨辯辮𨂞弁	儉兼		佃			賤踐尖	捺						
	8	歛獫煉鍊練	便𣸇卞汴	件		纏電鈿䥖墊	盼		漸	念廿	善瞻擅膳饍羡墡繕單	仍醃浸任伋艷孕焰燄焱媵荏稔	面麵	硯彦諺騐唁		現見
#œyŋ	1	龍竜隆輪掄𦪽䪊踚霳攏窿		窮裙褌					逡	穠濃齈𨑊				銀齦	翀焢	猩熊雄
	2		畚糞	供	燻	中	噴		種俊竣峻圳陖浚駿衆濬鐫縱雋		舜橓	揾擁壅臃			銃	訓𪇑奮
	3	倫綸崙蜦		羣群瓊蛩拱鞏	恐	塚坟重钝		寵	旬巡從蓯松菘煄聳準種准腫		循馴純恂淳徇詢珣殉狥笋先筍荀	容庸鄘墉牅淳傭慵鏞嫞榕唇蓉溶匀筠戎融絨娀毧耘㣑愹鎔𩮠紜茸云芸雲榮嶸螢縈瀠瑩勇湧踊灉芛俑允永			蠢惷謲	雄
	4															
	5		曛痭	弓軍君供恭宫躬巾皸觔斤均龔	穹芎筇邛蛩	中忠			鐘鍾怎終踪衷踵䈺		嵩崧	雍云饔雝磤廱癰邕㒕𢢓塕螉			春椿䮞茺充冲舂從㤝萶种衝	凶胸薰訩兇醺纁酗勲勛匃獯壎兄訢昕焮
	7	隴		郡𨛦鵘		仲重										
	8			饉	芹桕	仲		褈	從	閏𪼙潤朒𡎳	順訟誦頌	用𥁎殞隕韻韵𤸫運愪詠泳				
#o	1	雷擂	賠					𤍐㷟			螺	禾𣲲	梅霉枚𣨴湈媒䤂腜鋂煤黴𪃏			回洄硋
	2		貝唄浿魳𦮷背褙輩鋇𩗗珮䋳帔	髻撅鱖薈	儈劊劌餽噲饋檜塊劂媿愧瞶憒澮膾獪璝潰繪	對䨴薱懟憞憝兑碓隊	配沛霈㤄䟛佩	退螁	晬		賽	欲	莫		碎𤭢𥕸	毁賄悔晦裹
	3	纍縲臝羸蠃蕊蕋儡蕤藟瘰累誄	培裴陪	粿傀裹		籉檯臺薹短		腿㾼	裁財才材	㞠		回徊茴廻𣁷	毎莓		采彩綵埰採㥒𤷕踩䣋	火
	4			骨國幗	壑涸窟淈	奪裰掇笜綴		脱𤿫侻	卒𠞩		刷蟀窣𥕸	物			剟猝	惑或笏癨惚
	5	樶類癗	盃卑悲俾	梯	魁奎盔槐	堆	坯𨠙	推胎			衰瘦䙑蓑腮顋𤸬	煨偎			崔催漼璀	灰詼恢嶶
	7	䉪罍䉂捋	倍孛背誖狽悖㧩	涓汑					罪辠最			杌兀	没殁			
	8	擂耒磊銇㩡	焙			垈貸代袋玳黛			坐	内			昧魅寐䵢			佛𠏹會核
#œ	1															
	2															
	3											兒而爾尔				
	4											哊				
	5															
	7											𩚚				
	8															
#uaŋ	1											王黄癀磺惶簧				横楻煌
	2				况貺											恍謊晃驩
	3			狂廣桿鑛𨥥	矌擴							皇凰隍媓亡忘徃罔網枉				荒慌肓
	4			丱												
	5			光桄								汪				
	7			胱												
	8			𤗶								妄望旺				犯氾範泛
#ai	1	犁	排			蹄		苔		泥埿		埃	埋霾	呆倪霓𨺙堄崖厓涯	纔	咍
	2		拜湃𦳞	解廨疥癬㑘价魪戒誡玠介芥届丐悈炌蚧爿	企契暨槩嘅慨愾		泒	𠥶替䩟態	債		細晒曬粞	隘翳			粞	
	3	來箂	牌誹徘棑擺	鮭𩸞改解澥	揩楷闓鍇覬凱塏愷鎧	汦擡底軧	𤖭竮	擡	豺齊	乃迺奶妳	洗璽徙葸屣蹝	鞋鞵躷矮	買	嵦	猜纔採踩	孩骸邂諧
	4	䂾瀨	八捌	莢					節			䰲		𡧮刈㣻		瞎
	5		鎞笓	皆偕喈該雞街堦階垓	溪谿	獃佁𤶗歹	㱟	台駘胎	齋斎䭣𰫕		西恓樨篩篲	挨捱唉			差釵	
	7	𨅠				逮迨怠殆待			在豸			欸𣣶	蕒			嗐㖑𠿇
	8	賴癩㾢籟賚誺	罷敗扒			逐	憊稗秕		寨塞截	耐奈鼐柰			賣邁䜕勱	艾礙碍𢣕		械薤蠏蟹
#aiŋ	1	鈴薐菱𮖿零仂蓮帘		更		藤籐謄填嗔		潭𥢏鐔澄曇		𡇲腉	鱗蠅		閩䏵㤶氓蠻	顏	田撐憎	
	2			浭諫澗		訂凳釘鐙			牮甑		滲椮	譍			襯㣒倩掙櫬	
	3	冷泠	瓶彭硼鵬崩眅坂𥦜塴堋鈑板版㽹	啣簡柬耿褧烱烜䢛揀繭梗	肯	澄騰亭豚滕棖等頂戥			曾層橙剪㨵翦戬	能嚀濘寧䭢	醒省㗂	珩閑閒𢖍行恆姮梘		顏眼研		罕悻䛭
	4															
	5		班斑頒冰瘢奔犇	肩間庚肱耕畊觥鶊奸姦艱跟	牽硜	登丁燈灯釘嬁叮酊疔瞪璒玎	攀扳烹䥋	廳蟶汀檉	曾鄫罾爭󷼁峥臻蓁榛狰筝憎		生先羴笙甡甥星森參𦌀惺猩𦎬僧	恩鶯櫻由鸚薨			千仟	享
	7	獰				捵			矰狰𣤈							
	8	藺𤖭	辦扮			殿鄧靛錠󲥌	㸤瓣盻		增鋥贈諍	寗釀			慢謾嫚孟蔓漫	雁鷹硬岸𠰑贗		恨限莧行杏幸荇蘅
#yiŋ	1			絹墘				他	泉			鉛緣丸沿		黿原元沅邧源嫄		園
	2	𧜕紩		鱥建慣眷絭卷券犍	勸劝						線	怨晏			釧串𥬫	獻絢憲楦楥
	3			權捲𢍕囝	犬	傳團轉囀			全	軟阮	旋漩遄還嫙璇選𣊬𦇗鏇	完洹紈猿猨褤垣轅圓員袁媛𮆡遠			癬	舷鉉炫懸掀
	4							剗				慍				
	5		分	捐娟鵑狷獧窮謇關関根涓肋	圈圜鐶環㒽闤還				磚顓專耑		宣伸	冤鳶鴛淵彎灣踠			川穿銓瑏	
	7			毋		𤸁懒閬										軒喧諠萱諼
